date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2016-09-12,24.1334,181171200,23.4948,24.1975,23.4674,0.0224,-0.0213,-0.0140,-0.0086,0.0178,38.3270,0.0146,0.0027,-0.0062,0.1925,-0.0272,1.5021,buy
2016-09-13,24.7079,248704800,24.6072,24.9002,24.5454,0.0238,0.0023,0.0106,0.0139,0.0395,47.0626,0.0166,0.0036,-0.0041,0.5821,0.3728,1.9449,buy
2016-09-14,25.5822,443554800,24.8864,25.8706,24.8567,0.0354,0.0315,0.0544,0.0442,0.0727,60.2074,0.0194,0.0069,-0.0004,1.0756,0.7835,3.0954,buy
2016-09-15,26.4520,359934400,26.0606,26.4886,25.9759,0.0340,0.0952,0.0893,0.0702,0.1048,68.4673,0.0213,0.0118,0.0038,1.2554,-0.1885,2.3040,hold
2016-09-16,26.3032,319547600,26.3490,26.5802,26.1018,-0.0056,0.1143,0.0767,0.0562,0.0946,68.4041,0.0217,0.0153,0.0058,1.0651,-0.1122,1.9043,sell
2016-09-19,25.9965,188092000,26.3650,26.5916,25.9210,-0.0117,0.0772,0.0543,0.0383,0.0782,64.7599,0.0225,0.0171,0.0060,0.9046,-0.4114,1.0927,hold
2016-09-20,25.9942,138057200,25.8752,26.1201,25.7516,-0.0001,0.0521,0.0545,0.0326,0.0746,67.1345,0.0225,0.0182,0.0057,0.8613,-0.2660,0.7940,hold
2016-09-21,25.9897,144012800,26.0583,26.0904,25.7356,-0.0002,0.0159,0.0479,0.0276,0.0711,66.9242,0.0226,0.0188,0.0050,0.8262,0.0431,0.8145,buy
2016-09-22,26.2346,124296000,26.1728,26.3078,26.0926,0.0094,-0.0082,0.0862,0.0288,0.0774,67.5724,0.0198,0.0197,0.0048,0.8562,-0.1369,0.6971,sell
2016-09-23,25.7974,209924800,26.1888,26.2735,25.5319,-0.0167,-0.0192,0.0929,0.0030,0.0566,60.6593,0.0188,0.0192,0.0033,0.7111,0.6889,1.1423,hold
2016-09-26,25.8363,119477600,25.5525,25.9530,25.5319,0.0015,-0.0062,0.0706,-0.0021,0.0553,61.0213,0.0183,0.0185,0.0021,0.7016,-0.4309,0.6486,hold
2016-09-27,25.8844,98429600,25.8638,25.9050,25.7127,0.0019,-0.0042,0.0476,-0.0047,0.0546,60.2603,0.0174,0.0178,0.0012,0.6947,-0.1762,0.5346,buy
2016-09-28,26.0812,118564400,26.0217,26.2391,25.9622,0.0076,0.0035,0.0195,0.0009,0.0597,70.0047,0.0138,0.0176,0.0009,0.7259,0.2046,0.6406,sell
2016-09-29,25.6761,143548000,25.9004,26.0469,25.5891,-0.0155,-0.0213,-0.0293,-0.0117,0.0408,72.1270,0.0091,0.0164,-0.0005,0.5953,0.2107,0.7704,buy
2016-09-30,25.8752,145516400,25.7402,25.9485,25.5891,0.0078,0.0030,-0.0163,-0.0024,0.0461,70.0157,0.0097,0.0155,-0.0010,0.6354,0.0137,0.7729,sell
2016-10-03,25.7539,86807200,25.7974,25.8752,25.6990,-0.0047,-0.0032,-0.0093,-0.0061,0.0384,63.4174,0.0091,0.0144,-0.0017,0.5847,-0.4035,0.4636,buy
2016-10-04,25.8638,118947200,25.8775,26.1636,25.7791,0.0043,-0.0008,-0.0050,-0.0014,0.0397,54.4924,0.0092,0.0136,-0.0020,0.6020,0.3702,0.6333,hold
2016-10-05,25.8752,85812400,25.9553,26.0148,25.7928,0.0004,-0.0079,-0.0044,-0.0005,0.0370,37.3241,0.0093,0.0130,-0.0021,0.5907,-0.2786,0.4673,buy
2016-10-06,26.0675,115117200,26.0240,26.1705,25.8935,0.0074,0.0152,-0.0064,0.0076,0.0425,44.9162,0.0090,0.0128,-0.0018,0.6333,0.3415,0.6439,hold
2016-10-07,26.1064,97433600,26.1636,26.2208,25.9805,0.0015,0.0089,0.0120,0.0079,0.0421,52.6786,0.0071,0.0127,-0.0015,0.6403,-0.1536,0.5588,buy
