date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,88.7941,7620100,89.4599,90.1591,88.5277,-0.0055,-0.0477,-0.1140,-0.0561,-0.0802,20.1866,0.0241,-0.0202,-0.0130,0.0222,-0.2628,0.8471,buy
2021-09-13,89.4599,7398900,89.3850,90.5336,88.9022,0.0075,-0.0371,-0.1012,-0.0387,-0.0724,21.1929,0.0248,-0.0222,-0.0121,0.1148,-0.0290,0.8091,sell
2021-09-14,88.6276,6102700,89.8844,89.9510,88.4362,-0.0093,-0.0234,-0.1169,-0.0355,-0.0799,19.0141,0.0240,-0.0246,-0.0115,0.1189,-0.1752,0.6750,buy
2021-09-15,89.7013,7444300,88.7191,90.5586,88.2530,0.0121,-0.0235,-0.1077,-0.0122,-0.0676,21.1247,0.0248,-0.0248,-0.0094,0.2095,0.2198,0.8194,hold
2021-09-16,89.9593,5821800,90.0925,90.5170,88.6692,0.0029,0.0076,-0.0373,-0.0055,-0.0638,22.2271,0.0137,-0.0245,-0.0074,0.2491,-0.2180,0.6399,hold
2021-09-17,89.6680,14157200,89.4766,90.1008,89.1436,-0.0032,0.0098,-0.0383,-0.0048,-0.0656,22.7083,0.0137,-0.0245,-0.0058,0.2590,1.4318,1.4906,sell
2021-09-20,88.5610,7103400,88.3113,89.4682,87.8618,-0.0123,-0.0100,-0.0468,-0.0123,-0.0757,17.8683,0.0139,-0.0254,-0.0052,0.2305,-0.4982,0.7363,buy
2021-09-21,89.1853,6400400,88.4362,89.4017,88.3945,0.0070,0.0063,-0.0172,-0.0036,-0.0677,19.8318,0.0127,-0.0248,-0.0038,0.2852,-0.0990,0.6578,sell
2021-09-22,88.5693,6319100,89.0687,89.5432,88.1698,-0.0069,-0.0126,-0.0358,-0.0069,-0.0725,30.2294,0.0118,-0.0250,-0.0031,0.2757,-0.0127,0.6412,buy
2021-09-23,89.3600,5847800,89.0521,90.1175,88.7691,0.0089,-0.0067,0.0008,0.0019,-0.0626,34.9871,0.0086,-0.0237,-0.0016,0.3371,-0.0746,0.5916,sell
2021-09-24,89.1187,5836100,88.9522,89.9344,88.5943,-0.0027,-0.0061,0.0037,-0.0011,-0.0635,35.2369,0.0085,-0.0230,-0.0006,0.3410,-0.0020,0.5880,buy
2021-09-27,89.6597,4969600,89.1686,90.4255,89.0771,0.0061,0.0124,0.0022,0.0047,-0.0562,45.1374,0.0083,-0.0214,0.0006,0.3944,-0.1485,0.4990,sell
2021-09-28,89.3434,6445600,89.5765,90.4088,89.0937,-0.0035,0.0018,0.0081,0.0003,-0.0582,37.9393,0.0078,-0.0204,0.0014,0.3879,0.2970,0.6370,buy
2021-09-29,90.5919,6270100,89.7679,91.2079,89.4599,0.0140,0.0228,0.0099,0.0133,-0.0438,57.1821,0.0081,-0.0180,0.0028,0.5785,-0.0272,0.6189,sell
2021-09-30,89.7845,7886400,90.8916,91.9070,89.7096,-0.0089,0.0048,-0.0019,0.0045,-0.0508,55.2609,0.0086,-0.0170,0.0032,0.4745,0.2578,0.9885,buy
2021-10-01,90.8000,8611500,90.1008,91.2994,88.9522,0.0113,0.0189,0.0126,0.0146,-0.0386,56.8628,0.0093,-0.0148,0.0041,0.7248,0.0919,1.1224,sell
2021-10-04,90.5004,9779200,90.5919,91.7239,89.6347,-0.0033,0.0094,0.0219,0.0090,-0.0402,60.1442,0.0082,-0.0133,0.0045,0.7385,0.1356,1.2389,buy
