date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,116.8644,4127400,116.1385,117.4451,116.1385,0.0064,0.0024,0.0265,0.0094,0.0520,61.6322,0.0068,0.0142,0.0006,0.8439,-0.0923,1.0369,sell
2021-09-13,114.8864,5811000,117.6538,117.6810,113.2441,-0.0169,-0.0180,0.0163,-0.0092,0.0325,53.1554,0.0088,0.0128,-0.0008,0.5151,0.4079,1.4182,buy
2021-09-14,115.2766,4197400,115.5488,116.1295,114.9681,0.0034,-0.0104,0.0088,-0.0067,0.0345,56.2250,0.0082,0.0117,-0.0015,0.5658,-0.2777,1.0295,buy
2021-09-15,115.6758,4803200,115.1223,116.3018,114.5779,0.0035,-0.0122,0.0089,-0.0042,0.0365,61.3355,0.0082,0.0109,-0.0018,0.6226,0.1443,1.1753,hold
2021-09-16,115.6304,3317100,116.0206,116.1113,114.5961,-0.0004,-0.0042,0.0003,-0.0046,0.0347,58.6026,0.0078,0.0102,-0.0020,0.5949,-0.3094,0.8143,sell
2021-09-17,115.0407,10045200,115.0316,115.9571,114.7412,-0.0051,-0.0156,-0.0132,-0.0083,0.0281,59.8040,0.0074,0.0092,-0.0025,0.4689,2.0283,2.3031,sell
2021-09-20,113.2986,5262200,113.9609,114.8410,112.3368,-0.0151,-0.0138,-0.0316,-0.0202,0.0116,45.4622,0.0083,0.0071,-0.0038,0.1514,-0.4761,1.2096,hold
2021-09-21,113.5345,4918600,113.9337,115.0316,113.5073,0.0021,-0.0151,-0.0254,-0.0157,0.0126,44.6644,0.0085,0.0054,-0.0043,0.2095,-0.0653,1.1176,sell
2021-09-22,113.0990,6553400,113.8702,114.0879,112.6725,-0.0038,-0.0223,-0.0342,-0.0160,0.0077,37.5790,0.0080,0.0038,-0.0048,0.1481,0.3324,1.4462,buy
2021-09-23,113.6887,4161500,113.7976,114.2331,113.2441,0.0052,-0.0168,-0.0209,-0.0088,0.0116,34.9951,0.0082,0.0029,-0.0046,0.2435,-0.3650,0.9206,sell
2021-09-24,112.8449,3045700,113.2441,113.8520,112.7542,-0.0074,-0.0191,-0.0344,-0.0127,0.0029,29.4328,0.0078,0.0015,-0.0048,0.1160,-0.2681,0.6809,sell
