date,close,volume,open,high,low
07/02/2026,$137.35,"13,839,150",$133.14,$138.90,$132.94
07/01/2026,$131.13,"14,977,690",$126.20,$133.81,$126.05
06/30/2026,$124.44,"10,984,430",$123.26,$125.475,$121.78
06/29/2026,$124.74,"17,088,300",$130.575,$132.38,$124.44
06/26/2026,$128.98,"14,148,710",$126.25,$129.2499,$125.71
06/25/2026,$125.82,"20,982,980",$128.35,$129.80,$125.68
06/24/2026,$129.15,"13,775,250",$126.49,$131.88,$125.80
06/23/2026,$127.01,"23,534,670",$124.79,$127.83,$124.42
06/22/2026,$124.83,"27,630,910",$125.00,$125.84,$118.15
06/18/2026,$127.98,"41,744,290",$126.50,$134.70,$125.60
06/17/2026,$156.01,"7,563,197",$164.90,$166.87,$155.91
06/16/2026,$165.52,"4,422,625",$165.625,$169.7939,$165.03
06/15/2026,$165.36,"6,026,514",$167.60,$172.59,$165.05
06/12/2026,$170.28,"4,040,124",$168.435,$171.7699,$164.65
06/11/2026,$167.52,"5,257,548",$167.10,$170.835,$163.58
06/10/2026,$170.50,"3,320,590",$170.10,$173.53,$167.85
06/09/2026,$173.47,"4,426,857",$173.46,$176.36,$170.33
06/08/2026,$174.43,"3,795,678",$176.95,$180.18,$174.37
06/05/2026,$178.25,"3,745,661",$180.91,$183.18,$176.33
06/04/2026,$178.86,"4,395,425",$183.68,$185.00,$177.59
06/03/2026,$177.43,"4,955,540",$183.16,$183.995,$176.37
06/02/2026,$186.22,"5,282,813",$190.69,$191.90,$183.41
06/01/2026,$196.59,"7,179,547",$193.44,$198.00,$188.99
05/29/2026,$187.07,"10,781,300",$178.63,$188.24,$175.44
05/28/2026,$178.40,"4,106,682",$178.14,$179.84,$175.33
05/27/2026,$176.36,"5,272,884",$177.00,$179.6104,$176.04
05/26/2026,$177.00,"3,822,680",$178.00,$178.65,$173.835
05/22/2026,$179.24,"3,452,859",$179.005,$182.70,$177.17
05/21/2026,$177.87,"3,514,633",$176.82,$178.47,$173.13
05/20/2026,$179.22,"4,239,118",$175.00,$180.51,$170.28
05/19/2026,$176.80,"7,191,771",$180.00,$184.793,$176.17
