date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,658.9400,1204200,666.1800,668.8700,658.2000,-0.0041,-0.0086,0.0100,-0.0062,0.0457,62.2518,0.0061,0.0153,-0.0017,0.6051,0.0847,0.8982,sell
2021-09-13,645.1500,2242500,663.0400,663.6000,640.2400,-0.0209,-0.0322,-0.0203,-0.0250,0.0218,38.6553,0.0085,0.0127,-0.0037,0.3118,0.8622,1.5947,hold
2021-09-14,645.0100,2150200,646.0000,649.5800,642.4600,-0.0002,-0.0248,-0.0315,-0.0222,0.0199,38.0962,0.0072,0.0103,-0.0049,0.2919,-0.0412,1.4743,buy
2021-09-15,661.0800,2009300,652.3200,663.3100,650.9800,0.0249,-0.0032,-0.0039,0.0026,0.0432,53.1941,0.0114,0.0100,-0.0039,0.6240,-0.0655,1.3471,buy
2021-09-16,665.1100,2046100,657.5300,666.4700,654.7100,0.0061,0.0052,-0.0012,0.0088,0.0476,59.5467,0.0115,0.0103,-0.0028,0.7235,0.0183,1.3421,sell
2021-09-17,654.4800,3553200,663.2100,665.0000,652.0400,-0.0160,-0.0068,-0.0153,-0.0057,0.0293,47.1597,0.0126,0.0094,-0.0032,0.3484,0.7366,2.1966,sell
2021-09-20,641.2900,2637400,646.0400,653.9300,633.0500,-0.0202,-0.0060,-0.0380,-0.0220,0.0074,33.9276,0.0138,0.0069,-0.0047,-0.0724,-0.2577,1.5720,buy
2021-09-21,645.8900,2449300,646.8800,650.9500,640.3000,0.0072,0.0014,-0.0234,-0.0127,0.0131,38.7492,0.0141,0.0053,-0.0050,0.1260,-0.0713,1.4260,sell
2021-09-22,626.0800,5689600,624.7900,628.9400,615.0600,-0.0307,-0.0529,-0.0560,-0.0375,-0.0186,29.4306,0.0165,0.0016,-0.0072,-0.2079,1.3229,2.9047,buy
2021-09-23,630.8400,2985500,632.2900,633.8200,627.0200,0.0076,-0.0515,-0.0466,-0.0256,-0.0118,33.1472,0.0170,-0.0009,-0.0077,0.0008,-0.4753,1.4524,sell
2021-09-24,622.7100,2809000,628.0000,629.0300,618.2200,-0.0129,-0.0485,-0.0550,-0.0327,-0.0250,29.3913,0.0172,-0.0038,-0.0086,-0.0468,-0.0591,1.3281,sell
2021-09-27,603.6500,4152200,615.8000,616.6600,602.7300,-0.0306,-0.0587,-0.0643,-0.0562,-0.0548,26.0056,0.0184,-0.0088,-0.0110,-0.1591,0.4782,1.8327,sell
2021-09-28,578.7700,5108900,596.3100,596.3100,578.3300,-0.0412,-0.1039,-0.1027,-0.0857,-0.0931,20.5482,0.0212,-0.0165,-0.0150,-0.2150,0.2304,2.0819,hold
2021-09-29,577.7000,2726800,585.4500,586.5500,576.0700,-0.0018,-0.0773,-0.1261,-0.0752,-0.0939,20.6158,0.0176,-0.0222,-0.0166,-0.0793,-0.4663,1.0923,hold
2021-09-30,575.7200,2743600,580.6400,586.1900,573.2400,-0.0034,-0.0874,-0.1344,-0.0650,-0.0960,20.7260,0.0167,-0.0268,-0.0169,-0.0011,0.0062,1.0673,hold
2021-10-01,577.4700,2915300,577.5200,581.4700,568.6100,0.0030,-0.0727,-0.1177,-0.0502,-0.0919,23.9892,0.0175,-0.0296,-0.0158,0.0767,0.0626,1.1017,sell
2021-10-04,558.4900,3977000,574.5900,576.8000,552.1400,-0.0329,-0.0748,-0.1291,-0.0688,-0.1199,20.9548,0.0186,-0.0354,-0.0169,0.0170,0.3642,1.4394,buy
2021-10-05,566.7000,2337800,563.9100,570.2900,559.2100,0.0147,-0.0209,-0.1226,-0.0424,-0.1054,16.5509,0.0197,-0.0370,-0.0150,0.1235,-0.4122,0.8317,buy
2021-10-06,570.3100,2043200,561.2400,572.1600,560.2100,0.0064,-0.0128,-0.0891,-0.0272,-0.0984,16.3017,0.0194,-0.0375,-0.0125,0.1830,-0.1260,0.7183,buy
2021-10-07,578.9600,2648500,578.4600,586.1500,576.1900,0.0152,0.0056,-0.0822,-0.0036,-0.0835,22.7719,0.0203,-0.0359,-0.0090,0.2645,0.2963,0.9066,hold
2021-10-08,576.8600,2050700,581.3000,583.6100,575.5200,-0.0036,-0.0011,-0.0736,0.0007,-0.0855,24.7512,0.0202,-0.0351,-0.0065,0.2738,-0.2257,0.6919,sell
2021-10-11,573.0700,1410600,574.5000,582.2800,571.5000,-0.0066,0.0261,-0.0507,-0.0006,-0.0901,21.2810,0.0185,-0.0347,-0.0047,0.2720,-0.3121,0.4827,buy
2021-10-12,580.6900,1740200,579.1600,584.2200,574.4200,0.0133,0.0247,0.0033,0.0124,-0.0769,30.1946,0.0142,-0.0323,-0.0022,0.3427,0.2337,0.5997,buy
2021-10-13,591.1200,2142300,585.2600,593.5400,582.6600,0.0180,0.0365,0.0232,0.0281,-0.0594,33.4858,0.0152,-0.0285,0.0009,0.4349,0.2311,0.7366,buy
2021-10-14,607.5100,2500900,600.0000,609.4400,596.9700,0.0277,0.0493,0.0552,0.0508,-0.0328,44.0865,0.0170,-0.0228,0.0046,0.5893,0.1674,0.8532,hold
2021-10-15,610.0900,1960100,611.6900,612.2500,607.5500,0.0042,0.0576,0.0565,0.0494,-0.0280,52.8740,0.0170,-0.0182,0.0072,0.6445,-0.2162,0.6874,buy
2021-10-18,622.8300,1905100,610.6500,623.4700,607.5700,0.0209,0.0868,0.1152,0.0596,-0.0074,72.0520,0.0108,-0.0126,0.0099,0.7880,-0.0281,0.6768,buy
2021-10-19,636.0700,2470000,625.2600,639.3900,625.2600,0.0213,0.0954,0.1224,0.0695,0.0135,76.0417,0.0112,-0.0065,0.0124,0.9415,0.2965,0.8772,sell
2021-10-20,632.3700,1497200,639.2800,641.2900,630.1700,-0.0058,0.0698,0.1088,0.0523,0.0072,74.8923,0.0125,-0.0024,0.0133,0.8923,-0.3938,0.5745,buy
2021-10-21,638.6600,1586600,632.0000,639.1700,629.0000,0.0099,0.0513,0.1031,0.0523,0.0168,75.8557,0.0124,0.0017,0.0138,0.9400,0.0597,0.6256,buy
2021-10-22,643.5800,1786500,640.4300,644.4300,634.4500,0.0077,0.0549,0.1157,0.0489,0.0244,90.8027,0.0115,0.0055,0.0140,0.9495,0.1260,0.7189,buy
2021-10-25,646.9700,1629400,644.4700,649.6200,639.0700,0.0053,0.0388,0.1290,0.0418,0.0295,90.3569,0.0100,0.0087,0.0138,0.9237,-0.0879,0.6907,sell
2021-10-26,642.5000,2154000,650.9100,659.1900,642.1000,-0.0069,0.0101,0.1064,0.0244,0.0222,85.9835,0.0116,0.0107,0.0126,0.8431,0.3220,0.9741,sell
2021-10-27,640.0800,1629900,644.4800,648.8100,639.8100,-0.0038,0.0122,0.0828,0.0127,0.0182,82.4830,0.0121,0.0119,0.0110,0.7910,-0.2433,0.7558,hold
2021-10-28,639.2800,2085000,638.0000,642.4900,633.2700,-0.0012,0.0010,0.0523,0.0064,0.0165,83.6388,0.0101,0.0125,0.0093,0.7573,0.2792,0.9819,buy
2021-10-29,650.3600,1927700,637.7700,651.3100,637.0000,0.0173,0.0105,0.0660,0.0173,0.0337,88.6180,0.0108,0.0140,0.0087,0.8096,-0.0754,0.9294,sell
2021-11-01,640.2000,2215800,651.0500,654.0000,634.7800,-0.0156,-0.0105,0.0279,-0.0013,0.0178,78.9982,0.0115,0.0141,0.0070,0.7111,0.1495,1.1157,hold
2021-11-02,640.4000,1770000,641.1200,647.7400,639.2300,0.0003,-0.0033,0.0068,-0.0016,0.0186,76.6725,0.0096,0.0139,0.0054,0.6930,-0.2012,0.9041,buy
2021-11-03,655.1800,1970700,645.5200,656.5000,640.0000,0.0231,0.0236,0.0361,0.0178,0.0422,76.2587,0.0115,0.0151,0.0055,0.7963,0.1134,1.0085,buy
2021-11-04,674.0800,2480600,659.4400,676.0800,657.7500,0.0288,0.0544,0.0555,0.0414,0.0717,79.8768,0.0140,0.0179,0.0068,0.9190,0.2587,1.2749,sell
2021-11-05,662.7200,2517600,676.7400,677.7600,661.1100,-0.0169,0.0190,0.0297,0.0209,0.0533,68.8677,0.0156,0.0192,0.0063,0.7960,0.0149,1.2786,buy
2021-11-08,666.0200,1497200,666.5600,668.2500,661.4000,0.0050,0.0403,0.0294,0.0229,0.0582,65.6364,0.0156,0.0200,0.0058,0.8163,-0.4053,0.7587,hold
2021-11-09,667.9200,1128000,667.6900,669.6600,663.0000,0.0029,0.0430,0.0396,0.0219,0.0612,68.9156,0.0152,0.0207,0.0052,0.8303,-0.2466,0.5806,sell
2021-11-10,647.5000,2038200,663.2000,665.8100,645.8600,-0.0306,-0.0117,0.0116,-0.0105,0.0293,54.0888,0.0187,0.0192,0.0026,0.5618,0.8069,1.0520,sell
2021-11-11,643.1700,1271100,649.6100,652.5700,642.1000,-0.0067,-0.0459,0.0061,-0.0177,0.0231,49.8093,0.0189,0.0169,0.0001,0.4699,-0.3764,0.6775,buy
2021-11-12,657.6000,1286500,649.0100,658.4700,647.1600,0.0224,-0.0077,0.0111,0.0032,0.0463,54.4833,0.0194,0.0162,-0.0002,0.6970,0.0121,0.6983,hold
2021-11-15,659.7300,1077600,658.3700,663.6700,655.1900,0.0032,-0.0094,0.0305,0.0035,0.0500,57.4133,0.0185,0.0159,-0.0003,0.7212,-0.1624,0.5983,buy
2021-11-16,671.0300,1422000,659.1400,673.7400,658.9900,0.0171,0.0047,0.0478,0.0160,0.0676,62.3711,0.0190,0.0167,0.0006,0.9044,0.3196,0.8132,hold
2021-11-17,670.6700,1221900,671.7600,672.7400,662.8400,-0.0005,0.0358,0.0236,0.0130,0.0668,62.5912,0.0179,0.0173,0.0009,0.8605,-0.1407,0.7043,hold
2021-11-18,670.9600,1493800,670.6200,676.5500,665.0800,0.0004,0.0432,-0.0046,0.0139,0.0669,59.0462,0.0153,0.0176,0.0010,0.8295,0.2225,0.8634,buy
