date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,156.7986,4280800,156.4849,158.7823,156.4387,0.0067,0.0450,0.0154,0.0310,0.0251,56.8810,0.0144,-0.0009,0.0023,0.8794,-0.4369,0.6747,buy
2021-09-13,159.4466,7431700,158.3209,159.7511,157.1307,0.0169,0.0638,0.0380,0.0444,0.0418,56.7210,0.0149,0.0024,0.0045,1.0587,0.7361,1.1235,hold
2021-09-14,160.0556,5335200,160.1202,160.6369,158.2748,0.0038,0.0625,0.0389,0.0443,0.0454,66.0811,0.0149,0.0053,0.0059,1.0463,-0.2821,0.7877,hold
2021-09-15,160.6184,4498500,160.4892,160.9690,158.7731,0.0035,0.0636,0.0683,0.0410,0.0482,71.8638,0.0113,0.0078,0.0067,0.9957,-0.1568,0.6646,sell
2021-09-16,159.8157,4582700,159.0960,160.9690,159.0960,-0.0050,0.0261,0.0751,0.0284,0.0419,63.6365,0.0103,0.0093,0.0065,0.8854,0.0187,0.6814,sell
2021-09-17,158.2564,13056400,158.1456,159.6404,157.1215,-0.0098,0.0093,0.0547,0.0130,0.0307,61.3208,0.0116,0.0096,0.0055,0.7574,1.8491,1.8121,sell
2021-09-20,156.3741,10189700,156.9462,157.5551,154.1136,-0.0119,-0.0193,0.0433,-0.0032,0.0180,55.2523,0.0127,0.0089,0.0037,0.6247,-0.2196,1.3462,buy
2021-09-21,157.3799,4011300,157.6105,158.3671,155.2300,0.0064,-0.0167,0.0447,-0.0011,0.0241,68.2648,0.0127,0.0085,0.0028,0.6824,-0.6063,0.5653,buy
2021-09-22,160.4062,3484500,158.6993,160.7845,157.9888,0.0192,-0.0013,0.0622,0.0121,0.0428,78.5651,0.0135,0.0096,0.0031,0.8344,-0.1313,0.5077,buy
2021-09-23,163.5248,3391900,161.0059,164.0415,160.6830,0.0194,0.0232,0.0499,0.0267,0.0616,80.2235,0.0114,0.0117,0.0043,0.9524,-0.0266,0.5583,buy
