date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,284.4300,1565100,288.6600,290.5900,284.1100,-0.0113,-0.0106,-0.0830,-0.0416,-0.0865,20.0504,0.0189,-0.0315,-0.0162,0.1414,0.0833,0.8476,sell
2021-09-13,281.2800,1518100,284.5100,286.2900,278.4600,-0.0111,-0.0259,-0.1089,-0.0411,-0.0959,17.0390,0.0165,-0.0345,-0.0153,0.1465,-0.0300,0.8055,sell
2021-09-14,279.3500,1278800,282.1900,282.9300,278.6000,-0.0069,-0.0282,-0.1086,-0.0365,-0.1011,12.2646,0.0165,-0.0371,-0.0142,0.1639,-0.1576,0.6722,buy
2021-09-15,286.6200,1430000,280.5800,287.3000,278.5600,0.0260,-0.0102,-0.0757,-0.0034,-0.0771,18.3267,0.0203,-0.0355,-0.0105,0.2713,0.1182,0.7450,buy
2021-09-16,290.6800,1433200,287.1100,291.2100,285.2200,0.0142,0.0104,-0.0414,0.0152,-0.0637,33.6955,0.0207,-0.0330,-0.0067,0.3356,0.0022,0.7367,sell
2021-09-17,288.1500,2113600,290.8700,292.2000,286.5400,-0.0087,0.0131,0.0024,0.0061,-0.0715,25.8478,0.0124,-0.0320,-0.0044,0.3264,0.4747,1.0622,sell
2021-09-20,283.6000,1168500,282.5200,286.6600,279.8400,-0.0158,0.0082,-0.0178,-0.0080,-0.0855,24.8438,0.0133,-0.0324,-0.0035,0.2937,-0.4472,0.5827,hold
2021-09-21,283.1900,719900,285.7200,286.1700,282.0900,-0.0014,0.0137,-0.0149,-0.0079,-0.0863,26.1186,0.0132,-0.0321,-0.0025,0.3066,-0.3839,0.3638,buy
2021-09-22,286.4200,1054800,283.8800,288.7800,283.6600,0.0114,-0.0007,-0.0108,0.0045,-0.0753,34.0418,0.0136,-0.0302,-0.0008,0.3653,0.4652,0.5328,buy
2021-09-23,292.1600,1061700,287.8600,293.3200,287.4000,0.0200,0.0051,0.0156,0.0230,-0.0564,55.4957,0.0149,-0.0265,0.0019,0.4932,0.0065,0.5423,buy
2021-09-24,294.6700,1067700,290.5000,295.3400,290.5000,0.0086,0.0226,0.0360,0.0281,-0.0483,56.7426,0.0143,-0.0229,0.0042,0.5707,0.0057,0.6147,hold
2021-09-27,294.0600,1677500,294.0000,295.2900,289.3400,-0.0021,0.0369,0.0454,0.0214,-0.0503,57.6354,0.0136,-0.0202,0.0055,0.5964,0.5711,0.9704,sell
2021-09-28,287.8500,1835800,288.6400,291.5900,283.7500,-0.0211,0.0165,0.0304,-0.0031,-0.0704,48.1935,0.0155,-0.0200,0.0051,0.4481,0.0944,1.0491,hold
2021-09-29,287.9900,1163000,290.4200,292.8800,286.9000,0.0005,0.0055,0.0048,-0.0031,-0.0695,50.3400,0.0133,-0.0191,0.0047,0.4885,-0.3665,0.6724,sell
2021-09-30,285.1700,1668500,290.3300,292.5700,284.9600,-0.0098,-0.0239,-0.0190,-0.0109,-0.0776,50.8193,0.0127,-0.0192,0.0039,0.3615,0.4347,1.0058,sell
2021-10-01,284.0600,1245700,283.8000,286.5100,279.7900,-0.0039,-0.0360,-0.0142,-0.0134,-0.0797,53.2236,0.0125,-0.0193,0.0031,0.3045,-0.2534,0.8607,sell
2021-10-04,272.9300,1747700,282.8700,283.9900,271.0900,-0.0392,-0.0719,-0.0376,-0.0485,-0.1135,43.8647,0.0169,-0.0232,0.0001,-0.1645,0.4030,1.2105,buy
2021-10-05,275.9800,953700,274.9300,278.8500,274.3500,0.0112,-0.0412,-0.0255,-0.0355,-0.1014,38.9397,0.0175,-0.0241,-0.0009,0.0581,-0.4543,0.6898,hold
2021-10-06,277.4200,940600,272.9500,278.6600,271.7500,0.0052,-0.0367,-0.0314,-0.0274,-0.0949,35.4222,0.0171,-0.0243,-0.0009,0.1640,-0.0137,0.6945,buy
2021-10-07,283.0200,909500,280.1300,285.4400,280.1300,0.0202,-0.0075,-0.0313,-0.0046,-0.0748,44.7168,0.0171,-0.0221,0.0006,0.4162,-0.0331,0.6850,sell
2021-10-08,278.9400,797300,284.0500,284.3600,278.7300,-0.0144,-0.0180,-0.0534,-0.0134,-0.0857,45.1539,0.0169,-0.0221,0.0008,0.2577,-0.1234,0.6184,sell
2021-10-11,276.5400,681000,276.6500,280.3000,276.4100,-0.0086,0.0132,-0.0596,-0.0158,-0.0909,43.3593,0.0169,-0.0224,0.0006,0.1790,-0.1459,0.5459,hold
2021-10-12,275.9100,1117100,275.3000,278.3800,275.1100,-0.0023,-0.0003,-0.0415,-0.0139,-0.0902,38.9298,0.0161,-0.0225,0.0004,0.1708,0.6404,0.9014,buy
2021-10-13,283.4500,883100,278.6700,284.4800,278.6700,0.0273,0.0217,-0.0158,0.0147,-0.0626,41.1610,0.0189,-0.0195,0.0022,0.4739,-0.2095,0.7286,buy
2021-10-14,289.1700,799200,286.8500,289.9400,286.0100,0.0202,0.0217,0.0140,0.0337,-0.0411,44.7599,0.0198,-0.0155,0.0046,0.7054,-0.0950,0.6771,buy
2021-10-15,291.1900,931700,290.8100,291.8800,289.3500,0.0070,0.0439,0.0251,0.0383,-0.0320,47.3372,0.0198,-0.0119,0.0065,0.7739,0.1658,0.8310,hold
2021-10-18,292.6700,766500,290.2100,293.0500,289.3600,0.0051,0.0583,0.0723,0.0363,-0.0245,54.9024,0.0132,-0.0085,0.0078,0.8013,-0.1773,0.6961,buy
2021-10-19,296.6900,849500,294.5400,297.5500,292.3400,0.0137,0.0753,0.0750,0.0428,-0.0087,58.2014,0.0133,-0.0047,0.0091,0.8964,0.1083,0.7670,buy
2021-10-20,298.6400,915100,297.8100,299.1900,295.3900,0.0066,0.0536,0.0765,0.0419,-0.0000,62.9097,0.0133,-0.0012,0.0100,0.9092,0.0772,0.8315,buy
