date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,131.4355,9054700,132.8186,135.2391,131.2146,0.0136,0.0178,0.0328,0.0111,0.0137,71.7717,0.0149,0.0015,0.0037,0.8253,0.3299,1.2455,buy
2021-09-13,133.9328,8507600,133.2413,135.7194,132.1271,0.0190,0.0266,0.0212,0.0281,0.0326,69.5095,0.0128,0.0041,0.0049,0.9551,-0.0604,1.1727,buy
2021-09-14,134.6052,8073200,132.6553,136.1996,132.4632,0.0050,0.0267,0.0301,0.0302,0.0375,70.6562,0.0126,0.0064,0.0058,0.9357,-0.0511,1.1310,buy
2021-09-15,135.6521,6103200,134.4611,135.7578,132.0118,0.0078,0.0574,0.0451,0.0336,0.0448,69.9194,0.0122,0.0088,0.0065,0.9462,-0.2440,0.8678,buy
2021-09-16,138.3992,8467300,134.8165,138.9178,133.6735,0.0203,0.0673,0.0796,0.0464,0.0645,74.5347,0.0116,0.0119,0.0078,1.0457,0.3874,1.1896,sell
2021-09-17,135.2391,10884400,137.3522,137.3522,133.8752,-0.0228,0.0289,0.0472,0.0178,0.0389,59.2917,0.0151,0.0128,0.0069,0.8161,0.2855,1.5095,sell
2021-09-20,130.1773,8822500,131.1666,131.2915,128.2755,-0.0374,-0.0280,-0.0022,-0.0201,-0.0001,49.0594,0.0199,0.0106,0.0036,0.4578,-0.1894,1.2664,hold
2021-09-21,129.8411,5782200,131.7141,131.8197,128.1794,-0.0026,-0.0354,-0.0096,-0.0217,-0.0025,50.0924,0.0198,0.0082,0.0009,0.4141,-0.3446,0.8417,buy
2021-09-22,132.6458,6344300,130.8112,133.3181,130.1965,0.0216,-0.0222,0.0340,-0.0039,0.0187,58.1921,0.0195,0.0077,0.0005,0.6165,0.0972,0.9236,buy
2021-09-23,135.5369,5620700,133.8272,136.5358,133.2317,0.0218,-0.0207,0.0453,0.0134,0.0401,60.9757,0.0203,0.0089,0.0015,0.8249,-0.1141,0.8249,hold
2021-09-24,136.3149,3729900,133.9040,136.7471,133.6639,0.0057,0.0080,0.0371,0.0155,0.0446,60.2284,0.0200,0.0103,0.0023,0.8540,-0.3364,0.5483,hold
2021-09-27,137.1025,5248600,134.0865,137.6116,134.0289,0.0058,0.0532,0.0237,0.0190,0.0484,60.4410,0.0193,0.0117,0.0030,0.8714,0.4072,0.7900,sell
2021-09-28,127.6415,12873900,132.1751,134.0673,127.2958,-0.0690,-0.0169,-0.0517,-0.0464,-0.0246,49.0909,0.0297,0.0078,-0.0013,0.1519,1.4528,1.8243,sell
2021-09-29,123.2040,10730100,127.5551,128.7461,122.9831,-0.0348,-0.0712,-0.0918,-0.0709,-0.0580,41.5938,0.0307,0.0012,-0.0066,-0.0656,-0.1665,1.4671,hold
2021-09-30,123.6458,7329800,124.2701,125.6821,123.4345,0.0036,-0.0877,-0.1066,-0.0571,-0.0534,39.5084,0.0293,-0.0039,-0.0093,0.0212,-0.3169,0.9949,hold
2021-10-01,124.0300,6459200,124.1549,124.4814,121.4270,0.0031,-0.0901,-0.0829,-0.0460,-0.0494,35.8573,0.0293,-0.0076,-0.0104,0.0893,-0.1188,0.8689,sell
2021-10-04,120.2552,9549500,122.6181,122.7717,118.3054,-0.0304,-0.1229,-0.0762,-0.0679,-0.0765,31.1744,0.0286,-0.0133,-0.0129,-0.0173,0.4784,1.2452,buy
2021-10-05,123.0119,7330400,122.4452,124.0972,120.4473,0.0229,-0.0363,-0.0526,-0.0415,-0.0539,34.1292,0.0302,-0.0152,-0.0118,0.1555,-0.2324,0.9449,sell
2021-10-06,121.5231,7388700,121.3118,123.1175,120.7547,-0.0121,-0.0136,-0.0839,-0.0448,-0.0643,28.1195,0.0287,-0.0179,-0.0116,0.1264,0.0080,0.9527,buy
2021-10-07,122.8294,5761300,123.5690,124.8176,122.4260,0.0107,-0.0066,-0.0938,-0.0248,-0.0529,33.0978,0.0277,-0.0186,-0.0099,0.2089,-0.2203,0.7479,sell
2021-10-08,121.2349,6300500,123.2328,123.7034,120.8988,-0.0130,-0.0225,-0.1106,-0.0258,-0.0637,36.5501,0.0271,-0.0204,-0.0093,0.1791,0.0936,0.8328,buy
2021-10-11,122.4644,5472000,120.7355,124.0972,120.6971,0.0101,0.0184,-0.1068,-0.0042,-0.0525,39.1953,0.0275,-0.0204,-0.0075,0.2536,-0.1315,0.7381,hold
2021-10-12,121.7536,7637900,123.6746,123.7419,120.0055,-0.0058,-0.0102,-0.0461,-0.0052,-0.0559,33.0036,0.0184,-0.0209,-0.0064,0.2520,0.3958,1.0333,buy
2021-10-13,123.1463,4950600,123.6938,124.3662,122.4644,0.0114,0.0134,-0.0005,0.0062,-0.0431,29.7170,0.0155,-0.0198,-0.0043,0.3261,-0.3518,0.6750,buy
2021-10-14,126.8539,7947600,126.4217,127.0268,124.5295,0.0301,0.0328,0.0259,0.0338,-0.0128,35.8680,0.0182,-0.0161,-0.0008,0.4970,0.6054,1.0875,hold
2021-10-15,126.3929,4826600,127.0364,127.6607,126.0663,-0.0036,0.0425,0.0191,0.0280,-0.0149,33.8453,0.0183,-0.0137,0.0013,0.4959,-0.3927,0.6890,buy
2021-10-18,128.0161,4208500,125.2114,128.1314,124.7120,0.0128,0.0453,0.0645,0.0347,-0.0008,50.7400,0.0145,-0.0105,0.0034,0.5774,-0.1281,0.6212,buy
2021-10-19,129.2840,3694300,128.0642,129.9948,127.3726,0.0099,0.0618,0.0510,0.0397,0.0101,63.7310,0.0134,-0.0072,0.0053,0.6390,-0.1222,0.5538,sell
2021-10-20,128.6885,4619000,128.6789,129.8603,128.0834,-0.0046,0.0450,0.0590,0.0290,0.0061,61.3098,0.0125,-0.0049,0.0061,0.6243,0.2503,0.7016,sell
2021-10-21,128.0737,5611000,126.4601,128.2370,125.3555,-0.0048,0.0096,0.0427,0.0198,0.0014,58.9764,0.0128,-0.0035,0.0061,0.6239,0.2148,0.8523,buy
2021-10-22,130.5614,10744900,129.8699,135.9691,129.1975,0.0194,0.0330,0.0769,0.0319,0.0198,74.2649,0.0121,-0.0007,0.0069,0.8095,0.9150,1.5495,hold
2021-10-25,130.3981,4005600,130.8688,132.4728,129.9563,-0.0013,0.0186,0.0648,0.0242,0.0176,69.8091,0.0123,0.0013,0.0071,0.8981,-0.6272,0.5829,sell
2021-10-26,126.7866,7864600,131.8581,131.9734,126.4793,-0.0277,-0.0193,0.0413,-0.0081,-0.0106,62.6733,0.0161,0.0006,0.0053,0.6285,0.9634,1.1877,hold
2021-10-27,126.9403,7837600,128.0161,128.9766,126.2200,0.0012,-0.0136,0.0308,-0.0098,-0.0100,60.4798,0.0159,0.0002,0.0039,0.6263,-0.0034,1.2101,buy
