date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,105.2000,32602300,106.9900,106.9900,104.9800,-0.0089,-0.0366,-0.0193,-0.0342,0.0350,51.4714,0.0166,0.0109,-0.0083,0.2211,0.0234,0.5958,hold
2021-09-13,104.8000,37767800,105.2600,105.2800,102.6300,-0.0038,-0.0466,-0.0592,-0.0320,0.0287,36.7402,0.0088,0.0079,-0.0091,0.2112,0.1584,0.7319,buy
2021-09-14,105.7300,40629500,105.5200,106.8200,104.4200,0.0089,-0.0313,-0.0502,-0.0183,0.0356,43.5047,0.0099,0.0061,-0.0086,0.3173,0.0758,0.8132,hold
2021-09-15,105.6000,37998900,106.0000,106.3200,104.0300,-0.0012,-0.0054,-0.0462,-0.0148,0.0321,40.5330,0.0099,0.0046,-0.0081,0.3169,-0.0647,0.7890,buy
2021-09-16,106.2200,38150300,104.9200,106.7500,103.7600,0.0059,0.0007,-0.0343,-0.0056,0.0350,46.2094,0.0104,0.0038,-0.0071,0.3552,0.0040,0.8275,sell
2021-09-17,103.8800,44528300,105.5600,105.9800,103.7100,-0.0220,-0.0125,-0.0487,-0.0226,0.0094,18.8226,0.0120,0.0014,-0.0078,0.1053,0.1672,0.9946,sell
2021-09-20,101.5500,45228400,101.5800,102.5100,99.5100,-0.0224,-0.0310,-0.0761,-0.0369,-0.0153,15.8631,0.0124,-0.0024,-0.0094,-0.0571,0.0157,1.0216,buy
2021-09-21,102.8200,35481500,102.1500,103.4300,101.1800,0.0125,-0.0275,-0.0580,-0.0190,-0.0053,23.6315,0.0140,-0.0043,-0.0090,0.1160,-0.2155,0.8328,buy
2021-09-22,104.3800,34126300,102.8200,104.5600,102.2100,0.0152,-0.0116,-0.0169,-0.0024,0.0070,32.2581,0.0132,-0.0045,-0.0073,0.2739,-0.0382,0.8174,buy
2021-09-23,106.1500,32816700,104.8900,106.8600,103.8900,0.0170,-0.0007,0.0000,0.0145,0.0208,40.9172,0.0144,-0.0033,-0.0048,0.4364,-0.0384,0.7982,hold
2021-09-24,105.8000,26482600,105.1900,106.0500,104.6800,-0.0033,0.0185,0.0057,0.0106,0.0137,37.4543,0.0141,-0.0026,-0.0033,0.4126,-0.1930,0.6643,buy
2021-09-27,108.1600,51944300,105.0700,108.4400,103.4400,0.0223,0.0651,0.0321,0.0298,0.0319,47.2515,0.0156,-0.0002,-0.0007,0.6406,0.9615,1.3180,sell
2021-09-28,101.5200,74469000,106.8400,107.6500,101.4200,-0.0614,-0.0126,-0.0398,-0.0295,-0.0342,39.2709,0.0255,-0.0035,-0.0033,0.0692,0.4336,1.8465,sell
2021-09-29,100.3500,52224700,102.3000,102.6600,99.8100,-0.0115,-0.0386,-0.0497,-0.0359,-0.0477,37.2918,0.0256,-0.0071,-0.0054,0.0215,-0.2987,1.2903,buy
2021-09-30,102.9000,57636700,102.0800,104.4400,101.9900,0.0254,-0.0306,-0.0313,-0.0082,-0.0260,45.2908,0.0272,-0.0075,-0.0047,0.2732,0.1036,1.3913,hold
2021-10-01,102.4500,41491600,102.6000,103.0000,100.6400,-0.0044,-0.0317,-0.0138,-0.0112,-0.0323,45.1982,0.0263,-0.0083,-0.0044,0.2532,-0.2801,0.9999,sell
2021-10-04,100.3400,41967100,101.7400,101.8500,99.8200,-0.0206,-0.0723,-0.0119,-0.0304,-0.0537,39.4932,0.0262,-0.0107,-0.0053,0.0775,0.0115,1.0121,buy
