date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,184.0207,2217800,186.3882,186.8100,183.8485,-0.0085,-0.0540,-0.0349,-0.0370,-0.0834,32.6350,0.0123,-0.0191,-0.0019,-0.0929,-0.3225,0.9117,buy
2021-09-13,186.5777,2553400,186.8704,188.5836,185.1571,0.0139,-0.0426,-0.0272,-0.0210,-0.0684,34.6315,0.0132,-0.0192,-0.0018,0.1287,0.1513,1.0336,hold
2021-09-14,185.9922,1999300,187.3352,187.6107,185.2001,-0.0031,-0.0239,-0.0361,-0.0205,-0.0689,35.3376,0.0129,-0.0196,-0.0017,0.1235,-0.2170,0.8165,buy
2021-09-15,187.7915,2555600,186.6207,189.3326,185.8372,0.0097,-0.0124,-0.0328,-0.0076,-0.0579,43.7636,0.0132,-0.0186,-0.0007,0.2593,0.2782,1.0461,hold
2021-09-16,187.1286,2695600,187.6968,188.2392,184.2359,-0.0035,0.0083,-0.0268,-0.0084,-0.0593,42.7616,0.0130,-0.0181,-0.0002,0.2369,0.0548,1.1101,buy
2021-09-17,188.8676,5659900,187.0167,189.2981,185.8458,0.0093,0.0263,-0.0291,0.0038,-0.0487,44.1581,0.0127,-0.0166,0.0010,0.3820,1.0997,2.1955,sell
2021-09-20,185.1915,3293000,188.0067,189.2723,184.4770,-0.0195,-0.0074,-0.0497,-0.0107,-0.0649,35.9151,0.0136,-0.0173,0.0005,0.1487,-0.4182,1.2656,hold
2021-09-21,185.4068,2112100,185.7081,187.7657,184.5458,0.0012,-0.0031,-0.0270,-0.0068,-0.0616,33.5278,0.0123,-0.0172,0.0005,0.1963,-0.3586,0.8089,sell
2021-09-22,183.9260,2542800,186.4399,186.4399,183.7710,-0.0080,-0.0206,-0.0327,-0.0114,-0.0667,34.0350,0.0124,-0.0177,0.0000,0.1352,0.2039,0.9601,buy
2021-09-23,185.1399,2181500,182.9532,185.5790,182.7724,0.0066,-0.0106,-0.0025,-0.0046,-0.0583,31.3250,0.0103,-0.0172,0.0004,0.2455,-0.1421,0.8235,sell
2021-09-24,183.9002,1908600,184.8816,185.5531,183.5472,-0.0067,-0.0263,-0.0007,-0.0112,-0.0620,28.9023,0.0102,-0.0174,0.0003,0.1955,-0.1251,0.7335,hold
2021-09-27,183.4697,1943000,183.5903,185.0538,183.1167,-0.0023,-0.0093,-0.0167,-0.0119,-0.0615,33.9947,0.0089,-0.0174,0.0002,0.2008,0.0180,0.7571,sell
2021-09-28,182.7466,2919000,182.7724,184.8902,182.2128,-0.0039,-0.0143,-0.0175,-0.0141,-0.0625,33.5124,0.0089,-0.0176,0.0001,0.1874,0.5023,1.1149,buy
2021-09-29,185.0108,1900800,182.9446,186.6465,182.3850,0.0124,0.0059,-0.0148,-0.0004,-0.0484,48.5483,0.0093,-0.0163,0.0009,0.3513,-0.3488,0.7402,sell
2021-09-30,183.0737,2491900,185.7770,186.5346,182.9618,-0.0105,-0.0112,-0.0217,-0.0087,-0.0558,47.6930,0.0098,-0.0163,0.0009,0.2419,0.3110,0.9743,buy
2021-10-01,184.1671,2629400,183.8829,184.7611,181.4810,0.0060,0.0015,-0.0249,-0.0002,-0.0477,43.6765,0.0094,-0.0154,0.0014,0.3336,0.0552,1.0120,sell
2021-10-04,182.0320,2856300,184.3221,185.6479,181.4552,-0.0116,-0.0078,-0.0171,-0.0101,-0.0559,40.3928,0.0080,-0.0157,0.0010,0.1306,0.0863,1.0747,hold
2021-10-05,182.3936,2481900,181.8340,184.2273,181.7221,0.0020,-0.0019,-0.0163,-0.0065,-0.0513,35.9228,0.0081,-0.0154,0.0010,0.1827,-0.1311,0.9481,sell
2021-10-06,180.7751,2928200,181.9287,182.5830,179.9055,-0.0089,-0.0229,-0.0171,-0.0136,-0.0570,34.2173,0.0081,-0.0159,0.0005,0.0194,0.1798,1.1020,sell
2021-10-07,180.0347,3331700,179.5267,182.9015,179.5267,-0.0041,-0.0166,-0.0276,-0.0149,-0.0580,26.9127,0.0076,-0.0163,0.0001,0.0180,0.1378,1.2525,hold
2021-10-08,179.8883,2349800,180.9042,180.9472,178.7691,-0.0008,-0.0232,-0.0218,-0.0135,-0.0561,33.0023,0.0075,-0.0166,-0.0001,0.0659,-0.2947,0.8812,sell
2021-10-11,177.9512,1982200,179.9830,180.6976,177.8565,-0.0108,-0.0224,-0.0301,-0.0212,-0.0635,28.4791,0.0080,-0.0176,-0.0007,-0.0241,-0.1564,0.7514,sell
2021-10-12,173.8102,3544000,178.5797,178.6916,172.5877,-0.0233,-0.0471,-0.0489,-0.0393,-0.0823,24.6875,0.0102,-0.0204,-0.0025,-0.1682,0.7879,1.3052,buy
2021-10-13,175.2910,3303300,174.6109,176.3930,173.9910,0.0085,-0.0303,-0.0525,-0.0258,-0.0712,25.6802,0.0096,-0.0211,-0.0027,0.0152,-0.0679,1.2000,buy
2021-10-14,178.0201,3015100,176.0486,178.6400,176.0486,0.0156,-0.0112,-0.0276,-0.0079,-0.0550,36.4752,0.0114,-0.0201,-0.0016,0.2263,-0.0872,1.0890,buy
2021-10-15,178.9327,3684600,179.4923,179.9486,177.5466,0.0051,-0.0053,-0.0284,0.0001,-0.0481,39.7908,0.0113,-0.0188,-0.0003,0.3055,0.2220,1.3800,sell
2021-10-18,174.8778,2812500,177.6585,178.2095,174.2924,-0.0227,-0.0173,-0.0393,-0.0186,-0.0675,34.6024,0.0127,-0.0198,-0.0008,0.0686,-0.2367,1.0630,buy
2021-10-19,178.0201,2480500,176.0486,178.1234,174.8347,0.0180,0.0242,-0.0240,0.0015,-0.0490,36.7753,0.0144,-0.0184,0.0003,0.3093,-0.1180,0.9310,buy
2021-10-20,180.4996,2308600,178.5539,182.1611,177.5638,0.0139,0.0297,-0.0015,0.0156,-0.0343,45.2282,0.0151,-0.0160,0.0020,0.4998,-0.0693,0.8703,hold
2021-10-21,179.9227,1921100,180.9214,181.0161,178.7863,-0.0032,0.0107,-0.0006,0.0124,-0.0359,41.9785,0.0151,-0.0144,0.0029,0.4752,-0.1679,0.7278,hold
2021-10-22,180.1380,1349300,180.5340,181.2227,179.5009,0.0012,0.0067,0.0014,0.0135,-0.0332,46.1404,0.0151,-0.0128,0.0035,0.5069,-0.2976,0.5166,sell
2021-10-25,178.7519,1916500,180.3618,180.6373,178.1837,-0.0077,0.0222,0.0045,0.0052,-0.0388,42.8764,0.0148,-0.0122,0.0034,0.4113,0.4204,0.7342,buy
2021-10-26,179.6559,1664400,179.2426,180.7750,178.7519,0.0051,0.0092,0.0336,0.0070,-0.0319,47.7477,0.0123,-0.0110,0.0036,0.4994,-0.1315,0.6533,sell
2021-10-27,177.8479,2003300,180.6804,181.1366,177.1850,-0.0101,-0.0147,0.0146,-0.0046,-0.0395,45.7807,0.0128,-0.0109,0.0031,0.3630,0.2036,0.7848,hold
2021-10-28,178.3559,2166500,178.2870,180.3532,177.0129,0.0029,-0.0087,0.0019,-0.0019,-0.0350,47.0839,0.0118,-0.0104,0.0029,0.4290,0.0815,0.8541,hold
2021-10-29,178.1837,2592300,177.6499,178.8122,175.7990,-0.0010,-0.0108,-0.0042,-0.0025,-0.0343,50.4742,0.0117,-0.0099,0.0027,0.4337,0.1965,1.0228,buy
2021-11-01,180.6115,3105300,179.0704,182.5916,178.8724,0.0136,0.0104,0.0328,0.0079,-0.0199,64.9169,0.0094,-0.0083,0.0033,0.7258,0.1979,1.2192,buy
2021-11-02,184.4598,3329300,181.2313,184.8558,179.1910,0.0213,0.0267,0.0362,0.0257,0.0020,68.2176,0.0101,-0.0052,0.0049,1.1028,0.0721,1.2857,buy
2021-11-03,187.7915,3775600,181.5757,188.7557,180.6201,0.0181,0.0559,0.0404,0.0400,0.0207,68.9609,0.0106,-0.0014,0.0069,1.2035,0.1341,1.4346,sell
