date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,173.4575,47946000,175.0915,175.4225,173.1455,-0.0043,0.0017,0.0462,0.0012,0.0013,81.5326,0.0098,0.0077,0.0068,0.7305,-0.1184,0.8224,sell
2021-09-13,172.8585,51380000,174.1400,174.8980,171.9000,-0.0035,-0.0060,0.0321,-0.0054,-0.0023,75.6490,0.0099,0.0075,0.0053,0.6857,0.0716,0.8737,hold
2021-09-14,172.5000,38738000,173.7775,174.3405,171.8855,-0.0021,-0.0169,0.0083,-0.0082,-0.0040,71.1976,0.0076,0.0071,0.0039,0.6540,-0.2460,0.6746,buy
2021-09-15,173.7895,59150000,172.1260,174.2710,170.1005,0.0075,-0.0141,0.0014,-0.0010,0.0046,74.5722,0.0065,0.0072,0.0032,0.6889,0.5269,1.0378,buy
2021-09-16,174.4120,51672000,172.9980,174.6275,172.3070,0.0036,0.0012,0.0027,0.0024,0.0094,74.2592,0.0065,0.0075,0.0028,0.6975,-0.1264,0.9101,sell
2021-09-17,173.1260,92332000,174.4205,174.8705,172.6065,-0.0074,-0.0019,-0.0002,-0.0050,0.0035,66.2624,0.0068,0.0072,0.0019,0.6182,0.7869,1.6027,sell
2021-09-20,167.7865,93382000,169.8000,170.9500,165.2505,-0.0308,-0.0293,-0.0352,-0.0323,-0.0254,41.3808,0.0117,0.0044,-0.0008,0.2773,0.0114,1.5849,sell
2021-09-21,167.1815,55618000,168.7500,168.9850,166.6195,-0.0036,-0.0308,-0.0472,-0.0312,-0.0267,31.5614,0.0108,0.0018,-0.0027,0.2017,-0.4044,0.9518,buy
2021-09-22,169.0025,48228000,167.5500,169.4500,167.0525,0.0109,-0.0275,-0.0413,-0.0165,-0.0144,36.7370,0.0116,0.0005,-0.0032,0.3008,-0.1329,0.8273,buy
2021-09-23,170.8000,47588000,169.0025,171.4480,169.0025,0.0106,-0.0207,-0.0196,-0.0040,-0.0024,44.0066,0.0121,0.0004,-0.0026,0.4009,-0.0133,0.8067,hold
2021-09-24,171.2760,42324000,170.1005,171.4630,169.6700,0.0028,-0.0107,-0.0126,0.0000,0.0016,43.2253,0.0122,0.0005,-0.0020,0.4063,-0.1106,0.7173,sell
2021-09-27,170.2900,72690000,168.5750,170.7785,166.9805,-0.0058,0.0149,-0.0149,-0.0042,-0.0032,36.2443,0.0122,0.0002,-0.0019,0.2826,0.7175,1.2067,sell
2021-09-28,165.7980,88616000,167.8855,168.4595,164.5050,-0.0264,-0.0083,-0.0389,-0.0267,-0.0282,26.7074,0.0146,-0.0023,-0.0035,-0.0593,0.2191,1.4414,sell
2021-09-29,165.0560,51246000,166.1055,167.5650,164.8935,-0.0045,-0.0234,-0.0503,-0.0261,-0.0310,28.3794,0.0140,-0.0046,-0.0046,-0.0167,-0.4217,0.8586,sell
2021-09-30,164.2520,56848000,165.8000,166.3925,163.6995,-0.0049,-0.0383,-0.0583,-0.0250,-0.0340,28.3078,0.0137,-0.0067,-0.0054,0.0124,0.1093,0.9652,hold
2021-10-01,164.1630,56712000,164.4505,165.4585,162.7970,-0.0005,-0.0415,-0.0518,-0.0203,-0.0325,29.0050,0.0138,-0.0083,-0.0056,0.0732,-0.0024,0.9643,sell
2021-10-04,159.4890,90462000,163.9695,163.9995,158.8125,-0.0285,-0.0634,-0.0495,-0.0434,-0.0575,24.0030,0.0133,-0.0121,-0.0075,-0.0812,0.5951,1.4889,buy
2021-10-05,161.0500,65384000,160.2250,163.0365,160.1230,0.0098,-0.0286,-0.0367,-0.0305,-0.0455,24.8186,0.0141,-0.0139,-0.0074,0.0666,-0.2772,1.0668,buy
2021-10-06,163.1005,50660000,160.6765,163.2170,159.9310,0.0127,-0.0118,-0.0349,-0.0147,-0.0313,28.8360,0.0143,-0.0140,-0.0061,0.2021,-0.2252,0.8337,buy
2021-10-07,165.1215,48182000,164.5770,166.2875,164.1530,0.0124,0.0053,-0.0332,0.0010,-0.0174,35.4244,0.0145,-0.0129,-0.0041,0.3297,-0.0489,0.7970,hold
2021-10-08,164.4310,39964000,165.8500,166.0715,164.4100,-0.0042,0.0016,-0.0400,0.0009,-0.0197,42.6445,0.0144,-0.0124,-0.0028,0.3125,-0.1706,0.6654,sell
2021-10-11,162.3150,40684000,163.7500,164.6295,161.9050,-0.0129,0.0177,-0.0468,-0.0071,-0.0318,39.9951,0.0146,-0.0130,-0.0027,0.2227,0.0180,0.6835,hold
2021-10-12,162.3665,36392000,162.8500,163.3765,161.8140,0.0003,0.0082,-0.0207,-0.0047,-0.0310,35.2867,0.0125,-0.0132,-0.0023,0.2511,-0.1055,0.6126,buy
2021-10-13,164.2140,48402000,163.4855,164.4190,163.0545,0.0114,0.0068,-0.0051,0.0071,-0.0195,35.4299,0.0132,-0.0122,-0.0011,0.3751,0.3300,0.8222,buy
2021-10-14,164.9930,42190000,165.1225,165.6300,164.5390,0.0047,-0.0008,0.0045,0.0115,-0.0145,36.2840,0.0131,-0.0109,0.0001,0.4450,-0.1283,0.7225,buy
2021-10-15,170.4510,103598000,165.5710,170.5210,165.2000,0.0331,0.0366,0.0383,0.0409,0.0179,50.2941,0.0167,-0.0069,0.0030,0.8545,1.4555,1.7571,buy
2021-10-18,172.3370,63482000,169.4180,172.4585,169.2550,0.0111,0.0617,0.0806,0.0442,0.0285,63.1994,0.0122,-0.0031,0.0053,0.9392,-0.3872,1.1047,hold
2021-10-19,172.2075,47722000,171.7145,172.7345,171.1000,-0.0008,0.0606,0.0693,0.0364,0.0271,64.8018,0.0125,-0.0002,0.0066,0.8863,-0.2483,0.8362,sell
2021-10-20,170.7530,42796000,172.6330,173.1430,170.0185,-0.0084,0.0398,0.0469,0.0230,0.0178,63.1026,0.0132,0.0014,0.0066,0.7821,-0.1032,0.7535,buy
2021-10-21,171.7505,37628000,170.7125,172.0140,170.1500,0.0058,0.0410,0.0401,0.0249,0.0229,64.7522,0.0129,0.0031,0.0066,0.8360,-0.1208,0.6684,sell
2021-10-22,166.7775,62782000,171.0500,171.4920,166.5650,-0.0290,-0.0216,0.0143,-0.0062,-0.0069,64.0080,0.0165,0.0021,0.0046,0.5468,0.6685,1.0953,hold
2021-10-25,166.0185,44520000,166.7500,167.3900,164.8850,-0.0046,-0.0367,0.0228,-0.0129,-0.0116,59.8528,0.0159,0.0009,0.0028,0.5123,-0.2909,0.7962,buy
2021-10-26,168.8035,53966000,167.4755,170.8060,167.1990,0.0168,-0.0198,0.0396,-0.0002,0.0046,60.9893,0.0165,0.0013,0.0025,0.6839,0.2122,0.9960,hold
2021-10-27,169.6245,54044000,169.4000,171.8500,168.5725,0.0049,-0.0066,0.0329,0.0015,0.0085,59.0977,0.0163,0.0020,0.0025,0.7181,0.0014,0.9949,buy
2021-10-28,172.3285,114174000,170.1050,173.9500,169.3000,0.0159,0.0034,0.0445,0.0131,0.0231,64.7553,0.0168,0.0037,0.0034,0.8474,1.1126,1.9965,sell
2021-10-29,168.6215,129722000,165.0010,168.7410,163.6660,-0.0215,0.0111,-0.0107,-0.0077,0.0000,61.1216,0.0153,0.0034,0.0024,0.6090,0.1362,2.1323,sell
2021-11-01,165.9055,72178000,168.0900,168.7930,164.6010,-0.0161,-0.0007,-0.0373,-0.0199,-0.0168,55.7049,0.0153,0.0017,0.0006,0.4158,-0.4436,1.2045,hold
2021-11-02,165.6375,52552000,165.7505,166.5560,164.1775,-0.0016,-0.0188,-0.0382,-0.0177,-0.0186,52.4178,0.0153,0.0003,-0.0006,0.3734,-0.2719,0.8865,buy
2021-11-03,169.2000,67944000,165.4500,169.7460,164.8760,0.0215,-0.0025,-0.0091,0.0044,0.0020,56.5283,0.0171,0.0009,-0.0001,0.6133,0.2929,1.1296,buy
2021-11-04,173.8500,107060000,168.5000,174.9315,168.2500,0.0275,0.0088,0.0122,0.0307,0.0285,55.4102,0.0193,0.0034,0.0020,0.9046,0.5757,1.6969,buy
2021-11-05,175.9495,99940000,173.8500,178.3125,173.8490,0.0121,0.0435,0.0550,0.0375,0.0396,55.7112,0.0162,0.0062,0.0039,0.9732,-0.0665,1.5122,sell
2021-11-08,174.4490,61480000,176.1620,178.9500,174.3930,-0.0085,0.0515,0.0508,0.0235,0.0299,53.3965,0.0165,0.0078,0.0044,0.8451,-0.3848,0.9159,buy
2021-11-09,178.8115,85898000,175.7625,179.6885,175.0715,0.0250,0.0795,0.0593,0.0430,0.0547,61.2218,0.0174,0.0106,0.0058,1.0538,0.3972,1.2341,sell
2021-11-10,174.1025,80548000,178.1935,180.2725,173.1545,-0.0263,0.0290,0.0264,0.0129,0.0269,52.9684,0.0202,0.0111,0.0049,0.7315,-0.0623,1.1311,hold
2021-11-11,173.6250,45288000,175.6500,177.1620,173.3735,-0.0027,-0.0013,0.0075,0.0094,0.0241,59.7483,0.0197,0.0109,0.0038,0.6801,-0.4378,0.6346,buy
2021-11-12,176.2575,53788000,174.2500,177.0365,172.3525,0.0152,0.0018,0.0453,0.0201,0.0392,63.8384,0.0184,0.0116,0.0037,0.8280,0.1877,0.7809,buy
2021-11-15,177.2840,58594000,176.8500,179.6940,176.2905,0.0058,0.0163,0.0686,0.0194,0.0449,62.0337,0.0169,0.0126,0.0037,0.8584,0.0894,0.8538,hold
2021-11-16,177.0350,44342000,176.9500,178.8250,176.2575,-0.0014,-0.0099,0.0688,0.0113,0.0432,60.6889,0.0169,0.0131,0.0034,0.8132,-0.2432,0.6477,hold
2021-11-17,177.4500,51206000,178.2360,179.3625,177.2675,0.0023,0.0192,0.0488,0.0089,0.0455,57.9095,0.0161,0.0136,0.0031,0.8052,0.1548,0.7434,buy
2021-11-18,184.8030,114070000,178.3175,185.2100,178.0500,0.0414,0.0644,0.0630,0.0442,0.0875,72.4609,0.0187,0.0164,0.0051,1.0803,1.2277,1.5689,hold
2021-11-19,183.8285,98734000,185.6345,188.1075,183.7860,-0.0053,0.0430,0.0448,0.0341,0.0804,76.1421,0.0189,0.0186,0.0057,0.9610,-0.1344,1.3252,sell
2021-11-22,178.6285,96844000,183.8190,185.6730,178.3750,-0.0283,0.0076,0.0240,0.0025,0.0492,66.5651,0.0213,0.0182,0.0040,0.7038,-0.0191,1.2558,hold
2021-11-23,179.0020,73804000,179.2520,181.0525,176.3855,0.0021,0.0111,0.0011,0.0045,0.0505,63.6052,0.0198,0.0174,0.0026,0.6999,-0.2379,0.9449,hold
2021-11-24,179.0205,46560000,178.1335,180.6820,176.8425,0.0001,0.0089,0.0282,0.0018,0.0500,58.2355,0.0175,0.0167,0.0015,0.6807,-0.3691,0.5989,sell
2021-11-26,175.2280,59826000,180.1050,181.6750,175.2075,-0.0212,-0.0518,0.0092,-0.0203,0.0277,48.9096,0.0190,0.0145,-0.0008,0.4899,0.2849,0.7975,buy
2021-11-29,178.0785,65312000,177.3820,179.8000,176.5750,0.0163,-0.0313,0.0103,-0.0053,0.0438,55.2702,0.0191,0.0134,-0.0013,0.6111,0.0917,0.9097,sell
2021-11-30,175.3535,80022000,178.1750,179.2885,174.6005,-0.0153,-0.0183,-0.0109,-0.0195,0.0269,44.7282,0.0197,0.0116,-0.0027,0.4401,0.2252,1.1085,sell
2021-12-01,172.1860,74916000,177.2500,177.9940,172.0800,-0.0181,-0.0381,-0.0274,-0.0346,0.0078,46.9342,0.0204,0.0085,-0.0048,0.1878,-0.0638,1.0219,hold
2021-12-02,171.8680,64726000,173.0000,174.6350,171.1875,-0.0018,-0.0400,-0.0315,-0.0334,0.0056,47.1749,0.0204,0.0058,-0.0061,0.1311,-0.1360,0.8849,sell
2021-12-03,169.4895,80712000,172.7500,173.4935,166.9300,-0.0138,-0.0327,-0.0829,-0.0385,-0.0082,39.0279,0.0132,0.0024,-0.0077,0.0178,0.2470,1.1236,buy
2021-12-06,171.3685,68860000,169.6500,173.6955,166.9345,0.0111,-0.0377,-0.0678,-0.0209,0.0028,40.6679,0.0146,0.0006,-0.0075,0.1762,-0.1468,0.9798,buy
2021-12-07,176.1645,66410000,174.6000,177.4995,173.3345,0.0280,0.0046,-0.0138,0.0079,0.0301,48.7990,0.0162,0.0014,-0.0052,0.4796,-0.0356,0.9417,hold
2021-12-08,176.1580,45254000,176.1505,177.1800,174.7505,-0.0000,0.0231,-0.0159,0.0096,0.0288,48.1972,0.0162,0.0020,-0.0037,0.4876,-0.3186,0.6607,sell
2021-12-09,174.1710,46062000,175.7500,176.9695,174.1395,-0.0113,0.0134,-0.0271,0.0009,0.0162,32.5516,0.0164,0.0016,-0.0033,0.3571,0.0179,0.6899,sell
2021-12-10,172.2120,60690000,175.4170,175.9270,170.5000,-0.0112,0.0161,-0.0172,-0.0086,0.0038,31.5327,0.0155,0.0003,-0.0037,0.2378,0.3176,0.8986,sell
2021-12-13,169.5675,62170000,172.0000,172.1000,169.1300,-0.0154,-0.0105,-0.0478,-0.0190,-0.0122,34.3214,0.0146,-0.0020,-0.0048,0.1166,0.0244,0.9149,hold
2021-12-14,169.0915,55976000,167.5500,169.4990,166.4400,-0.0028,-0.0401,-0.0357,-0.0182,-0.0161,32.9121,0.0141,-0.0039,-0.0055,0.1351,-0.0996,0.8253,buy
2021-12-15,173.3150,75794000,168.5980,173.6000,165.1950,0.0250,-0.0161,0.0066,0.0057,0.0070,41.4083,0.0157,-0.0034,-0.0039,0.3851,0.3540,1.0922,sell
2021-12-16,168.8710,60876000,173.3685,174.1660,168.1605,-0.0256,-0.0304,-0.0174,-0.0184,-0.0195,40.6114,0.0178,-0.0052,-0.0045,0.1729,-0.1968,0.8711,buy
2021-12-17,170.0175,85542000,167.7105,170.8985,165.6135,0.0068,-0.0127,0.0031,-0.0121,-0.0134,37.4638,0.0174,-0.0058,-0.0042,0.2470,0.4052,1.2496,sell
