date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,820.4914,1137400,832.0221,836.2445,819.0871,0.0063,-0.0028,0.0591,0.0105,0.1157,79.7792,0.0119,0.0304,0.0011,0.7929,0.7719,1.9006,buy
2021-09-13,832.3086,636000,830.3788,833.2353,822.5644,0.0144,0.0153,0.0460,0.0205,0.1261,77.6993,0.0099,0.0304,0.0012,0.8480,-0.4408,1.0469,buy
2021-09-14,848.3868,978300,844.3267,855.8955,840.3717,0.0193,0.0305,0.0577,0.0343,0.1420,84.8108,0.0109,0.0313,0.0022,0.9187,0.5382,1.5404,hold
2021-09-15,849.5904,799700,847.3549,850.2400,840.1423,0.0014,0.0365,0.0676,0.0290,0.1376,84.6815,0.0100,0.0322,0.0025,0.8878,-0.1826,1.2286,hold
2021-09-16,847.6606,811400,837.9451,850.0203,836.3211,-0.0023,0.0396,0.0536,0.0214,0.1294,82.8077,0.0102,0.0324,0.0021,0.8482,0.0146,1.2131,sell
2021-09-17,821.4276,1670500,835.9962,836.1968,814.3201,-0.0309,0.0011,-0.0017,-0.0101,0.0893,61.0486,0.0136,0.0307,-0.0005,0.6181,1.0588,2.2988,sell
2021-09-20,803.1716,1122600,801.3948,807.7094,792.6250,-0.0222,-0.0350,-0.0202,-0.0301,0.0610,50.4282,0.0153,0.0270,-0.0039,0.4249,-0.3280,1.4821,buy
2021-09-21,816.5363,905700,821.5708,823.8349,806.7539,0.0166,-0.0375,-0.0082,-0.0132,0.0747,57.6508,0.0163,0.0242,-0.0050,0.5404,-0.1932,1.1816,buy
2021-09-22,826.0991,669400,813.7660,832.7003,811.5019,0.0117,-0.0277,0.0079,-0.0024,0.0830,57.9121,0.0167,0.0227,-0.0049,0.6232,-0.2609,0.8612,buy
2021-09-23,840.4672,744500,838.1839,849.0076,838.0598,0.0174,-0.0085,0.0308,0.0119,0.0973,56.6758,0.0173,0.0225,-0.0037,0.7766,0.1122,0.9413,sell
2021-09-24,829.9966,510400,828.6019,834.3338,826.4620,-0.0125,0.0104,0.0116,-0.0019,0.0792,53.6590,0.0179,0.0216,-0.0039,0.6250,-0.3144,0.6428,sell
2021-09-27,797.9841,1063900,805.5980,809.9924,795.8251,-0.0386,-0.0065,-0.0412,-0.0364,0.0338,42.4915,0.0212,0.0181,-0.0067,0.1338,1.0844,1.3066,sell
2021-09-28,745.3082,2390100,759.3227,763.6216,738.5255,-0.0660,-0.0872,-0.1215,-0.0887,-0.0367,32.9012,0.0271,0.0099,-0.0134,-0.2893,1.2465,2.6289,sell
2021-09-29,716.8876,2216000,749.9224,751.0974,715.6457,-0.0381,-0.1322,-0.1562,-0.1090,-0.0750,29.6140,0.0277,-0.0007,-0.0200,-0.2577,-0.0728,2.2361,hold
2021-09-30,711.8148,1078800,720.5464,728.2558,709.1208,-0.0071,-0.1531,-0.1603,-0.1001,-0.0821,27.4965,0.0275,-0.0100,-0.0235,-0.1199,-0.5132,1.0620,hold
2021-10-01,708.6622,1180400,711.7096,711.7096,695.8227,-0.0044,-0.1462,-0.1373,-0.0911,-0.0864,23.4438,0.0273,-0.0176,-0.0249,-0.0260,0.0942,1.1377,sell
2021-10-04,681.0823,1663500,696.3292,697.5328,677.3471,-0.0389,-0.1465,-0.1520,-0.1126,-0.1212,15.7588,0.0283,-0.0275,-0.0281,-0.0488,0.4093,1.5320,buy
2021-10-05,700.1218,1201500,692.6416,709.4456,690.3298,0.0280,-0.0606,-0.1426,-0.0737,-0.0962,21.4905,0.0299,-0.0312,-0.0255,0.0990,-0.2777,1.0855,hold
2021-10-06,699.7682,973000,692.9664,701.8700,686.8811,-0.0005,-0.0239,-0.1529,-0.0585,-0.0963,21.6205,0.0289,-0.0345,-0.0229,0.1432,-0.1902,0.8689,buy
2021-10-07,713.4484,1267500,712.1013,719.9922,709.0634,0.0195,0.0023,-0.1511,-0.0234,-0.0784,28.2308,0.0292,-0.0344,-0.0185,0.2286,0.3027,1.1012,sell
2021-10-08,697.6379,1039700,715.8749,716.2379,696.7399,-0.0222,-0.0156,-0.1595,-0.0274,-0.0980,28.5120,0.0293,-0.0370,-0.0166,0.1988,-0.1797,0.9071,sell
2021-10-11,689.6324,702500,690.4826,702.9495,689.1260,-0.0115,0.0126,-0.1358,-0.0238,-0.1074,23.5842,0.0283,-0.0394,-0.0150,0.2008,-0.3243,0.6112,hold
2021-10-12,692.6511,868400,701.2012,701.2012,690.1196,0.0044,-0.0107,-0.0707,-0.0122,-0.1025,21.4441,0.0220,-0.0400,-0.0125,0.2387,0.2362,0.7591,buy
2021-10-13,711.1556,1170000,709.9424,715.9705,706.9332,0.0267,0.0163,-0.0080,0.0151,-0.0777,22.8105,0.0213,-0.0370,-0.0082,0.3306,0.3473,1.0065,buy
