date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,45.3507,16110000,45.2506,46.0645,45.2014,0.0094,0.0127,0.0255,0.0049,0.0321,74.2507,0.0091,0.0087,0.0012,0.7771,0.2229,1.1353,hold
2021-09-13,45.4245,14927000,45.7012,45.7440,44.9055,0.0016,0.0026,0.0061,0.0059,0.0325,70.1785,0.0064,0.0090,0.0012,0.7727,-0.0734,1.0289,buy
2021-09-14,45.6894,14134000,45.7012,46.0126,45.3698,0.0058,0.0106,0.0060,0.0111,0.0371,73.8786,0.0064,0.0095,0.0014,0.8167,-0.0531,0.9579,buy
2021-09-15,46.4059,23346000,45.7121,46.4933,45.4663,0.0157,0.0311,0.0252,0.0244,0.0517,77.0384,0.0078,0.0110,0.0024,0.9473,0.6518,1.5463,sell
2021-09-16,46.1883,17569000,45.9925,46.3521,45.5383,-0.0047,0.0281,0.0288,0.0167,0.0452,72.1640,0.0073,0.0118,0.0025,0.8711,-0.2475,1.1562,sell
2021-09-17,46.0654,34470000,45.8806,46.2129,45.6102,-0.0027,0.0158,0.0287,0.0111,0.0409,62.6065,0.0073,0.0120,0.0022,0.8180,0.9620,2.1256,sell
2021-09-20,45.0476,30105000,45.4281,45.7922,44.4667,-0.0221,-0.0083,-0.0057,-0.0106,0.0173,45.7718,0.0101,0.0106,0.0004,0.4796,-0.1266,1.7481,hold
2021-09-21,45.0265,16935000,45.2557,45.2796,44.6606,-0.0005,-0.0145,-0.0040,-0.0107,0.0164,47.1920,0.0101,0.0090,-0.0009,0.4489,-0.4375,0.9799,buy
2021-09-22,45.9068,20610000,45.3254,46.1278,45.1393,0.0196,-0.0108,0.0200,0.0067,0.0354,60.6101,0.0117,0.0091,-0.0005,0.7686,0.2170,1.1551,buy
2021-09-23,46.2471,18370000,46.0829,46.5213,45.9068,0.0074,0.0013,0.0294,0.0112,0.0420,64.6916,0.0117,0.0097,0.0002,0.8898,-0.1087,1.0061,hold
2021-09-24,46.3039,10605000,46.0609,46.3571,45.9289,0.0012,0.0052,0.0210,0.0103,0.0419,61.0233,0.0115,0.0102,0.0005,0.8923,-0.4227,0.5812,hold
2021-09-27,46.2975,9831000,45.8326,46.3865,45.6125,-0.0001,0.0277,0.0192,0.0083,0.0400,62.3032,0.0115,0.0105,0.0007,0.8460,-0.0730,0.5487,sell
2021-09-28,45.0292,20124000,45.5776,45.9857,44.9852,-0.0274,0.0001,-0.0144,-0.0179,0.0104,50.1977,0.0147,0.0087,-0.0012,0.2814,1.0470,1.1216,hold
2021-09-29,44.8880,15783000,45.2686,45.3273,44.7202,-0.0031,-0.0222,-0.0327,-0.0178,0.0062,49.6534,0.0134,0.0067,-0.0026,0.2339,-0.2157,0.8836,sell
2021-09-30,44.4707,15735000,45.3502,45.3502,44.4295,-0.0093,-0.0384,-0.0372,-0.0232,-0.0036,42.0654,0.0135,0.0043,-0.0040,0.0839,-0.0030,0.8732,buy
2021-10-01,44.6927,16052000,44.7385,44.8128,43.7894,0.0050,-0.0348,-0.0298,-0.0154,0.0008,43.5733,0.0138,0.0027,-0.0044,0.1804,0.0201,0.8931,sell
