date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,149.3607,2943700,151.6662,151.9391,149.0501,-0.0042,-0.0205,-0.0410,-0.0211,-0.0510,47.9668,0.0134,-0.0138,-0.0026,0.1907,-0.1068,0.8294,buy
2021-09-13,151.9297,3192500,151.1675,152.2591,150.3299,0.0172,0.0135,-0.0427,0.0002,-0.0340,51.8275,0.0131,-0.0126,-0.0013,0.4239,0.0845,0.9119,sell
2021-09-14,150.0759,4281500,153.0872,156.0514,149.4171,-0.0122,-0.0015,-0.0291,-0.0091,-0.0448,46.9909,0.0111,-0.0128,-0.0011,0.2847,0.3411,1.2155,buy
2021-09-15,151.8262,2933100,150.5840,152.7390,149.8218,0.0117,0.0152,-0.0278,0.0053,-0.0327,40.4948,0.0113,-0.0116,-0.0000,0.4526,-0.3149,0.8922,buy
2021-09-16,153.0401,2765000,153.4824,154.7998,152.6354,0.0080,0.0203,-0.0110,0.0145,-0.0240,44.4784,0.0115,-0.0100,0.0012,0.5601,-0.0573,0.8514,buy
2021-09-17,154.2540,6390600,152.0426,154.5646,152.0426,0.0079,0.0328,0.0115,0.0214,-0.0158,40.2394,0.0107,-0.0079,0.0025,0.6516,1.3112,1.9051,sell
2021-09-20,151.1016,5976900,149.9629,152.5790,148.6361,-0.0204,-0.0055,0.0080,-0.0003,-0.0346,42.0440,0.0114,-0.0081,0.0021,0.3570,-0.0647,1.7079,buy
2021-09-21,153.6424,3480600,152.3626,155.5997,152.1555,0.0168,0.0238,0.0222,0.0143,-0.0172,44.4399,0.0125,-0.0066,0.0027,0.5811,-0.4177,0.9741,buy
2021-09-22,157.6135,3562800,155.8538,158.6769,155.1763,0.0258,0.0381,0.0539,0.0350,0.0089,55.6712,0.0142,-0.0033,0.0047,0.8960,0.0236,0.9808,buy
2021-09-23,163.1374,4399200,159.4956,163.8337,159.3262,0.0350,0.0660,0.0876,0.0621,0.0441,68.6203,0.0170,0.0020,0.0077,1.1782,0.2348,1.1976,buy
2021-09-24,165.3582,2680400,163.1468,165.6217,163.0809,0.0136,0.0720,0.1071,0.0655,0.0580,77.3850,0.0164,0.0069,0.0101,1.1437,-0.3907,0.7345,buy
2021-09-27,166.3463,3703300,167.1933,168.2566,165.9323,0.0060,0.1009,0.0949,0.0620,0.0634,77.8505,0.0163,0.0112,0.0115,1.0849,0.3816,1.0052,sell
2021-09-28,162.9304,3862200,165.1418,166.7886,162.5069,-0.0205,0.0605,0.0857,0.0317,0.0403,71.2407,0.0176,0.0131,0.0107,0.8737,0.0429,1.0304,sell
2021-09-29,161.4247,2726100,162.6951,162.7798,160.3519,-0.0092,0.0242,0.0632,0.0160,0.0304,67.5628,0.0184,0.0136,0.0089,0.7835,-0.2942,0.7352,sell
2021-09-30,157.6512,3088200,162.0270,162.1964,157.5382,-0.0234,-0.0336,0.0301,-0.0106,0.0069,61.6135,0.0206,0.0122,0.0059,0.6112,0.1328,0.8271,buy
2021-10-01,163.6832,3956000,158.5639,164.7936,158.5451,0.0383,-0.0101,0.0611,0.0212,0.0450,65.0084,0.0235,0.0132,0.0057,0.8338,0.2810,1.0652,sell
2021-10-04,162.4787,3613900,163.6267,166.7792,161.7447,-0.0074,-0.0233,0.0753,0.0065,0.0374,66.1046,0.0221,0.0137,0.0050,0.7565,-0.0865,0.9809,buy
2021-10-05,164.4548,2629400,163.2033,165.6782,162.4598,0.0122,0.0094,0.0704,0.0120,0.0497,66.3023,0.0220,0.0147,0.0048,0.8045,-0.2724,0.7250,sell
2021-10-06,163.1750,2922200,162.3751,164.5866,159.8814,-0.0078,0.0108,0.0353,0.0007,0.0415,63.0609,0.0213,0.0149,0.0040,0.7287,0.1114,0.8072,buy
2021-10-07,164.4203,3578800,165.5617,166.8542,163.8637,0.0076,0.0429,0.0079,0.0075,0.0489,63.0906,0.0184,0.0153,0.0036,0.7550,0.2247,0.9847,hold
2021-10-08,165.2316,2375300,164.0052,166.9579,163.7033,0.0049,0.0095,-0.0008,0.0126,0.0536,69.3620,0.0179,0.0159,0.0033,0.7654,-0.3363,0.6587,sell
2021-10-11,163.6373,2499200,165.8353,166.7787,163.5146,-0.0096,0.0071,-0.0163,0.0045,0.0430,64.0605,0.0181,0.0156,0.0023,0.6754,0.0522,0.6998,buy
2021-10-12,165.0051,3069500,163.7788,166.5617,163.2976,0.0084,0.0033,0.0127,0.0116,0.0509,61.2201,0.0169,0.0155,0.0019,0.7190,0.2282,0.8743,sell
2021-10-13,159.1657,5608100,162.9958,164.2316,157.6186,-0.0354,-0.0246,-0.0140,-0.0229,0.0137,44.0284,0.0204,0.0131,-0.0008,0.4086,0.8270,1.5388,buy
2021-10-14,161.7977,3061900,161.3166,162.6184,160.1940,0.0165,-0.0160,0.0263,-0.0092,0.0300,44.7120,0.0195,0.0117,-0.0016,0.5272,-0.4540,0.8368,buy
2021-10-15,165.8542,3043900,163.9297,167.7032,163.3448,0.0251,0.0038,0.0133,0.0143,0.0550,49.3301,0.0171,0.0124,-0.0005,0.7403,-0.0059,0.8717,buy
2021-10-18,166.8070,2623300,165.6372,167.5523,164.4580,0.0057,0.0194,0.0266,0.0174,0.0603,55.6558,0.0169,0.0133,0.0004,0.8055,-0.1382,0.7891,hold
2021-10-19,167.2692,1400100,167.6655,167.9202,166.2787,0.0028,0.0137,0.0171,0.0185,0.0624,58.7947,0.0166,0.0142,0.0011,0.8521,-0.4663,0.4348,buy
2021-10-20,169.4296,2398500,166.9296,169.5900,166.2316,0.0129,0.0645,0.0383,0.0277,0.0747,68.6282,0.0165,0.0155,0.0021,0.9999,0.7131,0.7585,sell
2021-10-21,167.4202,3313800,169.4107,169.6088,166.0429,-0.0119,0.0348,0.0182,0.0137,0.0611,56.7720,0.0172,0.0158,0.0017,0.7863,0.3816,1.0663,buy
2021-10-22,176.4860,6026100,174.5238,178.3256,171.8823,0.0542,0.0641,0.0681,0.0613,0.1160,69.7547,0.0239,0.0190,0.0045,1.2441,0.8185,1.8400,sell
2021-10-25,171.9861,3889600,176.1558,176.6086,171.5333,-0.0255,0.0310,0.0510,0.0291,0.0854,59.9156,0.0256,0.0204,0.0044,0.9092,-0.3545,1.1843,hold
2021-10-26,170.7032,3832200,173.0333,173.1088,167.4674,-0.0075,0.0205,0.0345,0.0180,0.0753,59.9106,0.0258,0.0204,0.0035,0.8003,-0.0148,1.1674,sell
2021-10-27,167.9485,3309900,169.9012,173.3257,167.8353,-0.0161,-0.0087,0.0552,-0.0037,0.0562,54.4673,0.0232,0.0191,0.0015,0.6277,-0.1363,0.9994,sell
2021-10-28,164.7222,4865700,168.2975,169.0805,163.2222,-0.0192,-0.0161,0.0181,-0.0245,0.0343,49.3922,0.0240,0.0164,-0.0013,0.4131,0.4700,1.4307,hold
2021-10-29,163.9391,3455400,165.6844,166.6655,163.2410,-0.0048,-0.0711,-0.0115,-0.0281,0.0276,50.3673,0.0227,0.0134,-0.0034,0.3620,-0.2898,1.0236,hold
2021-11-01,164.3448,2250400,164.6938,166.0995,163.5241,0.0025,-0.0444,-0.0148,-0.0242,0.0283,49.1773,0.0226,0.0111,-0.0046,0.3799,-0.3487,0.6804,hold
2021-11-02,163.3637,3252900,165.0901,165.2788,162.7977,-0.0060,-0.0430,-0.0233,-0.0278,0.0206,55.9508,0.0226,0.0087,-0.0056,0.3211,0.4455,0.9743,hold
2021-11-03,162.8354,3831200,162.9203,163.9863,162.0241,-0.0032,-0.0304,-0.0389,-0.0271,0.0159,51.5642,0.0220,0.0065,-0.0063,0.2889,0.1778,1.1321,hold
2021-11-04,162.7600,3315400,162.3827,164.1656,161.9393,-0.0005,-0.0119,-0.0278,-0.0249,0.0146,44.6995,0.0218,0.0046,-0.0066,0.2923,-0.1346,0.9835,buy
2021-11-05,166.6843,3936000,166.2032,167.7220,165.4202,0.0241,0.0167,-0.0555,0.0046,0.0377,49.8093,0.0136,0.0049,-0.0048,0.5366,0.1872,1.1411,buy
2021-11-08,169.8541,3392000,167.9862,171.7786,167.7221,0.0190,0.0335,-0.0124,0.0250,0.0559,53.7067,0.0137,0.0065,-0.0024,0.7158,-0.1382,0.9709,hold
2021-11-09,169.6748,3203300,169.5805,170.9295,168.3258,-0.0011,0.0386,-0.0060,0.0245,0.0528,50.3729,0.0135,0.0077,-0.0010,0.6875,-0.0556,0.9151,buy
2021-11-10,171.1182,3296700,169.2032,173.0899,169.2032,0.0085,0.0509,0.0189,0.0313,0.0598,55.7210,0.0126,0.0092,0.0004,0.7588,0.0292,0.9739,hold
2021-11-11,171.0333,2119700,171.6842,172.3823,170.5050,-0.0005,0.0508,0.0383,0.0269,0.0572,38.3185,0.0103,0.0102,0.0012,0.7310,-0.3570,0.6351,buy
2021-11-12,171.5899,2390200,170.4767,172.0522,169.4768,0.0033,0.0294,0.0467,0.0255,0.0581,48.9787,0.0098,0.0112,0.0017,0.7448,0.1276,0.7232,buy
2021-11-15,172.7597,1748300,172.1936,173.5143,171.7314,0.0068,0.0171,0.0512,0.0273,0.0623,55.3326,0.0098,0.0122,0.0023,0.7933,-0.2686,0.5361,sell
2021-11-16,170.6748,3299200,173.0144,173.0144,169.5616,-0.0121,0.0059,0.0448,0.0105,0.0469,57.3240,0.0107,0.0122,0.0017,0.6441,0.8871,0.9830,sell
2021-11-17,169.4390,3543500,170.9201,171.4484,168.1088,-0.0072,-0.0098,0.0406,-0.0007,0.0368,64.1883,0.0111,0.0114,0.0007,0.5634,0.0740,1.0381,sell
2021-11-18,166.2315,4011500,169.8069,170.1559,165.8825,-0.0189,-0.0281,0.0213,-0.0216,0.0151,56.0178,0.0133,0.0093,-0.0014,0.3590,0.1321,1.1633,sell
2021-11-19,163.7127,4456500,163.8920,165.3448,162.1090,-0.0152,-0.0459,-0.0178,-0.0348,-0.0020,48.5064,0.0118,0.0062,-0.0037,0.2095,0.1109,1.3224,sell
2021-11-22,161.2222,4651700,165.0806,165.3259,161.2128,-0.0152,-0.0668,-0.0508,-0.0446,-0.0183,45.2767,0.0099,0.0024,-0.0061,0.0866,0.0438,1.3649,hold
2021-11-23,161.1751,5890300,161.5996,162.2128,158.3261,-0.0003,-0.0557,-0.0501,-0.0400,-0.0199,46.2585,0.0099,-0.0007,-0.0073,0.1306,0.2663,1.6777,buy
2021-11-24,161.8920,3590600,158.9393,162.2411,158.3921,0.0044,-0.0445,-0.0539,-0.0304,-0.0167,48.0991,0.0094,-0.0027,-0.0075,0.2089,-0.3904,1.0186,sell
2021-11-26,147.9396,6804200,155.7412,155.8827,145.7509,-0.0862,-0.1100,-0.1350,-0.1016,-0.1009,21.4758,0.0270,-0.0122,-0.0139,-0.2754,0.8950,1.8786,hold
2021-11-29,148.9207,6258500,151.6470,152.2696,145.6000,0.0066,-0.0904,-0.1321,-0.0830,-0.0944,15.8721,0.0272,-0.0187,-0.0163,-0.0851,-0.0802,1.6636,sell
2021-11-30,143.6755,7444900,146.3075,147.0434,143.1095,-0.0352,-0.1088,-0.1684,-0.0991,-0.1255,13.6220,0.0270,-0.0273,-0.0199,-0.1071,0.1896,1.8511,sell
2021-12-01,141.5624,6145500,147.2604,148.1754,141.4020,-0.0147,-0.1217,-0.1706,-0.0959,-0.1371,9.4066,0.0269,-0.0350,-0.0219,-0.0469,-0.1745,1.4750,buy
2021-12-02,147.8924,6289300,143.0906,148.9678,142.8831,0.0447,-0.0865,-0.1272,-0.0423,-0.0974,22.8710,0.0335,-0.0351,-0.0181,0.1556,0.0234,1.4663,hold
2021-12-03,147.1094,4069300,149.1282,149.3641,144.9302,-0.0053,-0.0056,-0.1150,-0.0354,-0.1004,21.4521,0.0335,-0.0366,-0.0156,0.1723,-0.3530,0.9404,buy
2021-12-06,151.5809,4141900,150.0621,153.5243,149.0999,0.0304,0.0179,-0.0741,0.0019,-0.0715,27.0684,0.0359,-0.0337,-0.0107,0.2962,0.0178,0.9549,buy
2021-12-07,157.4959,5124500,155.1847,159.5808,154.8639,0.0390,0.0962,-0.0231,0.0435,-0.0343,36.8232,0.0386,-0.0278,-0.0045,0.4452,0.2372,1.1583,buy
2021-12-08,159.3638,4042400,158.4676,160.8826,157.8072,0.0119,0.1257,-0.0112,0.0572,-0.0224,40.0522,0.0388,-0.0226,0.0004,0.5011,-0.2112,0.9052,hold
2021-12-09,158.5053,2245300,158.3450,159.2695,157.1186,-0.0054,0.0718,-0.0209,0.0539,-0.0273,42.0004,0.0388,-0.0190,0.0032,0.4954,-0.4446,0.5088,hold
2021-12-10,157.5714,2768500,159.7883,160.9204,156.5620,-0.0059,0.0711,0.0651,0.0410,-0.0330,43.4256,0.0253,-0.0165,0.0047,0.4884,0.2330,0.6227,sell
2021-12-13,154.0526,3477600,156.9771,156.9771,152.8168,-0.0223,0.0163,0.0345,0.0143,-0.0535,42.4901,0.0269,-0.0164,0.0042,0.4151,0.2561,0.7728,hold
2021-12-14,153.6281,2964200,152.9583,155.9016,151.9395,-0.0028,-0.0246,0.0693,0.0049,-0.0551,42.1569,0.0234,-0.0161,0.0037,0.4234,-0.1476,0.6499,hold
2021-12-15,153.0526,5013000,153.4960,153.8168,149.5527,-0.0037,-0.0396,0.0812,-0.0063,-0.0573,40.7866,0.0225,-0.0160,0.0031,0.4263,0.6912,1.0788,hold
2021-12-16,153.7696,4900100,154.7130,155.8262,152.7319,0.0047,-0.0299,0.0397,-0.0055,-0.0518,58.3922,0.0184,-0.0152,0.0030,0.4727,-0.0225,1.0394,sell
2021-12-17,150.9489,9576800,151.8828,152.1847,148.0622,-0.0183,-0.0420,0.0261,-0.0261,-0.0676,52.7727,0.0196,-0.0163,0.0018,0.3890,0.9544,1.9181,sell
2021-12-20,147.0622,3839600,148.1094,149.2508,145.0717,-0.0257,-0.0454,-0.0298,-0.0484,-0.0896,54.8084,0.0188,-0.0193,-0.0005,0.2569,-0.5991,0.7738,buy
2021-12-21,151.7979,3722400,148.8169,151.9300,148.5999,0.0322,-0.0119,-0.0362,-0.0141,-0.0589,63.5253,0.0172,-0.0179,0.0002,0.4714,-0.0305,0.7573,buy
2021-12-22,153.2696,2877700,151.4395,153.9300,151.3640,0.0097,0.0014,-0.0382,-0.0006,-0.0484,58.1522,0.0170,-0.0161,0.0014,0.5570,-0.2269,0.6039,buy
2021-12-23,154.8922,3140500,154.5809,156.9770,154.3262,0.0106,0.0073,-0.0228,0.0123,-0.0378,61.5062,0.0176,-0.0137,0.0029,0.6641,0.0913,0.6622,hold
2021-12-27,155.0809,1687300,155.6564,155.6564,153.3262,0.0012,0.0274,-0.0158,0.0152,-0.0358,55.9247,0.0175,-0.0117,0.0039,0.6564,-0.4627,0.3761,hold
2021-12-28,155.0998,2035300,154.3356,156.7224,154.3356,0.0001,0.0547,0.0068,0.0147,-0.0344,44.9322,0.0159,-0.0100,0.0045,0.6418,0.2062,0.4761,hold
2021-12-29,154.5526,2082200,155.2979,155.5903,154.0149,-0.0035,0.0181,0.0060,0.0105,-0.0363,39.2224,0.0159,-0.0089,0.0046,0.5937,0.0230,0.5196,hold
2021-12-30,154.8639,1632900,155.2979,156.4111,154.7130,0.0020,0.0104,0.0118,0.0113,-0.0329,41.6378,0.0159,-0.0077,0.0046,0.5924,-0.2158,0.4318,hold
2021-12-31,154.3356,1743600,154.8073,155.8167,154.0054,-0.0034,-0.0036,0.0037,0.0075,-0.0344,42.4282,0.0159,-0.0069,0.0043,0.5338,0.0678,0.4906,buy
2022-01-03,158.6846,3236400,155.1941,158.8638,155.0903,0.0282,0.0232,0.0512,0.0307,-0.0061,60.4335,0.0166,-0.0039,0.0056,0.8561,0.8562,0.9214,buy
2022-01-04,163.7787,4799500,160.1090,164.1938,159.9958,0.0321,0.0560,0.1137,0.0523,0.0275,68.8903,0.0145,0.0009,0.0081,1.1162,0.4830,1.3537,sell
2022-01-05,162.0335,4491900,164.8165,166.3259,161.7883,-0.0107,0.0484,0.0674,0.0343,0.0178,66.0161,0.0139,0.0037,0.0088,0.9394,-0.0641,1.2783,buy
2022-01-06,163.5184,2649400,163.1779,164.2655,160.5393,0.0092,0.0559,0.0669,0.0370,0.0280,66.9220,0.0139,0.0066,0.0093,0.9813,-0.4102,0.7692,buy
2022-01-07,164.9181,3043000,163.1306,165.8449,162.5348,0.0086,0.0686,0.0647,0.0393,0.0372,75.5061,0.0138,0.0093,0.0096,0.9914,0.1486,0.8734,hold
2022-01-10,164.3128,4269400,166.6488,166.6488,161.2486,-0.0037,0.0355,0.0595,0.0295,0.0335,85.7858,0.0141,0.0112,0.0092,0.9081,0.4030,1.1996,buy
2022-01-11,165.8638,2762700,165.0693,166.1853,163.1306,0.0094,0.0127,0.0694,0.0322,0.0430,83.6216,0.0140,0.0131,0.0089,0.9211,-0.3529,0.7841,sell
2022-01-12,165.0032,3224300,166.6677,167.2257,164.7195,-0.0052,0.0183,0.0676,0.0202,0.0375,78.8909,0.0141,0.0143,0.0080,0.8395,0.1671,0.9117,sell
2022-01-13,163.8872,3808800,165.4287,166.8095,163.4711,-0.0068,0.0023,0.0583,0.0077,0.0304,72.7144,0.0147,0.0145,0.0065,0.7620,0.1813,1.0957,sell
2022-01-14,159.2625,6508500,159.5557,159.5557,155.7728,-0.0282,-0.0343,0.0319,-0.0237,0.0018,58.6269,0.0181,0.0125,0.0035,0.5488,0.7088,1.8300,sell
2022-01-18,157.1535,4336300,158.7991,159.7732,155.8957,-0.0132,-0.0436,-0.0096,-0.0357,-0.0108,53.9005,0.0165,0.0095,0.0003,0.4391,-0.3337,1.3162,sell
2022-01-19,152.6329,3592000,157.6831,157.6831,152.4248,-0.0288,-0.0798,-0.0681,-0.0570,-0.0376,46.8321,0.0140,0.0048,-0.0037,0.1881,-0.1716,1.0944,hold
2022-01-20,152.1884,4205600,152.3775,155.6404,150.8076,-0.0029,-0.0777,-0.0608,-0.0540,-0.0382,45.6042,0.0140,0.0006,-0.0064,0.1625,0.1708,1.2720,sell
2022-01-21,150.1267,3779100,151.2710,153.0963,149.1242,-0.0135,-0.0840,-0.0819,-0.0590,-0.0489,43.4166,0.0130,-0.0038,-0.0087,0.0845,-0.1014,1.1276,hold
2022-01-24,150.3064,5405000,147.3651,150.7982,144.5563,0.0012,-0.0562,-0.0886,-0.0491,-0.0452,34.9297,0.0121,-0.0071,-0.0096,0.1245,0.4302,1.5600,buy
2022-01-25,163.7170,13320800,157.1252,165.0032,150.9968,0.0892,0.0418,-0.0036,0.0361,0.0409,49.9145,0.0335,-0.0023,-0.0037,0.7253,1.4645,3.2921,buy
2022-01-26,165.8070,8257300,167.3486,169.4954,163.6413,0.0128,0.0863,-0.0003,0.0494,0.0550,55.1751,0.0336,0.0020,0.0005,0.7892,-0.3801,1.8950,sell
2022-01-27,162.5726,3649900,167.1122,168.5308,161.3715,-0.0195,0.0682,-0.0147,0.0305,0.0357,48.7624,0.0342,0.0038,0.0019,0.6282,-0.5580,0.8228,buy
2022-01-28,167.4526,4271500,162.4402,167.5945,160.5582,0.0300,0.1154,0.0218,0.0590,0.0673,53.0399,0.0355,0.0074,0.0044,0.8137,0.1703,0.9351,buy
2022-01-31,170.0629,5524300,166.3651,170.3561,165.7125,0.0156,0.1314,0.0678,0.0682,0.0838,56.5801,0.0339,0.0112,0.0066,0.8806,0.2933,1.1614,buy
2022-02-01,173.5810,3471200,170.1575,174.0539,169.2874,0.0207,0.0603,0.1045,0.0792,0.1052,58.4507,0.0333,0.0155,0.0088,0.9537,-0.3716,0.7279,hold
2022-02-02,174.1674,2841400,172.6069,174.5646,171.7841,0.0034,0.0504,0.1411,0.0685,0.1075,60.0958,0.0306,0.0191,0.0099,0.9201,-0.1814,0.6084,hold
2022-02-03,174.0539,3380900,174.7726,175.7184,172.4272,-0.0007,0.0706,0.1437,0.0537,0.1049,61.4532,0.0304,0.0217,0.0100,0.8698,0.1899,0.7326,buy
2022-02-04,175.7657,4075800,174.8767,178.4421,174.1863,0.0098,0.0496,0.1708,0.0478,0.1137,69.8973,0.0290,0.0240,0.0100,0.8799,0.2055,0.8697,buy
2022-02-07,177.6761,3260800,175.5576,178.6596,174.7254,0.0109,0.0448,0.1821,0.0422,0.1236,74.8625,0.0286,0.0263,0.0099,0.8906,-0.2000,0.6942,buy
2022-02-08,183.4735,5133900,177.8747,183.9747,177.4302,0.0326,0.0570,0.1207,0.0639,0.1551,86.2414,0.0152,0.0297,0.0110,0.9755,0.5744,1.0830,buy
2022-02-09,185.7432,4614200,183.7572,187.9373,183.7572,0.0124,0.0665,0.1202,0.0647,0.1640,87.8090,0.0152,0.0332,0.0118,0.9589,-0.1012,0.9547,hold
2022-02-10,184.9015,4511100,185.7054,187.4739,184.0503,-0.0045,0.0623,0.1373,0.0465,0.1527,90.2914,0.0122,0.0356,0.0113,0.8872,-0.0223,0.9211,sell
2022-02-11,181.4023,4834900,184.8259,186.4998,180.1161,-0.0189,0.0321,0.0833,0.0186,0.1253,83.4554,0.0143,0.0362,0.0091,0.7816,0.0718,0.9770,hold
2022-02-14,181.9130,3841300,181.8279,183.6153,180.5606,0.0028,0.0238,0.0697,0.0148,0.1238,77.0986,0.0141,0.0358,0.0071,0.7641,-0.2055,0.7977,buy
2022-02-15,187.2375,4134300,184.0882,187.5969,183.6437,0.0293,0.0205,0.0787,0.0366,0.1509,79.1110,0.0153,0.0364,0.0068,0.8357,0.0763,0.8604,hold
