date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,35.8119,40514700,36.6568,36.7724,35.7853,-0.0161,-0.0183,-0.0372,-0.0216,0.0103,50.9636,0.0107,0.0056,-0.0040,0.1574,0.1171,0.9306,buy
2021-09-13,36.4078,42036300,36.1054,36.4256,35.8831,0.0166,-0.0027,-0.0315,-0.0021,0.0273,52.1213,0.0117,0.0051,-0.0035,0.4533,0.0376,0.9648,sell
2021-09-14,35.4295,53820400,36.5767,36.7368,35.2695,-0.0269,-0.0358,-0.0388,-0.0251,0.0002,38.3977,0.0130,0.0026,-0.0050,0.0521,0.2803,1.2140,buy
2021-09-15,35.6963,52358200,35.3317,35.8742,35.2784,0.0075,-0.0157,-0.0336,-0.0144,0.0076,34.4972,0.0134,0.0011,-0.0051,0.1967,-0.0272,1.1694,buy
2021-09-16,35.9720,42922000,35.9987,36.2922,35.7497,0.0077,-0.0117,-0.0129,-0.0055,0.0149,38.5174,0.0133,0.0006,-0.0045,0.3166,-0.1802,0.9666,hold
2021-09-17,36.0165,92746000,35.8742,36.1677,35.6430,0.0012,0.0057,-0.0127,-0.0030,0.0152,34.1450,0.0133,0.0002,-0.0039,0.3176,1.1608,1.9968,sell
2021-09-20,34.7804,67566200,35.0205,35.0916,34.1134,-0.0343,-0.0447,-0.0473,-0.0326,-0.0193,31.0158,0.0169,-0.0029,-0.0057,-0.1047,-0.2715,1.4134,hold
2021-09-21,34.7981,38271100,34.9226,35.2161,34.6292,0.0005,-0.0178,-0.0530,-0.0268,-0.0181,30.2276,0.0165,-0.0052,-0.0064,-0.0043,-0.4336,0.7982,buy
2021-09-22,35.6963,46261400,35.3495,36.0343,35.3495,0.0258,0.0000,-0.0157,-0.0001,0.0070,43.5779,0.0189,-0.0048,-0.0048,0.3123,0.2088,0.9542,buy
2021-09-23,37.0747,49779800,36.2477,37.2437,36.1499,0.0386,0.0307,0.0186,0.0365,0.0443,54.1615,0.0228,-0.0015,-0.0011,0.7749,0.0761,1.0283,buy
2021-09-24,37.4749,39042300,37.1014,37.6528,37.0392,0.0108,0.0405,0.0464,0.0429,0.0537,56.4345,0.0220,0.0019,0.0018,0.8934,-0.2157,0.8083,buy
2021-09-27,38.4709,49755400,37.9551,38.6221,37.9196,0.0266,0.1061,0.0567,0.0645,0.0787,60.4077,0.0228,0.0065,0.0051,1.1239,0.2744,1.0265,hold
2021-09-28,38.3820,60781200,38.6221,39.1646,38.2931,-0.0023,0.1030,0.0833,0.0534,0.0728,63.4008,0.0200,0.0099,0.0068,1.0108,0.2216,1.2338,hold
2021-09-29,38.3020,44260200,38.3998,38.5243,38.0085,-0.0021,0.0730,0.0730,0.0437,0.0676,62.1315,0.0203,0.0122,0.0073,0.9352,-0.2718,0.9080,sell
2021-09-30,37.7506,47410800,38.5510,38.5510,37.5550,-0.0144,0.0182,0.0494,0.0238,0.0500,62.4145,0.0214,0.0130,0.0064,0.7794,0.0712,0.9776,buy
2021-10-01,38.3109,40987100,37.7773,38.6221,37.6972,0.0148,0.0223,0.0637,0.0325,0.0628,62.2425,0.0216,0.0143,0.0062,0.8629,-0.1355,0.8482,hold
2021-10-04,38.5421,48273400,38.3375,39.1913,38.3020,0.0060,0.0018,0.1082,0.0283,0.0662,72.1519,0.0162,0.0156,0.0061,0.8667,0.1778,0.9924,buy
2021-10-05,39.3247,54070700,38.9245,39.7960,38.8355,0.0203,0.0246,0.1301,0.0367,0.0845,74.0566,0.0161,0.0178,0.0068,0.9509,0.1201,1.0999,hold
2021-10-06,39.3424,47031700,38.9956,39.3869,38.7288,0.0005,0.0272,0.1021,0.0273,0.0815,73.1379,0.0157,0.0197,0.0069,0.8972,-0.1302,0.9462,hold
2021-10-07,39.2357,46258800,39.8316,39.9027,39.1557,-0.0027,0.0393,0.0583,0.0187,0.0753,71.9127,0.0124,0.0207,0.0063,0.8381,-0.0164,0.9214,buy
2021-10-08,39.4314,39389400,39.1913,39.8493,39.0579,0.0050,0.0292,0.0522,0.0187,0.0776,86.8827,0.0123,0.0215,0.0058,0.8304,-0.1485,0.7854,sell
2021-10-11,38.9334,36283500,39.6626,39.8493,38.9067,-0.0126,0.0102,0.0120,0.0046,0.0611,80.4717,0.0109,0.0213,0.0042,0.7292,-0.0789,0.7277,sell
2021-10-12,38.7199,36898300,38.8355,39.1290,38.4798,-0.0055,-0.0154,0.0088,-0.0018,0.0524,74.7812,0.0110,0.0203,0.0025,0.6763,0.0169,0.7528,sell
2021-10-13,38.3642,43908000,38.7288,38.8089,37.6439,-0.0092,-0.0249,0.0016,-0.0111,0.0403,62.6970,0.0115,0.0186,0.0006,0.6023,0.1900,0.9036,buy
2021-10-14,40.0806,82201000,39.4581,40.1072,38.6666,0.0447,0.0215,0.0617,0.0270,0.0832,70.3755,0.0170,0.0196,0.0019,0.8465,0.8721,1.6258,buy
2021-10-15,41.2366,64264900,40.7031,41.5034,40.3385,0.0288,0.0458,0.0764,0.0487,0.1104,71.0990,0.0183,0.0225,0.0042,0.9636,-0.2182,1.3079,hold
2021-10-18,41.1566,49542500,41.1655,41.6991,40.9343,-0.0019,0.0571,0.0678,0.0398,0.1049,71.1957,0.0186,0.0248,0.0052,0.9247,-0.2291,1.0271,hold
2021-10-19,41.3345,32515500,41.3522,41.4679,41.0855,0.0043,0.0675,0.0511,0.0390,0.1065,72.8246,0.0179,0.0265,0.0056,0.9427,-0.3437,0.6782,buy
2021-10-20,41.8769,40411000,41.3434,42.0103,40.9521,0.0131,0.0916,0.0644,0.0460,0.1179,81.0992,0.0180,0.0283,0.0061,1.0037,0.2428,0.8480,sell
2021-10-21,41.6457,36848600,41.8858,42.2238,41.4501,-0.0055,0.0391,0.0614,0.0340,0.1090,76.4457,0.0182,0.0294,0.0057,0.9139,-0.0882,0.7839,buy
2021-10-22,42.3038,36225600,41.7880,42.3483,41.7880,0.0158,0.0259,0.0728,0.0429,0.1235,77.9392,0.0184,0.0306,0.0058,0.9672,-0.0169,0.7730,hold
