date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,210.3000,6959700,215.1600,215.8900,210.1200,-0.0170,-0.0477,-0.0286,-0.0290,-0.0646,47.3436,0.0156,-0.0181,-0.0030,0.1409,-0.2470,0.8007,buy
2021-09-13,214.4800,10175900,211.3500,215.6400,209.8800,0.0199,-0.0169,-0.0328,-0.0064,-0.0438,44.1512,0.0148,-0.0171,-0.0018,0.3244,0.4621,1.1457,sell
2021-09-14,211.5700,9947000,215.8400,216.1100,210.7100,-0.0136,-0.0125,-0.0280,-0.0171,-0.0547,38.5189,0.0143,-0.0177,-0.0018,0.1645,-0.0225,1.1055,buy
2021-09-15,214.2200,7916300,211.7900,214.3500,210.3200,0.0125,0.0134,-0.0241,-0.0024,-0.0410,42.4651,0.0148,-0.0166,-0.0007,0.3528,-0.2042,0.9060,hold
2021-09-16,213.3600,6370900,213.9600,216.3100,213.3100,-0.0040,-0.0027,-0.0218,-0.0041,-0.0432,46.2187,0.0147,-0.0161,-0.0001,0.3145,-0.1952,0.7403,hold
2021-09-17,213.3600,7932700,213.1200,215.3700,211.9100,0.0000,0.0146,-0.0338,-0.0007,-0.0412,38.4340,0.0138,-0.0155,0.0004,0.3075,0.2451,0.9407,sell
2021-09-20,209.5000,10567400,210.8100,212.4300,206.5300,-0.0181,-0.0232,-0.0397,-0.0147,-0.0560,38.6792,0.0144,-0.0166,-0.0003,0.0814,0.3321,1.2441,sell
2021-09-21,208.5100,7139000,210.2500,211.7600,207.7200,-0.0047,-0.0145,-0.0267,-0.0167,-0.0580,34.3848,0.0135,-0.0175,-0.0009,0.0805,-0.3244,0.8569,buy
2021-09-22,216.9800,10953000,210.0000,217.9900,209.6500,0.0406,0.0129,0.0265,0.0205,-0.0187,48.6518,0.0186,-0.0141,0.0015,0.6085,0.5342,1.2990,buy
2021-09-23,221.1000,9344600,217.8100,222.6200,217.1500,0.0190,0.0363,0.0335,0.0364,0.0002,50.3090,0.0191,-0.0101,0.0041,0.8691,-0.1468,1.0901,hold
2021-09-24,221.3900,6498200,219.1300,222.4100,218.6600,0.0013,0.0376,0.0527,0.0324,0.0017,53.8964,0.0177,-0.0070,0.0058,0.8520,-0.3046,0.7663,buy
2021-09-27,224.1600,9749200,224.0000,228.6000,223.8800,0.0125,0.0700,0.0451,0.0406,0.0136,62.3506,0.0172,-0.0034,0.0074,0.9853,0.5003,1.1358,sell
2021-09-28,218.4100,9639800,222.9000,224.5800,216.4200,-0.0257,0.0475,0.0323,0.0107,-0.0134,58.1649,0.0190,-0.0028,0.0066,0.6550,-0.0112,1.1098,buy
2021-09-29,225.3600,16808000,227.8000,229.9400,224.8600,0.0318,0.0386,0.0520,0.0375,0.0172,62.0363,0.0209,0.0004,0.0076,0.9840,0.7436,1.8293,sell
2021-09-30,219.9400,10366900,226.0800,226.1500,219.4600,-0.0241,-0.0052,0.0308,0.0095,-0.0070,59.7928,0.0228,0.0009,0.0066,0.6975,-0.3832,1.1089,buy
2021-10-01,226.0000,9113600,222.8500,226.7200,220.6000,0.0276,0.0208,0.0592,0.0313,0.0199,61.2720,0.0240,0.0033,0.0071,0.9571,-0.1209,0.9737,sell
2021-10-04,223.7900,6946100,225.6800,227.9700,222.0000,-0.0098,-0.0017,0.0682,0.0146,0.0097,62.1230,0.0232,0.0045,0.0067,0.8243,-0.2378,0.7400,hold
2021-10-05,224.4200,5687300,224.2700,226.4500,222.4200,0.0028,0.0275,0.0763,0.0102,0.0127,60.5415,0.0229,0.0056,0.0062,0.8164,-0.1812,0.6311,hold
2021-10-06,224.9900,7157600,221.0800,225.0700,219.2000,0.0025,-0.0016,0.0369,0.0091,0.0150,62.0919,0.0197,0.0065,0.0057,0.8068,0.2585,0.8019,buy
2021-10-07,226.4800,7748500,227.3400,229.0000,225.9000,0.0066,0.0297,0.0243,0.0134,0.0222,63.2311,0.0190,0.0077,0.0055,0.8305,0.0826,0.8754,hold
2021-10-08,226.3900,4515000,226.7500,228.7100,225.4000,-0.0004,0.0017,0.0226,0.0107,0.0223,68.4348,0.0190,0.0085,0.0051,0.7971,-0.4173,0.5173,hold
2021-10-11,226.4500,7287000,226.5000,232.1000,225.3200,0.0003,0.0119,0.0102,0.0099,0.0226,69.9866,0.0187,0.0091,0.0045,0.7704,0.6140,0.8489,sell
2021-10-12,223.5700,8486800,226.0000,228.6600,223.1200,-0.0127,-0.0038,0.0236,-0.0052,0.0097,58.3864,0.0170,0.0085,0.0031,0.6344,0.1646,0.9971,sell
2021-10-13,221.7800,8240200,224.0000,224.3000,219.3600,-0.0080,-0.0143,-0.0159,-0.0116,0.0023,50.9199,0.0137,0.0073,0.0015,0.5432,-0.0291,0.9663,sell
2021-10-14,217.4400,10427300,221.0700,222.1800,217.0400,-0.0196,-0.0399,-0.0114,-0.0299,-0.0165,45.1841,0.0130,0.0048,-0.0009,0.3373,0.2654,1.1944,hold
2021-10-15,217.0400,8773400,218.1700,219.6100,216.2800,-0.0018,-0.0413,-0.0396,-0.0278,-0.0172,40.7867,0.0082,0.0025,-0.0026,0.3030,-0.1586,1.0001,hold
2021-10-18,216.9800,6553500,216.0000,217.2800,214.0500,-0.0003,-0.0418,-0.0304,-0.0250,-0.0162,47.8300,0.0080,0.0006,-0.0036,0.2517,-0.2530,0.7645,sell
2021-10-19,215.9700,5963400,217.4700,217.6600,215.2800,-0.0047,-0.0340,-0.0377,-0.0259,-0.0193,32.6175,0.0077,-0.0012,-0.0044,0.0986,-0.0900,0.7005,hold
2021-10-20,216.1700,8485200,215.4900,218.6600,214.3500,0.0009,-0.0253,-0.0392,-0.0211,-0.0166,41.3492,0.0076,-0.0026,-0.0046,0.1210,0.4229,1.0114,sell
2021-10-21,214.3400,8691500,216.5400,218.1100,213.8100,-0.0085,-0.0143,-0.0536,-0.0240,-0.0227,16.7995,0.0067,-0.0044,-0.0051,0.0638,0.0243,1.0400,sell
2021-10-22,212.9700,7077600,214.6000,216.7200,212.5800,-0.0064,-0.0188,-0.0593,-0.0243,-0.0267,17.6435,0.0065,-0.0062,-0.0055,0.0524,-0.1857,0.8440,hold
2021-10-25,212.8700,7239100,213.2500,213.9800,211.7000,-0.0005,-0.0189,-0.0600,-0.0186,-0.0253,14.3298,0.0064,-0.0076,-0.0056,0.1035,0.0228,0.8764,sell
2021-10-26,209.8100,11014500,213.1900,214.8500,208.1800,-0.0144,-0.0285,-0.0615,-0.0266,-0.0376,9.3682,0.0066,-0.0099,-0.0063,0.0223,0.5215,1.3224,sell
2021-10-27,206.6100,14761700,212.8500,212.9000,205.6400,-0.0153,-0.0442,-0.0684,-0.0346,-0.0509,1.2751,0.0072,-0.0129,-0.0074,-0.0211,0.3402,1.7943,buy
2021-10-28,207.8500,8825500,206.0000,208.7400,204.6000,0.0060,-0.0303,-0.0441,-0.0245,-0.0442,6.9638,0.0068,-0.0144,-0.0071,0.0896,-0.4021,1.0829,sell
2021-10-29,207.0300,8559500,206.8400,208.2400,205.2900,-0.0039,-0.0279,-0.0461,-0.0237,-0.0475,6.4574,0.0067,-0.0159,-0.0069,0.1089,-0.0301,1.0539,buy
2021-11-01,214.5800,9284900,207.0000,214.6900,206.8100,0.0365,0.0080,-0.0111,0.0130,-0.0130,33.3333,0.0147,-0.0134,-0.0038,0.4021,0.0847,1.1269,sell
2021-11-02,212.7700,6160200,213.8300,215.7200,210.7000,-0.0084,0.0141,-0.0148,0.0060,-0.0207,33.3086,0.0149,-0.0126,-0.0023,0.3525,-0.3365,0.7456,hold
2021-11-03,213.3800,4636100,211.4700,213.7600,210.8700,0.0029,0.0328,-0.0129,0.0102,-0.0172,41.2726,0.0149,-0.0114,-0.0009,0.3938,-0.2474,0.5698,hold
2021-11-04,213.0300,5849600,213.8000,214.8200,211.8700,-0.0016,0.0249,-0.0061,0.0092,-0.0181,41.3615,0.0147,-0.0105,0.0000,0.3990,0.2618,0.7274,buy
2021-11-05,224.4600,16936300,217.7000,224.5800,217.7000,0.0537,0.0842,0.0540,0.0576,0.0339,60.8155,0.0223,-0.0051,0.0039,0.9137,1.8953,1.9551,sell
