date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,816.0873,332200,827.2609,827.6170,814.6628,-0.0060,-0.0316,-0.0163,-0.0192,0.0197,51.8322,0.0096,0.0093,-0.0037,0.3511,-0.3055,0.9119,hold
2021-09-13,815.7667,422800,821.9901,822.8359,806.6320,-0.0004,-0.0224,-0.0363,-0.0159,0.0184,45.4643,0.0059,0.0077,-0.0043,0.3410,0.2727,1.1403,sell
2021-09-14,803.0262,574200,815.5352,816.3187,798.8327,-0.0156,-0.0247,-0.0445,-0.0269,0.0022,37.9681,0.0069,0.0052,-0.0056,0.1392,0.3581,1.4974,buy
2021-09-15,809.8818,494600,803.0708,813.6390,801.2902,0.0085,-0.0159,-0.0315,-0.0155,0.0103,36.2593,0.0081,0.0037,-0.0056,0.2539,-0.1386,1.2711,sell
2021-09-16,792.7786,726600,808.5284,809.6769,787.1429,-0.0211,-0.0344,-0.0524,-0.0311,-0.0109,31.0948,0.0097,0.0008,-0.0069,-0.0220,0.4691,1.7886,sell
2021-09-17,780.4832,1272100,781.7119,790.2144,773.5209,-0.0155,-0.0436,-0.0739,-0.0388,-0.0263,14.4335,0.0091,-0.0027,-0.0085,-0.1208,0.7508,2.8365,sell
2021-09-20,763.2466,767800,759.5161,763.5671,748.9925,-0.0221,-0.0644,-0.0854,-0.0517,-0.0470,12.8850,0.0102,-0.0075,-0.0107,-0.1624,-0.3964,1.6419,sell
2021-09-21,752.5359,596700,767.2263,768.8288,747.2297,-0.0140,-0.0629,-0.0861,-0.0567,-0.0589,12.1308,0.0102,-0.0123,-0.0124,-0.1112,-0.2228,1.2434,buy
2021-09-22,757.7087,544100,762.5165,764.7690,754.8241,0.0069,-0.0644,-0.0793,-0.0424,-0.0514,15.7197,0.0111,-0.0152,-0.0123,0.0250,-0.0882,1.1044,buy
2021-09-23,780.0737,526000,766.5676,784.6678,766.4696,0.0295,-0.0160,-0.0499,-0.0090,-0.0233,26.1669,0.0163,-0.0146,-0.0094,0.2444,-0.0333,1.0468,hold
2021-09-24,778.6937,322500,774.5804,780.4565,771.8738,-0.0018,-0.0023,-0.0458,-0.0060,-0.0250,27.6087,0.0163,-0.0145,-0.0074,0.2578,-0.3869,0.6386,hold
2021-09-27,779.4504,416800,777.2514,779.6285,772.8176,0.0010,0.0212,-0.0445,-0.0004,-0.0242,30.7669,0.0164,-0.0141,-0.0056,0.2862,0.2924,0.8285,sell
2021-09-28,766.1846,642500,775.1234,777.9279,761.6350,-0.0170,0.0181,-0.0459,-0.0128,-0.0412,27.6607,0.0165,-0.0153,-0.0053,0.2032,0.5415,1.2331,hold
2021-09-29,762.6234,547200,767.0928,769.3809,762.0179,-0.0046,0.0065,-0.0584,-0.0113,-0.0453,27.3162,0.0158,-0.0163,-0.0050,0.2034,-0.1483,1.0551,sell
2021-09-30,746.6777,562700,767.6003,768.0455,746.2326,-0.0209,-0.0428,-0.0582,-0.0262,-0.0644,25.1594,0.0158,-0.0189,-0.0059,0.1113,0.0283,1.0606,hold
2021-10-01,749.5535,477400,750.7198,756.5247,733.1715,0.0039,-0.0374,-0.0396,-0.0185,-0.0603,26.7289,0.0157,-0.0200,-0.0057,0.1637,-0.1516,0.8891,sell
2021-10-04,735.0146,596000,745.3067,751.4677,728.9337,-0.0194,-0.0570,-0.0370,-0.0340,-0.0777,26.3953,0.0154,-0.0228,-0.0065,0.0813,0.2484,1.0919,buy
2021-10-05,746.7845,445200,738.2018,751.2896,732.6551,0.0160,-0.0253,-0.0076,-0.0177,-0.0624,28.8233,0.0160,-0.0227,-0.0054,0.2118,-0.2530,0.8091,hold
2021-10-06,745.6893,472500,738.0058,745.9208,730.9189,-0.0015,-0.0222,-0.0159,-0.0176,-0.0633,32.2932,0.0158,-0.0228,-0.0044,0.2261,0.0613,0.8424,buy
2021-10-07,749.9630,434000,752.7853,761.2790,749.1706,0.0057,0.0044,-0.0386,-0.0081,-0.0576,37.7868,0.0120,-0.0220,-0.0030,0.2849,-0.0815,0.7768,hold
2021-10-08,751.7883,350300,747.8352,753.8004,744.8259,0.0024,0.0030,-0.0346,-0.0021,-0.0549,44.7696,0.0121,-0.0210,-0.0016,0.3211,-0.1929,0.6260,sell
2021-10-11,747.6304,531600,748.8324,766.2204,746.6511,-0.0055,0.0172,-0.0408,-0.0034,-0.0596,47.6183,0.0120,-0.0206,-0.0008,0.2910,0.5176,0.9408,sell
2021-10-12,744.4786,823300,750.8890,750.8890,740.3564,-0.0042,-0.0031,-0.0283,-0.0047,-0.0629,43.4480,0.0111,-0.0204,-0.0004,0.2709,0.5487,1.4256,buy
2021-10-13,772.6307,1453900,767.4579,780.9285,758.5636,0.0378,0.0361,0.0131,0.0315,-0.0273,46.5138,0.0169,-0.0162,0.0024,0.6965,0.7659,2.3245,buy
2021-10-14,794.6217,802800,785.2644,798.3699,772.1322,0.0285,0.0595,0.0642,0.0541,0.0001,56.2531,0.0169,-0.0108,0.0058,1.0358,-0.4478,1.2758,buy
2021-10-15,807.7538,1023000,805.3944,814.8496,795.9748,0.0165,0.0744,0.0776,0.0633,0.0161,60.1274,0.0172,-0.0054,0.0088,1.1145,0.2743,1.6585,sell
2021-10-18,798.0048,541000,803.0707,807.6736,796.4022,-0.0121,0.0674,0.0857,0.0419,0.0038,61.6798,0.0160,-0.0022,0.0097,0.9232,-0.4712,0.8935,buy
2021-10-19,802.7591,408400,800.6846,805.4211,796.6871,0.0060,0.0783,0.0750,0.0405,0.0097,64.6041,0.0158,0.0008,0.0101,0.9176,-0.2451,0.6852,hold
2021-10-20,803.8987,380500,805.9642,806.4628,798.6725,0.0014,0.0405,0.0781,0.0341,0.0112,73.3352,0.0156,0.0033,0.0101,0.8792,-0.0683,0.6472,hold
2021-10-21,804.6020,333100,803.8987,810.0597,802.0913,0.0009,0.0126,0.0729,0.0278,0.0123,72.8542,0.0158,0.0052,0.0096,0.8547,-0.1246,0.5761,buy
2021-10-22,814.6181,372100,805.5635,815.5886,801.2989,0.0124,0.0085,0.0836,0.0323,0.0249,84.3381,0.0158,0.0076,0.0096,0.9059,0.1171,0.6408,buy
2021-10-25,823.3166,452400,817.7966,829.7180,811.9917,0.0107,0.0317,0.1012,0.0334,0.0356,83.9118,0.0150,0.0102,0.0097,0.9283,0.2158,0.7767,buy
2021-10-26,829.4064,377800,831.1514,835.9503,826.5307,0.0074,0.0332,0.1141,0.0301,0.0430,85.5232,0.0142,0.0126,0.0097,0.9176,-0.1649,0.6637,sell
