date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,51.4394,10017200,51.9201,52.0423,51.3008,-0.0071,-0.0452,-0.0576,-0.0362,-0.0617,11.6308,0.0086,-0.0153,-0.0073,-0.0306,-0.1093,1.2572,sell
2021-09-13,51.2031,9031500,51.7164,51.7490,50.9749,-0.0046,-0.0422,-0.0565,-0.0351,-0.0650,11.5868,0.0086,-0.0177,-0.0077,0.0184,-0.0984,1.1049,sell
2021-09-14,50.6083,8009700,51.3823,51.4068,50.4942,-0.0116,-0.0472,-0.0759,-0.0388,-0.0745,11.1515,0.0069,-0.0204,-0.0082,0.0128,-0.1131,0.9724,hold
2021-09-15,50.5186,7981400,50.5023,50.9016,50.3638,-0.0018,-0.0450,-0.0727,-0.0332,-0.0748,12.3655,0.0071,-0.0223,-0.0081,0.0628,-0.0035,0.9665,sell
2021-09-16,49.8912,13621900,50.4046,50.5594,49.4268,-0.0124,-0.0370,-0.0696,-0.0384,-0.0847,12.1052,0.0068,-0.0248,-0.0084,0.0513,0.7067,1.5847,hold
2021-09-17,49.9564,20447900,49.3046,50.0460,49.1823,0.0013,-0.0288,-0.0727,-0.0298,-0.0820,13.7172,0.0062,-0.0262,-0.0078,0.1094,0.5011,2.2637,sell
2021-09-20,49.2964,15426800,49.4105,50.0134,49.0194,-0.0132,-0.0372,-0.0779,-0.0348,-0.0924,5.2067,0.0065,-0.0284,-0.0078,0.0791,-0.2456,1.6496,sell
2021-09-21,49.1579,10157700,49.3290,49.8098,49.1416,-0.0028,-0.0287,-0.0746,-0.0300,-0.0930,5.3349,0.0067,-0.0298,-0.0073,0.1044,-0.3416,1.0737,sell
2021-09-22,49.0112,9661300,49.2964,49.4268,48.9297,-0.0030,-0.0298,-0.0735,-0.0254,-0.0937,6.0556,0.0067,-0.0308,-0.0066,0.1244,-0.0489,0.9974,buy
2021-09-23,49.4023,9393700,49.2149,49.9809,49.0683,0.0080,-0.0098,-0.0464,-0.0129,-0.0844,8.4718,0.0066,-0.0304,-0.0051,0.2004,-0.0277,0.9610,sell
2021-09-24,49.0764,9541700,49.2964,49.7853,49.0275,-0.0066,-0.0176,-0.0459,-0.0148,-0.0885,8.6152,0.0066,-0.0306,-0.0041,0.1921,0.0158,0.9526,sell
2021-09-27,48.7586,8231800,48.9786,49.4757,48.7179,-0.0065,-0.0109,-0.0477,-0.0163,-0.0924,8.6551,0.0067,-0.0309,-0.0034,0.1856,-0.1373,0.8162,hold
2021-09-28,48.7586,10812500,48.7912,49.0764,48.3838,0.0000,-0.0081,-0.0365,-0.0126,-0.0906,9.0320,0.0063,-0.0307,-0.0026,0.2090,0.3135,1.0384,buy
2021-09-29,49.3942,9043300,48.8075,49.6549,48.8075,0.0130,0.0078,-0.0223,0.0025,-0.0770,23.7588,0.0083,-0.0288,-0.0008,0.3089,-0.1636,0.8662,sell
2021-09-30,48.6056,11995500,49.4353,49.7556,48.5892,-0.0160,-0.0161,-0.0258,-0.0109,-0.0896,21.7609,0.0088,-0.0290,-0.0004,0.2226,0.3265,1.1398,buy
2021-10-01,48.8849,11188000,48.7699,49.0903,48.1784,0.0057,-0.0039,-0.0214,-0.0031,-0.0822,27.0951,0.0091,-0.0278,0.0004,0.2791,-0.0673,1.0427,sell
2021-10-04,48.4084,12532800,48.7945,49.3120,48.3427,-0.0097,-0.0072,-0.0180,-0.0110,-0.0886,27.7441,0.0087,-0.0278,0.0006,0.2174,0.1202,1.1427,buy
2021-10-05,48.5892,11406200,48.3509,49.0245,48.3263,0.0037,-0.0035,-0.0116,-0.0061,-0.0830,30.8326,0.0089,-0.0268,0.0012,0.2602,-0.0899,1.0277,hold
2021-10-06,48.6220,9283400,48.5563,48.6549,48.1374,0.0007,-0.0156,-0.0079,-0.0047,-0.0801,35.7028,0.0089,-0.0258,0.0018,0.2702,-0.1861,0.8477,sell
2021-10-07,48.4742,13798200,48.2606,48.7535,47.9484,-0.0030,-0.0027,-0.0188,-0.0058,-0.0803,33.6084,0.0083,-0.0250,0.0021,0.2456,0.4863,1.2454,sell
2021-10-08,47.0366,27249600,48.3592,48.4577,46.6670,-0.0297,-0.0378,-0.0416,-0.0312,-0.1047,28.6768,0.0121,-0.0272,0.0006,-0.0792,0.9749,2.2821,hold
2021-10-11,47.1680,10741400,47.0859,47.4556,46.8312,0.0028,-0.0256,-0.0326,-0.0253,-0.0994,31.1988,0.0123,-0.0277,-0.0000,-0.0024,-0.6058,0.8932,sell
2021-10-12,46.8723,11736300,47.2502,48.3345,46.6752,-0.0063,-0.0353,-0.0387,-0.0277,-0.1021,30.3442,0.0123,-0.0285,-0.0005,-0.0146,0.0926,0.9610,hold
2021-10-13,46.8805,9876200,46.8723,47.1434,46.5437,0.0002,-0.0358,-0.0509,-0.0224,-0.0987,25.0711,0.0109,-0.0287,-0.0006,0.0367,-0.1585,0.8025,buy
2021-10-14,47.3981,9027700,46.8805,47.7841,46.8312,0.0110,-0.0222,-0.0248,-0.0091,-0.0858,34.0143,0.0113,-0.0273,0.0004,0.2043,-0.0859,0.7475,buy
2021-10-15,47.9402,9445300,47.7349,48.2113,47.5706,0.0114,0.0192,-0.0193,0.0042,-0.0725,42.5245,0.0118,-0.0250,0.0019,0.3702,0.0463,0.8194,sell
2021-10-18,46.7737,13320600,47.6527,47.7677,46.7573,-0.0243,-0.0084,-0.0338,-0.0169,-0.0920,35.0546,0.0137,-0.0257,0.0015,0.0886,0.4103,1.1662,buy
2021-10-19,47.3077,9390200,46.9709,47.3488,46.8395,0.0114,0.0093,-0.0264,-0.0029,-0.0789,34.0453,0.0143,-0.0243,0.0021,0.2614,-0.2951,0.8249,buy
2021-10-20,47.7020,9010300,47.5706,48.1374,47.5623,0.0083,0.0175,-0.0189,0.0073,-0.0686,42.6471,0.0147,-0.0222,0.0031,0.3868,-0.0405,0.7938,sell
2021-10-21,47.4884,7159000,47.7184,47.7266,47.1270,-0.0045,0.0019,-0.0203,0.0049,-0.0703,38.5135,0.0147,-0.0210,0.0036,0.3455,-0.2055,0.6370,hold
