date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,45.3232,6892500,46.4757,46.4931,45.2795,-0.0183,-0.0442,-0.0643,-0.0393,-0.0019,41.0192,0.0114,0.0030,-0.0086,0.0132,0.6647,1.5800,buy
2021-09-13,45.6113,4015600,45.6549,45.9256,45.2446,0.0064,-0.0313,-0.0739,-0.0257,0.0040,37.7688,0.0093,0.0007,-0.0086,0.1300,-0.4174,0.9507,sell
2021-09-14,44.6509,4407100,45.6899,45.8383,44.4239,-0.0211,-0.0373,-0.0732,-0.0390,-0.0173,28.9963,0.0092,-0.0028,-0.0099,-0.0020,0.0975,1.0426,buy
2021-09-15,45.4628,5786800,44.7032,45.5589,44.5723,0.0182,-0.0172,-0.0570,-0.0157,-0.0005,28.0150,0.0121,-0.0040,-0.0088,0.1998,0.3131,1.3478,sell
2021-09-16,44.8517,6188900,45.7684,45.8907,44.5112,-0.0134,-0.0286,-0.0557,-0.0233,-0.0148,26.0209,0.0120,-0.0061,-0.0088,0.1207,0.0695,1.4150,sell
2021-09-17,44.6596,11538200,44.6858,44.9564,44.0659,-0.0043,-0.0146,-0.0582,-0.0216,-0.0202,16.5393,0.0120,-0.0080,-0.0086,0.1205,0.8643,2.4649,sell
2021-09-20,43.2975,6154500,43.5158,43.6031,42.5554,-0.0305,-0.0507,-0.0805,-0.0435,-0.0501,15.8729,0.0143,-0.0122,-0.0102,-0.0197,-0.4666,1.2887,sell
2021-09-21,43.0443,4083100,43.4983,43.6468,42.8959,-0.0058,-0.0360,-0.0719,-0.0420,-0.0554,14.9288,0.0141,-0.0157,-0.0110,0.0265,-0.3366,0.8507,buy
2021-09-22,43.5944,4190700,43.6468,43.9960,43.4634,0.0128,-0.0411,-0.0576,-0.0240,-0.0434,22.9090,0.0154,-0.0170,-0.0098,0.1487,0.0264,0.8669,buy
2021-09-23,44.9652,4696300,44.1619,45.4017,44.0659,0.0314,0.0025,-0.0261,0.0094,-0.0143,35.5601,0.0195,-0.0150,-0.0064,0.3526,0.1206,0.9710,hold
2021-09-24,45.0088,2724800,44.7993,45.5240,44.7993,0.0010,0.0078,-0.0069,0.0111,-0.0146,37.3404,0.0186,-0.0135,-0.0040,0.3771,-0.4198,0.5728,buy
2021-09-27,46.6241,4790800,45.4366,46.9646,45.3668,0.0359,0.0768,0.0222,0.0450,0.0191,51.3409,0.0219,-0.0091,0.0001,0.6497,0.7582,1.0021,sell
2021-09-28,46.1963,5439000,46.7376,47.4012,46.1002,-0.0092,0.0732,0.0346,0.0318,0.0076,49.6757,0.0208,-0.0067,0.0021,0.6030,0.1353,1.1035,hold
2021-09-29,45.9518,2829100,46.1089,46.2574,45.7160,-0.0053,0.0541,0.0108,0.0253,0.0009,48.8605,0.0203,-0.0051,0.0030,0.5881,-0.4798,0.5807,sell
2021-09-30,45.2620,4400100,46.2486,46.4233,45.2533,-0.0150,0.0066,0.0091,0.0090,-0.0149,49.6756,0.0204,-0.0050,0.0026,0.4728,0.5553,0.9067,buy
2021-10-01,46.2050,4899700,45.2620,46.5979,45.2533,0.0208,0.0266,0.0346,0.0264,0.0043,52.9463,0.0212,-0.0031,0.0034,0.6980,0.1135,0.9962,hold
2021-10-04,46.1439,5220200,46.0566,47.0519,45.9867,-0.0013,-0.0103,0.0657,0.0186,0.0017,58.1350,0.0177,-0.0018,0.0038,0.7062,0.0654,1.0385,buy
2021-10-05,47.5147,4890800,46.4407,47.7941,46.3185,0.0297,0.0285,0.1039,0.0386,0.0299,60.5382,0.0185,0.0016,0.0056,0.9796,-0.0631,0.9644,hold
2021-10-06,47.6194,5223500,47.0082,47.8290,46.7463,0.0022,0.0363,0.0923,0.0319,0.0304,64.9952,0.0186,0.0044,0.0067,0.9500,0.0680,1.0191,hold
2021-10-07,47.6107,5684800,48.1433,48.3878,47.4972,-0.0002,0.0519,0.0588,0.0258,0.0286,66.3127,0.0170,0.0065,0.0071,0.9051,0.0883,1.0926,buy
2021-10-08,48.7545,4712400,47.7329,49.0164,47.6806,0.0240,0.0552,0.0832,0.0420,0.0515,80.9101,0.0178,0.0098,0.0082,1.0159,-0.1711,0.9251,sell
2021-10-11,48.4751,4945300,48.7981,49.4617,48.4401,-0.0057,0.0505,0.0397,0.0320,0.0439,80.6705,0.0153,0.0119,0.0083,0.9109,0.0494,0.9621,hold
2021-10-12,48.4663,4697900,48.4663,48.9466,48.2655,-0.0002,0.0200,0.0491,0.0268,0.0420,79.3067,0.0147,0.0134,0.0079,0.8625,-0.0500,0.9114,hold
2021-10-13,48.2743,5423300,48.4576,48.5799,47.5409,-0.0040,0.0138,0.0505,0.0177,0.0366,73.1946,0.0146,0.0142,0.0069,0.8017,0.1544,1.0558,buy
2021-10-14,49.3918,6279800,48.8069,49.4442,48.4576,0.0232,0.0374,0.0912,0.0323,0.0586,76.7021,0.0137,0.0161,0.0071,0.9010,0.1579,1.2215,buy
2021-10-15,49.9070,5498400,49.8022,50.3785,49.5315,0.0104,0.0236,0.0801,0.0351,0.0675,73.0958,0.0131,0.0183,0.0075,0.9099,-0.1244,1.1362,buy
2021-10-18,50.1253,5218900,49.8284,50.6317,49.7673,0.0044,0.0340,0.0863,0.0311,0.0704,78.4808,0.0128,0.0201,0.0076,0.8972,-0.0508,1.0890,buy
2021-10-19,50.3348,5765200,48.8854,50.3785,48.4576,0.0042,0.0386,0.0594,0.0294,0.0732,81.9337,0.0104,0.0217,0.0073,0.8953,0.1047,1.1822,buy
2021-10-20,51.7842,6276100,50.3348,52.0898,50.1776,0.0288,0.0727,0.0875,0.0501,0.1019,92.7833,0.0125,0.0243,0.0083,1.0217,0.0886,1.2601,buy
2021-10-21,52.1596,4178100,51.9326,52.4390,51.6270,0.0073,0.0560,0.0955,0.0481,0.1078,92.2028,0.0122,0.0270,0.0088,0.9925,-0.3343,0.8432,hold
2021-10-22,52.1334,4978500,52.3779,52.8406,51.9675,-0.0005,0.0446,0.0693,0.0405,0.1053,92.6616,0.0113,0.0288,0.0086,0.9348,0.1916,0.9824,sell
2021-10-25,51.8628,3416900,52.2295,52.2993,51.7143,-0.0052,0.0347,0.0699,0.0281,0.0973,86.7257,0.0112,0.0297,0.0075,0.8576,-0.3137,0.6835,sell
2021-10-26,51.6008,3896600,51.9762,52.0286,51.4698,-0.0051,0.0252,0.0647,0.0166,0.0898,82.7586,0.0117,0.0297,0.0059,0.7964,0.1404,0.7917,sell
2021-10-27,51.0333,4410600,51.3301,51.9413,50.9722,-0.0110,-0.0145,0.0572,-0.0000,0.0760,75.7894,0.0126,0.0287,0.0036,0.7107,0.1319,0.8820,buy
2021-10-28,51.8977,3852400,51.0682,51.9675,51.0682,0.0169,-0.0050,0.0507,0.0120,0.0918,74.7251,0.0117,0.0281,0.0028,0.7919,-0.1266,0.7746,hold
2021-10-29,51.9855,4660700,51.9591,52.4685,51.8362,0.0017,-0.0028,0.0416,0.0096,0.0910,78.4721,0.0116,0.0279,0.0021,0.7802,0.2098,0.9394,buy
