date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,277.6000,4552300,279.9700,279.9700,277.4900,-0.0036,-0.0261,-0.0269,-0.0172,-0.0157,25.2421,0.0050,-0.0040,-0.0043,-0.0047,0.2358,1.1995,buy
2021-09-13,279.9200,4601900,278.3600,280.8400,277.8200,0.0084,-0.0070,-0.0233,-0.0067,-0.0075,33.6770,0.0057,-0.0043,-0.0037,0.1964,0.0109,1.1893,sell
2021-09-14,277.2000,5283200,280.5400,280.7800,276.3600,-0.0097,-0.0061,-0.0296,-0.0134,-0.0170,27.7048,0.0061,-0.0053,-0.0037,0.0601,0.1480,1.3357,buy
2021-09-15,278.1800,3883500,277.6000,279.0600,276.6700,0.0035,-0.0042,-0.0266,-0.0072,-0.0136,26.5914,0.0064,-0.0056,-0.0033,0.1603,-0.2649,0.9786,sell
2021-09-16,277.5100,4210000,278.9600,279.2100,276.2100,-0.0024,-0.0039,-0.0272,-0.0068,-0.0158,28.5872,0.0064,-0.0061,-0.0030,0.1554,0.0841,1.0565,sell
2021-09-17,276.7600,15863300,277.6400,281.0000,275.4200,-0.0027,-0.0030,-0.0291,-0.0066,-0.0187,21.9498,0.0063,-0.0066,-0.0028,0.1490,2.7680,3.4424,sell
2021-09-20,274.2000,7644000,273.0500,274.9100,271.3600,-0.0092,-0.0204,-0.0273,-0.0130,-0.0273,20.0939,0.0061,-0.0077,-0.0031,0.0555,-0.5181,1.5767,sell
2021-09-21,273.1800,4648400,276.0300,276.2200,272.5900,-0.0037,-0.0145,-0.0205,-0.0147,-0.0304,18.6348,0.0055,-0.0088,-0.0033,0.0621,-0.3919,0.9424,buy
2021-09-22,274.0700,5018400,276.2800,276.6100,273.6700,0.0033,-0.0148,-0.0189,-0.0096,-0.0269,22.6406,0.0056,-0.0092,-0.0030,0.1525,0.0796,0.9988,buy
2021-09-23,278.1200,4731600,275.1500,279.7000,275.0100,0.0148,0.0022,-0.0018,0.0052,-0.0125,35.7349,0.0077,-0.0082,-0.0017,0.3931,-0.0571,0.9255,hold
2021-09-24,277.8700,3106100,278.3000,279.1300,277.4100,-0.0009,0.0040,0.0010,0.0042,-0.0133,40.5986,0.0076,-0.0075,-0.0007,0.3960,-0.3435,0.6090,buy
2021-09-27,279.7200,3358400,279.7700,280.6300,278.1200,0.0067,0.0201,-0.0007,0.0110,-0.0068,52.0257,0.0074,-0.0062,0.0004,0.5317,0.0812,0.6592,sell
2021-09-28,276.7900,4959500,279.1400,281.3800,275.8200,-0.0105,0.0132,-0.0015,0.0005,-0.0175,44.3907,0.0075,-0.0061,0.0004,0.3564,0.4767,0.9598,hold
2021-09-29,277.2900,2952000,277.0300,278.7800,275.9500,0.0018,0.0117,-0.0032,0.0027,-0.0158,47.0667,0.0074,-0.0058,0.0006,0.4125,-0.4048,0.5916,sell
2021-09-30,272.9400,5187900,278.3700,278.3700,272.8400,-0.0157,-0.0186,-0.0165,-0.0114,-0.0308,40.9830,0.0089,-0.0068,-0.0002,0.0805,0.7574,1.0206,buy
2021-10-01,275.7100,3950700,273.0200,277.5100,272.2200,0.0101,-0.0078,-0.0038,-0.0010,-0.0208,41.9931,0.0096,-0.0066,-0.0001,0.3306,-0.2385,0.7774,sell
2021-10-04,273.6400,4307000,274.6800,276.9600,273.0500,-0.0075,-0.0217,-0.0020,-0.0083,-0.0278,43.0577,0.0095,-0.0070,-0.0004,0.1322,0.0902,0.8491,buy
2021-10-05,278.0500,5069400,273.8600,279.6700,273.2000,0.0161,0.0046,0.0178,0.0059,-0.0121,49.7764,0.0106,-0.0059,0.0005,0.6401,0.1770,0.9973,buy
2021-10-06,280.2200,3866100,276.2800,280.3900,274.6100,0.0078,0.0106,0.0224,0.0115,-0.0043,54.4324,0.0108,-0.0043,0.0016,0.8747,-0.2374,0.7665,buy
2021-10-07,282.9500,3794200,282.1400,284.9900,282.1400,0.0097,0.0367,0.0174,0.0196,0.0050,59.5085,0.0103,-0.0023,0.0029,1.0654,-0.0186,0.7514,buy
2021-10-08,284.1400,2299900,282.5900,284.7200,281.7100,0.0042,0.0306,0.0226,0.0216,0.0089,65.9397,0.0102,-0.0004,0.0038,1.0540,-0.3938,0.4659,sell
2021-10-11,280.9300,2907900,284.4300,285.6100,280.8000,-0.0113,0.0266,0.0043,0.0096,-0.0026,61.6122,0.0109,0.0002,0.0035,0.7803,0.2644,0.5993,sell
2021-10-12,278.6200,3770800,281.4600,281.5200,278.2100,-0.0082,0.0021,0.0066,0.0006,-0.0109,56.5392,0.0107,-0.0000,0.0027,0.5869,0.2967,0.7895,hold
2021-10-13,277.9000,3311400,278.4700,279.4100,275.5500,-0.0026,-0.0083,0.0022,-0.0022,-0.0132,49.6503,0.0107,-0.0004,0.0019,0.5299,-0.1218,0.6975,buy
2021-10-14,281.6400,3646400,280.8100,282.3800,279.3000,0.0135,-0.0046,0.0319,0.0081,-0.0001,55.3934,0.0099,0.0004,0.0021,0.8027,0.1012,0.7726,buy
2021-10-15,284.2100,4313700,283.9400,284.9700,282.2700,0.0091,0.0002,0.0308,0.0142,0.0088,56.2938,0.0098,0.0017,0.0027,0.9331,0.1830,1.0414,sell
