date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,166.8700,922100,166.8700,168.6100,166.4300,0.0058,0.0102,0.0471,0.0124,0.1125,90.8653,0.0065,0.0291,0.0008,0.7967,0.0867,0.9386,sell
2021-09-13,164.6300,957000,167.8000,168.0000,162.0700,-0.0134,-0.0065,0.0133,-0.0025,0.0936,74.1392,0.0065,0.0279,-0.0006,0.6828,0.0378,0.9688,hold
2021-09-14,164.9300,1303100,165.4500,166.0600,163.7500,0.0018,-0.0003,0.0063,-0.0013,0.0916,74.2181,0.0060,0.0265,-0.0016,0.6760,0.3617,1.2854,buy
2021-09-15,167.5400,1014200,165.1700,168.1300,164.1100,0.0158,0.0120,0.0248,0.0120,0.1047,78.4301,0.0075,0.0259,-0.0014,0.7787,-0.2217,0.9946,hold
2021-09-16,167.6100,983800,167.1600,168.2100,165.6000,0.0004,0.0102,0.0211,0.0104,0.1010,77.4667,0.0075,0.0255,-0.0014,0.7946,-0.0300,0.9643,sell
2021-09-17,163.6300,2759100,167.0000,167.0300,162.4600,-0.0237,-0.0194,-0.0094,-0.0127,0.0712,53.6524,0.0109,0.0236,-0.0032,0.5169,1.8045,2.5398,sell
2021-09-20,160.9300,1484300,161.6200,162.7800,158.9600,-0.0165,-0.0225,-0.0288,-0.0262,0.0504,41.3753,0.0118,0.0204,-0.0055,0.2737,-0.4620,1.3831,hold
2021-09-21,160.8700,860900,162.1800,162.4900,160.5600,-0.0004,-0.0246,-0.0249,-0.0241,0.0468,42.2368,0.0118,0.0173,-0.0069,0.2413,-0.4200,0.8012,buy
2021-09-22,162.2300,762900,161.6000,163.0700,160.4200,0.0085,-0.0317,-0.0201,-0.0139,0.0523,44.5143,0.0122,0.0152,-0.0070,0.3322,-0.1138,0.7135,buy
2021-09-23,163.1000,999500,163.2800,163.9900,162.3800,0.0054,-0.0269,-0.0169,-0.0069,0.0547,43.9700,0.0124,0.0139,-0.0066,0.3813,0.3101,0.9405,hold
