date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,187.5520,4442500,191.4920,192.4083,186.1868,-0.0433,-0.0576,-0.0104,-0.0338,-0.0706,47.6961,0.0213,-0.0095,0.0039,0.1574,1.8756,2.2325,buy
2021-09-13,191.5928,2524800,187.7720,194.1309,187.0756,0.0215,-0.0316,-0.0029,-0.0127,-0.0481,52.5710,0.0220,-0.0095,0.0029,0.4467,-0.4317,1.2268,sell
2021-09-14,186.5992,2297000,192.3259,193.1413,186.3243,-0.0261,-0.0586,-0.0139,-0.0371,-0.0701,42.1720,0.0231,-0.0120,0.0006,0.1358,-0.0902,1.0912,buy
2021-09-15,189.2839,2666200,186.1594,191.1439,186.1502,0.0144,-0.0318,-0.0194,-0.0213,-0.0543,46.0722,0.0226,-0.0122,0.0002,0.3264,0.1607,1.2336,hold
2021-09-16,188.3126,2524900,189.9252,191.7303,186.4617,-0.0051,-0.0394,-0.0217,-0.0243,-0.0567,48.5831,0.0226,-0.0129,-0.0003,0.2569,-0.0530,1.1914,hold
2021-09-17,188.4042,3717200,187.9461,190.0993,186.9198,0.0005,0.0045,-0.0533,-0.0184,-0.0540,45.3029,0.0189,-0.0132,-0.0005,0.2606,0.4722,1.7110,sell
2021-09-20,185.5729,2177500,186.0586,187.1398,184.0153,-0.0150,-0.0314,-0.0620,-0.0269,-0.0656,45.4127,0.0191,-0.0147,-0.0014,0.1072,-0.4142,0.9940,hold
2021-09-21,185.4446,1939300,186.8465,188.0652,185.0598,-0.0007,-0.0062,-0.0644,-0.0210,-0.0635,39.4865,0.0190,-0.0156,-0.0019,0.1323,-0.1094,0.8706,hold
2021-09-22,185.0782,2235000,187.3414,187.9919,184.6567,-0.0020,-0.0222,-0.0533,-0.0176,-0.0625,39.6852,0.0189,-0.0163,-0.0021,0.1533,0.1525,0.9913,hold
2021-09-23,185.5088,2370300,185.4080,187.4604,184.7391,0.0023,-0.0149,-0.0537,-0.0097,-0.0575,27.3476,0.0189,-0.0164,-0.0018,0.2089,0.0605,1.0368,buy
2021-09-24,186.8191,1713000,185.3622,188.2118,185.3622,0.0071,-0.0084,-0.0039,-0.0024,-0.0482,31.6000,0.0136,-0.0157,-0.0009,0.2918,-0.2773,0.7552,buy
2021-09-27,189.3113,2053100,186.0952,190.8506,186.0952,0.0133,0.0201,-0.0119,0.0122,-0.0331,36.1325,0.0123,-0.0138,0.0006,0.4337,0.1985,0.8949,sell
2021-09-28,186.2601,1994000,189.1647,190.6033,186.0036,-0.0161,0.0044,-0.0018,-0.0040,-0.0466,35.7547,0.0103,-0.0138,0.0007,0.2814,-0.0288,0.8607,buy
2021-09-29,186.8557,1457500,186.6358,188.6699,186.1777,0.0032,0.0096,-0.0128,0.0005,-0.0411,35.8634,0.0091,-0.0132,0.0010,0.3300,-0.2691,0.6478,sell
2021-09-30,183.4014,1634000,188.7890,190.1726,183.3464,-0.0185,-0.0114,-0.0261,-0.0154,-0.0560,42.4374,0.0106,-0.0143,0.0001,0.1845,0.1211,0.7257,buy
2021-10-01,185.6371,1786200,184.1710,186.7091,182.2102,0.0122,-0.0063,-0.0147,-0.0019,-0.0419,38.3845,0.0116,-0.0137,0.0004,0.3146,0.0931,0.8064,sell
2021-10-04,182.7508,1751800,185.5455,187.6254,182.0636,-0.0155,-0.0347,-0.0152,-0.0159,-0.0539,41.8225,0.0116,-0.0147,-0.0003,0.1728,-0.0193,0.7889,buy
2021-10-05,184.5375,1528100,183.3097,186.9107,183.0165,0.0098,-0.0092,-0.0049,-0.0058,-0.0423,39.5140,0.0122,-0.0142,0.0001,0.2874,-0.1277,0.6931,buy
2021-10-06,186.2327,1914500,182.7142,186.3609,180.7717,0.0092,-0.0033,0.0062,0.0027,-0.0312,45.5472,0.0125,-0.0129,0.0010,0.4305,0.2529,0.8649,buy
2021-10-07,187.5704,1731500,187.6345,190.0077,187.4696,0.0072,0.0227,0.0111,0.0088,-0.0223,48.3054,0.0127,-0.0112,0.0021,0.6111,-0.0956,0.7789,hold
2021-10-08,188.0011,1478900,190.1268,191.5012,187.2039,0.0023,0.0127,0.0063,0.0105,-0.0179,55.4684,0.0125,-0.0096,0.0029,0.6587,-0.1459,0.7128,sell
