date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,47.2193,10895350,47.3307,47.6572,47.0281,-0.0044,-0.0397,0.0051,-0.0177,0.0083,49.1394,0.0113,0.0069,-0.0019,0.3392,-0.0173,0.8742,buy
2021-09-13,47.7528,14956993,47.7607,48.2464,47.4024,0.0113,-0.0284,0.0096,-0.0076,0.0189,51.2744,0.0116,0.0062,-0.0020,0.5267,0.3728,1.1677,sell
2021-09-14,44.2651,58417503,48.0553,48.4535,44.1138,-0.0730,-0.0781,-0.0690,-0.0737,-0.0547,31.7255,0.0260,-0.0002,-0.0072,-0.3062,2.9057,3.8744,buy
2021-09-15,45.3878,39523174,44.1934,45.9293,44.1934,0.0254,-0.0522,-0.0606,-0.0444,-0.0305,39.7858,0.0270,-0.0034,-0.0083,0.0435,-0.3234,2.4151,hold
2021-09-16,45.6108,19836384,45.5869,45.9691,44.9100,0.0049,-0.0383,-0.0631,-0.0334,-0.0255,42.7973,0.0269,-0.0055,-0.0083,0.1314,-0.4981,1.1886,hold
2021-09-17,45.4754,25350426,45.3321,45.9054,45.2365,-0.0030,-0.0369,-0.0751,-0.0287,-0.0280,40.2221,0.0263,-0.0074,-0.0081,0.1399,0.2780,1.4570,sell
2021-09-20,44.9817,20579442,45.3002,45.3799,44.4801,-0.0109,-0.0580,-0.0847,-0.0306,-0.0380,36.6057,0.0262,-0.0097,-0.0084,0.0975,-0.1882,1.1554,hold
2021-09-21,44.6393,14615766,45.3639,45.6267,44.3925,-0.0076,0.0085,-0.0703,-0.0309,-0.0446,29.8780,0.0257,-0.0121,-0.0086,0.0941,-0.2898,0.8174,hold
2021-09-22,44.6075,18681143,45.2843,45.4356,44.5199,-0.0007,-0.0172,-0.0685,-0.0247,-0.0447,26.8535,0.0258,-0.0138,-0.0082,0.1354,0.2782,1.0207,hold
2021-09-23,44.7269,16276765,44.6473,45.3002,44.4880,0.0027,-0.0194,-0.0569,-0.0163,-0.0416,23.6791,0.0259,-0.0147,-0.0073,0.1890,-0.1287,0.8703,hold
2021-09-24,44.7826,12182793,44.5278,44.9738,44.3925,0.0012,-0.0152,-0.0516,-0.0097,-0.0399,24.2481,0.0260,-0.0152,-0.0062,0.2240,-0.2515,0.6454,hold
2021-09-27,44.8225,10870703,44.4721,44.8543,44.3925,0.0009,-0.0035,-0.0614,-0.0024,-0.0386,28.3711,0.0255,-0.0153,-0.0051,0.2540,-0.1077,0.5807,sell
2021-09-28,43.5962,22819609,44.2332,44.4562,43.4768,-0.0274,-0.0234,-0.0151,-0.0282,-0.0643,24.6948,0.0133,-0.0179,-0.0059,0.1268,1.0992,1.1872,buy
2021-09-29,44.5358,18060896,43.7554,44.7428,43.5643,0.0216,-0.0016,-0.0188,-0.0054,-0.0438,33.8667,0.0125,-0.0173,-0.0045,0.2785,-0.2085,0.9391,hold
2021-09-30,44.5358,20760939,44.5995,45.3241,44.5278,0.0000,-0.0043,-0.0236,-0.0030,-0.0432,34.6679,0.0123,-0.0169,-0.0033,0.2993,0.1495,1.0664,buy
2021-10-01,45.5550,16527297,44.9021,45.7700,44.6552,0.0229,0.0172,0.0018,0.0196,-0.0211,38.1034,0.0146,-0.0143,-0.0008,0.4690,-0.2039,0.8369,sell
2021-10-04,45.2126,15217021,45.5471,45.5471,45.0056,-0.0075,0.0087,0.0051,0.0114,-0.0279,57.7778,0.0144,-0.0131,0.0005,0.4368,-0.0793,0.7579,buy
2021-10-05,45.4206,16667074,45.0527,45.8365,45.0047,0.0046,0.0418,0.0175,0.0143,-0.0229,50.3165,0.0141,-0.0115,0.0016,0.4997,0.0953,0.8309,hold
2021-10-06,45.5086,24375508,44.8607,45.5645,44.7168,0.0019,0.0218,0.0202,0.0142,-0.0205,48.9864,0.0141,-0.0099,0.0025,0.5483,0.4625,1.1958,buy
2021-10-07,45.9085,14765573,45.9245,46.3564,45.8125,0.0088,0.0308,0.0264,0.0205,-0.0118,54.0806,0.0142,-0.0079,0.0036,0.6789,-0.3942,0.7179,sell
2021-10-08,43.7490,25618350,45.5725,45.5725,43.6450,-0.0470,-0.0396,-0.0231,-0.0253,-0.0573,41.1596,0.0212,-0.0105,0.0012,0.1308,0.7350,1.2024,sell
2021-10-11,41.7655,34074538,43.1332,43.2691,41.7255,-0.0453,-0.0762,-0.0682,-0.0631,-0.0980,33.3173,0.0252,-0.0165,-0.0034,-0.3003,0.3301,1.5307,hold
2021-10-12,41.8535,29525064,41.8855,42.0934,41.1977,0.0021,-0.0785,-0.0400,-0.0574,-0.0943,34.1165,0.0242,-0.0204,-0.0058,-0.1128,-0.1335,1.4184,hold
2021-10-13,42.1414,21284729,42.5813,42.6293,41.6775,0.0069,-0.0740,-0.0538,-0.0458,-0.0864,35.3724,0.0229,-0.0225,-0.0065,0.0330,-0.2791,1.0693,buy
2021-10-14,43.1811,22343514,42.2054,43.4371,42.2054,0.0247,-0.0594,-0.0304,-0.0193,-0.0626,41.8471,0.0248,-0.0216,-0.0047,0.2660,0.0497,1.1155,hold
