date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,154.0838,1502700,156.2255,157.3412,153.9942,-0.0169,-0.0381,-0.0464,-0.0321,-0.0757,30.4350,0.0085,-0.0206,-0.0033,0.0018,0.1047,1.1255,hold
2021-09-13,154.1000,1597600,155.5496,156.0789,153.0658,0.0001,-0.0266,-0.0488,-0.0272,-0.0734,16.8112,0.0083,-0.0216,-0.0035,0.0501,0.0632,1.1512,hold
2021-09-14,153.7906,1170000,155.3786,156.0056,153.0251,-0.0020,-0.0208,-0.0480,-0.0243,-0.0731,17.7011,0.0083,-0.0224,-0.0034,0.0619,-0.2677,0.8299,hold
2021-09-15,153.8801,1505500,153.0576,154.1326,152.2840,0.0006,-0.0202,-0.0589,-0.0178,-0.0710,18.5470,0.0062,-0.0227,-0.0030,0.1002,0.2868,1.0463,hold
2021-09-16,153.6603,1273900,154.3280,155.8183,153.6195,-0.0014,-0.0196,-0.0484,-0.0143,-0.0707,19.3372,0.0059,-0.0228,-0.0024,0.1316,-0.1538,1.0614,hold
2021-09-17,153.6277,1881400,153.1879,154.4665,152.7889,-0.0002,-0.0030,-0.0409,-0.0103,-0.0693,16.5723,0.0060,-0.0226,-0.0018,0.1689,0.4769,1.5394,sell
2021-09-20,153.1065,1389000,152.8459,154.0593,151.4127,-0.0034,-0.0064,-0.0328,-0.0104,-0.0705,16.4944,0.0054,-0.0225,-0.0013,0.1732,-0.2617,1.1190,sell
2021-09-21,151.3394,1299500,153.6195,154.1733,151.2986,-0.0115,-0.0159,-0.0364,-0.0181,-0.0791,0.8546,0.0058,-0.0234,-0.0015,0.1064,-0.0644,1.0404,buy
2021-09-22,154.1815,1776500,152.8459,154.7190,151.5511,0.0188,0.0020,-0.0183,0.0022,-0.0599,22.3531,0.0092,-0.0216,-0.0002,0.3061,0.3671,1.3692,buy
2021-09-23,157.5610,1495600,154.9307,158.0741,154.8574,0.0219,0.0254,0.0053,0.0236,-0.0378,41.4134,0.0119,-0.0182,0.0022,0.5425,-0.1581,1.1333,buy
2021-09-24,161.2501,1889300,157.6018,161.6817,157.0317,0.0234,0.0496,0.0465,0.0427,-0.0142,58.6194,0.0121,-0.0135,0.0052,0.7967,0.2632,1.3666,hold
2021-09-27,161.5921,1687800,161.6084,164.3039,160.8429,0.0021,0.0554,0.0486,0.0399,-0.0111,64.0164,0.0120,-0.0098,0.0071,0.8241,-0.1067,1.1922,hold
2021-09-28,161.1523,1873100,163.0498,163.6768,159.2631,-0.0027,0.0648,0.0479,0.0321,-0.0131,62.3532,0.0121,-0.0071,0.0079,0.7971,0.1098,1.2762,sell
2021-09-29,159.7435,1027600,160.8022,161.2664,159.5725,-0.0087,0.0361,0.0381,0.0193,-0.0206,58.5098,0.0128,-0.0056,0.0076,0.7300,-0.4514,0.7074,sell
2021-09-30,157.4796,1392900,160.5172,160.8348,157.2190,-0.0142,-0.0005,0.0249,0.0024,-0.0328,59.8026,0.0139,-0.0055,0.0063,0.5788,0.3555,0.9621,buy
2021-10-01,160.0937,1254400,158.2044,160.6230,156.0382,0.0166,-0.0072,0.0421,0.0149,-0.0156,65.0451,0.0146,-0.0039,0.0062,0.7886,-0.0994,0.8760,sell
2021-10-04,158.5627,1384300,159.6702,161.2500,156.6571,-0.0096,-0.0187,0.0356,0.0017,-0.0234,61.2866,0.0151,-0.0035,0.0053,0.6646,0.1036,0.9560,buy
2021-10-05,161.5025,989800,157.6262,162.4553,157.4959,0.0185,0.0022,0.0672,0.0138,-0.0042,65.8860,0.0147,-0.0016,0.0057,0.8594,-0.2850,0.6856,hold
2021-10-06,161.8282,946500,160.6311,161.9260,160.0367,0.0020,0.0131,0.0496,0.0109,-0.0009,66.9484,0.0141,0.0000,0.0058,0.8460,-0.0437,0.6596,buy
2021-10-07,164.5889,1465700,163.4651,164.7110,162.6589,0.0171,0.0451,0.0446,0.0237,0.0172,70.4312,0.0135,0.0026,0.0067,0.9630,0.5485,1.0177,hold
2021-10-08,164.1166,1170300,163.8397,164.7762,161.5432,-0.0029,0.0251,0.0178,0.0189,0.0155,70.5597,0.0119,0.0044,0.0068,0.8814,-0.2015,0.8221,hold
2021-10-11,163.9456,929300,165.0449,166.4293,163.6361,-0.0010,0.0339,0.0146,0.0164,0.0154,75.0325,0.0119,0.0057,0.0064,0.8318,-0.2059,0.6685,buy
2021-10-12,165.1590,1077000,163.9456,165.9652,163.6198,0.0074,0.0226,0.0249,0.0214,0.0237,73.3058,0.0119,0.0071,0.0063,0.8600,0.1589,0.7774,buy
2021-10-13,166.3397,1540300,164.3283,166.7062,162.4634,0.0071,0.0279,0.0413,0.0245,0.0314,70.5570,0.0113,0.0087,0.0063,0.8806,0.4302,1.1104,buy
2021-10-14,168.6118,1314500,166.4700,168.7584,165.4847,0.0137,0.0244,0.0707,0.0314,0.0456,68.4642,0.0096,0.0109,0.0068,0.9450,-0.1466,0.9462,buy
2021-10-15,172.5614,1746600,169.3855,173.1396,168.9946,0.0234,0.0515,0.0779,0.0476,0.0696,73.2966,0.0106,0.0140,0.0081,1.0499,0.3287,1.2634,buy
2021-10-18,174.2145,1524800,171.8692,174.5647,171.5679,0.0096,0.0626,0.0987,0.0477,0.0793,76.3817,0.0087,0.0172,0.0090,1.0378,-0.1270,1.0975,buy
2021-10-19,177.1706,1663700,174.8986,177.2358,174.1983,0.0170,0.0727,0.0970,0.0555,0.0965,83.1270,0.0085,0.0205,0.0100,1.0800,0.0911,1.1820,sell
2021-10-20,174.4099,1080400,177.3579,177.3579,173.5060,-0.0156,0.0485,0.0777,0.0313,0.0788,81.5860,0.0115,0.0223,0.0092,0.9163,-0.3506,0.7871,hold
2021-10-21,174.9149,1204700,175.1836,175.9003,174.0354,0.0029,0.0374,0.0627,0.0280,0.0812,80.0132,0.0111,0.0233,0.0082,0.8887,0.1150,0.8870,buy
2021-10-22,177.4882,1184600,175.0859,178.0746,174.5728,0.0147,0.0286,0.0815,0.0350,0.0959,86.7721,0.0109,0.0247,0.0079,0.9278,-0.0167,0.8954,hold
2021-10-25,177.2765,1021200,177.5290,178.0339,176.4296,-0.0012,0.0176,0.0813,0.0258,0.0933,84.2832,0.0109,0.0257,0.0071,0.8706,-0.1379,0.7919,buy
2021-10-26,178.5632,1331900,177.3335,179.5079,176.4296,0.0073,0.0079,0.0812,0.0253,0.0998,84.9134,0.0109,0.0265,0.0065,0.8692,0.3042,1.0549,sell
2021-10-27,176.7635,1526700,178.7505,178.7831,176.0957,-0.0101,0.0135,0.0627,0.0089,0.0874,76.4602,0.0123,0.0265,0.0050,0.7777,0.1463,1.1858,buy
2021-10-28,177.8059,1726600,176.2016,178.3434,175.5175,0.0059,0.0165,0.0545,0.0096,0.0914,79.0328,0.0120,0.0263,0.0039,0.7886,0.1309,1.3239,buy
2021-10-29,179.6056,1318300,177.3987,180.3222,176.9345,0.0101,0.0119,0.0408,0.0157,0.0999,81.0662,0.0104,0.0265,0.0035,0.8213,-0.2365,1.0084,sell
2021-11-01,177.7977,803400,180.5014,180.5014,176.3075,-0.0101,0.0029,0.0206,0.0035,0.0865,74.4949,0.0111,0.0260,0.0022,0.7367,-0.3906,0.6285,buy
2021-11-02,179.6463,984300,177.9361,180.2733,177.3661,0.0104,0.0061,0.0140,0.0125,0.0957,75.1385,0.0103,0.0257,0.0017,0.7843,0.2252,0.7702,hold
2021-11-03,179.5160,753500,180.1186,181.1610,178.0746,-0.0007,0.0156,0.0293,0.0089,0.0926,72.4138,0.0084,0.0253,0.0010,0.7589,-0.2345,0.5941,hold
2021-11-04,179.6219,1858500,187.4152,188.0260,178.4980,0.0006,0.0102,0.0269,0.0068,0.0910,67.2365,0.0085,0.0247,0.0004,0.7415,1.4665,1.4429,buy
2021-11-05,180.5502,1364100,182.4965,182.8711,179.7114,0.0052,0.0053,0.0173,0.0103,0.0941,66.0346,0.0075,0.0243,0.0001,0.7645,-0.2660,1.0512,sell
2021-11-08,179.7033,757000,181.4786,181.8206,178.7505,-0.0047,0.0107,0.0137,0.0042,0.0866,57.1760,0.0077,0.0235,-0.0007,0.7109,-0.4451,0.5872,buy
2021-11-09,180.5665,753600,179.4345,180.7538,178.4085,0.0048,0.0051,0.0112,0.0079,0.0894,69.5453,0.0075,0.0228,-0.0010,0.7529,-0.0045,0.5920,sell
2021-11-10,180.0372,970000,180.5828,182.2930,179.2636,-0.0029,0.0029,0.0185,0.0031,0.0840,66.2368,0.0066,0.0220,-0.0016,0.7193,0.2872,0.7795,buy
2021-11-11,181.2017,1005400,180.4036,181.4786,179.4671,0.0065,0.0088,0.0191,0.0077,0.0884,62.9255,0.0067,0.0213,-0.0016,0.8352,0.0365,0.8181,buy
2021-11-12,183.1073,1630100,181.1528,183.3516,180.5258,0.0105,0.0142,0.0195,0.0163,0.0969,68.1544,0.0067,0.0213,-0.0011,0.9977,0.6213,1.3327,buy
2021-11-15,184.5975,1496700,182.7652,184.6953,182.4069,0.0081,0.0272,0.0382,0.0207,0.1023,68.5530,0.0054,0.0217,-0.0004,1.0662,-0.0818,1.2251,sell
