date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,142.9525,2855400,144.1931,145.0293,142.8054,-0.0014,-0.0281,-0.0936,-0.0331,-0.0459,32.5812,0.0229,-0.0168,-0.0128,0.1452,-0.0169,1.0566,buy
2021-09-13,146.0493,3349600,144.3401,146.5088,144.1931,0.0217,0.0106,-0.0960,-0.0017,-0.0256,36.4955,0.0224,-0.0161,-0.0098,0.2761,0.1731,1.2174,sell
2021-09-14,141.8773,4075000,146.6558,147.1888,141.4729,-0.0286,-0.0162,-0.0654,-0.0236,-0.0532,31.5416,0.0157,-0.0185,-0.0097,0.1554,0.2166,1.4301,buy
2021-09-15,146.0309,3210800,142.6400,146.2055,142.2632,0.0293,0.0279,-0.0425,0.0095,-0.0260,32.5591,0.0192,-0.0170,-0.0067,0.3301,-0.2121,1.1185,buy
2021-09-16,147.1888,2627300,146.6650,148.1721,146.2239,0.0079,0.0282,-0.0093,0.0185,-0.0190,36.3636,0.0179,-0.0153,-0.0040,0.3919,-0.1817,0.9016,hold
2021-09-17,146.6375,4829600,146.2056,148.0894,145.6082,-0.0037,0.0258,-0.0031,0.0150,-0.0237,28.8946,0.0177,-0.0142,-0.0023,0.3846,0.8382,1.5932,sell
2021-09-20,143.6968,3430000,141.6016,144.2849,140.9032,-0.0201,-0.0161,-0.0057,-0.0048,-0.0429,35.7925,0.0180,-0.0151,-0.0024,0.2887,-0.2898,1.1161,hold
2021-09-21,143.8163,2845900,145.1947,145.9850,143.6509,0.0008,0.0137,-0.0027,-0.0037,-0.0413,34.4193,0.0180,-0.0153,-0.0021,0.3140,-0.1703,0.9138,buy
2021-09-22,146.6834,3001400,145.8196,147.9699,145.5347,0.0199,0.0045,0.0325,0.0129,-0.0219,46.4750,0.0182,-0.0134,-0.0003,0.4481,0.0546,0.9435,buy
2021-09-23,152.5647,2977000,148.5488,153.6031,147.9515,0.0401,0.0365,0.0657,0.0468,0.0162,58.7647,0.0216,-0.0085,0.0033,0.7388,-0.0081,0.9243,hold
2021-09-24,152.7026,2695100,151.7469,154.4302,151.5906,0.0009,0.0414,0.0682,0.0407,0.0163,64.2106,0.0215,-0.0048,0.0055,0.7788,-0.0947,0.8262,buy
2021-09-27,156.0016,2611000,154.0993,156.4702,153.7501,0.0216,0.0856,0.0681,0.0561,0.0365,68.5351,0.0215,-0.0002,0.0079,1.0485,-0.0312,0.7899,sell
2021-09-28,153.8145,2935900,155.7075,157.6006,153.5572,-0.0140,0.0695,0.0841,0.0329,0.0202,68.4363,0.0192,0.0022,0.0084,0.8949,0.1244,0.9069,hold
2021-09-29,153.0518,2004500,154.9540,154.9540,152.4728,-0.0050,0.0434,0.0481,0.0230,0.0139,65.6953,0.0181,0.0038,0.0080,0.8454,-0.3172,0.6368,sell
2021-09-30,148.8429,2712000,154.2740,154.2740,148.7327,-0.0275,-0.0244,0.0112,-0.0063,-0.0140,58.2881,0.0207,0.0028,0.0057,0.5988,0.3530,0.8703,buy
2021-10-01,153.0426,2696400,149.4311,154.2372,148.7510,0.0282,0.0022,0.0437,0.0174,0.0131,59.5435,0.0222,0.0040,0.0055,0.8119,-0.0058,0.8712,hold
2021-10-04,152.6474,2759000,153.0426,156.4795,152.2615,-0.0026,-0.0215,0.0623,0.0088,0.0096,66.3871,0.0207,0.0048,0.0050,0.7621,0.0232,0.9002,buy
2021-10-05,155.0459,2089100,154.4578,156.8562,152.9047,0.0157,0.0080,0.0781,0.0171,0.0245,64.4905,0.0208,0.0066,0.0054,0.8495,-0.2428,0.6969,hold
2021-10-06,154.2648,2032000,153.3918,155.3308,151.1403,-0.0050,0.0079,0.0517,0.0070,0.0185,61.5133,0.0207,0.0075,0.0051,0.7807,-0.0273,0.6930,hold
2021-10-07,154.2739,2011100,155.9740,157.5362,154.1177,0.0001,0.0365,0.0112,0.0059,0.0176,62.6484,0.0167,0.0082,0.0046,0.7554,-0.0103,0.6965,buy
