date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,440.8194,1324800,442.7243,443.8899,438.9620,-0.0017,0.0091,0.0353,0.0116,0.0702,59.1084,0.0064,0.0178,-0.0003,0.8888,-0.0528,0.8590,sell
2021-09-13,435.6072,1679500,442.6200,443.7383,434.2236,-0.0118,-0.0062,0.0207,-0.0024,0.0543,56.6979,0.0081,0.0167,-0.0013,0.6392,0.2677,1.0761,sell
2021-09-14,434.4226,1383900,436.8297,438.0143,433.4845,-0.0027,-0.0026,0.0054,-0.0056,0.0486,59.9043,0.0073,0.0153,-0.0022,0.5728,-0.1760,0.8905,buy
2021-09-15,436.6213,1770300,434.2616,438.0618,432.2715,0.0051,-0.0107,0.0115,-0.0017,0.0508,63.5022,0.0074,0.0143,-0.0025,0.6580,0.2792,1.1452,buy
2021-09-16,439.0662,1577500,436.6780,439.5021,432.6789,0.0056,-0.0056,0.0149,0.0024,0.0539,69.5311,0.0075,0.0139,-0.0023,0.7568,-0.1089,1.0357,sell
2021-09-17,435.4651,3411400,437.4647,438.6019,433.1054,-0.0082,-0.0121,-0.0032,-0.0055,0.0427,61.8751,0.0075,0.0128,-0.0028,0.5596,1.1625,2.1374,sell
2021-09-20,427.5330,2602000,432.7357,436.8297,423.2495,-0.0182,-0.0185,-0.0247,-0.0212,0.0219,44.2137,0.0092,0.0105,-0.0043,0.1808,-0.2373,1.5957,hold
2021-09-21,428.4523,1531300,427.5331,432.9348,426.6044,0.0022,-0.0137,-0.0163,-0.0175,0.0220,45.9687,0.0092,0.0086,-0.0050,0.2390,-0.4115,0.9480,hold
2021-09-22,428.6607,1380800,430.9067,431.5227,426.3010,0.0005,-0.0182,-0.0287,-0.0142,0.0204,44.9039,0.0077,0.0070,-0.0052,0.2465,-0.0983,0.8591,hold
2021-09-23,429.0872,2061200,428.6323,431.7122,427.4951,0.0010,-0.0227,-0.0282,-0.0103,0.0194,38.9653,0.0077,0.0058,-0.0052,0.2598,0.4928,1.2612,buy
2021-09-24,443.2739,3353800,432.1198,444.1931,431.1910,0.0331,0.0179,0.0056,0.0218,0.0504,55.1485,0.0137,0.0071,-0.0028,0.9193,0.6271,1.9374,sell
2021-09-27,436.4601,2526000,441.1890,445.8705,433.3139,-0.0154,0.0209,0.0020,0.0059,0.0319,50.8769,0.0141,0.0071,-0.0023,0.5631,-0.2468,1.4097,sell
2021-09-28,423.9413,2632700,433.2191,433.5602,422.3493,-0.0287,-0.0105,-0.0241,-0.0206,0.0008,35.1657,0.0169,0.0048,-0.0039,-0.0147,0.0422,1.4135,buy
2021-09-29,428.1490,1922000,426.3295,432.1387,425.4102,0.0099,-0.0012,-0.0194,-0.0089,0.0091,39.2884,0.0172,0.0036,-0.0041,0.2012,-0.2700,1.0258,sell
2021-09-30,425.8367,1836400,429.8833,431.5322,425.7893,-0.0054,-0.0076,-0.0301,-0.0113,0.0020,38.3252,0.0170,0.0022,-0.0044,0.1335,-0.0445,0.9669,hold
2021-10-01,424.8701,1860700,426.1968,427.4762,417.6962,-0.0023,-0.0415,-0.0243,-0.0111,-0.0016,41.0406,0.0169,0.0008,-0.0046,0.1387,0.0132,0.9693,sell
2021-10-04,417.1086,2264000,424.8795,425.8366,413.3463,-0.0183,-0.0443,-0.0244,-0.0268,-0.0206,36.9815,0.0169,-0.0017,-0.0058,-0.0506,0.2167,1.1506,buy
2021-10-05,422.8894,1808700,416.5779,425.6092,416.2652,0.0139,-0.0025,-0.0130,-0.0120,-0.0081,40.2027,0.0176,-0.0025,-0.0053,0.1888,-0.2011,0.9112,buy
2021-10-06,425.8272,1334600,420.7003,426.2442,419.2314,0.0069,-0.0054,-0.0066,-0.0045,-0.0024,40.6204,0.0178,-0.0026,-0.0043,0.3093,-0.2621,0.6730,buy
2021-10-07,429.1725,1966200,432.5841,435.5408,428.4144,0.0079,0.0078,0.0002,0.0033,0.0041,45.5256,0.0180,-0.0020,-0.0029,0.4447,0.4733,0.9775,hold
2021-10-08,428.2059,1545800,431.6080,431.9018,426.4527,-0.0023,0.0079,-0.0340,0.0046,0.0006,50.5310,0.0138,-0.0017,-0.0021,0.4277,-0.2138,0.7643,sell
2021-10-11,426.1684,1011700,426.4906,429.9496,426.0168,-0.0048,0.0217,-0.0236,0.0022,-0.0050,48.2287,0.0132,-0.0019,-0.0018,0.3639,-0.3455,0.5086,sell
2021-10-12,423.4865,1380900,426.5949,429.1536,422.4251,-0.0063,0.0014,-0.0011,-0.0040,-0.0121,46.1354,0.0096,-0.0025,-0.0019,0.2792,0.3649,0.6943,sell
2021-10-13,421.9986,1621500,425.0691,426.9360,420.8330,-0.0035,-0.0090,-0.0144,-0.0060,-0.0160,44.7882,0.0090,-0.0032,-0.0021,0.2457,0.1742,0.8183,buy
2021-10-14,427.0781,1480400,423.7139,428.0637,423.1358,0.0120,-0.0049,0.0029,0.0056,-0.0048,36.2510,0.0098,-0.0027,-0.0013,0.4731,-0.0870,0.7490,buy
2021-10-15,428.7177,1494800,430.1392,430.1865,425.6756,0.0038,0.0012,0.0091,0.0086,-0.0014,42.7942,0.0098,-0.0020,-0.0005,0.5643,0.0097,0.7948,buy
2021-10-18,437.7773,2141300,426.0830,438.1564,425.0311,0.0211,0.0272,0.0496,0.0249,0.0187,63.7632,0.0091,0.0002,0.0014,0.9257,0.4325,1.1526,buy
2021-10-19,442.6390,1365300,438.7725,442.7148,436.2232,0.0111,0.0452,0.0467,0.0315,0.0288,64.2286,0.0089,0.0028,0.0031,1.0251,-0.3624,0.7382,buy
2021-10-20,445.1881,1352900,444.0036,447.7753,443.3591,0.0058,0.0550,0.0455,0.0328,0.0335,68.9144,0.0088,0.0052,0.0044,1.0153,-0.0091,0.7321,buy
2021-10-21,452.2579,1423300,445.1882,452.6559,444.5343,0.0159,0.0590,0.0538,0.0436,0.0484,73.9160,0.0095,0.0082,0.0059,1.0892,0.0520,0.7837,buy
2021-10-22,456.7687,1710300,453.9257,459.6496,453.5277,0.0100,0.0654,0.0667,0.0471,0.0572,86.7170,0.0092,0.0111,0.0072,1.1034,0.2016,0.9863,buy
2021-10-25,464.4544,1903400,456.7687,466.4540,454.4090,0.0168,0.0609,0.0898,0.0555,0.0730,87.1695,0.0088,0.0145,0.0085,1.1165,0.1129,1.1178,sell
2021-10-26,460.1235,2378600,456.9014,462.7011,456.0485,-0.0093,0.0395,0.0865,0.0370,0.0614,79.9239,0.0094,0.0166,0.0084,0.9553,0.2497,1.4073,buy
2021-10-27,463.5162,1741800,458.5314,465.7811,458.2566,0.0074,0.0412,0.0984,0.0350,0.0675,79.9405,0.0085,0.0183,0.0081,0.9425,-0.2677,1.0361,buy
2021-10-28,465.6139,1362400,462.2252,466.8478,461.7696,0.0045,0.0295,0.0902,0.0308,0.0703,81.9812,0.0085,0.0198,0.0078,0.9143,-0.2178,0.8220,hold
2021-10-29,466.5726,2471600,462.0544,469.0690,461.9405,0.0021,0.0215,0.0883,0.0243,0.0707,85.1919,0.0087,0.0210,0.0072,0.8781,0.8142,1.4642,hold
2021-11-01,466.8858,1548700,469.0500,469.7524,462.4530,0.0007,0.0052,0.0665,0.0185,0.0698,89.4275,0.0077,0.0217,0.0063,0.8454,-0.3734,0.9374,buy
2021-11-02,471.7457,2012200,469.6100,474.1187,467.6926,0.0104,0.0253,0.0658,0.0226,0.0790,92.5852,0.0077,0.0227,0.0059,0.8698,0.2993,1.2104,buy
2021-11-03,476.8145,1856000,475.8748,477.4125,470.5687,0.0107,0.0287,0.0710,0.0266,0.0881,92.5838,0.0078,0.0239,0.0059,0.8895,-0.0776,1.0992,buy
2021-11-04,489.4295,2615000,481.2568,493.7864,480.3076,0.0265,0.0511,0.0822,0.0454,0.1138,93.7571,0.0096,0.0262,0.0069,0.9764,0.4089,1.5196,sell
2021-11-05,487.0565,2071700,488.6227,491.5938,482.7946,-0.0048,0.0439,0.0663,0.0336,0.1053,89.3058,0.0104,0.0280,0.0069,0.8952,-0.2078,1.1857,sell
2021-11-08,478.2193,2834800,487.3317,487.3317,474.7927,-0.0181,0.0243,0.0296,0.0119,0.0827,76.6870,0.0123,0.0280,0.0052,0.7642,0.3683,1.5420,buy
2021-11-09,482.8704,1881800,479.4627,483.2406,478.4566,0.0097,0.0236,0.0494,0.0168,0.0908,77.3996,0.0116,0.0278,0.0042,0.7946,-0.3362,1.0099,sell
2021-11-10,479.8329,1226600,482.4432,484.4365,478.1812,-0.0063,0.0063,0.0352,0.0070,0.0815,71.2993,0.0121,0.0272,0.0027,0.7391,-0.3482,0.6653,buy
2021-11-11,486.1642,1227300,480.4880,486.4679,478.4377,0.0132,-0.0067,0.0441,0.0159,0.0932,72.0844,0.0125,0.0270,0.0023,0.8051,0.0006,0.6703,buy
2021-11-12,490.9007,1780200,488.1291,493.2642,487.1609,0.0097,0.0079,0.0521,0.0206,0.1011,70.7900,0.0125,0.0273,0.0022,0.8569,0.4505,0.9647,buy
2021-11-15,493.4825,1392300,492.1536,496.5295,491.6980,0.0053,0.0319,0.0570,0.0203,0.1042,76.9658,0.0124,0.0277,0.0022,0.8714,-0.2179,0.7702,buy
2021-11-16,499.9656,1690700,493.4352,501.4654,491.1285,0.0131,0.0354,0.0598,0.0277,0.1155,78.0619,0.0126,0.0285,0.0027,0.9380,0.2143,0.9269,hold
2021-11-17,499.5575,1609400,500.7061,503.7815,497.8679,-0.0008,0.0411,0.0477,0.0221,0.1117,76.8307,0.0126,0.0290,0.0026,0.9006,-0.0481,0.8761,buy
2021-11-18,502.4810,1664200,501.3325,503.8384,495.9505,0.0059,0.0336,0.0267,0.0254,0.1152,77.5287,0.0101,0.0294,0.0025,0.9105,0.0340,0.9001,buy
2021-11-19,506.6765,1909800,506.9518,508.0909,501.1901,0.0083,0.0321,0.0403,0.0298,0.1212,78.7912,0.0099,0.0299,0.0025,0.9328,0.1476,1.0274,buy
2021-11-22,512.2390,2190500,506.2305,517.7159,505.2813,0.0110,0.0380,0.0711,0.0340,0.1297,79.0046,0.0062,0.0306,0.0029,0.9581,0.1470,1.1693,buy
2021-11-23,517.5640,2147000,510.6348,518.0956,506.6577,0.0104,0.0352,0.0718,0.0374,0.1373,79.0814,0.0063,0.0317,0.0034,0.9777,-0.0199,1.1532,buy
2021-11-24,521.8070,2316400,517.8298,522.8512,515.7226,0.0082,0.0445,0.0875,0.0372,0.1423,76.2425,0.0042,0.0327,0.0037,0.9745,0.0789,1.2253,sell
2021-11-26,518.3897,1844800,521.6360,526.3820,516.6621,-0.0065,0.0317,0.0663,0.0239,0.1309,74.9733,0.0060,0.0331,0.0031,0.8815,-0.2036,0.9636,buy
2021-11-29,526.6953,2919100,518.3897,532.2956,514.8586,0.0160,0.0395,0.0729,0.0330,0.1445,88.9666,0.0067,0.0336,0.0033,0.9464,0.5823,1.5071,sell
2021-11-30,511.9826,4244200,523.0124,528.8690,508.6699,-0.0279,-0.0005,0.0375,0.0005,0.1084,70.1432,0.0130,0.0327,0.0012,0.7164,0.4539,2.0487,sell
2021-12-01,502.9272,2877100,515.5136,520.4021,502.5096,-0.0177,-0.0283,0.0059,-0.0178,0.0853,64.7509,0.0141,0.0299,-0.0017,0.5598,-0.3221,1.3604,sell
2021-12-02,498.8171,3277500,492.1726,503.9428,487.9297,-0.0082,-0.0441,-0.0015,-0.0257,0.0732,58.3177,0.0144,0.0265,-0.0043,0.4734,0.1392,1.4993,buy
2021-12-03,502.0634,2984400,503.0695,510.1981,498.1147,0.0065,-0.0315,-0.0008,-0.0192,0.0768,57.4847,0.0144,0.0238,-0.0055,0.5190,-0.0894,1.3538,buy
2021-12-06,506.1166,2432900,505.2149,508.8219,500.7726,0.0081,-0.0391,-0.0011,-0.0112,0.0826,58.3074,0.0144,0.0219,-0.0057,0.5754,-0.1848,1.0946,buy
2021-12-07,514.4885,2579800,510.9100,515.4187,507.5498,0.0165,0.0049,0.0044,0.0047,0.0968,59.3179,0.0150,0.0214,-0.0046,0.7076,0.0604,1.1674,sell
2021-12-08,503.1834,3037500,518.4657,519.9654,498.8550,-0.0220,0.0005,-0.0278,-0.0146,0.0691,52.0410,0.0160,0.0196,-0.0056,0.4669,0.1774,1.3395,sell
2021-12-09,497.6970,3200500,501.9399,505.2907,497.1939,-0.0109,-0.0022,-0.0462,-0.0207,0.0543,47.3826,0.0157,0.0170,-0.0068,0.3121,0.0537,1.3525,buy
2021-12-10,530.4352,6333600,507.5499,532.7608,507.4549,0.0658,0.0565,0.0232,0.0412,0.1187,59.9050,0.0272,0.0186,-0.0030,1.0163,0.9789,2.4159,hold
2021-12-13,528.9163,3415200,522.4807,531.3178,520.1457,-0.0029,0.0450,0.0042,0.0378,0.1107,57.1954,0.0268,0.0202,-0.0011,0.9303,-0.4608,1.2633,sell
2021-12-14,517.6397,3494400,528.1949,528.8688,510.2644,-0.0213,0.0061,0.0110,0.0145,0.0824,50.0311,0.0261,0.0200,-0.0014,0.6577,0.0232,1.2442,buy
2021-12-15,536.7568,2937100,518.4657,537.7155,517.8202,0.0369,0.0667,0.0673,0.0451,0.1171,55.4675,0.0274,0.0214,0.0006,1.0122,-0.1595,1.0231,sell
2021-12-16,524.5595,2683000,536.1018,537.7724,521.5410,-0.0227,0.0540,0.0516,0.0162,0.0872,52.1203,0.0286,0.0215,0.0002,0.7275,-0.0865,0.9174,sell
2021-12-17,519.7947,5752000,521.4178,528.2046,513.5014,-0.0091,-0.0201,0.0353,0.0035,0.0733,47.5694,0.0290,0.0204,-0.0009,0.6079,1.1439,1.8384,hold
2021-12-20,520.6962,2033600,514.5928,521.2468,510.7011,0.0017,-0.0155,0.0288,0.0025,0.0711,53.3999,0.0289,0.0193,-0.0016,0.6134,-0.6465,0.6487,hold
2021-12-21,517.7253,2472800,522.5378,523.7528,508.8503,-0.0057,0.0002,0.0063,-0.0039,0.0610,56.0619,0.0286,0.0178,-0.0025,0.5407,0.2160,0.7852,hold
2021-12-22,521.7499,1454500,517.6779,522.0632,512.3813,0.0078,-0.0280,0.0369,0.0003,0.0649,59.4008,0.0275,0.0169,-0.0027,0.6256,-0.4118,0.4670,hold
2021-12-23,522.4144,1757800,523.7148,524.5406,519.6807,0.0013,-0.0041,0.0497,-0.0032,0.0619,58.5229,0.0270,0.0161,-0.0027,0.6396,0.2085,0.5695,buy
2021-12-27,534.8490,2262900,523.5250,537.0037,523.4301,0.0238,0.0290,0.0083,0.0197,0.0825,61.2436,0.0185,0.0169,-0.0012,0.8733,0.2873,0.7282,hold
2021-12-28,535.9597,1155000,534.8111,537.8581,532.2198,0.0021,0.0293,0.0133,0.0205,0.0800,58.9083,0.0185,0.0177,-0.0003,0.8695,-0.4896,0.3825,buy
2021-12-29,538.9305,1753000,537.6301,542.4616,534.8774,0.0055,0.0410,0.0411,0.0220,0.0816,65.9334,0.0166,0.0185,0.0005,0.8776,0.5177,0.6056,sell
2021-12-30,535.2664,1338700,540.6010,540.9332,533.8047,-0.0068,0.0259,-0.0028,0.0153,0.0703,67.0221,0.0122,0.0186,0.0004,0.7800,-0.2363,0.4751,buy
2021-12-31,538.8640,1509200,534.7919,539.3861,530.6344,0.0067,0.0315,0.0273,0.0194,0.0734,55.1892,0.0094,0.0188,0.0005,0.8200,0.1274,0.5529,hold
2022-01-03,537.9244,2714100,536.3297,538.6457,527.2933,-0.0017,0.0057,0.0349,0.0141,0.0679,55.5857,0.0086,0.0187,0.0003,0.7775,0.7984,0.9993,sell
2022-01-04,535.5704,2097500,535.5704,539.8323,533.2543,-0.0044,-0.0007,0.0286,0.0069,0.0599,62.5018,0.0090,0.0181,-0.0003,0.7090,-0.2272,0.7771,sell
2022-01-05,521.9872,2887500,535.0578,536.3487,521.8448,-0.0254,-0.0314,0.0082,-0.0195,0.0307,38.8410,0.0125,0.0158,-0.0025,0.4124,0.3766,1.0637,hold
2022-01-06,521.8734,2503100,518.4563,525.4045,515.9409,-0.0002,-0.0250,0.0002,-0.0197,0.0280,47.5172,0.0123,0.0133,-0.0039,0.3764,-0.1331,0.9313,sell
2022-01-07,508.9451,2323900,519.7376,520.5159,507.1036,-0.0248,-0.0555,-0.0258,-0.0416,0.0007,41.2866,0.0146,0.0096,-0.0065,-0.0254,-0.0716,0.8790,sell
2022-01-10,492.4479,4916800,502.4051,503.4682,482.6711,-0.0324,-0.0845,-0.0793,-0.0652,-0.0327,31.8581,0.0141,0.0038,-0.0103,-0.2041,1.1158,1.9108,buy
2022-01-11,495.5140,2457300,492.4480,495.9316,484.3703,0.0062,-0.0748,-0.0755,-0.0521,-0.0278,35.7526,0.0145,-0.0006,-0.0116,-0.0257,-0.5002,0.9731,buy
2022-01-12,499.0924,1729500,495.5139,503.1076,495.4949,0.0072,-0.0439,-0.0739,-0.0379,-0.0220,35.3828,0.0147,-0.0033,-0.0114,0.0894,-0.2962,0.7097,sell
2022-01-13,490.6255,2428100,500.8389,502.1773,489.0592,-0.0170,-0.0599,-0.0834,-0.0460,-0.0393,31.3675,0.0150,-0.0070,-0.0122,0.0263,0.4039,1.0069,sell
2022-01-14,477.4409,3872500,485.5851,486.9235,476.3683,-0.0269,-0.0619,-0.1140,-0.0604,-0.0652,16.6447,0.0149,-0.0121,-0.0140,-0.0514,0.5949,1.5672,sell
2022-01-18,463.2788,3801900,469.3442,469.9328,462.1303,-0.0297,-0.0592,-0.1388,-0.0747,-0.0920,13.3320,0.0154,-0.0188,-0.0166,-0.0869,-0.0182,1.6018,hold
2022-01-19,465.2627,2709400,465.0064,471.0338,462.3581,0.0043,-0.0611,-0.1313,-0.0575,-0.0873,12.4602,0.0163,-0.0231,-0.0167,0.0227,-0.2874,1.1255,sell
2022-01-20,458.2956,2893700,465.8228,474.4890,457.3653,-0.0150,-0.0817,-0.1220,-0.0595,-0.1003,12.0544,0.0158,-0.0279,-0.0171,0.0344,0.0680,1.1916,hold
