date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,252.8259,5280900,256.5613,257.1413,252.1378,-0.0136,-0.0263,-0.0395,-0.0265,0.0259,51.4645,0.0093,0.0143,-0.0035,0.3960,0.2798,0.7911,sell
2021-09-13,249.7885,5258200,252.6294,253.3077,247.9012,-0.0120,-0.0486,-0.0466,-0.0337,0.0128,40.9027,0.0096,0.0111,-0.0056,0.2694,-0.0043,0.7921,hold
2021-09-14,250.0441,4097500,249.7885,250.7715,248.6974,0.0010,-0.0409,-0.0400,-0.0288,0.0134,42.3621,0.0098,0.0083,-0.0067,0.2557,-0.2207,0.6170,buy
2021-09-15,251.8037,4764600,250.2112,252.3836,248.6483,0.0070,-0.0246,-0.0343,-0.0185,0.0200,43.3436,0.0103,0.0066,-0.0066,0.2834,0.1628,0.7105,buy
2021-09-16,255.9323,5122600,251.1844,256.7777,250.6635,0.0164,-0.0015,-0.0297,0.0006,0.0358,38.5658,0.0112,0.0064,-0.0053,0.4539,0.0751,0.7825,hold
2021-09-17,256.0993,7049400,254.8607,257.2494,254.2808,0.0007,0.0129,-0.0137,0.0027,0.0352,40.4458,0.0103,0.0063,-0.0043,0.4385,0.3761,1.0731,sell
2021-09-20,253.8286,5985500,252.2263,254.8018,250.6044,-0.0089,0.0162,-0.0332,-0.0028,0.0250,39.5022,0.0095,0.0055,-0.0041,0.2984,-0.1509,0.9079,hold
2021-09-21,253.5829,6040600,255.0574,258.0850,253.3863,-0.0010,0.0142,-0.0273,-0.0010,0.0228,38.6292,0.0094,0.0047,-0.0040,0.2948,0.0092,0.9272,buy
2021-09-22,254.7625,4355600,254.4971,255.9322,251.8528,0.0047,0.0118,-0.0131,0.0050,0.0263,34.8761,0.0093,0.0044,-0.0034,0.3643,-0.2789,0.6808,buy
2021-09-23,273.1346,15617200,265.4083,274.6386,261.8695,0.0721,0.0672,0.0657,0.0704,0.0972,65.3116,0.0247,0.0092,0.0015,1.1725,2.5855,2.3331,buy
2021-09-24,280.7725,13368300,273.7638,281.4901,273.4787,0.0280,0.0963,0.1105,0.0884,0.1236,68.6959,0.0245,0.0149,0.0060,1.2268,-0.1440,2.0846,sell
2021-09-27,274.9237,5941100,277.6367,278.9343,274.2946,-0.0208,0.0831,0.1006,0.0554,0.0967,63.4755,0.0255,0.0181,0.0072,0.9627,-0.5556,0.9415,sell
2021-09-28,267.6495,7127100,270.4314,271.9944,265.4476,-0.0265,0.0555,0.0704,0.0206,0.0648,58.2564,0.0279,0.0185,0.0059,0.7284,0.1996,1.1171,hold
2021-09-29,265.8998,4361900,268.8390,270.0087,264.6612,-0.0065,0.0437,0.0560,0.0085,0.0553,58.3561,0.0283,0.0179,0.0041,0.6676,-0.3880,0.6920,hold
2021-09-30,266.6075,5224200,266.0472,269.5959,265.8408,0.0027,-0.0239,0.0417,0.0071,0.0557,62.6125,0.0280,0.0172,0.0028,0.6821,0.1977,0.8419,buy
2021-10-01,270.5789,4756000,266.8828,271.6405,264.1992,0.0149,-0.0363,0.0565,0.0165,0.0692,68.7069,0.0282,0.0175,0.0026,0.7710,-0.0896,0.7649,sell
2021-10-04,266.2537,6393800,270.5395,270.6182,261.6140,-0.0160,-0.0315,0.0490,-0.0043,0.0503,63.5899,0.0287,0.0167,0.0012,0.6448,0.3444,1.0363,hold
2021-10-05,267.1482,4050400,267.4824,268.8979,266.4208,0.0034,-0.0019,0.0535,-0.0060,0.0518,63.0540,0.0286,0.0158,0.0004,0.6587,-0.3665,0.6598,buy
2021-10-06,270.5887,4745500,265.0839,270.8049,262.9508,0.0129,0.0176,0.0621,0.0009,0.0627,62.6163,0.0287,0.0159,0.0005,0.7304,0.1716,0.7675,hold
2021-10-07,269.9104,5374200,272.1910,274.7467,269.4189,-0.0025,0.0124,-0.0118,-0.0005,0.0576,61.7849,0.0170,0.0157,0.0002,0.6930,0.1325,0.8605,sell
2021-10-08,267.8461,2683300,270.8541,272.2106,267.6396,-0.0076,-0.0101,-0.0460,-0.0033,0.0472,62.0033,0.0137,0.0149,-0.0006,0.6215,-0.5007,0.4387,buy
2021-10-11,269.0946,2693000,267.1581,271.5717,266.8927,0.0047,0.0107,-0.0212,0.0035,0.0495,63.0586,0.0127,0.0143,-0.0009,0.6365,0.0036,0.4498,buy
2021-10-12,274.2552,5970100,271.7191,275.9755,271.3259,0.0192,0.0266,0.0247,0.0202,0.0665,65.3792,0.0110,0.0149,0.0000,0.7619,1.2169,0.9817,buy
2021-10-13,279.5732,6573500,275.2382,280.2515,273.8620,0.0194,0.0332,0.0514,0.0347,0.0836,56.3977,0.0117,0.0167,0.0017,0.8843,0.1011,1.0651,buy
2021-10-14,285.0878,5433900,281.1362,285.6973,279.8190,0.0197,0.0562,0.0693,0.0480,0.1011,54.4768,0.0125,0.0193,0.0037,0.9775,-0.1734,0.8782,buy
