date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,65.5000,12162800,67.0175,67.4250,65.1425,-0.0119,-0.0391,-0.0602,-0.0412,0.0124,63.4929,0.0205,0.0152,-0.0021,0.5197,0.0230,0.6077,sell
2021-09-13,63.5075,19813600,64.6800,64.9225,62.0950,-0.0304,-0.0870,-0.1002,-0.0607,-0.0187,54.6014,0.0206,0.0104,-0.0060,0.4033,0.6290,0.9594,buy
2021-09-14,64.3250,9849200,64.0100,64.7633,63.4575,0.0129,-0.0459,-0.1015,-0.0382,-0.0064,44.2843,0.0205,0.0071,-0.0073,0.4287,-0.5029,0.4829,buy
2021-09-15,64.8925,9358000,64.4725,64.9950,63.5900,0.0088,-0.0213,-0.0763,-0.0219,0.0028,42.6311,0.0211,0.0052,-0.0072,0.4370,-0.0499,0.4623,buy
2021-09-16,66.1850,9131200,65.0575,66.2650,64.2625,0.0199,-0.0016,-0.0194,-0.0005,0.0230,39.5564,0.0195,0.0051,-0.0056,0.4942,-0.0242,0.4499,sell
2021-09-17,65.7725,18426400,66.5825,66.6800,64.8925,-0.0062,0.0042,-0.0351,-0.0031,0.0166,35.2788,0.0190,0.0047,-0.0049,0.4302,1.0180,0.8859,sell
2021-09-20,64.3900,11468000,63.5875,65.4050,63.2825,-0.0210,0.0139,-0.0743,-0.0163,-0.0042,28.4195,0.0177,0.0026,-0.0058,0.2608,-0.3776,0.5454,sell
2021-09-21,63.5275,17172400,63.6625,64.8975,63.1275,-0.0134,-0.0124,-0.0577,-0.0237,-0.0170,29.2611,0.0160,-0.0002,-0.0069,0.1404,0.4974,0.8043,buy
2021-09-22,64.9650,9545200,63.2225,65.2675,62.6375,0.0226,0.0011,-0.0202,0.0005,0.0054,41.5113,0.0178,-0.0006,-0.0058,0.3014,-0.4442,0.4866,buy
2021-09-23,65.5725,7642400,65.6225,66.0725,64.9825,0.0094,-0.0093,-0.0108,0.0109,0.0142,41.2449,0.0181,-0.0002,-0.0042,0.3745,-0.1993,0.4483,hold
2021-09-24,65.4375,8157600,65.5125,65.5125,63.5425,-0.0021,-0.0051,-0.0010,0.0089,0.0111,34.8139,0.0177,0.0000,-0.0032,0.3784,0.0674,0.5067,sell
2021-09-27,63.3350,14333600,64.8250,65.2225,62.5750,-0.0321,-0.0164,-0.0027,-0.0232,-0.0216,34.9039,0.0181,-0.0025,-0.0047,0.1820,0.7571,0.8954,sell
2021-09-28,60.4650,15270800,62.2625,62.4575,60.0775,-0.0453,-0.0482,-0.0600,-0.0619,-0.0654,30.8912,0.0223,-0.0084,-0.0086,-0.0780,0.0654,0.9655,sell
2021-09-29,59.8925,11346000,60.9250,62.0800,59.6425,-0.0095,-0.0781,-0.0771,-0.0635,-0.0733,29.8091,0.0217,-0.0138,-0.0111,-0.0639,-0.2570,0.7740,buy
2021-09-30,61.4450,10046800,60.2200,61.9275,60.0675,0.0259,-0.0629,-0.0716,-0.0321,-0.0487,37.7898,0.0226,-0.0153,-0.0102,0.1459,-0.1145,0.7841,buy
2021-10-01,62.3175,10304400,61.6625,63.1550,60.8075,0.0142,-0.0477,-0.0525,-0.0129,-0.0342,46.1576,0.0236,-0.0152,-0.0081,0.2601,0.0256,0.8249,sell
2021-10-04,59.7200,12719200,61.3925,61.8150,58.9075,-0.0417,-0.0571,-0.0725,-0.0470,-0.0723,36.6638,0.0259,-0.0193,-0.0095,0.0190,0.2343,1.0229,buy
2021-10-05,61.2300,8699600,60.0225,61.5250,59.8192,0.0253,0.0127,-0.0362,-0.0193,-0.0473,39.9423,0.0277,-0.0192,-0.0078,0.2127,-0.3160,0.7264,buy
2021-10-06,62.0500,8556800,60.8350,62.9025,60.6925,0.0134,0.0360,-0.0449,-0.0016,-0.0339,38.3423,0.0269,-0.0180,-0.0054,0.3260,-0.0164,0.7255,hold
2021-10-07,62.4700,7128000,62.8320,63.4450,62.4175,0.0068,0.0167,-0.0473,0.0102,-0.0263,40.6933,0.0268,-0.0164,-0.0031,0.3928,-0.1670,0.6168,sell
2021-10-08,61.2500,7042800,62.5380,62.7425,60.8750,-0.0195,-0.0171,-0.0640,-0.0027,-0.0442,41.0694,0.0272,-0.0170,-0.0027,0.2684,-0.0120,0.6232,hold
2021-10-11,61.0900,4452800,60.8025,62.1775,60.4125,-0.0026,0.0229,-0.0354,-0.0017,-0.0460,42.7788,0.0256,-0.0172,-0.0023,0.2691,-0.3678,0.4228,buy
2021-10-12,63.1850,9260000,61.5475,63.5750,60.8175,0.0343,0.0319,0.0450,0.0280,-0.0132,44.9245,0.0234,-0.0139,0.0004,0.5273,1.0796,0.8816,buy
2021-10-13,67.6100,21948000,63.4525,67.9500,63.4525,0.0700,0.0896,0.1289,0.0863,0.0546,54.7711,0.0305,-0.0057,0.0061,0.9959,1.3702,1.9715,buy
2021-10-14,69.0025,19684000,67.5150,69.2225,67.0700,0.0206,0.1046,0.1230,0.0954,0.0753,57.8837,0.0303,0.0017,0.0107,1.0657,-0.1032,1.6881,sell
2021-10-15,68.2775,10210800,69.0000,69.0000,67.5725,-0.0105,0.1147,0.0956,0.0737,0.0634,61.6390,0.0311,0.0067,0.0126,0.9495,-0.4813,0.9077,buy
2021-10-18,71.3375,13160000,68.2500,71.4275,67.5250,0.0448,0.1677,0.1945,0.1017,0.1090,75.3763,0.0270,0.0134,0.0152,1.0846,0.2888,1.1611,sell
2021-10-19,70.5875,9194000,70.8075,71.3250,69.7225,-0.0105,0.1172,0.1528,0.0746,0.0957,74.7569,0.0283,0.0182,0.0160,0.9525,-0.3014,0.8408,hold
2021-10-20,70.8325,7101600,70.6773,72.1012,69.8925,0.0035,0.0477,0.1415,0.0641,0.0969,73.1304,0.0285,0.0217,0.0157,0.9143,-0.2276,0.6568,hold
2021-10-21,71.0250,7804400,70.7500,71.8750,70.5025,0.0027,0.0293,0.1369,0.0535,0.0961,72.1988,0.0286,0.0245,0.0147,0.8827,0.0990,0.7212,hold
2021-10-22,70.8475,10184000,71.0575,72.6825,70.0800,-0.0025,0.0376,0.1567,0.0361,0.0902,82.3615,0.0269,0.0263,0.0132,0.8378,0.3049,0.9324,sell
2021-10-25,70.0250,8338000,71.0000,71.3310,69.5150,-0.0116,-0.0184,0.1463,0.0109,0.0746,76.6434,0.0277,0.0267,0.0108,0.7644,-0.1813,0.7849,buy
2021-10-26,71.7700,17573200,71.0000,74.3500,70.7550,0.0249,0.0168,0.1359,0.0234,0.0969,77.8829,0.0271,0.0278,0.0098,0.8239,1.1076,1.6366,sell
2021-10-27,69.7500,9276800,71.9648,72.8750,69.5550,-0.0281,-0.0153,0.0317,-0.0085,0.0623,69.1277,0.0214,0.0274,0.0071,0.6935,-0.4721,0.8724,buy
2021-10-28,70.2925,6153200,69.5000,70.9325,68.2600,0.0078,-0.0103,0.0187,-0.0026,0.0667,74.6356,0.0206,0.0265,0.0051,0.7022,-0.3367,0.5894,hold
2021-10-29,70.4500,4956000,70.2500,71.1250,69.8850,0.0022,-0.0056,0.0318,-0.0034,0.0653,75.5041,0.0201,0.0258,0.0036,0.6903,-0.1946,0.4872,sell
2021-11-01,67.2925,19608000,68.8852,68.8852,65.8075,-0.0448,-0.0390,-0.0567,-0.0426,0.0152,60.5795,0.0195,0.0225,-0.0007,0.4858,2.9564,1.8645,hold
2021-11-02,67.0300,9954400,66.6450,67.7175,66.0775,-0.0039,-0.0660,-0.0504,-0.0415,0.0095,48.0984,0.0195,0.0184,-0.0039,0.4474,-0.4923,0.9409,buy
2021-11-03,67.6625,8088400,67.4750,67.8750,66.4525,0.0094,-0.0299,-0.0448,-0.0280,0.0187,45.3761,0.0199,0.0155,-0.0052,0.4690,-0.1875,0.7662,buy
2021-11-04,69.9050,8789600,68.1775,70.0450,67.7300,0.0331,-0.0055,-0.0158,0.0058,0.0517,55.0836,0.0231,0.0154,-0.0038,0.6128,0.0867,0.8262,sell
2021-11-05,68.3575,9130000,70.2500,70.9225,67.5600,-0.0221,-0.0297,-0.0351,-0.0129,0.0288,39.7206,0.0240,0.0140,-0.0044,0.4577,0.0387,0.8498,buy
2021-11-08,70.7325,9019600,68.5725,71.1038,68.0425,0.0347,0.0511,0.0101,0.0203,0.0645,50.4497,0.0266,0.0148,-0.0025,0.6756,-0.0121,0.8221,buy
2021-11-09,73.2950,12702000,71.4190,73.9425,70.4075,0.0362,0.0935,0.0212,0.0550,0.1025,56.6780,0.0279,0.0178,0.0010,1.0240,0.4083,1.1398,sell
2021-11-10,70.3900,16156000,72.7475,74.6200,69.6963,-0.0396,0.0403,0.0092,0.0122,0.0587,48.4988,0.0295,0.0179,0.0003,0.5704,0.2719,1.4885,hold
2021-11-11,70.2300,5019200,71.3600,72.1500,70.1800,-0.0023,0.0046,-0.0009,0.0100,0.0555,48.5390,0.0294,0.0171,-0.0004,0.5359,-0.6893,0.4959,buy
2021-11-12,71.0750,6933200,70.9900,72.3825,70.3775,0.0120,0.0398,0.0089,0.0212,0.0672,52.4817,0.0297,0.0170,-0.0003,0.6516,0.3813,0.6963,sell
2021-11-15,63.5375,50547600,67.7150,68.0925,61.9375,-0.1060,-0.1017,-0.0558,-0.0821,-0.0442,34.7249,0.0434,0.0094,-0.0079,-0.2395,6.2907,4.2741,buy
2021-11-16,65.6275,16866800,63.8275,65.7200,63.4975,0.0329,-0.1046,-0.0209,-0.0500,-0.0122,42.3707,0.0450,0.0043,-0.0100,0.0752,-0.6663,1.3814,buy
2021-11-17,67.4450,13475200,66.3475,67.6450,65.5977,0.0277,-0.0418,-0.0032,-0.0234,0.0148,44.9677,0.0459,0.0026,-0.0091,0.2948,-0.2011,1.0755,sell
2021-11-18,66.1800,10194800,67.6050,68.7450,66.1400,-0.0188,-0.0577,-0.0533,-0.0365,-0.0042,42.7381,0.0447,-0.0002,-0.0097,0.1928,-0.2434,0.8060,sell
2021-11-19,64.4075,10338800,67.3500,67.4150,64.2275,-0.0268,-0.0938,-0.0578,-0.0569,-0.0306,44.8510,0.0449,-0.0047,-0.0115,0.0723,0.0141,0.8169,sell
2021-11-22,59.9100,24297200,63.1888,63.3325,58.7750,-0.0698,-0.0571,-0.1530,-0.1086,-0.0973,38.9612,0.0468,-0.0147,-0.0177,-0.1512,1.3501,1.8059,sell
2021-11-23,57.6450,29100000,57.7500,59.1925,56.0125,-0.0378,-0.1216,-0.2135,-0.1219,-0.1297,35.2173,0.0434,-0.0262,-0.0234,-0.1388,0.1977,2.0741,hold
2021-11-24,57.6925,12521200,57.4100,58.0150,55.6550,0.0008,-0.1446,-0.1804,-0.1038,-0.1271,30.7298,0.0436,-0.0343,-0.0252,-0.0239,-0.5697,0.8822,hold
2021-11-26,58.1600,8619200,58.9300,59.0750,56.9650,0.0081,-0.1212,-0.1719,-0.0793,-0.1179,33.3415,0.0441,-0.0393,-0.0242,0.0697,-0.3116,0.6021,sell
2021-11-29,56.1425,25586000,58.7500,58.9212,55.2575,-0.0347,-0.1283,-0.2101,-0.0897,-0.1460,25.8843,0.0431,-0.0474,-0.0254,0.0408,1.9685,1.6671,sell
2021-11-30,54.2850,20211600,56.7062,57.2600,54.1225,-0.0331,-0.0939,-0.1456,-0.1064,-0.1717,17.8287,0.0321,-0.0566,-0.0271,0.0337,-0.2101,1.3144,sell
2021-12-01,50.3750,32288400,55.1720,56.4000,49.7957,-0.0720,-0.1261,-0.2324,-0.1494,-0.2282,17.2422,0.0318,-0.0729,-0.0329,-0.0241,0.5975,1.9576,buy
2021-12-02,52.3375,37364800,51.9938,53.1500,50.2975,0.0390,-0.0928,-0.2240,-0.0931,-0.1951,22.3476,0.0341,-0.0754,-0.0295,0.1065,0.1572,2.0807,sell
2021-12-03,49.2625,31360400,53.2100,53.3150,47.1075,-0.0588,-0.1530,-0.2556,-0.1207,-0.2385,18.4631,0.0356,-0.0885,-0.0318,0.0642,-0.1607,1.6431,sell
2021-12-06,48.6775,21101600,47.5125,49.0000,46.4275,-0.0119,-0.1330,-0.2442,-0.1060,-0.2436,23.1089,0.0360,-0.0961,-0.0310,0.1013,-0.3271,1.0720,buy
