date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,50.3373,13622100,51.0851,51.2590,50.2764,-0.0121,-0.0275,-0.0221,-0.0175,0.0333,45.6919,0.0056,0.0137,-0.0035,0.4309,-0.0894,0.8522,buy
2021-09-13,50.5199,13553200,50.5720,50.8938,50.1981,0.0036,-0.0222,-0.0156,-0.0124,0.0352,44.0861,0.0059,0.0120,-0.0041,0.4531,-0.0051,0.8408,sell
2021-09-14,50.3199,12810300,50.6416,50.8416,50.1373,-0.0040,-0.0172,-0.0213,-0.0142,0.0295,27.1293,0.0058,0.0103,-0.0047,0.3819,-0.0548,0.7987,sell
2021-09-15,50.0503,37524600,50.2416,51.8242,49.6155,-0.0054,-0.0191,-0.0247,-0.0170,0.0223,24.0580,0.0059,0.0084,-0.0053,0.2726,1.9293,2.1670,sell
2021-09-16,49.8503,24029600,50.7025,51.1459,49.6764,-0.0040,-0.0217,-0.0290,-0.0181,0.0168,23.5129,0.0058,0.0065,-0.0058,0.0582,-0.3596,1.3605,sell
2021-09-17,49.4329,40262700,49.9025,49.9547,49.1025,-0.0084,-0.0180,-0.0450,-0.0218,0.0070,21.6711,0.0045,0.0043,-0.0065,-0.0657,0.6755,2.2771,sell
2021-09-20,48.5982,21897000,49.0243,49.0417,48.0765,-0.0169,-0.0380,-0.0594,-0.0325,-0.0108,15.3847,0.0058,0.0012,-0.0079,-0.1623,-0.4561,1.2383,sell
2021-09-21,48.0504,18700600,48.6591,49.0156,48.0243,-0.0113,-0.0451,-0.0615,-0.0373,-0.0226,13.8462,0.0059,-0.0023,-0.0092,-0.1300,-0.1460,1.0502,buy
2021-09-22,48.2765,17940600,48.4852,48.8069,48.1460,0.0047,-0.0354,-0.0539,-0.0274,-0.0188,17.6471,0.0069,-0.0046,-0.0092,0.0132,-0.0406,1.0067,buy
2021-09-23,49.2938,16262500,48.4330,49.4764,48.3460,0.0211,-0.0112,-0.0326,-0.0036,0.0010,26.7975,0.0109,-0.0046,-0.0072,0.2588,-0.0935,0.9172,hold
2021-09-24,49.3286,13156400,49.0851,49.3982,48.8851,0.0007,-0.0021,-0.0200,-0.0009,0.0006,27.7687,0.0105,-0.0046,-0.0057,0.2887,-0.1910,0.7432,sell
2021-09-27,48.8852,13859500,49.0938,49.2764,48.7373,-0.0090,0.0059,-0.0324,-0.0066,-0.0093,27.9071,0.0105,-0.0052,-0.0051,0.2226,0.0534,0.7850,sell
2021-09-28,48.2765,17803200,48.5025,48.6852,48.1808,-0.0125,0.0047,-0.0406,-0.0149,-0.0225,25.7670,0.0109,-0.0068,-0.0053,0.1371,0.2845,0.9915,hold
2021-09-29,48.2417,14051700,48.3634,48.6765,48.1199,-0.0007,-0.0007,-0.0361,-0.0119,-0.0238,25.9260,0.0109,-0.0079,-0.0052,0.1679,-0.2107,0.7955,sell
2021-09-30,47.3287,18538000,48.5199,48.6069,47.3113,-0.0189,-0.0399,-0.0506,-0.0256,-0.0425,24.6335,0.0119,-0.0104,-0.0061,0.0495,0.3193,1.0294,buy
2021-10-01,47.9460,18338000,47.4765,48.1808,46.9896,0.0130,-0.0280,-0.0301,-0.0098,-0.0302,29.7814,0.0131,-0.0109,-0.0053,0.1946,-0.0108,1.0030,sell
2021-10-04,47.4733,17084100,47.7097,47.8673,47.2282,-0.0099,-0.0289,-0.0231,-0.0173,-0.0396,28.5578,0.0125,-0.0122,-0.0053,0.1320,-0.0684,0.9160,buy
2021-10-05,47.8760,14135000,47.3858,48.1736,47.3858,0.0085,-0.0083,-0.0036,-0.0086,-0.0313,33.9437,0.0125,-0.0122,-0.0043,0.2375,-0.1726,0.7607,sell
