date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,70.4103,1754900,70.8719,71.2320,70.3457,-0.0029,-0.0136,-0.0094,-0.0053,0.0448,46.6050,0.0060,0.0114,-0.0043,0.2319,-0.0513,0.6780,buy
2021-09-13,70.5396,1941600,70.7796,70.9273,69.8563,0.0018,-0.0020,-0.0109,-0.0024,0.0448,41.9464,0.0059,0.0104,-0.0042,0.3182,0.1064,0.7877,sell
2021-09-14,69.8748,1668400,70.8996,70.9827,69.7640,-0.0094,-0.0070,-0.0152,-0.0103,0.0332,30.6801,0.0064,0.0089,-0.0047,0.0485,-0.1407,0.6896,buy
2021-09-15,70.6134,2681000,69.9117,70.8350,69.4778,0.0106,-0.0023,0.0022,-0.0001,0.0418,41.9968,0.0071,0.0082,-0.0042,0.4040,0.6069,1.1055,buy
2021-09-16,70.8719,1900200,70.6134,70.9643,70.1702,0.0037,0.0037,-0.0009,0.0037,0.0433,48.1907,0.0068,0.0080,-0.0035,0.5186,-0.2912,0.8044,sell
2021-09-17,69.6901,3759300,70.4934,70.7796,69.4224,-0.0167,-0.0102,-0.0237,-0.0107,0.0239,37.6058,0.0082,0.0065,-0.0042,-0.0074,0.9784,1.5621,sell
2021-09-20,69.3023,2536400,68.9699,69.3762,68.3606,-0.0056,-0.0175,-0.0195,-0.0143,0.0165,37.4475,0.0079,0.0047,-0.0048,-0.0531,-0.3253,1.0494,sell
2021-09-21,68.7945,2322200,69.4131,69.6717,68.7668,-0.0073,-0.0155,-0.0223,-0.0193,0.0076,37.3952,0.0080,0.0027,-0.0055,-0.0959,-0.0845,0.9915,buy
2021-09-22,69.6070,1713200,69.2285,69.9302,69.0900,0.0118,-0.0143,-0.0166,-0.0061,0.0176,40.4001,0.0089,0.0020,-0.0049,0.1918,-0.2623,0.7582,buy
2021-09-23,71.2320,2723600,69.8655,71.3520,69.4962,0.0233,0.0051,0.0088,0.0162,0.0390,49.0887,0.0119,0.0032,-0.0028,0.7725,0.5898,1.2250,buy
2021-09-24,71.6660,2989800,70.8812,72.0722,70.8627,0.0061,0.0284,0.0178,0.0206,0.0428,56.3014,0.0119,0.0046,-0.0011,0.8960,0.0977,1.3259,buy
2021-09-27,72.0445,2884400,71.4167,72.2846,70.9181,0.0053,0.0396,0.0213,0.0238,0.0455,60.6308,0.0119,0.0060,0.0003,0.9749,-0.0353,1.2618,sell
2021-09-28,70.5026,2959500,71.7491,71.8599,70.3364,-0.0214,0.0248,0.0090,0.0010,0.0204,48.4662,0.0137,0.0055,-0.0003,0.4952,0.0260,1.2606,sell
2021-09-29,69.7824,2062100,70.4103,70.6873,69.6993,-0.0102,0.0025,-0.0118,-0.0081,0.0078,45.6647,0.0136,0.0042,-0.0013,0.2815,-0.3032,0.8953,sell
2021-09-30,68.5175,2837000,70.0502,70.2903,68.3421,-0.0181,-0.0381,-0.0332,-0.0228,-0.0123,41.1101,0.0145,0.0017,-0.0032,-0.0090,0.3758,1.2208,buy
2021-10-01,69.4962,2395700,68.9053,69.8748,68.1205,0.0143,-0.0303,-0.0028,-0.0085,-0.0001,45.4619,0.0146,0.0007,-0.0032,0.2837,-0.1556,1.0230,sell
2021-10-04,68.6376,1967400,69.2377,69.6532,68.2313,-0.0124,-0.0473,-0.0096,-0.0199,-0.0138,44.7078,0.0151,-0.0010,-0.0040,0.1009,-0.1788,0.8330,hold
2021-10-05,68.7207,1856300,68.7668,69.1916,68.2221,0.0012,-0.0253,-0.0011,-0.0186,-0.0140,41.4226,0.0149,-0.0023,-0.0042,0.1621,-0.0565,0.7843,hold
2021-10-06,68.6560,2304500,68.1390,69.1454,67.4465,-0.0009,-0.0161,-0.0137,-0.0182,-0.0164,39.7786,0.0143,-0.0033,-0.0042,0.1832,0.2414,0.9784,buy
2021-10-07,69.4870,1516900,69.2469,69.9394,69.1638,0.0121,0.0141,-0.0245,-0.0038,-0.0060,49.0317,0.0125,-0.0031,-0.0032,0.3951,-0.3418,0.6486,hold
2021-10-08,69.6994,2191500,69.3670,70.1702,69.3208,0.0031,0.0029,-0.0274,0.0021,-0.0034,51.9249,0.0123,-0.0026,-0.0022,0.4546,0.4447,0.9284,hold
2021-10-11,69.6070,1893400,69.3947,70.5580,69.3854,-0.0013,0.0141,-0.0338,0.0043,-0.0053,54.1044,0.0120,-0.0024,-0.0015,0.4430,-0.1360,0.8029,sell
2021-10-12,69.3485,2672800,69.4131,69.8563,68.9515,-0.0037,0.0091,-0.0164,0.0022,-0.0094,48.6166,0.0102,-0.0024,-0.0013,0.3869,0.4116,1.1098,buy
2021-10-13,69.8286,2720100,70.1610,70.7058,69.4501,0.0069,0.0171,0.0007,0.0091,-0.0028,41.4416,0.0100,-0.0019,-0.0006,0.5134,0.0177,1.1285,buy
2021-10-14,71.5090,2268000,70.4103,71.8322,70.4103,0.0241,0.0291,0.0437,0.0289,0.0201,49.1692,0.0104,0.0004,0.0014,0.9029,-0.1662,0.9338,buy
2021-10-15,72.7831,5901600,71.7491,72.9032,71.4259,0.0178,0.0442,0.0473,0.0423,0.0367,53.5715,0.0108,0.0036,0.0036,1.0655,1.6021,2.3273,hold
2021-10-18,72.8385,2181300,72.4231,73.0047,71.9337,0.0008,0.0464,0.0612,0.0369,0.0359,63.1907,0.0092,0.0061,0.0049,0.9852,-0.6304,0.8663,buy
2021-10-19,73.6695,1758300,73.2079,73.7803,72.8662,0.0114,0.0623,0.0720,0.0414,0.0456,71.6786,0.0092,0.0088,0.0061,1.0267,-0.1939,0.7062,sell
2021-10-20,73.0878,1765100,73.4941,73.6510,72.2846,-0.0079,0.0467,0.0646,0.0267,0.0356,77.5921,0.0101,0.0103,0.0060,0.8812,0.0039,0.7082,hold
2021-10-21,73.0140,1628300,72.9124,73.1248,72.5246,-0.0010,0.0210,0.0508,0.0206,0.0334,73.8422,0.0101,0.0112,0.0056,0.8395,-0.0775,0.6680,hold
2021-10-22,72.9401,1726200,73.2540,73.6695,72.8108,-0.0010,0.0022,0.0465,0.0150,0.0317,82.6330,0.0102,0.0118,0.0049,0.8089,0.0601,0.7270,hold
2021-10-25,72.9032,1600400,73.0786,73.1432,72.7093,-0.0005,0.0009,0.0474,0.0098,0.0307,81.9465,0.0102,0.0120,0.0041,0.7909,-0.0729,0.6927,hold
2021-10-26,72.7093,3441600,73.2079,74.0850,72.6447,-0.0027,-0.0130,0.0485,0.0025,0.0275,80.3596,0.0101,0.0119,0.0032,0.7433,1.1505,1.4743,sell
2021-10-27,71.7491,4054800,72.3492,72.4600,70.7519,-0.0132,-0.0183,0.0275,-0.0134,0.0137,66.6215,0.0115,0.0107,0.0015,0.6043,0.1782,1.6659,sell
2021-10-28,71.3890,5048700,73.8819,75.7100,70.5211,-0.0050,-0.0223,-0.0017,-0.0181,0.0084,62.1515,0.0089,0.0092,-0.0001,0.5396,0.2451,1.9840,buy
2021-10-29,72.0999,2616100,71.0197,72.5708,71.0012,0.0100,-0.0115,-0.0094,-0.0074,0.0178,66.4635,0.0074,0.0086,-0.0005,0.6221,-0.4818,1.0236,hold
2021-11-01,72.0168,1460600,72.0168,72.4323,71.7306,-0.0012,-0.0122,-0.0113,-0.0075,0.0163,68.0399,0.0074,0.0080,-0.0009,0.5918,-0.4417,0.5772,buy
2021-11-02,72.5893,2106900,72.2569,72.6631,71.8322,0.0079,-0.0017,-0.0147,0.0019,0.0240,68.4339,0.0068,0.0080,-0.0006,0.6586,0.4425,0.8286,buy
2021-11-03,73.5403,2841300,72.5246,73.8634,71.7583,0.0131,0.0250,0.0062,0.0144,0.0370,65.0272,0.0077,0.0088,0.0003,0.7911,0.3486,1.1057,hold
2021-11-04,73.4387,2257800,73.6141,74.0573,73.0971,-0.0014,0.0287,0.0058,0.0124,0.0350,55.8679,0.0078,0.0094,0.0007,0.7518,-0.2054,0.8661,buy
2021-11-05,73.7803,1791900,73.8634,74.7313,73.5495,0.0047,0.0233,0.0115,0.0160,0.0390,58.0189,0.0078,0.0101,0.0011,0.7898,-0.2064,0.6927,buy
2021-11-08,74.0204,1393200,73.8634,74.3527,73.6141,0.0033,0.0278,0.0153,0.0177,0.0416,53.3217,0.0078,0.0107,0.0014,0.8168,-0.2225,0.5438,buy
2021-11-09,74.3343,1787200,73.9742,74.5005,73.6326,0.0042,0.0240,0.0223,0.0197,0.0450,62.4310,0.0077,0.0115,0.0017,0.8833,0.2828,0.7099,hold
2021-11-10,74.4635,2253500,74.4174,75.2483,74.3527,0.0017,0.0126,0.0378,0.0177,0.0457,64.2988,0.0055,0.0120,0.0019,0.9283,0.2609,0.9035,buy
2021-11-11,74.8513,2100000,74.6759,75.3038,74.3989,0.0052,0.0192,0.0485,0.0182,0.0500,67.7531,0.0046,0.0127,0.0021,0.9746,-0.0681,0.8448,buy
2021-11-12,75.6915,2131000,74.9806,76.1993,74.8513,0.0112,0.0259,0.0498,0.0246,0.0605,72.5372,0.0048,0.0139,0.0027,1.0645,0.0148,0.9276,hold
2021-11-15,75.6638,2007700,75.9777,76.3378,75.4515,-0.0004,0.0222,0.0506,0.0192,0.0586,74.5400,0.0047,0.0147,0.0028,0.9725,-0.0579,0.8773,sell
2021-11-16,75.4792,2006200,75.7100,76.2086,75.2853,-0.0024,0.0154,0.0398,0.0128,0.0545,85.5637,0.0051,0.0151,0.0025,0.8871,-0.0007,0.8719,sell
2021-11-17,74.7775,3018800,75.1283,75.4515,74.2604,-0.0093,0.0042,0.0168,0.0017,0.0435,80.3307,0.0055,0.0145,0.0015,0.7293,0.5047,1.2772,buy
2021-11-18,75.0460,4304800,75.4720,75.5924,73.6847,0.0036,0.0026,0.0219,0.0031,0.0460,78.6390,0.0054,0.0141,0.0009,0.7548,0.4260,1.7237,buy
2021-11-19,75.9258,4154400,75.2775,76.7129,74.6849,0.0117,0.0031,0.0291,0.0120,0.0566,82.9027,0.0062,0.0144,0.0010,0.8691,-0.0349,1.5863,sell
2021-11-22,75.3701,3135200,76.0924,76.6851,75.2312,-0.0073,-0.0039,0.0182,0.0028,0.0475,73.4741,0.0070,0.0141,0.0005,0.7460,-0.2453,1.1631,sell
2021-11-23,74.7867,3351500,75.0923,75.5090,74.0459,-0.0077,-0.0092,0.0061,-0.0056,0.0380,61.2180,0.0075,0.0131,-0.0005,0.6289,0.0690,1.2454,hold
2021-11-24,74.7682,2205600,74.0552,74.9534,73.6570,-0.0002,-0.0001,0.0041,-0.0062,0.0365,62.1471,0.0075,0.0120,-0.0012,0.6067,-0.3419,0.8488,sell
2021-11-26,72.6013,1727600,74.1107,74.2496,72.3235,-0.0290,-0.0326,-0.0301,-0.0321,0.0060,41.9223,0.0117,0.0090,-0.0037,0.1583,-0.2167,0.7102,buy
2021-11-29,73.8144,2404200,73.4440,74.2126,72.7124,0.0167,-0.0278,-0.0248,-0.0135,0.0216,48.7549,0.0125,0.0075,-0.0040,0.3799,0.3916,0.9927,sell
2021-11-30,72.2123,4891600,73.6662,73.7588,71.7401,-0.0217,-0.0419,-0.0456,-0.0304,-0.0013,38.9009,0.0139,0.0047,-0.0056,0.0077,1.0346,1.8861,sell
2021-12-01,71.1752,3123400,73.1569,73.5644,71.1104,-0.0144,-0.0483,-0.0570,-0.0388,-0.0163,34.2919,0.0142,0.0012,-0.0074,-0.1248,-0.3615,1.1812,buy
2021-12-02,73.5551,3070700,71.7401,73.8237,71.2030,0.0334,-0.0162,-0.0163,-0.0050,0.0154,44.7982,0.0187,0.0011,-0.0059,0.3528,-0.0169,1.1562,sell
2021-12-03,72.7124,3494000,73.9718,74.1015,72.0271,-0.0115,0.0015,-0.0311,-0.0133,0.0034,38.0470,0.0189,0.0000,-0.0056,0.1996,0.1379,1.2857,buy
2021-12-06,74.7497,2877900,73.5921,75.2775,72.7031,0.0280,0.0127,-0.0155,0.0160,0.0306,46.8415,0.0209,0.0014,-0.0032,0.5878,-0.1763,1.0382,buy
2021-12-07,75.4257,2848500,75.5461,76.2962,75.2775,0.0090,0.0445,0.0007,0.0251,0.0390,49.8213,0.0210,0.0031,-0.0012,0.7026,-0.0102,1.0013,hold
2021-12-08,75.2127,2472200,75.6942,76.1017,75.1942,-0.0028,0.0567,0.0057,0.0216,0.0347,51.5035,0.0209,0.0043,-0.0000,0.6517,-0.1321,0.8587,hold
2021-12-09,74.9997,2160000,74.8701,75.2312,74.6015,-0.0028,0.0196,0.0031,0.0184,0.0303,49.8395,0.0209,0.0049,0.0005,0.6056,-0.1263,0.7515,buy
2021-12-10,76.0276,2435900,75.2405,76.1943,75.2405,0.0137,0.0456,0.0472,0.0276,0.0423,50.3496,0.0184,0.0063,0.0016,0.7794,0.1277,0.8426,hold
2021-12-13,75.8702,2180000,75.9350,76.2962,75.4072,-0.0021,0.0150,0.0279,0.0226,0.0383,51.7647,0.0180,0.0073,0.0020,0.7474,-0.1051,0.7534,hold
2021-12-14,75.8239,2490100,75.3423,76.5925,75.1664,-0.0006,0.0053,0.0500,0.0170,0.0356,53.8043,0.0159,0.0079,0.0021,0.7362,0.1422,0.8535,buy
2021-12-15,76.7684,2938000,75.8794,76.9073,75.2220,0.0125,0.0207,0.0786,0.0220,0.0462,56.8701,0.0145,0.0092,0.0027,0.8749,0.1799,0.9912,buy
