date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,70.9845,6454400,72.6873,72.6957,70.6202,-0.0190,-0.0365,0.0092,-0.0221,0.0061,45.3098,0.0129,0.0078,-0.0014,0.2448,0.5834,1.3552,buy
2021-09-13,71.5944,4495200,71.2810,72.1705,71.1793,0.0086,-0.0338,0.0096,-0.0146,0.0141,49.6177,0.0129,0.0064,-0.0022,0.3846,-0.3035,0.9356,sell
2021-09-14,71.0692,3882400,72.0519,72.0688,70.8913,-0.0073,-0.0311,-0.0084,-0.0210,0.0061,50.3449,0.0127,0.0047,-0.0031,0.2815,-0.1363,0.8133,buy
2021-09-15,72.4670,6352400,71.0437,72.8397,70.8743,0.0197,-0.0079,-0.0098,-0.0008,0.0247,57.5710,0.0124,0.0048,-0.0023,0.6131,0.6362,1.3277,hold
2021-09-16,72.3060,4169200,72.8398,73.1363,71.6453,-0.0022,-0.0007,-0.0042,-0.0026,0.0214,59.1628,0.0122,0.0047,-0.0019,0.5676,-0.3437,0.8745,hold
2021-09-17,72.4416,8731800,72.0010,72.7127,71.8740,0.0019,0.0205,-0.0167,0.0010,0.0219,57.4135,0.0111,0.0047,-0.0015,0.5875,1.0944,1.7659,sell
2021-09-20,71.6537,5337000,71.6961,72.3908,70.7981,-0.0109,0.0008,-0.0330,-0.0066,0.0098,49.9180,0.0111,0.0039,-0.0020,0.4035,-0.3888,1.0649,sell
2021-09-21,71.1031,5052900,71.9672,72.5348,71.0268,-0.0077,0.0005,-0.0306,-0.0111,0.0015,38.8586,0.0109,0.0025,-0.0027,0.2837,-0.0532,0.9948,hold
2021-09-22,71.0437,3919200,71.6029,71.9163,71.0014,-0.0008,-0.0196,-0.0274,-0.0092,-0.0000,41.1311,0.0109,0.0013,-0.0031,0.2690,-0.2244,0.7667,buy
2021-09-23,71.8909,3875700,71.2810,72.5348,71.0522,0.0119,-0.0057,-0.0064,0.0033,0.0112,39.6856,0.0115,0.0013,-0.0025,0.4519,-0.0111,0.7529,hold
2021-09-24,71.7638,2888300,72.0010,72.2975,71.5859,-0.0018,-0.0094,0.0110,0.0004,0.0087,35.9468,0.0096,0.0012,-0.0021,0.3958,-0.2548,0.5668,buy
2021-09-27,72.6364,5255100,71.5944,73.2295,71.5944,0.0122,0.0137,0.0146,0.0111,0.0198,45.7830,0.0100,0.0020,-0.0010,0.6068,0.8194,1.0177,hold
2021-09-28,72.5686,6257800,72.5602,73.1447,72.2128,-0.0009,0.0206,0.0211,0.0081,0.0176,47.1074,0.0096,0.0025,-0.0003,0.5765,0.1908,1.2028,buy
2021-09-29,73.5260,4827000,72.4585,73.9157,72.3823,0.0132,0.0349,0.0146,0.0199,0.0296,56.8999,0.0084,0.0039,0.0009,0.8291,-0.2286,0.9596,sell
2021-09-30,71.8909,6024800,73.7886,74.1529,71.8316,-0.0222,0.0000,-0.0057,-0.0022,0.0062,55.1891,0.0113,0.0033,0.0002,0.3969,0.2481,1.2057,sell
2021-10-01,71.2217,6888400,71.8401,71.9333,69.7730,-0.0093,-0.0076,-0.0168,-0.0098,-0.0035,47.8806,0.0115,0.0020,-0.0010,0.2399,0.1433,1.3559,hold
2021-10-04,71.0014,4768000,71.1624,72.4077,70.4084,-0.0031,-0.0225,-0.0091,-0.0120,-0.0067,49.6007,0.0111,0.0007,-0.0018,0.1896,-0.3078,0.9401,hold
