date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,79.3059,11006000,80.5689,80.6515,79.1573,0.0007,-0.0168,-0.0118,-0.0098,-0.0303,56.4930,0.0112,-0.0089,-0.0002,0.3170,0.0770,1.0432,buy
2021-09-13,80.8744,11500900,80.2470,81.4853,80.1232,0.0198,0.0049,-0.0068,0.0105,-0.0097,54.7329,0.0121,-0.0072,0.0010,0.6433,0.0450,1.0653,sell
2021-09-14,79.4133,15294100,81.2129,81.5100,79.2317,-0.0181,-0.0089,-0.0223,-0.0056,-0.0260,44.0408,0.0133,-0.0076,0.0006,0.3572,0.3298,1.3794,buy
2021-09-15,81.0973,11623400,80.0654,81.3367,80.0654,0.0212,0.0192,0.0152,0.0140,-0.0044,49.1077,0.0141,-0.0058,0.0018,0.7638,-0.2400,1.0451,sell
2021-09-16,80.3378,10616700,81.1633,81.3862,79.9994,-0.0094,0.0138,0.0168,0.0028,-0.0129,50.3388,0.0139,-0.0053,0.0019,0.5748,-0.0866,0.9645,sell
2021-09-17,79.8755,16006100,80.1645,81.2129,79.5536,-0.0058,0.0072,-0.0097,-0.0020,-0.0177,43.2375,0.0123,-0.0053,0.0016,0.4303,0.5076,1.4635,sell
2021-09-20,78.2411,15796100,78.1255,78.6290,77.0276,-0.0205,-0.0326,-0.0278,-0.0196,-0.0362,38.4517,0.0138,-0.0070,0.0000,-0.0563,-0.0131,1.4052,hold
2021-09-21,78.2988,10958400,78.8932,79.1574,77.6219,0.0007,-0.0140,-0.0228,-0.0167,-0.0339,43.1819,0.0138,-0.0080,-0.0009,0.0340,-0.3063,0.9719,buy
2021-09-22,80.6020,13292800,79.4463,81.5431,79.4463,0.0294,-0.0061,0.0130,0.0109,-0.0045,56.1038,0.0169,-0.0063,0.0006,0.6429,0.2130,1.1565,buy
2021-09-23,82.5997,10094900,81.0973,82.7731,80.6928,0.0248,0.0282,0.0423,0.0317,0.0203,57.2397,0.0183,-0.0030,0.0030,1.0782,-0.2406,0.8754,hold
2021-09-24,83.0455,8225300,82.2612,83.3509,82.2612,0.0054,0.0397,0.0472,0.0324,0.0256,59.3958,0.0182,0.0000,0.0047,1.0545,-0.1852,0.7130,buy
2021-09-27,85.0019,12697500,84.6882,85.6706,84.6882,0.0236,0.0864,0.0510,0.0513,0.0486,65.9817,0.0186,0.0041,0.0070,1.2003,0.5437,1.0892,hold
2021-09-28,85.3239,15560800,85.7779,86.5869,84.9276,0.0038,0.0897,0.0744,0.0477,0.0507,69.1379,0.0168,0.0075,0.0083,1.0976,0.2255,1.2936,hold
2021-09-29,85.2991,10268100,85.2000,86.0503,84.4818,-0.0003,0.0583,0.0518,0.0420,0.0487,70.5322,0.0162,0.0101,0.0087,0.9969,-0.3401,0.8733,sell
2021-09-30,83.7471,15319800,85.3734,85.3982,83.7471,-0.0182,0.0139,0.0424,0.0188,0.0290,63.6827,0.0172,0.0108,0.0075,0.7889,0.4920,1.2770,buy
