date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,58.6529,15422800,59.7995,59.8501,58.6108,-0.0126,-0.0270,-0.0396,-0.0221,-0.0016,46.3597,0.0087,0.0006,-0.0052,0.0702,0.0851,1.0444,buy
2021-09-13,59.4539,16337300,59.1166,59.5719,58.8131,0.0137,-0.0091,-0.0338,-0.0053,0.0120,48.0827,0.0097,0.0001,-0.0045,0.3124,0.0593,1.0953,sell
2021-09-14,57.9869,26568900,59.7237,60.1789,57.7677,-0.0247,-0.0288,-0.0403,-0.0259,-0.0126,34.0819,0.0110,-0.0023,-0.0056,-0.0167,0.6263,1.7177,buy
2021-09-15,59.3949,22392100,58.0206,59.7489,57.8520,0.0243,0.0059,-0.0203,-0.0002,0.0106,37.3258,0.0141,-0.0022,-0.0043,0.3675,-0.1572,1.4122,sell
2021-09-16,59.0155,19245400,59.8838,60.0103,59.0070,-0.0064,-0.0065,-0.0184,-0.0047,0.0034,38.3587,0.0140,-0.0026,-0.0038,0.2847,-0.1405,1.1939,hold
2021-09-17,58.9817,30768300,58.8216,59.5045,58.7288,-0.0006,0.0056,-0.0215,-0.0031,0.0017,34.8044,0.0139,-0.0030,-0.0033,0.2736,0.5987,1.8528,sell
2021-09-20,56.7392,36955400,57.3715,57.4726,55.6179,-0.0380,-0.0457,-0.0544,-0.0357,-0.0362,30.6807,0.0180,-0.0065,-0.0055,-0.1308,0.2011,2.0817,hold
2021-09-21,56.4356,21169900,57.0342,57.1101,56.0815,-0.0053,-0.0268,-0.0548,-0.0355,-0.0408,28.2589,0.0180,-0.0096,-0.0068,-0.0604,-0.4272,1.1659,buy
2021-09-22,57.5317,21160200,57.2366,58.3157,57.1523,0.0194,-0.0314,-0.0257,-0.0142,-0.0223,37.3454,0.0195,-0.0101,-0.0059,0.1743,-0.0005,1.1388,buy
2021-09-23,59.7574,21451500,58.3494,60.1874,58.1724,0.0387,0.0126,0.0060,0.0233,0.0146,47.8738,0.0234,-0.0072,-0.0025,0.5839,0.0138,1.1431,hold
2021-09-24,60.0103,15788400,59.6141,60.3475,59.6141,0.0042,0.0174,0.0231,0.0253,0.0180,50.0344,0.0229,-0.0047,-0.0001,0.6470,-0.2640,0.8376,buy
2021-09-27,60.9208,19857500,60.5752,61.2159,60.4909,0.0152,0.0737,0.0247,0.0382,0.0317,54.7121,0.0230,-0.0015,0.0024,0.8441,0.2577,1.0365,sell
2021-09-28,60.1705,20835000,61.0979,61.7808,60.0609,-0.0123,0.0662,0.0377,0.0216,0.0170,54.3210,0.0217,-0.0001,0.0031,0.6963,0.0492,1.0649,hold
2021-09-29,60.3054,13683900,60.4403,60.5499,59.8417,0.0022,0.0482,0.0153,0.0224,0.0176,53.5360,0.0205,0.0013,0.0036,0.7305,-0.3432,0.7059,sell
2021-09-30,59.1672,22090900,60.3897,60.4487,58.9733,-0.0189,-0.0099,0.0026,0.0028,-0.0024,51.9564,0.0214,0.0008,0.0025,0.5040,0.6144,1.1194,buy
2021-10-01,60.0103,23701900,59.3864,60.4318,59.0913,0.0142,0.0000,0.0174,0.0153,0.0105,52.1100,0.0218,0.0015,0.0026,0.6869,0.0729,1.1709,hold
2021-10-04,60.1030,18957200,59.9260,61.5279,59.7321,0.0015,-0.0134,0.0593,0.0111,0.0106,58.9579,0.0167,0.0022,0.0026,0.7049,-0.2002,0.9245,buy
2021-10-05,61.1485,15587200,60.4993,61.4857,60.1368,0.0174,0.0163,0.0835,0.0206,0.0266,57.6583,0.0166,0.0040,0.0036,0.8862,-0.1778,0.7584,hold
2021-10-06,61.0557,15997200,60.6342,61.2159,59.8754,-0.0015,0.0124,0.0613,0.0131,0.0236,59.1389,0.0163,0.0053,0.0039,0.8306,0.0263,0.7762,hold
2021-10-07,60.8618,15349900,61.5531,61.8398,60.7438,-0.0032,0.0286,0.0185,0.0081,0.0191,58.3024,0.0118,0.0061,0.0037,0.7708,-0.0405,0.7428,hold
2021-10-08,60.9967,11960700,60.5752,61.3845,60.2885,0.0022,0.0164,0.0164,0.0086,0.0202,73.1017,0.0117,0.0067,0.0035,0.7673,-0.2208,0.5836,sell
2021-10-11,60.4318,14985500,61.2918,62.1517,60.3728,-0.0093,0.0055,-0.0080,0.0001,0.0096,71.0856,0.0111,0.0065,0.0026,0.6558,0.2529,0.7337,sell
2021-10-12,59.5550,17593400,60.3138,60.6510,59.3864,-0.0145,-0.0261,-0.0102,-0.0134,-0.0059,60.9290,0.0114,0.0051,0.0009,0.4863,0.1740,0.8807,sell
2021-10-13,59.2347,23451900,59.4792,59.5045,57.9532,-0.0054,-0.0298,-0.0178,-0.0170,-0.0116,46.4449,0.0114,0.0034,-0.0006,0.4292,0.3330,1.1709,buy
2021-10-14,59.6899,24707900,59.9176,60.0862,58.7794,0.0077,-0.0193,0.0088,-0.0103,-0.0047,47.8794,0.0100,0.0027,-0.0011,0.5064,0.0536,1.2170,buy
2021-10-15,60.9461,21884500,60.5499,61.7302,60.2885,0.0210,-0.0008,0.0156,0.0090,0.0155,50.1601,0.0112,0.0037,0.0000,0.7163,-0.1143,1.1020,sell
2021-10-18,60.3728,15026100,60.7606,61.1653,60.1958,-0.0094,-0.0010,0.0045,-0.0009,0.0058,51.3101,0.0117,0.0038,0.0000,0.5922,-0.3134,0.8009,hold
2021-10-19,60.4993,15173900,60.9124,61.1232,60.0778,0.0021,0.0159,-0.0106,0.0022,0.0079,51.2570,0.0101,0.0039,0.0002,0.6052,0.0098,0.8219,hold
2021-10-20,60.5499,14350400,60.3307,60.9377,59.6984,0.0008,0.0222,-0.0083,0.0039,0.0090,60.4326,0.0102,0.0041,0.0002,0.6082,-0.0543,0.7919,sell
2021-10-21,59.4454,18519000,60.0778,60.5583,59.0239,-0.0182,-0.0041,-0.0233,-0.0121,-0.0083,45.8997,0.0116,0.0027,-0.0009,0.1660,0.2905,1.0303,buy
2021-10-22,60.1705,14625100,59.6646,60.6089,59.5888,0.0122,-0.0127,-0.0135,0.0013,0.0046,50.4484,0.0124,0.0025,-0.0009,0.4549,-0.2103,0.8163,sell
2021-10-25,59.7152,15103000,60.3475,60.5752,59.6140,-0.0076,-0.0109,-0.0119,-0.0050,-0.0024,39.6593,0.0123,0.0018,-0.0013,0.2927,0.0327,0.8543,hold
2021-10-26,59.5635,18647900,59.8585,60.3728,59.5297,-0.0025,-0.0155,0.0001,-0.0076,-0.0045,39.3244,0.0114,0.0009,-0.0017,0.2502,0.2347,1.0614,sell
2021-10-27,59.2768,25475900,59.4454,59.6140,58.4337,-0.0048,-0.0210,0.0007,-0.0124,-0.0090,38.8094,0.0114,-0.0001,-0.0022,0.1730,0.3662,1.4029,buy
2021-10-28,59.7574,16367800,59.6731,60.1283,59.2515,0.0081,0.0052,0.0011,-0.0045,-0.0009,41.6573,0.0114,-0.0003,-0.0019,0.3356,-0.3575,0.9158,sell
2021-10-29,58.7299,22403000,59.8508,59.9612,58.5685,-0.0172,-0.0239,-0.0364,-0.0180,-0.0180,39.2146,0.0099,-0.0018,-0.0028,0.0115,0.3687,1.2580,buy
2021-11-01,59.1120,19106600,59.3837,59.3837,58.6195,0.0065,-0.0101,-0.0209,-0.0096,-0.0116,47.0047,0.0102,-0.0024,-0.0027,0.1804,-0.1471,1.0724,sell
2021-11-02,58.2543,25539000,59.0440,59.1290,58.2033,-0.0145,-0.0220,-0.0371,-0.0202,-0.0254,43.8208,0.0108,-0.0041,-0.0035,-0.0215,0.3367,1.3945,buy
2021-11-03,58.5940,21755600,57.9996,59.0865,57.8212,0.0058,-0.0115,-0.0323,-0.0113,-0.0190,42.9903,0.0111,-0.0049,-0.0034,0.1261,-0.1481,1.1696,sell
2021-11-04,56.8956,32148900,58.3817,58.3987,56.4880,-0.0290,-0.0479,-0.0429,-0.0358,-0.0459,25.4796,0.0131,-0.0080,-0.0052,-0.1820,0.4777,1.6536,hold
2021-11-05,56.8871,20902600,57.5919,57.7363,56.8531,-0.0001,-0.0314,-0.0546,-0.0305,-0.0447,27.3498,0.0119,-0.0103,-0.0060,-0.0673,-0.3498,1.0510,buy
2021-11-08,58.1269,25122000,57.6514,58.6110,57.2098,0.0218,-0.0167,-0.0266,-0.0067,-0.0228,36.5329,0.0146,-0.0099,-0.0046,0.2418,0.2019,1.2318,sell
2021-11-09,57.7363,18513000,57.5580,57.9571,57.2692,-0.0067,-0.0089,-0.0307,-0.0103,-0.0285,34.6219,0.0147,-0.0104,-0.0040,0.1878,-0.2631,0.9057,hold
2021-11-10,57.9231,19290200,57.8467,58.1184,57.4985,0.0032,-0.0114,-0.0228,-0.0048,-0.0244,40.7519,0.0148,-0.0102,-0.0031,0.2497,0.0420,0.9534,buy
2021-11-11,58.4836,20296200,57.9656,58.7468,57.8892,0.0097,0.0279,-0.0213,0.0070,-0.0145,39.5431,0.0149,-0.0092,-0.0017,0.3804,0.0522,1.0142,hold
2021-11-12,58.7299,13867400,58.5940,58.7383,57.9996,0.0042,0.0324,0.0000,0.0113,-0.0098,43.7294,0.0140,-0.0079,-0.0004,0.4521,-0.3167,0.7071,sell
2021-11-15,58.3732,12965100,58.9591,59.1629,58.2034,-0.0061,0.0042,-0.0125,0.0064,-0.0153,42.6179,0.0139,-0.0074,0.0001,0.3891,-0.0651,0.6646,sell
2021-11-16,57.5240,19042800,58.4072,58.4072,57.1504,-0.0145,-0.0037,-0.0125,-0.0070,-0.0289,39.8380,0.0139,-0.0082,-0.0004,0.2130,0.4688,0.9665,sell
2021-11-17,56.7682,16468300,57.4561,57.4816,56.7003,-0.0131,-0.0199,-0.0312,-0.0169,-0.0409,33.2061,0.0142,-0.0098,-0.0015,0.0688,-0.1352,0.8314,hold
2021-11-18,56.9890,14994700,56.6494,57.0230,56.2163,0.0039,-0.0256,0.0016,-0.0132,-0.0364,39.2446,0.0109,-0.0105,-0.0018,0.1637,-0.0895,0.7638,sell
2021-11-19,56.3351,19766900,56.1483,56.4031,55.3925,-0.0115,-0.0408,-0.0097,-0.0236,-0.0467,33.4011,0.0116,-0.0120,-0.0026,0.0547,0.3183,0.9939,buy
2021-11-22,56.9296,24020500,57.7108,57.8382,56.7258,0.0106,-0.0247,-0.0206,-0.0113,-0.0358,41.8241,0.0095,-0.0120,-0.0021,0.2232,0.2152,1.1813,buy
2021-11-23,57.8042,18142200,57.3797,58.0590,56.9890,0.0154,0.0049,0.0012,0.0038,-0.0209,45.4278,0.0107,-0.0106,-0.0007,0.4585,-0.2447,0.8933,sell
2021-11-24,57.1334,14975500,57.7448,57.7958,57.0909,-0.0116,0.0064,-0.0136,-0.0065,-0.0316,51.5626,0.0113,-0.0105,-0.0004,0.3022,-0.1745,0.7569,sell
2021-11-26,55.6218,24542000,55.2057,55.8256,54.1867,-0.0265,-0.0240,-0.0489,-0.0279,-0.0561,43.0569,0.0130,-0.0127,-0.0019,-0.0470,0.6388,1.2154,sell
2021-11-29,55.2312,24340700,56.0379,56.2927,54.7387,-0.0070,-0.0196,-0.0596,-0.0288,-0.0615,32.4771,0.0126,-0.0147,-0.0030,-0.0416,-0.0082,1.1996,sell
2021-11-30,54.0933,35574000,54.6198,55.0359,53.8046,-0.0206,-0.0498,-0.0733,-0.0416,-0.0800,29.7835,0.0134,-0.0181,-0.0049,-0.1464,0.4615,1.6849,sell
2021-12-01,53.0912,27379200,54.9085,55.2736,53.0743,-0.0185,-0.0815,-0.0771,-0.0519,-0.0960,25.4107,0.0137,-0.0221,-0.0070,-0.1475,-0.2304,1.2911,buy
2021-12-02,54.1867,24890700,53.7876,54.5773,53.2950,0.0206,-0.0516,-0.0455,-0.0279,-0.0763,29.2624,0.0162,-0.0227,-0.0063,0.0917,-0.0909,1.1652,sell
2021-12-03,53.2951,25458700,54.1273,54.4500,53.0148,-0.0165,-0.0418,-0.0648,-0.0375,-0.0895,25.3088,0.0163,-0.0249,-0.0066,0.0315,0.0228,1.2107,hold
2021-12-06,53.0912,25105500,53.4479,53.9829,52.7685,-0.0038,-0.0387,-0.0576,-0.0355,-0.0909,25.6652,0.0162,-0.0265,-0.0065,0.0694,-0.0139,1.1821,buy
2021-12-07,53.4139,28301200,53.4564,53.7961,52.9214,0.0061,-0.0126,-0.0618,-0.0234,-0.0830,30.0989,0.0158,-0.0267,-0.0055,0.1540,0.1273,1.3227,sell
2021-12-08,53.0403,20697200,53.5158,53.6347,52.9469,-0.0070,-0.0010,-0.0824,-0.0218,-0.0872,31.2555,0.0139,-0.0275,-0.0048,0.1502,-0.2687,0.9624,sell
2021-12-09,52.7686,29960500,52.5393,53.0743,51.6731,-0.0051,-0.0262,-0.0764,-0.0189,-0.0895,28.8871,0.0139,-0.0282,-0.0043,0.1578,0.4476,1.3594,sell
2021-12-10,51.5542,39726500,52.3779,52.8705,51.1211,-0.0230,-0.0327,-0.0731,-0.0341,-0.1081,27.3534,0.0134,-0.0308,-0.0051,0.0704,0.3260,1.7264,sell
2021-12-13,51.1041,20489500,51.3674,51.6901,50.7645,-0.0087,-0.0374,-0.0747,-0.0351,-0.1131,22.0229,0.0134,-0.0330,-0.0057,0.0694,-0.4842,0.8778,buy
2021-12-14,51.4948,19571100,51.3334,52.0722,51.2740,0.0076,-0.0359,-0.0480,-0.0229,-0.1037,18.2209,0.0133,-0.0332,-0.0049,0.1474,-0.0448,0.8267,sell
2021-12-15,51.1551,33861300,51.7495,51.8090,50.5607,-0.0066,-0.0355,-0.0365,-0.0258,-0.1065,18.8498,0.0125,-0.0340,-0.0044,0.1468,0.7302,1.3870,buy
2021-12-16,51.8599,25688300,51.8854,52.5732,51.6476,0.0138,-0.0172,-0.0429,-0.0080,-0.0913,28.5992,0.0111,-0.0325,-0.0026,0.2526,-0.2414,1.0327,sell
2021-12-17,50.5607,47383500,51.1806,51.3759,50.0681,-0.0251,-0.0193,-0.0513,-0.0278,-0.1108,25.9196,0.0124,-0.0342,-0.0028,0.1420,0.8446,1.7885,sell
2021-12-20,49.4907,31619600,49.7624,49.8728,48.9048,-0.0212,-0.0316,-0.0678,-0.0417,-0.1261,26.1024,0.0134,-0.0369,-0.0039,0.0776,-0.3327,1.1674,buy
2021-12-21,50.4248,23175100,49.8813,50.8324,49.8049,0.0189,-0.0208,-0.0560,-0.0179,-0.1064,36.0569,0.0152,-0.0359,-0.0028,0.2059,-0.2671,0.8569,hold
2021-12-22,50.6116,14760600,50.3654,50.9003,50.1870,0.0037,-0.0106,-0.0458,-0.0096,-0.1003,29.3426,0.0155,-0.0347,-0.0014,0.2383,-0.3631,0.5492,buy
2021-12-23,51.1296,15223300,50.9428,51.6137,50.9088,0.0102,-0.0141,-0.0311,0.0038,-0.0884,36.9231,0.0162,-0.0324,0.0004,0.3163,0.0313,0.5662,buy
2021-12-27,51.5033,14035400,51.2910,51.7495,50.9513,0.0073,0.0186,-0.0010,0.0112,-0.0791,40.6031,0.0148,-0.0297,0.0023,0.3912,-0.0780,0.5324,hold
2021-12-28,51.4778,12697900,51.3249,52.0807,51.2145,-0.0005,0.0402,0.0073,0.0099,-0.0764,38.1250,0.0145,-0.0275,0.0036,0.4070,-0.0953,0.4925,hold
2021-12-29,51.4099,13284000,51.6391,51.7835,51.1806,-0.0013,0.0195,-0.0016,0.0088,-0.0747,39.6104,0.0143,-0.0256,0.0045,0.4134,0.0462,0.5386,hold
2021-12-30,51.3164,11380500,51.4778,51.8599,51.2825,-0.0018,0.0139,0.0032,0.0066,-0.0733,40.5316,0.0141,-0.0239,0.0050,0.4100,-0.1433,0.4769,hold
2021-12-31,51.2825,12307200,51.3165,51.5967,51.0532,-0.0007,0.0030,-0.0111,0.0071,-0.0708,47.9058,0.0133,-0.0224,0.0052,0.4241,0.0814,0.5297,buy
