date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,137.1500,2653100,141.7400,142.7900,136.8700,-0.0266,0.0004,0.0446,-0.0027,0.1256,60.8617,0.0157,0.0337,-0.0035,0.6590,-0.2425,0.9532,sell
2021-09-13,135.2300,3218300,137.2800,138.2200,131.3900,-0.0140,-0.0205,0.0029,-0.0169,0.1043,54.8421,0.0145,0.0308,-0.0056,0.4840,0.2130,1.2076,buy
2021-09-14,138.1200,2423700,135.7200,138.5710,134.5000,0.0214,0.0055,0.0109,0.0030,0.1221,54.6975,0.0155,0.0289,-0.0054,0.7258,-0.2469,0.9175,buy
2021-09-15,139.1100,1775800,137.4900,139.2100,136.8710,0.0072,-0.0033,0.0095,0.0092,0.1246,56.0124,0.0154,0.0279,-0.0049,0.7848,-0.2673,0.6703,buy
2021-09-16,144.1400,2799100,139.1900,144.6300,138.8700,0.0362,0.0230,0.0616,0.0394,0.1584,71.6599,0.0178,0.0288,-0.0023,1.0918,0.5762,1.0379,sell
2021-09-17,143.1300,3391100,144.9300,145.8600,141.9100,-0.0070,0.0436,0.0441,0.0277,0.1436,65.2896,0.0182,0.0296,-0.0014,0.9483,0.2115,1.2487,sell
2021-09-20,142.2500,2447000,138.6000,143.3400,137.5900,-0.0061,0.0519,0.0303,0.0183,0.1304,60.7252,0.0185,0.0294,-0.0014,0.8540,-0.2784,0.9066,buy
2021-09-21,145.3800,3325300,143.3200,146.2520,142.1100,0.0220,0.0526,0.0584,0.0347,0.1484,63.4588,0.0191,0.0299,-0.0002,1.0116,0.3589,1.2171,buy
2021-09-22,148.6900,2894700,145.8300,149.5700,145.4600,0.0228,0.0689,0.0653,0.0515,0.1668,71.9429,0.0196,0.0315,0.0017,1.0927,-0.1295,1.0509,sell
2021-09-23,147.5000,2253400,150.6700,150.6700,146.3600,-0.0080,0.0233,0.0468,0.0382,0.1498,67.7585,0.0201,0.0326,0.0020,0.9474,-0.2215,0.8160,hold
2021-09-24,147.3200,1792900,146.3000,147.9400,143.5900,-0.0012,0.0293,0.0742,0.0296,0.1406,66.2342,0.0171,0.0328,0.0017,0.9027,-0.2044,0.6778,sell
2021-09-27,142.0000,2687100,145.5700,145.9800,139.9300,-0.0361,-0.0018,0.0501,-0.0123,0.0930,57.0006,0.0211,0.0308,-0.0012,0.5803,0.4987,1.0042,sell
2021-09-28,137.4000,3040700,138.8600,139.8870,135.3900,-0.0324,-0.0549,-0.0052,-0.0438,0.0524,46.9462,0.0233,0.0262,-0.0055,0.3007,0.1316,1.1150,hold
