date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,178.5160,5572200,180.6878,181.4053,178.4093,-0.0096,0.0124,0.0428,0.0076,0.0322,70.7564,0.0105,0.0107,0.0036,0.7906,-0.2251,0.6527,buy
2021-09-13,179.3498,6818200,179.4855,180.1449,177.9149,0.0047,0.0220,0.0269,0.0097,0.0361,68.2999,0.0089,0.0110,0.0031,0.8213,0.2236,0.9401,sell
2021-09-14,176.8483,6185900,179.3304,179.4952,176.6059,-0.0139,-0.0105,0.0134,-0.0057,0.0211,59.0261,0.0104,0.0102,0.0018,0.6408,-0.0927,0.8683,buy
2021-09-15,178.7971,5933400,176.5187,179.0395,175.5879,0.0110,-0.0040,0.0172,0.0035,0.0311,62.9127,0.0107,0.0101,0.0014,0.7459,-0.0408,0.8483,sell
2021-09-16,177.7597,5678200,178.3705,179.0201,176.5768,-0.0058,-0.0138,-0.0008,-0.0022,0.0239,64.7775,0.0102,0.0096,0.0007,0.6568,-0.0430,0.8199,hold
2021-09-17,177.8857,10035100,177.3428,180.2418,177.1683,0.0007,-0.0035,0.0089,-0.0024,0.0234,58.5427,0.0097,0.0091,0.0001,0.6503,0.7673,1.4330,sell
2021-09-20,173.1737,8056600,174.2693,175.3746,171.1764,-0.0265,-0.0344,-0.0132,-0.0276,-0.0039,47.1683,0.0130,0.0067,-0.0020,0.2186,-0.1972,1.1357,sell
2021-09-21,165.9601,23216000,174.8317,176.6835,163.8853,-0.0417,-0.0616,-0.0714,-0.0613,-0.0440,33.2894,0.0164,0.0012,-0.0063,-0.2177,1.8816,2.9444,buy
2021-09-22,168.3646,14214500,167.6762,170.0032,166.4352,0.0145,-0.0583,-0.0621,-0.0417,-0.0290,33.9432,0.0174,-0.0021,-0.0076,0.0199,-0.3877,1.7123,buy
2021-09-23,170.8855,8052900,169.6154,171.7969,169.0627,0.0150,-0.0387,-0.0520,-0.0221,-0.0137,41.1207,0.0185,-0.0034,-0.0071,0.1996,-0.4335,0.9517,hold
2021-09-24,170.6431,5712800,169.9644,171.3218,169.7511,-0.0014,-0.0407,-0.0441,-0.0191,-0.0142,41.9303,0.0184,-0.0045,-0.0066,0.1886,-0.2906,0.6706,buy
2021-09-27,172.8343,7755000,171.2540,173.9881,170.6044,0.0128,-0.0020,-0.0363,-0.0028,-0.0014,39.8328,0.0190,-0.0043,-0.0050,0.3348,0.3575,0.9154,sell
2021-09-28,169.2082,9133100,172.3399,172.5823,168.5683,-0.0210,0.0196,-0.0432,-0.0194,-0.0225,33.8106,0.0196,-0.0059,-0.0053,0.1454,0.1777,1.0610,sell
2021-09-29,167.4242,6240800,168.9464,169.6348,167.3369,-0.0105,-0.0056,-0.0636,-0.0233,-0.0324,30.4925,0.0189,-0.0079,-0.0059,0.0970,-0.3167,0.7352,sell
2021-09-30,164.0210,13978000,167.8314,168.3937,163.9531,-0.0203,-0.0402,-0.0773,-0.0354,-0.0512,29.0205,0.0194,-0.0113,-0.0073,0.0058,1.2398,1.5844,buy
2021-10-01,170.6528,12165000,167.0363,171.9229,166.7358,0.0404,0.0001,-0.0407,0.0079,-0.0130,39.2213,0.0247,-0.0100,-0.0050,0.3457,-0.1297,1.3359,sell
2021-10-04,168.1805,7200600,170.2165,170.6044,167.4145,-0.0145,-0.0269,-0.0288,-0.0038,-0.0270,39.2497,0.0237,-0.0105,-0.0043,0.2495,-0.4081,0.7892,hold
2021-10-05,169.2954,6798200,168.5392,170.8758,168.3259,0.0066,0.0005,0.0201,0.0009,-0.0201,37.9666,0.0195,-0.0101,-0.0032,0.3224,-0.0559,0.7614,hold
2021-10-06,170.1390,6005200,167.7344,170.3620,166.3286,0.0050,0.0162,0.0105,0.0048,-0.0148,40.3011,0.0190,-0.0092,-0.0019,0.3810,-0.1166,0.6826,buy
2021-10-07,172.3011,7780000,172.2914,174.1626,171.9326,0.0127,0.0505,0.0083,0.0167,-0.0021,43.2426,0.0188,-0.0074,-0.0001,0.5102,0.2955,0.8814,hold
2021-10-08,171.3606,4132200,172.5144,173.1640,171.0309,-0.0055,0.0041,0.0042,0.0107,-0.0074,47.5859,0.0189,-0.0065,0.0007,0.4776,-0.4689,0.4720,sell
2021-10-11,168.2386,8046300,170.6625,171.1473,168.1998,-0.0182,0.0003,-0.0266,-0.0050,-0.0252,53.4048,0.0193,-0.0072,0.0001,0.3179,0.9472,0.9127,hold
2021-10-12,167.8605,5188400,168.3355,169.1791,167.2981,-0.0022,-0.0085,-0.0080,-0.0064,-0.0271,49.1980,0.0181,-0.0078,-0.0004,0.3148,-0.3552,0.5919,hold
2021-10-13,167.6956,8914700,168.3453,168.4131,165.7371,-0.0010,-0.0144,0.0016,-0.0076,-0.0280,44.5148,0.0178,-0.0082,-0.0007,0.3194,0.7182,0.9999,buy
2021-10-14,169.1015,7450200,168.7718,170.6625,168.7040,0.0084,-0.0186,0.0310,-0.0022,-0.0201,47.4511,0.0164,-0.0078,-0.0002,0.4445,-0.1643,0.8275,buy
2021-10-15,171.0891,13943900,170.3425,173.4451,168.8009,0.0118,-0.0016,0.0026,0.0092,-0.0086,47.0949,0.0106,-0.0063,0.0009,0.6808,0.8716,1.5158,sell
2021-10-18,165.9310,20494800,167.1139,168.0641,164.6318,-0.0301,-0.0137,-0.0134,-0.0199,-0.0378,44.8096,0.0137,-0.0079,-0.0003,0.1529,0.4698,2.0868,hold
2021-10-19,165.9698,9669500,166.2219,166.3576,165.0002,0.0002,-0.0113,-0.0196,-0.0177,-0.0370,47.5617,0.0135,-0.0088,-0.0010,0.1571,-0.5282,1.0575,hold
2021-10-20,165.3590,9737600,165.7662,165.8147,164.7094,-0.0037,-0.0139,-0.0281,-0.0186,-0.0398,52.4749,0.0133,-0.0097,-0.0015,0.1297,0.0070,1.0917,buy
