date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,277.1500,2339200,283.7920,285.6200,276.2300,-0.0148,-0.0591,-0.0610,-0.0554,-0.0555,44.7664,0.0307,-0.0079,-0.0077,0.0517,-0.0471,0.9649,sell
2021-09-13,271.2200,2982100,277.9800,277.9800,268.2230,-0.0214,-0.1252,-0.0982,-0.0662,-0.0753,38.5092,0.0297,-0.0131,-0.0103,-0.0187,0.2748,1.1783,sell
2021-09-14,267.9800,2552500,271.8500,272.9430,267.0600,-0.0119,-0.0807,-0.1174,-0.0659,-0.0857,34.8303,0.0289,-0.0180,-0.0122,-0.0110,-0.1441,0.9890,buy
2021-09-15,273.6500,3659100,269.3600,273.9000,263.8900,0.0212,-0.0284,-0.0763,-0.0386,-0.0654,35.4029,0.0303,-0.0194,-0.0110,0.1543,0.4335,1.3517,buy
2021-09-16,277.1000,2746100,273.6400,277.1100,271.9700,0.0126,-0.0150,-0.0677,-0.0195,-0.0529,39.5290,0.0308,-0.0194,-0.0088,0.2462,-0.2495,0.9819,hold
2021-09-17,277.7400,4051500,277.0000,278.6700,273.8900,0.0023,0.0021,-0.0571,-0.0114,-0.0500,35.8286,0.0310,-0.0191,-0.0068,0.2750,0.4754,1.3986,sell
2021-09-20,271.2900,2761700,270.8900,276.1000,267.1500,-0.0232,0.0003,-0.1250,-0.0208,-0.0710,30.9234,0.0236,-0.0210,-0.0068,0.1704,-0.3184,0.9320,hold
2021-09-21,271.1600,2084000,273.1360,274.3050,267.9600,-0.0005,0.0119,-0.0698,-0.0140,-0.0703,33.8235,0.0170,-0.0219,-0.0062,0.1998,-0.2454,0.7037,buy
2021-09-22,274.0400,1384300,271.0050,275.6800,268.0470,0.0106,0.0014,-0.0270,-0.0008,-0.0598,35.4067,0.0150,-0.0214,-0.0046,0.2781,-0.3357,0.4674,hold
2021-09-23,273.7000,1401800,275.2100,277.3800,273.4100,-0.0012,-0.0123,-0.0271,0.0007,-0.0609,36.4674,0.0150,-0.0210,-0.0034,0.2936,0.0126,0.4743,sell
2021-09-24,272.3700,1176100,271.8500,273.0500,267.3500,-0.0049,-0.0193,-0.0172,-0.0024,-0.0652,20.0762,0.0144,-0.0209,-0.0026,0.2899,-0.1610,0.3971,sell
2021-09-27,263.8200,1994300,268.5000,268.6550,262.1200,-0.0314,-0.0275,-0.0273,-0.0311,-0.0934,23.8671,0.0162,-0.0238,-0.0039,0.1601,0.6957,0.6651,sell
2021-09-28,259.0000,3022900,260.0000,260.0000,253.0300,-0.0183,-0.0448,-0.0335,-0.0456,-0.1081,26.3773,0.0167,-0.0272,-0.0055,0.1040,0.5158,0.9820,sell
2021-09-29,256.8900,2088600,257.2400,261.0050,255.5800,-0.0081,-0.0626,-0.0612,-0.0475,-0.1126,25.4326,0.0143,-0.0301,-0.0066,0.1091,-0.3091,0.6822,hold
2021-09-30,257.4300,1494500,257.9550,261.3600,257.3500,0.0021,-0.0594,-0.0710,-0.0385,-0.1080,28.6024,0.0131,-0.0316,-0.0065,0.1528,-0.2844,0.4893,hold
2021-10-01,257.7700,1559600,257.0000,259.4100,253.2950,0.0013,-0.0536,-0.0719,-0.0300,-0.1037,33.3909,0.0130,-0.0323,-0.0058,0.1883,0.0436,0.5298,sell
