date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,141.5411,3664200,138.5080,143.2965,137.9716,0.0198,-0.0019,0.0271,0.0035,0.0233,63.8825,0.0112,0.0074,0.0011,0.7533,0.3960,1.8471,hold
2021-09-13,141.1022,2131400,141.8142,143.2771,140.3513,-0.0031,-0.0131,0.0134,-0.0010,0.0198,56.2381,0.0110,0.0073,0.0008,0.6882,-0.4183,1.0595,buy
2021-09-14,141.7752,1318400,141.6289,142.3311,140.7414,0.0048,0.0010,0.0157,0.0022,0.0243,58.8862,0.0111,0.0075,0.0008,0.7422,-0.3814,0.6631,sell
2021-09-15,133.6511,6359000,138.6348,138.7226,132.4808,-0.0573,-0.0490,-0.0563,-0.0498,-0.0336,40.4394,0.0208,0.0032,-0.0032,-0.0985,3.8233,2.9049,sell
2021-09-16,132.5979,4637600,134.4996,136.2454,132.1785,-0.0079,-0.0446,-0.0715,-0.0504,-0.0403,39.3234,0.0202,-0.0012,-0.0061,-0.0962,-0.2707,2.0021,sell
2021-09-17,130.5693,4178700,131.8274,132.2077,129.9061,-0.0153,-0.0775,-0.0792,-0.0574,-0.0541,32.6561,0.0204,-0.0060,-0.0088,-0.1192,-0.0990,1.7190,sell
2021-09-20,126.8730,3533200,128.7162,129.2526,125.5759,-0.0283,-0.1008,-0.1126,-0.0733,-0.0795,27.5887,0.0204,-0.0122,-0.0121,-0.1717,-0.1545,1.4183,sell
2021-09-21,123.6253,3689800,126.7950,127.2728,123.4303,-0.0256,-0.1280,-0.1271,-0.0850,-0.1012,19.5645,0.0208,-0.0194,-0.0154,-0.1462,0.0443,1.4297,hold
2021-09-22,123.2742,4214400,123.0694,124.4641,121.7918,-0.0028,-0.0776,-0.1228,-0.0758,-0.1016,15.9933,0.0210,-0.0249,-0.0167,-0.0401,0.1422,1.5515,buy
2021-09-23,124.7274,2571600,123.8497,125.9270,123.0012,0.0118,-0.0594,-0.1013,-0.0549,-0.0891,20.7290,0.0224,-0.0275,-0.0155,0.0803,-0.3898,0.9307,buy
2021-09-24,126.6877,2327300,123.8984,126.8047,123.7229,0.0157,-0.0297,-0.1049,-0.0291,-0.0731,22.8191,0.0218,-0.0278,-0.0128,0.1857,-0.0950,0.8228,buy
2021-09-27,128.7163,3326800,126.0733,129.2819,125.7514,0.0160,0.0145,-0.0878,-0.0041,-0.0568,28.9307,0.0234,-0.0264,-0.0093,0.2777,0.4295,1.1324,buy
2021-09-28,130.4620,4349800,128.5992,131.6616,128.2676,0.0136,0.0553,-0.0798,0.0183,-0.0430,33.9047,0.0241,-0.0239,-0.0056,0.3526,0.3075,1.4240,buy
2021-09-29,134.5289,5656600,130.5400,136.1380,130.5010,0.0312,0.0913,0.0066,0.0493,-0.0128,43.6612,0.0199,-0.0189,-0.0009,0.5033,0.3004,1.7877,buy
2021-09-30,138.7323,5017700,135.8650,140.5658,135.4164,0.0312,0.1123,0.0463,0.0769,0.0178,45.9956,0.0217,-0.0124,0.0040,0.6616,-0.1129,1.5039,buy
2021-10-01,140.0392,3196200,138.3910,140.5463,136.0893,0.0094,0.1054,0.0725,0.0792,0.0272,48.5211,0.0206,-0.0069,0.0075,0.7144,-0.3630,0.9444,hold
