date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,66.6540,5393000,67.9584,68.2248,66.5805,-0.0060,-0.0514,-0.0385,-0.0373,0.0180,47.0815,0.0115,0.0130,-0.0057,0.2164,0.0443,0.7994,hold
2021-09-13,66.7550,5768600,67.0214,67.1776,66.0202,0.0015,-0.0504,-0.0467,-0.0313,0.0187,48.3232,0.0106,0.0102,-0.0067,0.2482,0.0696,0.9396,sell
2021-09-14,65.5792,6576700,66.8285,67.0765,65.2485,-0.0176,-0.0444,-0.0773,-0.0407,0.0003,44.5066,0.0088,0.0067,-0.0085,0.1142,0.1401,1.1273,buy
2021-09-15,67.9676,10771100,66.1028,68.8862,66.0110,0.0364,0.0008,-0.0358,-0.0021,0.0353,50.0082,0.0165,0.0064,-0.0066,0.4607,0.6378,1.8252,buy
2021-09-16,68.6198,6630300,67.4532,68.9964,67.3429,0.0096,0.0233,-0.0190,0.0095,0.0438,46.8607,0.0170,0.0069,-0.0047,0.5466,-0.3844,1.1226,sell
2021-09-17,68.0778,8874800,68.7943,68.9872,67.7288,-0.0079,0.0214,-0.0311,0.0048,0.0339,41.1536,0.0169,0.0068,-0.0040,0.4508,0.3385,1.4622,sell
2021-09-20,66.9388,9841500,66.7642,67.0582,64.9913,-0.0167,0.0028,-0.0478,-0.0071,0.0156,31.4049,0.0174,0.0053,-0.0045,0.2732,0.1089,1.5642,sell
2021-09-21,66.2498,5375100,67.4348,68.0043,66.2039,-0.0103,0.0102,-0.0347,-0.0139,0.0042,31.0965,0.0162,0.0031,-0.0054,0.1801,-0.4538,0.8521,buy
2021-09-22,67.2511,4028400,66.6816,67.7288,66.4886,0.0151,-0.0105,-0.0097,0.0020,0.0181,38.4434,0.0170,0.0026,-0.0047,0.3280,-0.2505,0.6494,hold
2021-09-23,67.5267,4128800,67.5083,68.3534,67.2235,0.0041,-0.0159,0.0070,0.0054,0.0207,38.2491,0.0165,0.0025,-0.0038,0.3751,0.0249,0.6706,sell
2021-09-24,67.0490,3486600,66.9939,67.4256,66.8010,-0.0071,-0.0151,0.0059,-0.0023,0.0120,36.5501,0.0166,0.0018,-0.0036,0.3194,-0.1555,0.5759,buy
2021-09-27,67.6736,4268700,66.8102,67.8022,66.5162,0.0093,0.0110,0.0138,0.0057,0.0199,45.6739,0.0168,0.0020,-0.0027,0.4317,0.2243,0.7099,sell
2021-09-28,65.4598,5379600,66.9020,67.6736,64.9729,-0.0327,-0.0119,-0.0018,-0.0271,-0.0143,40.2197,0.0192,-0.0005,-0.0043,0.1083,0.2602,0.8959,sell
2021-09-29,64.2748,5621400,65.6986,65.9834,64.0543,-0.0181,-0.0443,-0.0543,-0.0394,-0.0323,39.1863,0.0150,-0.0041,-0.0063,-0.0162,0.0449,0.9455,hold
2021-09-30,63.9992,3927200,64.5504,64.9086,63.9533,-0.0043,-0.0522,-0.0673,-0.0369,-0.0364,39.5817,0.0140,-0.0072,-0.0075,0.0108,-0.3014,0.6708,hold
2021-10-01,64.2197,4069100,64.0268,64.6331,63.4021,0.0034,-0.0422,-0.0567,-0.0279,-0.0326,40.1429,0.0144,-0.0092,-0.0076,0.0814,0.0361,0.7008,sell
2021-10-04,62.8969,4648400,63.7788,63.9166,62.7224,-0.0206,-0.0706,-0.0604,-0.0421,-0.0512,39.6894,0.0148,-0.0126,-0.0088,-0.0564,0.1424,0.7991,buy
2021-10-05,64.2748,3932500,63.2735,64.8811,63.0806,0.0219,-0.0181,-0.0298,-0.0181,-0.0296,34.6095,0.0171,-0.0129,-0.0074,0.1868,-0.1540,0.6885,buy
2021-10-06,65.7170,4867000,63.6685,65.7722,63.5124,0.0224,0.0224,-0.0228,0.0062,-0.0076,38.6496,0.0181,-0.0112,-0.0046,0.4224,0.2376,0.8633,buy
2021-10-07,68.1330,7309200,67.0306,69.0516,66.9204,0.0368,0.0646,0.0090,0.0423,0.0284,50.1880,0.0219,-0.0067,-0.0003,0.7843,0.5018,1.2723,buy
2021-10-08,68.9413,4672600,68.3810,69.7681,68.2799,0.0119,0.0735,0.0282,0.0516,0.0401,56.9871,0.0219,-0.0025,0.0030,0.8665,-0.3607,0.8185,sell
2021-10-11,68.4361,2817900,68.6106,68.8035,68.1605,-0.0073,0.0881,0.0113,0.0427,0.0306,57.7273,0.0220,0.0002,0.0046,0.7731,-0.3969,0.5067,hold
2021-10-12,68.5922,3408300,69.0883,69.5476,68.4453,0.0023,0.0672,0.0479,0.0401,0.0312,55.0414,0.0185,0.0024,0.0055,0.7668,0.2095,0.6308,hold
2021-10-13,68.8035,2929400,68.8678,69.1985,68.1973,0.0031,0.0470,0.0705,0.0362,0.0324,54.8231,0.0167,0.0044,0.0060,0.7834,-0.1405,0.5846,hold
2021-10-14,68.6014,4770000,69.4006,69.5843,68.1789,-0.0029,0.0069,0.0719,0.0260,0.0274,55.9886,0.0166,0.0058,0.0059,0.7570,0.6283,0.9699,hold
2021-10-15,68.8035,4358500,69.1159,69.2812,68.5647,0.0029,-0.0020,0.0714,0.0220,0.0282,54.5055,0.0166,0.0069,0.0056,0.7738,-0.0863,0.9289,sell
2021-10-18,68.2064,5730000,68.5923,68.9413,67.8757,-0.0087,-0.0034,0.0844,0.0052,0.0168,62.5735,0.0148,0.0071,0.0047,0.6853,0.3147,1.2772,buy
2021-10-19,68.6382,3425800,68.3534,69.2445,68.3259,0.0063,0.0007,0.0679,0.0051,0.0206,71.4542,0.0139,0.0076,0.0041,0.7207,-0.4021,0.7805,buy
2021-10-20,69.7864,5201700,68.8586,70.6867,68.5463,0.0167,0.0143,0.0619,0.0159,0.0352,76.2062,0.0133,0.0091,0.0046,0.8315,0.5184,1.1695,hold
2021-10-21,70.0069,3615500,69.4282,70.0620,68.9505,0.0032,0.0205,0.0275,0.0163,0.0361,76.2062,0.0079,0.0105,0.0048,0.8269,-0.3049,0.8176,buy
2021-10-22,74.0304,11047500,70.0804,74.5816,70.0804,0.0575,0.0760,0.0738,0.0669,0.0921,90.5078,0.0190,0.0153,0.0078,1.1093,2.0556,2.3016,hold
2021-10-25,74.0120,6299600,74.0304,74.4621,73.3966,-0.0002,0.0851,0.0815,0.0581,0.0899,89.3174,0.0186,0.0192,0.0094,1.0078,-0.4298,1.2852,sell
2021-10-26,72.1105,6145700,74.3795,74.3887,72.0187,-0.0257,0.0506,0.0513,0.0258,0.0609,74.8926,0.0214,0.0206,0.0084,0.8158,-0.0244,1.2441,sell
2021-10-27,71.3389,7896500,71.8808,72.1105,70.9990,-0.0107,0.0222,0.0368,0.0111,0.0481,64.3149,0.0220,0.0203,0.0065,0.7310,0.2849,1.5625,sell
2021-10-28,66.5162,17831800,68.0043,68.4177,64.8076,-0.0676,-0.0499,-0.0304,-0.0544,-0.0227,42.0290,0.0316,0.0154,0.0004,0.3233,1.2582,3.1018,buy
2021-10-29,70.4754,16714300,66.2039,70.7142,66.2039,0.0595,-0.0480,0.0243,-0.0005,0.0344,55.4626,0.0373,0.0141,-0.0000,0.6397,-0.0627,2.6193,hold
2021-11-01,70.0896,7915700,70.2457,71.2930,69.4006,-0.0055,-0.0530,0.0276,-0.0086,0.0278,53.9621,0.0372,0.0133,-0.0007,0.5844,-0.5264,1.2095,sell
2021-11-02,68.8035,7002300,69.4741,70.1631,68.4085,-0.0183,-0.0459,0.0024,-0.0271,0.0085,50.0000,0.0378,0.0112,-0.0025,0.4173,-0.1154,1.0454,hold
2021-11-03,69.3088,9462500,68.6106,69.9334,67.8482,0.0073,-0.0285,-0.0068,-0.0193,0.0151,51.7445,0.0374,0.0097,-0.0031,0.4514,0.3513,1.3659,hold
2021-11-04,70.0712,5958200,69.5017,70.7326,68.8495,0.0110,0.0534,0.0009,-0.0086,0.0257,53.0423,0.0376,0.0092,-0.0027,0.5388,-0.3703,0.8685,hold
2021-11-05,69.4190,4692600,70.4111,70.6775,69.3823,-0.0093,-0.0150,-0.0623,-0.0113,0.0161,52.9024,0.0319,0.0082,-0.0031,0.4489,-0.2124,0.6839,sell
2021-11-08,67.7563,8320500,69.6211,70.3009,67.5175,-0.0240,-0.0333,-0.0845,-0.0263,-0.0076,48.0067,0.0323,0.0055,-0.0049,0.2362,0.7731,1.1659,hold
2021-11-09,67.9400,8317700,68.0687,69.3271,67.7747,0.0027,-0.0126,-0.0578,-0.0178,-0.0040,45.6361,0.0319,0.0033,-0.0056,0.2678,-0.0003,1.1268,sell
2021-11-10,67.2695,6126600,67.8574,68.6382,67.0031,-0.0099,-0.0294,-0.0570,-0.0217,-0.0129,43.6650,0.0318,0.0008,-0.0066,0.2015,-0.2634,0.8124,hold
2021-11-11,67.3338,4200800,68.0043,68.8495,67.3246,0.0010,-0.0391,0.0123,-0.0220,-0.0112,31.0254,0.0232,-0.0011,-0.0068,0.2250,-0.3143,0.5591,buy
2021-11-12,67.8941,3793600,67.4808,68.0962,66.6264,0.0083,-0.0220,-0.0366,-0.0101,-0.0023,33.1818,0.0118,-0.0019,-0.0060,0.3014,-0.0969,0.5068,buy
2021-11-15,68.1697,5079300,68.4085,70.0345,67.9768,0.0041,0.0061,-0.0274,-0.0033,0.0024,38.1031,0.0120,-0.0022,-0.0050,0.3347,0.3389,0.6816,buy
2021-11-16,69.7130,6200400,68.2524,70.3468,68.1513,0.0226,0.0261,0.0132,0.0179,0.0248,45.3100,0.0130,-0.0006,-0.0027,0.5133,0.2207,0.8168,sell
2021-11-17,67.4072,6393300,69.6303,69.7405,67.0490,-0.0331,0.0020,-0.0274,-0.0130,-0.0090,53.0067,0.0167,-0.0021,-0.0034,0.2565,0.0311,0.8356,buy
2021-11-18,68.6382,9833400,67.5175,68.9413,67.4807,0.0183,0.0194,-0.0205,0.0071,0.0087,42.4012,0.0175,-0.0017,-0.0024,0.4091,0.5381,1.2351,hold
2021-11-19,68.5555,5573800,68.8035,70.1906,68.4085,-0.0012,0.0097,-0.0124,0.0072,0.0069,43.4918,0.0173,-0.0015,-0.0018,0.4206,-0.4332,0.7250,sell
2021-11-22,67.5818,4576600,68.3718,69.0699,67.5542,-0.0142,-0.0086,-0.0026,-0.0069,-0.0077,44.6756,0.0161,-0.0025,-0.0022,0.2899,-0.1789,0.6020,sell
2021-11-23,65.8181,10521500,67.2511,67.4072,65.2577,-0.0261,-0.0559,-0.0312,-0.0298,-0.0336,36.2915,0.0180,-0.0055,-0.0041,0.0214,1.2990,1.3454,buy
2021-11-24,66.7458,4675200,65.5425,66.9479,65.1383,0.0141,-0.0098,-0.0078,-0.0153,-0.0196,37.1082,0.0186,-0.0065,-0.0041,0.2027,-0.5557,0.6104,hold
