date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,333.7495,1903000,348.7982,348.9662,331.8078,-0.0375,-0.0636,-0.0310,-0.0384,-0.0579,34.8670,0.0200,-0.0078,-0.0018,-0.2075,1.4025,2.0260,buy
2021-09-13,344.1399,1287500,336.1861,347.9020,334.5711,0.0311,-0.0237,-0.0078,-0.0077,-0.0278,44.9219,0.0226,-0.0075,-0.0014,0.3026,-0.3234,1.3603,hold
2021-09-14,342.1140,1025500,345.5121,346.4270,340.6017,-0.0059,-0.0268,-0.0080,-0.0127,-0.0326,43.9860,0.0226,-0.0079,-0.0014,0.2276,-0.2035,1.0722,buy
2021-09-15,349.6290,1652100,341.2552,353.4752,341.2552,0.0220,0.0127,0.0014,0.0088,-0.0108,51.5400,0.0234,-0.0063,0.0001,0.6165,0.6110,1.6696,hold
2021-09-16,350.0211,1110400,350.2639,354.5021,348.4061,0.0011,0.0094,0.0182,0.0081,-0.0091,53.8574,0.0228,-0.0049,0.0012,0.6251,-0.3279,1.0998,buy
2021-09-17,354.2967,1845000,349.1249,356.1358,348.9195,0.0122,0.0616,-0.0059,0.0210,0.0032,55.0080,0.0197,-0.0028,0.0026,0.8204,0.6616,1.7343,sell
2021-09-20,351.8509,1084800,350.7587,353.1298,348.4155,-0.0069,0.0224,-0.0018,0.0142,-0.0032,54.6472,0.0195,-0.0017,0.0030,0.6992,-0.4120,0.9938,hold
2021-09-21,353.8766,927800,353.6899,356.7426,352.4483,0.0058,0.0344,0.0067,0.0193,0.0034,53.2634,0.0196,-0.0003,0.0034,0.7855,-0.1447,0.8394,sell
2021-09-22,350.5345,1011600,354.7448,357.3494,350.2171,-0.0094,0.0026,0.0153,0.0082,-0.0050,54.7775,0.0189,-0.0000,0.0030,0.6247,0.0903,0.8978,buy
2021-09-23,355.0249,794600,351.0481,357.4148,350.5346,0.0128,0.0143,0.0239,0.0187,0.0085,48.9007,0.0192,0.0012,0.0034,0.8089,-0.2145,0.7034,hold
2021-09-24,355.9865,655300,354.9876,357.2934,353.2419,0.0027,0.0048,0.0666,0.0149,0.0120,52.9397,0.0131,0.0024,0.0036,0.8163,-0.1753,0.5808,buy
2021-09-27,362.6613,1209500,354.5768,364.2389,354.5768,0.0188,0.0307,0.0538,0.0285,0.0312,58.5172,0.0109,0.0047,0.0047,1.0102,0.8457,1.0486,sell
2021-09-28,360.0660,1467000,360.3367,363.4080,357.1627,-0.0072,0.0175,0.0525,0.0160,0.0237,62.0266,0.0111,0.0059,0.0048,0.8614,0.2129,1.2258,buy
2021-09-29,362.9600,948300,359.9540,363.1187,357.5548,0.0080,0.0354,0.0381,0.0203,0.0319,62.8647,0.0095,0.0074,0.0050,0.9102,-0.3536,0.8235,sell
2021-09-30,348.0233,1321200,363.2867,365.4152,347.7899,-0.0412,-0.0197,-0.0057,-0.0211,-0.0101,60.9857,0.0172,0.0054,0.0024,0.3810,0.3932,1.1648,buy
2021-10-01,350.9454,1213500,349.4610,352.0936,339.2201,0.0084,-0.0142,-0.0095,-0.0120,-0.0014,55.9182,0.0169,0.0042,0.0009,0.4946,-0.0815,1.0743,sell
2021-10-04,345.5962,943000,350.0678,355.0529,344.2705,-0.0152,-0.0471,-0.0178,-0.0253,-0.0160,52.8627,0.0174,0.0021,-0.0010,0.3166,-0.2229,0.8236,buy
2021-10-05,348.7235,1001200,346.5950,352.6257,346.5950,0.0090,-0.0315,-0.0146,-0.0151,-0.0069,49.1977,0.0176,0.0010,-0.0016,0.4330,0.0617,0.8667,sell
2021-10-06,345.4841,1397300,345.8669,346.3430,339.5095,-0.0093,-0.0481,-0.0144,-0.0228,-0.0156,46.1732,0.0176,-0.0005,-0.0026,0.3172,0.3956,1.1846,buy
2021-10-07,355.3610,896900,349.8064,358.1056,347.4259,0.0286,0.0211,0.0009,0.0050,0.0125,50.8202,0.0196,0.0005,-0.0012,0.6530,-0.3581,0.7570,buy
2021-10-08,360.5048,773700,357.0321,360.6262,354.6889,0.0145,0.0272,0.0127,0.0183,0.0270,56.4028,0.0201,0.0024,0.0006,0.8353,-0.1374,0.6857,sell
2021-10-11,355.5944,837200,361.3356,362.6519,355.0249,-0.0136,0.0289,-0.0195,0.0064,0.0131,51.2189,0.0196,0.0029,0.0008,0.6141,0.0821,0.7571,sell
2021-10-12,352.4017,973100,355.5944,356.9294,351.5802,-0.0090,0.0105,-0.0213,-0.0004,0.0046,51.3277,0.0197,0.0025,0.0003,0.4480,0.1623,0.8821,hold
2021-10-13,350.4972,1103400,352.5230,352.5230,345.4094,-0.0054,0.0145,-0.0343,-0.0023,0.0002,46.6574,0.0194,0.0017,-0.0004,0.3530,0.1339,1.0257,buy
2021-10-14,364.7430,1753900,361.9423,372.6314,361.1395,0.0406,0.0264,0.0480,0.0333,0.0410,55.4044,0.0189,0.0041,0.0017,0.9644,0.5895,1.5831,buy
2021-10-15,366.9275,1145500,366.4234,368.2718,363.4267,0.0060,0.0178,0.0455,0.0348,0.0463,52.7876,0.0188,0.0064,0.0032,0.9765,-0.3469,1.0676,sell
2021-10-18,362.4091,928100,365.6112,366.7408,361.5596,-0.0123,0.0192,0.0486,0.0172,0.0329,51.4935,0.0185,0.0073,0.0033,0.7695,-0.1898,0.8714,buy
2021-10-19,367.5810,1319500,364.9297,370.8857,364.7524,0.0143,0.0431,0.0541,0.0263,0.0466,52.8622,0.0187,0.0089,0.0039,0.9089,0.4217,1.2165,buy
2021-10-20,395.8672,2376600,373.4156,397.1649,373.4156,0.0770,0.1294,0.1458,0.0900,0.1242,75.4291,0.0285,0.0151,0.0084,1.3370,0.8011,2.0613,buy
2021-10-21,401.8045,1606600,392.0863,402.0752,391.6569,0.0150,0.1016,0.1307,0.0924,0.1372,76.1922,0.0281,0.0211,0.0116,1.1952,-0.3240,1.3461,hold
2021-10-22,404.5398,910300,402.4114,406.9857,399.3307,0.0068,0.1025,0.1221,0.0868,0.1410,81.1956,0.0281,0.0262,0.0134,1.0859,-0.4334,0.7546,hold
2021-10-25,405.6788,893900,404.5585,407.3218,402.4954,0.0028,0.1194,0.1408,0.0754,0.1401,80.7913,0.0269,0.0301,0.0138,1.0033,-0.0180,0.7509,hold
2021-10-26,407.2470,1107800,407.2004,409.5342,400.5349,0.0039,0.1079,0.1556,0.0641,0.1408,84.0048,0.0260,0.0330,0.0135,0.9482,0.2393,0.9448,hold
2021-10-27,404.8572,962200,407.7979,410.6638,404.4838,-0.0059,0.0227,0.1551,0.0430,0.1309,79.6997,0.0260,0.0348,0.0121,0.8727,-0.1314,0.8201,hold
2021-10-28,404.5585,989200,403.7837,407.4992,402.8968,-0.0007,0.0069,0.1092,0.0317,0.1264,78.0659,0.0247,0.0356,0.0103,0.8305,0.0281,0.8552,hold
2021-10-29,406.2108,844700,403.7370,406.7896,401.9446,0.0041,0.0041,0.1071,0.0256,0.1274,83.6436,0.0248,0.0360,0.0086,0.8119,-0.1461,0.7421,sell
2021-11-01,400.2642,1002400,407.3124,410.0104,394.8310,-0.0146,-0.0133,0.1045,0.0010,0.1079,80.6895,0.0250,0.0353,0.0061,0.7283,0.1867,0.8784,sell
2021-11-02,392.2731,1291300,402.3367,402.3553,390.5554,-0.0200,-0.0368,0.0672,-0.0250,0.0834,74.8474,0.0267,0.0330,0.0026,0.6281,0.2882,1.1174,buy
2021-11-03,396.4086,1160000,387.8854,397.1368,385.7943,0.0105,-0.0209,0.0014,-0.0149,0.0920,71.4088,0.0109,0.0308,0.0005,0.6531,-0.1017,1.0142,sell
2021-11-04,394.5229,924900,396.7541,397.1555,389.6125,-0.0048,-0.0248,-0.0181,-0.0178,0.0840,68.7326,0.0096,0.0288,-0.0013,0.6142,-0.2027,0.8076,hold
2021-11-05,394.0095,944900,396.7541,401.8326,392.9079,-0.0013,-0.0300,-0.0260,-0.0165,0.0797,72.6848,0.0092,0.0267,-0.0028,0.5916,0.0216,0.8190,buy
2021-11-08,398.2385,636100,394.9711,399.4427,393.1600,0.0107,-0.0051,-0.0183,-0.0041,0.0882,72.3099,0.0100,0.0253,-0.0031,0.6240,-0.3268,0.5562,buy
2021-11-09,401.5338,859400,397.1275,401.8326,395.3538,0.0083,0.0236,-0.0140,0.0056,0.0938,56.4810,0.0104,0.0246,-0.0029,0.6482,0.3510,0.7552,sell
2021-11-10,396.6981,872700,404.0357,406.8270,395.3258,-0.0120,0.0007,-0.0202,-0.0045,0.0778,44.0089,0.0108,0.0232,-0.0036,0.5563,0.0155,0.7747,buy
2021-11-11,402.0472,826500,397.0435,402.4020,394.6536,0.0135,0.0191,-0.0062,0.0096,0.0889,47.2445,0.0119,0.0224,-0.0033,0.6271,-0.0529,0.7652,buy
2021-11-12,407.9659,977400,404.3998,408.7781,402.8314,0.0147,0.0354,0.0043,0.0240,0.1019,52.2867,0.0128,0.0226,-0.0021,0.7233,0.1826,0.9120,sell
2021-11-15,405.5200,1116000,407.4338,409.0488,404.2317,-0.0060,0.0183,0.0131,0.0165,0.0921,48.3031,0.0119,0.0225,-0.0020,0.6721,0.1418,1.0323,sell
2021-11-16,401.8512,983500,405.5201,407.9566,401.6458,-0.0090,0.0008,0.0244,0.0049,0.0793,47.1188,0.0101,0.0214,-0.0026,0.5387,-0.1187,0.9241,hold
2021-11-17,401.1230,1644200,402.6447,405.1279,398.1731,-0.0018,0.0112,0.0119,0.0019,0.0741,46.7340,0.0098,0.0201,-0.0032,0.4869,0.6718,1.5999,sell
2021-11-18,397.5756,1592900,402.2900,404.8292,397.1182,-0.0088,-0.0111,0.0077,-0.0077,0.0618,42.0764,0.0101,0.0183,-0.0042,0.3108,-0.0312,1.5510,sell
2021-11-19,387.6147,1064100,397.1928,397.1928,386.5131,-0.0251,-0.0499,-0.0162,-0.0310,0.0322,39.1893,0.0130,0.0148,-0.0065,-0.0731,-0.3320,1.0284,buy
2021-11-22,391.5262,1034900,391.6009,397.6783,389.0430,0.0101,-0.0345,-0.0169,-0.0196,0.0400,49.3138,0.0130,0.0123,-0.0071,0.1469,-0.0274,0.9934,buy
2021-11-23,395.5031,1026900,390.8540,396.3339,388.6042,0.0102,-0.0158,-0.0150,-0.0081,0.0476,49.1656,0.0131,0.0110,-0.0066,0.3401,-0.0077,0.9896,hold
2021-11-24,396.5580,732500,394.8216,397.2115,392.7212,0.0027,-0.0114,-0.0004,-0.0054,0.0478,51.9043,0.0126,0.0101,-0.0059,0.4043,-0.2867,0.7138,sell
2021-11-26,387.9041,627600,393.9441,395.2044,384.0113,-0.0218,-0.0243,-0.0352,-0.0237,0.0228,45.0424,0.0134,0.0078,-0.0069,0.0634,-0.1432,0.6225,hold
2021-11-29,388.5576,765900,390.5554,391.3862,385.5703,0.0017,0.0024,-0.0476,-0.0172,0.0227,41.6546,0.0120,0.0058,-0.0071,0.1308,0.2204,0.7627,sell
2021-11-30,379.2315,2238600,385.9717,387.4187,378.3820,-0.0240,-0.0314,-0.0648,-0.0344,-0.0033,32.5849,0.0134,0.0023,-0.0087,-0.1091,1.9228,2.1000,hold
2021-12-01,377.7566,1414100,384.3287,388.2682,377.2618,-0.0039,-0.0449,-0.0600,-0.0322,-0.0084,34.3899,0.0134,-0.0008,-0.0095,-0.0491,-0.3683,1.3189,sell
