date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,188.5364,2131418,191.4572,191.9550,188.3094,-0.0064,-0.0357,-0.0343,-0.0232,-0.0782,30.6761,0.0057,-0.0204,-0.0007,0.0771,-0.1947,0.8617,buy
2021-09-13,191.6914,2293368,189.9346,191.7207,188.6828,0.0167,-0.0157,-0.0198,-0.0048,-0.0603,41.5281,0.0085,-0.0192,0.0001,0.2851,0.0760,0.9295,sell
2021-09-14,186.8161,3206124,191.9477,192.4967,186.4574,-0.0254,-0.0320,-0.0362,-0.0266,-0.0813,30.9137,0.0112,-0.0209,-0.0008,-0.0161,0.3980,1.3051,buy
2021-09-15,187.8336,2836802,187.6287,190.0737,186.5818,0.0054,-0.0170,-0.0315,-0.0182,-0.0738,28.2266,0.0115,-0.0210,-0.0008,0.0640,-0.1152,1.1742,buy
2021-09-16,189.1440,2124468,188.8438,189.8980,187.4310,0.0070,-0.0032,-0.0256,-0.0087,-0.0651,35.5362,0.0119,-0.0202,-0.0002,0.1896,-0.2511,0.8890,sell
2021-09-17,186.8307,3825258,186.9625,188.6535,186.0035,-0.0122,-0.0090,-0.0444,-0.0164,-0.0740,31.0736,0.0117,-0.0208,-0.0004,0.0673,0.8006,1.6015,sell
2021-09-20,183.5951,4311855,184.5541,185.9230,181.6625,-0.0173,-0.0422,-0.0573,-0.0277,-0.0871,29.1606,0.0124,-0.0225,-0.0014,-0.0514,0.1272,1.7564,buy
2021-09-21,184.5248,5561045,185.2056,185.8498,182.1164,0.0051,-0.0123,-0.0439,-0.0184,-0.0793,31.4488,0.0128,-0.0228,-0.0015,0.0752,0.2897,2.1337,sell
2021-09-22,167.6953,22080368,171.4287,172.0143,167.6221,-0.0912,-0.1072,-0.1224,-0.0967,-0.1590,18.5760,0.0304,-0.0332,-0.0078,-0.3493,2.9705,6.1690,hold
2021-09-23,167.5782,8802041,167.6880,169.3131,166.9632,-0.0007,-0.1140,-0.1169,-0.0864,-0.1555,15.7300,0.0306,-0.0392,-0.0110,-0.1520,-0.6014,2.2639,sell
2021-09-24,165.9091,6171989,166.9047,167.6367,165.8798,-0.0100,-0.1120,-0.1200,-0.0842,-0.1597,15.3901,0.0305,-0.0447,-0.0130,-0.0675,-0.2988,1.4998,hold
2021-09-27,165.8139,5380356,165.4406,167.8197,165.2063,-0.0006,-0.0969,-0.1350,-0.0715,-0.1561,16.0293,0.0292,-0.0483,-0.0132,0.0167,-0.1283,1.2548,sell
2021-09-28,162.8052,5854666,165.3088,166.9413,162.3367,-0.0181,-0.1177,-0.1285,-0.0759,-0.1670,15.6039,0.0289,-0.0529,-0.0138,0.0269,0.0882,1.3094,hold
2021-09-29,161.8462,4637865,163.2444,164.1522,161.6340,-0.0059,-0.0349,-0.1384,-0.0676,-0.1671,15.7413,0.0283,-0.0561,-0.0133,0.0710,-0.2078,1.0079,hold
2021-09-30,160.5286,4788523,162.2123,163.3689,160.3383,-0.0081,-0.0421,-0.1513,-0.0597,-0.1690,15.7046,0.0275,-0.0588,-0.0125,0.0991,0.0325,1.0120,buy
2021-10-01,162.9003,5005077,161.0556,164.0496,159.7160,0.0148,-0.0181,-0.1281,-0.0322,-0.1520,14.0559,0.0292,-0.0578,-0.0098,0.1809,0.0452,1.0213,sell
2021-10-04,159.4891,4869808,161.9561,163.9765,159.0425,-0.0209,-0.0381,-0.1313,-0.0387,-0.1648,14.5892,0.0292,-0.0600,-0.0088,0.1530,-0.0270,0.9644,buy
2021-10-05,164.1742,6610683,159.2183,165.7773,158.3691,0.0294,0.0084,-0.1103,0.0018,-0.1355,22.0028,0.0318,-0.0561,-0.0051,0.2677,0.3575,1.2523,hold
2021-10-06,164.1229,4533249,162.5710,164.6646,160.9239,-0.0003,0.0141,-0.0213,0.0037,-0.1319,19.4822,0.0149,-0.0537,-0.0022,0.2889,-0.3143,0.8420,sell
2021-10-07,163.2079,4907038,166.1726,166.6558,162.8638,-0.0056,0.0167,-0.0261,0.0008,-0.1328,20.1701,0.0150,-0.0520,-0.0001,0.2923,0.0825,0.8927,hold
2021-10-08,163.5666,2934965,162.8052,163.9326,162.0878,0.0022,0.0041,-0.0141,0.0044,-0.1270,22.7273,0.0148,-0.0496,0.0018,0.3199,-0.4019,0.5301,sell
2021-10-11,160.9166,3579913,163.9985,164.4011,160.5799,-0.0162,0.0090,-0.0295,-0.0089,-0.1371,19.2916,0.0155,-0.0493,0.0023,0.2828,0.2197,0.6391,buy
