date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,62.0980,3319500,62.6460,62.9640,61.7160,-0.0008,-0.0109,0.0012,-0.0104,0.0830,58.6875,0.0165,0.0229,-0.0049,0.5828,-0.1835,0.7584,sell
2021-09-13,59.3840,8885500,62.1120,62.2880,58.8540,-0.0437,-0.0727,-0.0606,-0.0479,0.0317,43.0464,0.0201,0.0185,-0.0084,0.1834,1.6768,1.9020,buy
2021-09-14,60.1160,6213000,59.6000,61.1360,59.2640,0.0123,-0.0430,-0.0589,-0.0303,0.0406,50.5125,0.0202,0.0148,-0.0094,0.2998,-0.3008,1.2963,hold
2021-09-15,60.3060,5027500,60.4460,60.7980,59.8380,0.0032,-0.0248,-0.0432,-0.0229,0.0403,46.6398,0.0202,0.0121,-0.0096,0.3213,-0.1908,1.0430,buy
2021-09-16,60.8120,3354000,60.1780,60.8760,59.7140,0.0084,-0.0215,-0.0143,-0.0133,0.0454,45.3586,0.0196,0.0105,-0.0088,0.3704,-0.3329,0.7034,sell
2021-09-17,59.8980,7779000,60.5060,60.8820,59.3620,-0.0150,-0.0354,-0.0459,-0.0236,0.0264,37.0607,0.0188,0.0081,-0.0092,0.1985,1.3193,1.5708,sell
2021-09-20,59.4140,5185500,58.4020,59.5500,56.8280,-0.0081,0.0005,-0.0722,-0.0241,0.0153,32.3194,0.0168,0.0054,-0.0096,0.1188,-0.3334,1.0312,buy
2021-09-21,59.9200,3565500,60.4000,60.6580,59.0240,0.0085,-0.0033,-0.0461,-0.0111,0.0209,37.3453,0.0169,0.0039,-0.0089,0.2296,-0.3124,0.7171,buy
2021-09-22,60.3240,3515000,60.2000,60.6380,59.4700,0.0067,0.0003,-0.0245,-0.0020,0.0246,43.9648,0.0167,0.0032,-0.0076,0.2921,-0.0142,0.7192,buy
2021-09-23,62.1080,4887000,60.8920,62.2900,60.4740,0.0296,0.0213,-0.0006,0.0276,0.0510,47.2112,0.0195,0.0048,-0.0045,0.5876,0.3903,0.9911,hold
2021-09-24,62.3800,3283000,61.6400,62.5660,61.4240,0.0044,0.0414,0.0045,0.0317,0.0517,42.5059,0.0196,0.0064,-0.0023,0.6301,-0.3282,0.6683,sell
2021-09-27,60.1140,4127000,61.6920,61.9760,59.8380,-0.0363,0.0118,0.0123,-0.0070,0.0106,38.8402,0.0178,0.0049,-0.0033,0.2714,0.2571,0.8430,sell
2021-09-28,57.5760,7433000,59.5740,60.1900,57.4140,-0.0422,-0.0391,-0.0423,-0.0449,-0.0341,34.4015,0.0219,0.0001,-0.0068,-0.0603,0.8011,1.4581,hold
2021-09-29,57.7660,5604000,58.2500,58.8060,57.6160,0.0033,-0.0424,-0.0421,-0.0377,-0.0325,33.8303,0.0219,-0.0035,-0.0083,0.0407,-0.2461,1.1020,buy
2021-09-30,58.4080,4332000,57.6780,59.0240,57.6780,0.0111,-0.0596,-0.0395,-0.0231,-0.0236,36.9538,0.0221,-0.0054,-0.0081,0.1741,-0.2270,0.8873,buy
2021-10-01,59.6000,4479000,58.2340,59.9000,57.8100,0.0204,-0.0446,-0.0050,-0.0027,-0.0055,50.8558,0.0229,-0.0051,-0.0062,0.3609,0.0339,0.9136,sell
2021-10-04,57.7740,5075500,58.5080,58.8660,56.9540,-0.0306,-0.0389,-0.0276,-0.0306,-0.0368,41.4613,0.0248,-0.0076,-0.0070,0.1177,0.1332,1.0192,buy
2021-10-05,59.7040,5241000,58.7240,60.2000,58.3240,0.0334,0.0370,-0.0036,0.0022,-0.0063,48.0523,0.0272,-0.0064,-0.0047,0.4365,0.0326,1.0402,buy
2021-10-06,60.3600,4171000,58.8840,60.9420,58.5780,0.0110,0.0449,0.0006,0.0131,0.0025,48.5517,0.0273,-0.0047,-0.0024,0.5606,-0.2042,0.8380,buy
2021-10-07,61.9240,3705000,60.9260,62.6480,60.8040,0.0259,0.0602,-0.0030,0.0397,0.0259,56.2323,0.0269,-0.0013,0.0008,0.8377,-0.1117,0.7471,hold
2021-10-08,61.4340,2363000,62.0360,62.4480,61.0700,-0.0079,0.0308,-0.0152,0.0331,0.0156,56.2116,0.0270,0.0007,0.0023,0.7659,-0.3622,0.4811,hold
2021-10-11,61.3600,2524000,61.0320,61.8220,60.5700,-0.0012,0.0621,0.0207,0.0297,0.0120,54.5489,0.0240,0.0022,0.0030,0.7301,0.0681,0.5495,hold
2021-10-12,61.3160,2510500,62.1720,62.1720,61.1460,-0.0007,0.0270,0.0650,0.0225,0.0099,53.2066,0.0184,0.0033,0.0032,0.7076,-0.0053,0.5695,buy
2021-10-13,62.0200,3788000,61.7780,62.8000,61.6020,0.0115,0.0275,0.0736,0.0270,0.0206,49.6942,0.0184,0.0049,0.0039,0.8024,0.5089,0.8716,buy
2021-10-14,62.7620,4454000,62.9780,63.7760,62.2200,0.0120,0.0135,0.0745,0.0318,0.0322,51.2855,0.0184,0.0071,0.0049,0.8841,0.1758,1.0120,hold
2021-10-15,63.0580,3697500,62.9920,63.3160,62.3460,0.0047,0.0264,0.0580,0.0308,0.0360,61.4215,0.0179,0.0091,0.0055,0.8796,-0.1698,0.8810,buy
2021-10-18,65.3480,4646500,63.0920,65.3780,63.0920,0.0363,0.0650,0.1311,0.0552,0.0720,80.7437,0.0150,0.0129,0.0076,1.0719,0.2567,1.1142,buy
2021-10-19,66.4240,4547000,65.7700,66.6180,65.3000,0.0165,0.0833,0.1126,0.0611,0.0874,82.0050,0.0132,0.0171,0.0095,1.0660,-0.0214,1.0777,buy
2021-10-20,66.6900,3533000,66.8420,67.3220,65.7240,0.0040,0.0753,0.1049,0.0547,0.0894,81.4905,0.0134,0.0206,0.0104,0.9968,-0.2230,0.8372,hold
2021-10-21,66.8680,3108500,66.7680,66.8920,65.5400,0.0027,0.0654,0.0798,0.0493,0.0898,79.9440,0.0123,0.0233,0.0105,0.9465,-0.1202,0.7525,hold
2021-10-22,67.0580,2282500,66.9720,67.7640,66.2600,0.0028,0.0634,0.0915,0.0430,0.0908,94.2095,0.0112,0.0254,0.0101,0.9093,-0.2657,0.5593,sell
2021-10-25,66.3820,4970000,67.5200,69.0500,66.2040,-0.0101,0.0158,0.0818,0.0245,0.0782,86.1130,0.0124,0.0262,0.0086,0.8186,1.1774,1.2054,sell
2021-10-26,64.5260,7187000,66.7920,66.8200,64.0000,-0.0280,-0.0286,0.0524,-0.0090,0.0467,69.9407,0.0168,0.0248,0.0054,0.6583,0.4461,1.7483,sell
