date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,9.3994,48792500,9.5180,9.5847,9.3846,-0.0063,-0.0254,-0.0171,-0.0233,-0.0694,52.3405,0.0152,-0.0183,0.0008,0.1902,-0.2909,0.8947,buy
2021-09-13,9.6292,62270800,9.4587,9.6292,9.3549,0.0244,0.0078,-0.0240,0.0031,-0.0440,55.2000,0.0135,-0.0163,0.0019,0.5242,0.2762,1.1242,sell
2021-09-14,9.5328,47640800,9.5847,9.6811,9.4809,-0.0100,-0.0069,-0.0146,-0.0055,-0.0506,45.1755,0.0124,-0.0159,0.0020,0.3928,-0.2349,0.8532,buy
2021-09-15,9.7997,60282100,9.5551,9.8219,9.4958,0.0280,0.0146,0.0146,0.0208,-0.0222,50.9804,0.0155,-0.0127,0.0038,0.8465,0.2653,1.0936,buy
2021-09-16,9.9331,76426100,9.7700,10.0295,9.7107,0.0136,0.0502,0.0221,0.0324,-0.0077,60.1626,0.0159,-0.0091,0.0057,0.9907,0.2678,1.3552,buy
2021-09-17,10.0443,76182400,9.9405,10.1555,9.9257,0.0112,0.0686,0.0415,0.0397,0.0042,55.4545,0.0157,-0.0054,0.0074,1.0522,-0.0032,1.3423,sell
2021-09-20,9.5032,126152200,9.6885,9.7775,9.3623,-0.0539,-0.0131,-0.0054,-0.0158,-0.0476,45.6929,0.0241,-0.0072,0.0050,0.2690,0.6559,2.0893,hold
2021-09-21,9.4661,60473100,9.5551,9.6144,9.3846,-0.0039,-0.0070,-0.0139,-0.0183,-0.0487,45.1852,0.0240,-0.0086,0.0029,0.2076,-0.5206,1.0049,buy
2021-09-22,9.8071,75784000,9.5773,9.9257,9.5699,0.0360,0.0008,0.0153,0.0155,-0.0127,51.9481,0.0268,-0.0065,0.0037,0.7143,0.2532,1.2367,buy
2021-09-23,10.1629,68708100,9.8961,10.1852,9.8738,0.0363,0.0231,0.0745,0.0447,0.0240,60.1156,0.0275,-0.0021,0.0062,1.0977,-0.0934,1.1054,hold
2021-09-24,10.2148,57440200,10.1259,10.3334,10.1110,0.0051,0.0170,0.0868,0.0413,0.0296,63.0499,0.0271,0.0017,0.0080,1.0406,-0.1640,0.9242,buy
2021-09-27,10.4965,68769700,10.2964,10.5929,10.2889,0.0276,0.1045,0.0901,0.0607,0.0571,66.2199,0.0273,0.0066,0.0102,1.1499,0.1972,1.0966,buy
2021-09-28,10.6077,107090900,10.8449,10.9190,10.5484,0.0106,0.1206,0.1128,0.0604,0.0667,66.8422,0.0265,0.0111,0.0117,1.0886,0.5572,1.6244,hold
2021-09-29,10.6003,56805500,10.7189,10.7485,10.5039,-0.0007,0.0809,0.0817,0.0512,0.0653,71.7515,0.0260,0.0146,0.0121,0.9895,-0.4696,0.8522,sell
2021-09-30,10.4965,78820500,10.5706,10.6151,10.4446,-0.0098,0.0328,0.0567,0.0352,0.0549,70.5556,0.0265,0.0165,0.0112,0.8731,0.3876,1.1650,hold
2021-10-01,10.4965,51880900,10.5706,10.6522,10.3853,0.0000,0.0276,0.0450,0.0306,0.0545,67.7812,0.0265,0.0177,0.0099,0.8329,-0.3418,0.7652,buy
2021-10-04,10.6373,78332500,10.5780,10.9635,10.5410,0.0134,0.0134,0.1193,0.0329,0.0678,72.2388,0.0166,0.0192,0.0093,0.8671,0.5099,1.1249,hold
