date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,59.1481,5089700,59.1398,59.5231,58.5316,0.0054,-0.0187,-0.0062,-0.0098,0.0136,40.6931,0.0105,0.0047,-0.0032,0.1667,-0.2743,0.8470,hold
2021-09-13,59.2814,11048100,59.3564,59.9063,59.0065,0.0023,-0.0113,-0.0018,-0.0074,0.0153,41.0714,0.0105,0.0040,-0.0031,0.2309,1.1707,1.7417,hold
2021-09-14,59.2898,5490000,59.5591,59.8116,59.0037,0.0001,-0.0004,-0.0118,-0.0060,0.0149,42.7820,0.0099,0.0034,-0.0030,0.2527,-0.5031,0.8892,buy
2021-09-15,60.3923,7723700,59.3992,61.0067,59.2646,0.0186,0.0084,-0.0041,0.0129,0.0326,56.6803,0.0112,0.0042,-0.0016,0.7970,0.4069,1.2641,sell
2021-09-16,60.0304,5306700,60.4260,60.4765,59.5928,-0.0060,0.0204,0.0025,0.0065,0.0253,53.6635,0.0106,0.0045,-0.0011,0.6138,-0.3129,0.8891,buy
2021-09-17,60.2661,10888000,59.6097,60.3923,59.2814,0.0039,0.0189,-0.0001,0.0105,0.0280,56.1291,0.0104,0.0049,-0.0005,0.7133,1.0517,1.7414,sell
2021-09-20,59.7190,9594900,59.6938,60.5270,59.1888,-0.0091,0.0074,-0.0040,0.0017,0.0177,48.0323,0.0107,0.0045,-0.0008,0.4602,-0.1188,1.4876,buy
2021-09-21,60.3671,5896000,59.9884,60.6448,59.8453,0.0109,0.0182,0.0177,0.0108,0.0274,48.0799,0.0106,0.0049,-0.0003,0.7918,-0.3855,0.9103,sell
2021-09-22,60.0725,6557000,60.6532,60.7458,59.8200,-0.0049,-0.0053,0.0031,0.0056,0.0212,51.4416,0.0104,0.0048,-0.0003,0.6464,0.1121,0.9941,buy
2021-09-23,60.3334,5263500,60.1567,60.6869,60.0052,0.0043,0.0050,0.0255,0.0074,0.0244,50.4654,0.0082,0.0051,-0.0000,0.7540,-0.1973,0.7963,sell
2021-09-24,59.9126,5023400,60.2829,60.4849,59.9042,-0.0070,-0.0059,0.0129,-0.0009,0.0162,49.6692,0.0087,0.0046,-0.0004,0.5322,-0.0456,0.7690,sell
2021-09-27,59.2562,5560500,59.8453,59.9968,59.1552,-0.0110,-0.0078,-0.0004,-0.0118,0.0043,49.5576,0.0095,0.0034,-0.0013,0.2057,0.1069,0.8508,sell
2021-09-28,58.8859,6392300,58.9111,59.5844,58.6334,-0.0062,-0.0245,-0.0068,-0.0173,-0.0026,42.1758,0.0097,0.0019,-0.0023,0.0829,0.1496,0.9640,buy
