date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,47.5337,22774700,46.7653,48.4269,46.7653,0.0221,0.0110,0.0179,0.0091,-0.0767,54.5695,0.0124,-0.0284,0.0045,0.4778,0.6576,1.3697,buy
2021-09-13,48.8111,18506500,48.1292,48.9360,47.6394,0.0269,0.0410,0.0205,0.0340,-0.0489,65.9806,0.0130,-0.0233,0.0070,0.8057,-0.1874,1.0912,hold
2021-09-14,48.7343,12587300,49.1953,49.3874,48.5038,-0.0016,0.0415,0.0319,0.0291,-0.0475,58.4172,0.0120,-0.0197,0.0085,0.9278,-0.3198,0.7520,buy
2021-09-15,49.7716,13658500,48.7823,49.8773,48.5422,0.0213,0.0582,0.0573,0.0451,-0.0251,63.4176,0.0130,-0.0146,0.0104,1.1312,0.0851,0.8538,sell
2021-09-16,49.4835,12617300,49.5507,49.8484,48.8976,-0.0058,0.0640,0.0491,0.0340,-0.0289,70.3649,0.0135,-0.0113,0.0111,1.0088,-0.0762,0.7953,hold
2021-09-17,49.3010,45115700,49.3010,49.8773,48.9744,-0.0037,0.0372,0.0486,0.0253,-0.0308,62.4795,0.0135,-0.0089,0.0109,0.9031,2.5757,2.6614,sell
2021-09-20,47.4184,24540600,47.4953,47.5817,46.4580,-0.0382,-0.0285,0.0113,-0.0150,-0.0645,51.3405,0.0192,-0.0103,0.0082,0.4449,-0.4561,1.4158,hold
2021-09-21,47.4184,14172700,47.6105,47.8122,46.8614,0.0000,-0.0270,0.0133,-0.0162,-0.0610,52.4658,0.0192,-0.0109,0.0060,0.4275,-0.4225,0.8571,buy
2021-09-22,48.7727,14038300,48.0524,49.1953,48.0524,0.0286,-0.0201,0.0370,0.0082,-0.0313,59.6979,0.0210,-0.0088,0.0061,0.7507,-0.0095,0.8683,buy
2021-09-23,49.8677,14043200,49.0801,50.0213,49.0224,0.0224,0.0078,0.0723,0.0237,-0.0073,65.4848,0.0210,-0.0054,0.0074,0.9492,0.0003,0.8696,hold
2021-09-24,50.1654,11643500,49.8292,50.5496,49.6756,0.0060,0.0175,0.0554,0.0243,0.0005,67.4513,0.0203,-0.0023,0.0083,0.9467,-0.1709,0.7322,buy
2021-09-27,51.1355,13861400,50.3383,51.4524,50.3095,0.0193,0.0784,0.0476,0.0392,0.0207,71.1610,0.0196,0.0016,0.0096,1.0332,0.1905,0.8745,sell
2021-09-28,50.7609,16422900,51.6445,52.0671,50.6168,-0.0073,0.0705,0.0416,0.0274,0.0137,67.9298,0.0199,0.0041,0.0097,0.9058,0.1848,1.0273,hold
2021-09-29,50.8377,10881100,51.1931,51.2507,50.4535,0.0015,0.0423,0.0214,0.0267,0.0165,71.7874,0.0190,0.0061,0.0094,0.8707,-0.3374,0.6880,hold
2021-09-30,50.6264,16324300,50.8377,51.0971,50.1174,-0.0042,0.0152,0.0231,0.0201,0.0140,66.9474,0.0189,0.0073,0.0085,0.8023,0.5002,1.0150,buy
2021-10-01,51.0298,16660400,50.9338,51.2699,50.1846,0.0080,0.0172,0.0351,0.0246,0.0231,63.4459,0.0188,0.0087,0.0079,0.8297,0.0206,1.0254,buy
2021-10-04,51.8462,29206700,52.7299,53.4406,51.5581,0.0160,0.0139,0.0934,0.0318,0.0398,67.3078,0.0120,0.0108,0.0080,0.9071,0.7531,1.6969,buy
2021-10-05,52.1920,18201500,52.0479,52.5762,51.5293,0.0067,0.0282,0.1007,0.0290,0.0473,64.5834,0.0117,0.0129,0.0081,0.9115,-0.3768,1.0397,sell
2021-10-06,51.7982,29520800,52.3361,53.3061,51.0490,-0.0075,0.0189,0.0620,0.0151,0.0399,63.7716,0.0107,0.0140,0.0073,0.8211,0.6219,1.6021,buy
2021-10-07,54.2090,31006000,52.6818,54.4971,52.2880,0.0465,0.0708,0.0871,0.0534,0.0878,73.0804,0.0162,0.0175,0.0089,1.0909,0.0503,1.6074,buy
2021-10-08,56.2548,33724900,54.3050,56.8695,54.1514,0.0377,0.1024,0.1214,0.0804,0.1283,90.9254,0.0185,0.0227,0.0115,1.1754,0.0877,1.7001,sell
2021-10-11,55.7938,17665700,56.4661,57.0040,55.4864,-0.0082,0.0761,0.0911,0.0620,0.1186,87.2016,0.0193,0.0265,0.0122,1.0162,-0.4762,0.8924,buy
2021-10-12,56.6294,17095000,56.2068,56.9847,55.5729,0.0150,0.0850,0.1156,0.0660,0.1345,86.5834,0.0185,0.0299,0.0126,1.0059,-0.0323,0.8539,sell
2021-10-13,55.4864,18813800,56.6102,56.6102,54.8237,-0.0202,0.0712,0.0914,0.0355,0.1116,76.0464,0.0209,0.0315,0.0111,0.8532,0.1005,0.9278,hold
2021-10-14,55.4096,11450100,55.8034,55.9859,55.1791,-0.0014,0.0221,0.0945,0.0249,0.1080,74.8183,0.0207,0.0318,0.0091,0.8105,-0.3914,0.5663,hold
2021-10-15,55.7073,12914600,56.0339,56.3892,55.5632,0.0054,-0.0097,0.0917,0.0215,0.1124,73.1069,0.0207,0.0319,0.0075,0.8024,0.1279,0.6940,sell
2021-10-18,54.6412,12667900,55.1406,55.3039,54.6028,-0.0191,-0.0207,0.0539,-0.0031,0.0903,68.3304,0.0223,0.0309,0.0048,0.6921,-0.0191,0.7032,hold
2021-10-19,54.6028,10589000,54.7468,54.8045,54.2954,-0.0007,-0.0358,0.0462,-0.0082,0.0884,67.8507,0.0224,0.0292,0.0024,0.6711,-0.1641,0.5937,buy
2021-10-20,55.3904,13399900,54.1321,55.9378,53.9977,0.0144,-0.0017,0.0693,-0.0004,0.1026,71.4163,0.0221,0.0282,0.0015,0.7295,0.2655,0.7526,buy
2021-10-21,56.1011,11585400,55.7073,56.3508,55.4480,0.0128,0.0125,0.0349,0.0090,0.1150,72.1849,0.0175,0.0281,0.0014,0.7781,-0.1354,0.6552,sell
2021-10-22,55.4864,11077600,56.0627,56.3797,55.3615,-0.0110,-0.0040,-0.0137,-0.0007,0.1015,66.2105,0.0132,0.0275,0.0003,0.6914,-0.0438,0.6275,hold
2021-10-25,55.4768,14151000,55.7553,56.0051,54.5932,-0.0002,0.0153,-0.0057,-0.0003,0.0995,65.0794,0.0130,0.0264,-0.0006,0.6706,0.2774,0.8009,sell
2021-10-26,55.1022,16335800,55.7265,55.9955,54.7084,-0.0068,0.0091,-0.0270,-0.0043,0.0903,65.1944,0.0119,0.0248,-0.0019,0.6082,0.1544,0.9248,sell
2021-10-27,52.1152,36397600,53.4022,53.5559,52.0191,-0.0542,-0.0591,-0.0608,-0.0525,0.0297,40.8557,0.0197,0.0200,-0.0066,0.2158,1.2281,1.9218,hold
2021-10-28,52.0959,23020300,52.4417,53.3830,51.9231,-0.0004,-0.0714,-0.0598,-0.0471,0.0280,27.9306,0.0198,0.0148,-0.0094,0.1833,-0.3675,1.1944,hold
2021-10-29,52.2784,16680700,51.7694,52.8643,51.4909,0.0035,-0.0578,-0.0616,-0.0377,0.0295,30.7772,0.0197,0.0108,-0.0107,0.1816,-0.2754,0.8654,buy
2021-11-01,53.2965,15677600,52.6818,53.5367,52.2688,0.0195,-0.0393,-0.0246,-0.0166,0.0469,32.1318,0.0206,0.0090,-0.0097,0.3117,-0.0601,0.8429,hold
2021-11-02,53.3926,16377500,52.8547,53.7672,52.5186,0.0018,-0.0310,-0.0222,-0.0126,0.0459,37.3550,0.0206,0.0077,-0.0087,0.3090,0.0446,0.8849,buy
2021-11-03,53.7864,14419400,53.0756,53.9497,52.9123,0.0074,0.0321,-0.0290,-0.0024,0.0510,40.5587,0.0201,0.0072,-0.0073,0.3438,-0.1196,0.8122,buy
2021-11-04,56.3220,24026100,54.2378,56.4469,54.0457,0.0471,0.0811,0.0039,0.0443,0.0969,52.8369,0.0253,0.0101,-0.0030,0.7687,0.6662,1.3805,hold
2021-11-05,56.2068,16302200,56.8119,57.0039,55.7553,-0.0020,0.0751,0.0130,0.0407,0.0906,57.9203,0.0250,0.0123,-0.0007,0.7497,-0.3215,0.9861,buy
2021-11-08,57.2441,14385500,56.4373,57.9452,56.1683,0.0185,0.0741,0.0319,0.0565,0.1067,62.1359,0.0256,0.0151,0.0019,0.8928,-0.1176,0.8789,sell
2021-11-09,56.3028,13822900,57.4458,57.5610,55.5248,-0.0164,0.0545,0.0218,0.0368,0.0847,54.1340,0.0262,0.0162,0.0022,0.7447,-0.0391,0.8530,buy
2021-11-10,56.9271,22778600,55.5632,58.1661,55.4480,0.0111,0.0584,0.0923,0.0391,0.0926,53.7719,0.0170,0.0174,0.0029,0.8220,0.6479,1.3887,buy
2021-11-11,59.3763,29033900,57.4554,59.6933,56.9655,0.0430,0.0542,0.1397,0.0696,0.1343,65.2141,0.0197,0.0208,0.0055,1.0730,0.2746,1.6800,buy
2021-11-12,60.8939,31152400,59.1554,61.4990,58.8577,0.0256,0.0834,0.1648,0.0802,0.1571,68.9516,0.0197,0.0252,0.0082,1.1091,0.0730,1.7122,sell
2021-11-15,60.4809,14372100,61.1436,61.2108,60.1543,-0.0068,0.0565,0.1348,0.0593,0.1434,68.7667,0.0208,0.0285,0.0091,0.9764,-0.5387,0.7863,hold
2021-11-16,60.1351,16115000,60.7402,60.7786,59.4820,-0.0057,0.0681,0.1263,0.0410,0.1311,84.3056,0.0214,0.0302,0.0086,0.8882,0.1213,0.8685,buy
2021-11-17,62.0560,29983400,60.8266,62.4978,59.9142,0.0319,0.0901,0.1538,0.0591,0.1607,86.6430,0.0222,0.0327,0.0093,0.9778,0.8606,1.5468,sell
2021-11-18,59.8662,23308100,61.7871,62.6035,59.6356,-0.0353,0.0082,0.0629,0.0156,0.1142,74.3226,0.0240,0.0333,0.0073,0.7726,-0.2226,1.1671,sell
2021-11-19,59.3571,19520600,60.0102,60.4809,59.1266,-0.0085,-0.0252,0.0560,0.0016,0.0999,70.0827,0.0243,0.0320,0.0047,0.7128,-0.1625,0.9572,buy
2021-11-22,61.5278,19836200,59.5012,62.3922,59.3187,0.0366,0.0173,0.0748,0.0307,0.1347,73.6989,0.0260,0.0322,0.0047,0.8411,0.0162,0.9593,sell
2021-11-23,60.5577,16225100,61.2108,61.5086,59.7989,-0.0158,0.0070,0.0756,0.0073,0.1120,69.0850,0.0259,0.0321,0.0033,0.7441,-0.1820,0.7849,sell
2021-11-24,59.7317,12685000,59.8373,60.1255,59.1938,-0.0136,-0.0375,0.0493,-0.0110,0.0928,60.6351,0.0267,0.0306,0.0011,0.6646,-0.2182,0.6510,sell
2021-11-26,57.7915,13272600,57.4362,58.1757,57.1096,-0.0325,-0.0347,-0.0267,-0.0406,0.0541,54.4379,0.0255,0.0270,-0.0028,0.4929,0.0463,0.6986,hold
2021-11-29,57.4938,15033100,58.6944,59.1074,57.2921,-0.0052,-0.0314,-0.0558,-0.0402,0.0456,50.7295,0.0235,0.0228,-0.0057,0.4400,0.1326,0.7947,sell
2021-11-30,55.5825,21282200,56.8599,57.4746,55.1695,-0.0332,-0.0966,-0.0810,-0.0644,0.0078,48.0085,0.0251,0.0170,-0.0100,0.2336,0.4157,1.1086,hold
2021-12-01,55.7650,26353700,56.9079,58.1949,55.7169,0.0033,-0.0791,-0.0727,-0.0544,0.0081,46.7066,0.0254,0.0119,-0.0120,0.2182,0.2383,1.3381,buy
2021-12-02,58.6079,25365100,56.4277,58.8769,56.3796,0.0510,-0.0188,-0.0556,-0.0003,0.0557,47.8701,0.0291,0.0113,-0.0091,0.4996,-0.0375,1.2530,sell
2021-12-03,57.3497,19596100,58.8192,59.2515,56.5429,-0.0215,-0.0076,-0.0420,-0.0176,0.0303,40.0324,0.0278,0.0097,-0.0090,0.3356,-0.2274,0.9788,hold
2021-12-06,57.4746,16728200,58.0797,58.3294,56.3796,0.0022,-0.0003,-0.0317,-0.0123,0.0298,41.4058,0.0278,0.0082,-0.0083,0.3382,-0.1464,0.8346,buy
2021-12-07,59.0978,14135700,58.5023,59.9142,58.3006,0.0282,0.0632,-0.0395,0.0199,0.0559,47.2364,0.0266,0.0090,-0.0057,0.5367,-0.1550,0.7057,sell
2021-12-08,58.3774,10004100,59.2130,59.3667,58.0317,-0.0122,0.0468,-0.0360,0.0113,0.0402,39.5298,0.0264,0.0089,-0.0048,0.4248,-0.2923,0.5043,sell
2021-12-09,57.2633,12964800,57.9932,58.2334,57.2345,-0.0191,-0.0229,-0.0413,-0.0038,0.0180,42.1083,0.0267,0.0072,-0.0054,0.2665,0.2959,0.6701,buy
2021-12-10,60.7114,22839800,57.7243,60.7882,57.7243,0.0602,0.0586,0.0505,0.0509,0.0754,53.4849,0.0314,0.0098,-0.0016,0.7322,0.7617,1.1997,sell
2021-12-13,56.7927,27327000,59.6164,59.7221,56.6870,-0.0645,-0.0119,-0.0122,-0.0158,0.0040,38.8209,0.0384,0.0074,-0.0039,0.2276,0.1965,1.4499,sell
2021-12-14,56.0915,17928700,55.6785,56.8599,55.4192,-0.0123,-0.0509,0.0092,-0.0288,-0.0099,39.3202,0.0370,0.0040,-0.0059,0.1712,-0.3439,0.9424,hold
2021-12-15,56.2932,14471600,55.9955,56.5621,54.7853,0.0036,-0.0357,0.0095,-0.0262,-0.0078,41.5246,0.0370,0.0015,-0.0067,0.2273,-0.1928,0.7640,hold
2021-12-16,56.0819,17772200,57.0520,58.2237,55.7361,-0.0038,-0.0206,-0.0431,-0.0256,-0.0130,45.3934,0.0327,-0.0008,-0.0072,0.2181,0.2281,0.9694,sell
2021-12-17,52.9796,42175800,53.9785,54.1610,52.3553,-0.0553,-0.1274,-0.0762,-0.0724,-0.0672,39.4335,0.0362,-0.0074,-0.0114,-0.0776,1.3731,2.1880,sell
2021-12-20,51.9039,19073900,51.8846,52.3841,51.0394,-0.0203,-0.0861,-0.0969,-0.0823,-0.0847,41.0388,0.0363,-0.0143,-0.0147,-0.0692,-0.5478,0.9907,buy
2021-12-21,52.6242,15571300,52.3457,52.7299,51.7118,0.0139,-0.0618,-0.1095,-0.0588,-0.0710,42.5444,0.0349,-0.0181,-0.0148,0.0548,-0.1836,0.8178,buy
2021-12-22,53.8632,16694000,52.6242,54.1225,52.5858,0.0235,-0.0432,-0.0773,-0.0288,-0.0482,37.8085,0.0365,-0.0188,-0.0124,0.2096,0.0721,0.8757,buy
2021-12-23,54.6604,13722300,53.8536,54.8333,53.5655,0.0148,-0.0253,-0.0455,-0.0098,-0.0338,42.9222,0.0369,-0.0179,-0.0093,0.3147,-0.1780,0.7179,hold
2021-12-27,55.1599,9078900,54.6412,55.4672,54.2954,0.0091,0.0412,-0.0914,0.0094,-0.0249,44.0258,0.0299,-0.0164,-0.0063,0.3837,-0.3384,0.4802,hold
2021-12-28,54.8525,8577700,55.1310,55.8226,54.7565,-0.0056,0.0568,-0.0342,0.0074,-0.0300,38.2447,0.0227,-0.0156,-0.0044,0.3641,-0.0552,0.4616,hold
2021-12-29,54.9678,7982300,54.8525,55.4192,54.4971,0.0021,0.0445,-0.0200,0.0116,-0.0281,40.2312,0.0225,-0.0146,-0.0027,0.3809,-0.0694,0.4455,buy
2021-12-30,55.8322,11965900,55.1791,56.4565,54.9966,0.0157,0.0366,-0.0082,0.0284,-0.0133,45.8403,0.0231,-0.0122,-0.0004,0.4760,0.4991,0.6957,buy
2021-12-31,56.3124,9856300,55.7073,56.7158,55.6305,0.0086,0.0302,0.0041,0.0368,-0.0051,34.5479,0.0233,-0.0096,0.0017,0.5433,-0.1763,0.6001,buy
