date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,139.6378,36840000,142.9450,143.4465,139.5010,-0.0186,-0.0168,-0.0040,-0.0203,0.0437,61.1976,0.0101,0.0173,-0.0031,0.4751,1.4056,1.6127,buy
2021-09-13,141.0815,22094000,140.7019,141.6936,140.0085,0.0103,-0.0098,-0.0116,-0.0090,0.0514,58.0477,0.0087,0.0158,-0.0035,0.5715,-0.4003,0.9543,hold
2021-09-14,141.2916,19674000,141.7387,142.1029,140.5041,0.0015,-0.0120,-0.0142,-0.0061,0.0503,54.8503,0.0086,0.0146,-0.0037,0.5734,-0.1095,0.8548,buy
2021-09-15,143.1601,27408000,141.5166,143.1809,140.1052,0.0132,0.0051,-0.0019,0.0072,0.0614,58.2223,0.0098,0.0144,-0.0029,0.7070,0.3931,1.1763,sell
2021-09-16,142.3478,26190000,142.6853,143.0317,141.1499,-0.0057,0.0005,-0.0111,0.0026,0.0527,57.4943,0.0098,0.0139,-0.0029,0.6189,-0.0444,1.1076,sell
2021-09-17,139.5625,53384000,141.7733,142.1892,139.2354,-0.0196,-0.0005,-0.0174,-0.0153,0.0297,39.1175,0.0108,0.0119,-0.0041,0.2550,1.0383,2.1162,sell
2021-09-20,137.5002,46518000,136.9471,137.7783,135.1238,-0.0148,-0.0254,-0.0349,-0.0264,0.0125,31.8963,0.0114,0.0090,-0.0059,-0.0731,-0.1286,1.7896,hold
2021-09-21,137.8110,25332000,138.5212,138.7809,137.0626,0.0023,-0.0246,-0.0364,-0.0206,0.0130,32.7528,0.0113,0.0066,-0.0066,0.0049,-0.4554,0.9805,buy
2021-09-22,139.0505,25056000,138.0796,139.6487,137.3337,0.0090,-0.0287,-0.0237,-0.0094,0.0202,35.6243,0.0120,0.0053,-0.0062,0.1887,-0.0109,0.9590,buy
2021-09-23,139.9748,20952000,139.7483,140.4511,139.1675,0.0066,-0.0167,-0.0162,-0.0012,0.0251,43.5914,0.0123,0.0048,-0.0053,0.3187,-0.1638,0.7942,buy
2021-09-24,140.9650,22984000,139.3033,141.0795,139.0084,0.0071,0.0100,0.0095,0.0049,0.0301,45.4369,0.0110,0.0050,-0.0041,0.4425,0.0970,0.8673,sell
2021-09-27,139.8321,21882000,139.5669,140.6910,138.8364,-0.0080,0.0170,-0.0089,-0.0023,0.0197,40.7304,0.0108,0.0044,-0.0038,0.3127,-0.0479,0.8366,sell
2021-09-28,134.6362,45772000,137.4363,137.8739,134.1703,-0.0372,-0.0230,-0.0471,-0.0348,-0.0198,32.1007,0.0157,0.0010,-0.0060,-0.1595,1.0918,1.6814,sell
2021-09-29,133.1726,30848000,135.7760,135.9455,132.6884,-0.0109,-0.0423,-0.0698,-0.0384,-0.0316,30.2721,0.0144,-0.0028,-0.0079,-0.1330,-0.3261,1.1160,sell
2021-09-30,132.5011,37996000,133.0814,134.3512,132.3821,-0.0050,-0.0534,-0.0692,-0.0364,-0.0373,33.0970,0.0144,-0.0061,-0.0090,-0.0688,0.2317,1.3358,buy
2021-10-01,135.3429,35360000,133.2658,135.7072,132.8946,0.0214,-0.0399,-0.0302,-0.0127,-0.0178,37.2526,0.0162,-0.0068,-0.0077,0.1902,-0.0694,1.2365,sell
2021-10-04,132.4847,51202000,134.7655,134.7655,129.8982,-0.0211,-0.0525,-0.0365,-0.0300,-0.0386,32.4961,0.0168,-0.0092,-0.0081,0.0461,0.4480,1.6975,buy
2021-10-05,134.8274,32404000,132.8629,136.0184,132.8629,0.0177,0.0014,-0.0216,-0.0106,-0.0219,33.7452,0.0181,-0.0093,-0.0066,0.2387,-0.3671,1.0528,buy
2021-10-06,136.3559,24364000,133.5656,136.5393,133.3674,0.0113,0.0239,-0.0194,0.0025,-0.0116,38.6291,0.0183,-0.0084,-0.0046,0.3655,-0.2481,0.7839,buy
2021-10-07,138.0013,25110000,137.6712,138.8111,137.4323,0.0121,0.0415,-0.0141,0.0161,-0.0002,46.9034,0.0186,-0.0067,-0.0023,0.5019,0.0306,0.7954,hold
2021-10-08,138.5569,26526000,138.3502,139.0976,137.9939,0.0040,0.0237,-0.0171,0.0220,0.0033,52.2291,0.0185,-0.0050,-0.0005,0.5487,0.0564,0.8542,sell
2021-10-11,137.6931,17954000,138.0677,139.4753,137.6385,-0.0062,0.0393,-0.0153,0.0173,-0.0036,49.7568,0.0184,-0.0041,0.0003,0.4952,-0.3232,0.5821,sell
2021-10-12,135.2497,36332000,138.2541,138.2808,134.5668,-0.0177,0.0031,0.0046,-0.0012,-0.0215,42.5351,0.0149,-0.0049,-0.0003,0.3224,1.0236,1.1469,buy
2021-10-13,136.3728,19654000,136.1948,136.7871,135.3191,0.0083,0.0001,0.0240,0.0047,-0.0136,42.9803,0.0145,-0.0047,-0.0001,0.4340,-0.4590,0.6281,buy
2021-10-14,139.9104,31894000,138.2481,140.0952,137.6048,0.0259,0.0138,0.0559,0.0251,0.0111,48.1303,0.0160,-0.0023,0.0017,0.7804,0.6228,1.0101,hold
2021-10-15,140.1255,30274000,140.3698,140.4724,139.5179,0.0015,0.0113,0.0353,0.0231,0.0119,50.5376,0.0150,-0.0005,0.0029,0.7947,-0.0508,0.9952,buy
2021-10-18,141.5231,20396000,139.8365,141.5409,139.8296,0.0100,0.0278,0.0682,0.0266,0.0210,64.6606,0.0123,0.0018,0.0041,0.8813,-0.3263,0.7005,hold
2021-10-19,141.9780,20164000,142.1272,142.3998,141.3466,0.0032,0.0497,0.0530,0.0245,0.0233,69.5857,0.0117,0.0038,0.0048,0.8773,-0.0114,0.6988,sell
2021-10-20,140.5230,23288000,142.0782,142.2844,140.1339,-0.0102,0.0304,0.0306,0.0110,0.0121,67.2419,0.0124,0.0045,0.0045,0.7457,0.1549,0.8095,hold
2021-10-21,140.6389,26292000,140.5230,140.9066,139.2651,0.0008,0.0052,0.0191,0.0099,0.0121,62.8940,0.0120,0.0051,0.0040,0.7499,0.1290,0.9055,sell
2021-10-22,136.3574,50588000,137.9270,139.3474,134.8602,-0.0304,-0.0269,-0.0159,-0.0193,-0.0187,58.8174,0.0157,0.0031,0.0016,0.4213,0.9241,1.6633,hold
2021-10-25,136.2390,34412000,136.3411,136.7871,134.2337,-0.0009,-0.0373,-0.0106,-0.0191,-0.0195,53.5760,0.0156,0.0014,-0.0001,0.4251,-0.3198,1.1086,buy
2021-10-26,138.0841,49236000,138.0395,138.8517,137.0889,0.0135,-0.0274,0.0210,-0.0078,-0.0064,54.3091,0.0150,0.0011,-0.0003,0.5678,0.4308,1.5773,buy
2021-10-27,144.9323,85782000,138.1797,147.3435,138.1797,0.0496,0.0314,0.0628,0.0350,0.0415,63.7218,0.0212,0.0045,0.0026,1.0508,0.7423,2.5259,hold
2021-10-28,144.5671,36206000,145.8413,145.8646,143.3558,-0.0025,0.0279,0.0333,0.0290,0.0373,61.9892,0.0202,0.0071,0.0041,0.9651,-0.5779,1.0689,buy
2021-10-29,146.7448,43320000,143.8029,146.9390,143.3781,0.0151,0.0762,0.0472,0.0396,0.0511,67.1571,0.0205,0.0100,0.0057,1.0249,0.1965,1.2641,sell
2021-11-01,142.2357,46924000,146.7448,146.7448,141.9666,-0.0307,0.0440,0.0050,0.0071,0.0179,62.2800,0.0232,0.0101,0.0045,0.6991,0.0832,1.3778,buy
2021-11-02,144.1543,33482000,143.3088,145.3204,143.0669,0.0135,0.0440,0.0153,0.0191,0.0308,63.3062,0.0236,0.0108,0.0042,0.8105,-0.2865,0.9816,buy
2021-11-03,145.3095,27494000,144.6181,145.3799,143.3201,0.0080,0.0026,0.0341,0.0238,0.0383,60.0514,0.0233,0.0119,0.0043,0.8547,-0.1788,0.8024,buy
2021-11-04,146.9644,38412000,145.8314,148.4175,145.0221,0.0114,0.0166,0.0450,0.0309,0.0492,62.0839,0.0234,0.0134,0.0047,0.9139,0.3971,1.0996,hold
