date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,140.6806,32896000,144.1724,144.7428,140.5027,-0.0207,-0.0159,-0.0014,-0.0196,0.0350,61.1275,0.0103,0.0157,-0.0021,0.4837,1.2230,1.7877,buy
2021-09-13,142.2112,20176000,141.9495,142.9308,141.0390,0.0109,-0.0090,-0.0075,-0.0082,0.0436,58.1364,0.0093,0.0143,-0.0026,0.5858,-0.3867,1.0743,hold
2021-09-14,142.1527,18916000,142.9011,143.4626,141.6566,-0.0004,-0.0145,-0.0142,-0.0072,0.0410,53.7888,0.0089,0.0132,-0.0030,0.5654,-0.0625,1.0049,buy
2021-09-15,143.9369,20648000,142.5026,144.3092,141.0127,0.0126,0.0022,-0.0018,0.0055,0.0517,57.7553,0.0100,0.0130,-0.0024,0.6950,0.0916,1.0987,sell
2021-09-16,143.1117,20292000,143.8527,143.9310,142.1629,-0.0057,-0.0037,-0.0101,0.0007,0.0435,57.7335,0.0101,0.0124,-0.0025,0.6022,-0.0172,1.0646,sell
2021-09-17,140.2272,60040000,142.5417,142.9888,139.8287,-0.0202,-0.0032,-0.0191,-0.0176,0.0207,39.7324,0.0114,0.0103,-0.0038,0.2171,1.9588,2.8390,sell
2021-09-20,137.8020,34918000,137.7854,138.1445,135.8552,-0.0173,-0.0310,-0.0398,-0.0307,0.0016,30.5181,0.0121,0.0072,-0.0058,-0.1336,-0.4184,1.5788,buy
2021-09-21,138.4260,18130000,138.8924,139.5810,137.6915,0.0045,-0.0262,-0.0404,-0.0223,0.0049,33.0771,0.0121,0.0048,-0.0065,-0.0017,-0.4808,0.8253,buy
2021-09-22,139.7068,22068000,138.8265,140.3461,138.2528,0.0093,-0.0294,-0.0272,-0.0105,0.0127,36.4503,0.0128,0.0036,-0.0061,0.1840,0.2172,0.9889,buy
2021-09-23,140.5870,17272000,140.3719,141.0092,139.8633,0.0063,-0.0176,-0.0213,-0.0021,0.0177,43.1088,0.0131,0.0032,-0.0052,0.3032,-0.2173,0.7664,buy
2021-09-24,141.3864,14950000,139.7142,141.6546,139.6195,0.0057,0.0083,0.0050,0.0031,0.0218,43.9182,0.0115,0.0032,-0.0040,0.3971,-0.1344,0.6633,sell
2021-09-27,140.2643,18844000,140.3481,141.2546,139.2721,-0.0079,0.0179,-0.0137,-0.0035,0.0123,38.8376,0.0112,0.0027,-0.0037,0.2808,0.2605,0.8468,sell
2021-09-28,134.9938,42190000,137.8729,138.3864,134.5140,-0.0376,-0.0248,-0.0504,-0.0361,-0.0267,30.8207,0.0160,-0.0009,-0.0060,-0.1528,1.2389,1.7941,sell
2021-09-29,133.3453,26338000,135.9114,136.1977,133.0767,-0.0122,-0.0455,-0.0736,-0.0406,-0.0391,28.6272,0.0148,-0.0048,-0.0080,-0.1312,-0.3757,1.1210,sell
2021-09-30,132.1008,35294000,133.1510,134.4050,131.8376,-0.0093,-0.0604,-0.0769,-0.0419,-0.0481,30.8298,0.0148,-0.0086,-0.0094,-0.0892,0.3400,1.4424,buy
2021-10-01,135.2699,28388000,132.3873,135.8730,132.2118,0.0240,-0.0433,-0.0354,-0.0154,-0.0257,35.5490,0.0171,-0.0093,-0.0081,0.1735,-0.1957,1.1449,sell
2021-10-04,132.5959,31530000,134.5135,134.5140,130.0201,-0.0198,-0.0547,-0.0378,-0.0312,-0.0445,32.0578,0.0174,-0.0117,-0.0084,0.0599,0.1107,1.2405,buy
2021-10-05,134.9869,24126000,132.8289,136.1615,132.8289,0.0180,-0.0001,-0.0248,-0.0113,-0.0267,33.5711,0.0186,-0.0116,-0.0067,0.2387,-0.2348,0.9328,buy
2021-10-06,136.1536,19764000,133.4489,136.6472,133.3111,0.0086,0.0211,-0.0254,-0.0001,-0.0184,37.3857,0.0185,-0.0109,-0.0048,0.3332,-0.1808,0.7579,buy
2021-10-07,137.9691,18250000,137.6494,138.9296,137.3520,0.0133,0.0444,-0.0186,0.0152,-0.0057,45.7413,0.0190,-0.0090,-0.0024,0.4704,-0.0766,0.6952,buy
2021-10-08,138.8320,18924000,138.6833,139.0907,138.2108,0.0063,0.0263,-0.0181,0.0234,0.0000,52.0641,0.0191,-0.0070,-0.0004,0.5371,0.0369,0.7406,sell
2021-10-11,137.6340,16584000,138.5782,139.5334,137.5934,-0.0086,0.0380,-0.0188,0.0166,-0.0091,48.4484,0.0191,-0.0062,0.0004,0.4681,-0.1237,0.6536,sell
2021-10-12,135.5182,22536000,138.4171,138.4741,135.0592,-0.0154,0.0039,0.0039,0.0006,-0.0245,42.0544,0.0154,-0.0067,-0.0000,0.3340,0.3589,0.8819,buy
2021-10-13,136.6948,16380000,136.5461,137.3391,135.7794,0.0087,0.0040,0.0251,0.0068,-0.0162,42.6988,0.0149,-0.0063,0.0003,0.4432,-0.2732,0.6464,buy
2021-10-14,140.1761,21426000,138.7289,140.4135,138.1212,0.0255,0.0160,0.0611,0.0263,0.0080,47.9372,0.0158,-0.0038,0.0021,0.7638,0.3081,0.8436,hold
2021-10-15,140.4368,21250000,140.9572,140.9572,139.8316,0.0019,0.0116,0.0382,0.0243,0.0092,50.3028,0.0145,-0.0017,0.0033,0.7850,-0.0082,0.9059,buy
2021-10-18,141.7111,16564000,139.9794,141.7490,139.9794,0.0091,0.0296,0.0687,0.0268,0.0175,63.7207,0.0119,0.0006,0.0045,0.8593,-0.2205,0.7349,buy
2021-10-19,142.5651,15316000,142.0392,142.8476,141.8454,0.0060,0.0520,0.0561,0.0274,0.0228,69.4639,0.0113,0.0029,0.0054,0.8865,-0.0753,0.6838,sell
2021-10-20,141.1703,17940000,142.9620,142.9871,140.6717,-0.0098,0.0327,0.0368,0.0136,0.0122,69.0261,0.0122,0.0039,0.0051,0.7656,0.1713,0.8084,hold
2021-10-21,141.5326,14850000,140.9493,141.6010,140.3991,0.0026,0.0097,0.0258,0.0136,0.0141,64.8918,0.0117,0.0048,0.0048,0.7855,-0.1722,0.6728,sell
2021-10-22,137.4135,30182000,139.1244,140.3213,135.9717,-0.0291,-0.0215,-0.0102,-0.0149,-0.0155,60.7185,0.0153,0.0033,0.0026,0.4879,1.0325,1.3218,hold
