date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,359.1845,1956000,363.2083,364.8018,358.8996,-0.0027,-0.0266,-0.0169,-0.0172,0.0379,60.5593,0.0092,0.0122,-0.0047,0.3857,-0.1933,1.0263,buy
2021-09-13,364.3300,1802800,362.6831,364.4279,359.4694,0.0143,-0.0050,-0.0201,-0.0011,0.0508,60.7569,0.0085,0.0115,-0.0041,0.5902,-0.0783,0.9503,sell
2021-09-14,359.3714,3263200,365.2557,371.2291,358.5613,-0.0136,-0.0162,-0.0192,-0.0128,0.0348,46.6973,0.0083,0.0100,-0.0046,0.3977,0.8101,1.6475,sell
2021-09-15,357.8225,3199800,354.3061,359.3002,352.7126,-0.0043,-0.0075,-0.0280,-0.0143,0.0286,38.8203,0.0080,0.0083,-0.0051,0.3388,-0.0194,1.5710,sell
2021-09-16,353.1310,2882900,360.1103,361.4100,351.5375,-0.0131,-0.0195,-0.0410,-0.0231,0.0135,34.9341,0.0085,0.0058,-0.0062,0.1544,-0.0990,1.3917,sell
2021-09-17,348.4841,3843700,352.8106,355.3388,346.1428,-0.0132,-0.0298,-0.0556,-0.0305,-0.0016,19.9264,0.0087,0.0028,-0.0075,-0.0268,0.3333,1.7864,sell
2021-09-20,336.6175,3834500,336.3416,339.0478,331.6056,-0.0341,-0.0761,-0.0807,-0.0557,-0.0360,17.0767,0.0125,-0.0025,-0.0106,-0.2505,-0.0024,1.6946,sell
2021-09-21,334.5789,2377300,339.0389,339.6175,333.0121,-0.0061,-0.0690,-0.0840,-0.0533,-0.0417,13.2202,0.0124,-0.0073,-0.0123,-0.1342,-0.3800,1.0387,buy
2021-09-22,343.1517,2991300,338.9944,346.5524,338.0241,0.0256,-0.0410,-0.0482,-0.0243,-0.0177,26.7755,0.0163,-0.0086,-0.0108,0.1269,0.2583,1.2781,buy
2021-09-23,348.8402,2518000,347.5316,350.5139,345.5643,0.0166,-0.0122,-0.0314,-0.0049,-0.0024,32.9107,0.0176,-0.0082,-0.0083,0.2815,-0.1582,1.0607,hold
2021-09-24,347.9411,1789700,347.6028,349.4011,345.9381,-0.0026,-0.0016,-0.0313,-0.0043,-0.0059,34.0307,0.0176,-0.0082,-0.0066,0.2830,-0.2892,0.7585,buy
2021-09-27,355.9175,2788500,353.0421,356.9768,351.7958,0.0229,0.0573,-0.0231,0.0210,0.0149,42.7045,0.0187,-0.0061,-0.0036,0.4821,0.5581,1.1666,sell
2021-09-28,346.7393,2609000,356.4872,359.8344,345.7512,-0.0258,0.0363,-0.0352,-0.0017,-0.0131,39.9377,0.0199,-0.0068,-0.0034,0.2849,-0.0644,1.0797,sell
2021-09-29,342.6354,1955000,347.7898,349.3121,342.1102,-0.0118,-0.0015,-0.0424,-0.0092,-0.0258,37.8771,0.0201,-0.0081,-0.0038,0.2156,-0.2507,0.8091,sell
2021-09-30,336.5285,2665700,345.4040,345.4218,335.2733,-0.0178,-0.0353,-0.0470,-0.0221,-0.0435,35.3686,0.0204,-0.0106,-0.0049,0.1137,0.3635,1.0812,hold
2021-10-01,338.2823,2382300,337.7838,340.7037,334.5879,0.0052,-0.0278,-0.0293,-0.0141,-0.0390,32.4075,0.0204,-0.0119,-0.0050,0.1843,-0.1063,0.9556,sell
2021-10-04,333.0745,2895600,338.4692,344.3981,331.8905,-0.0154,-0.0642,-0.0105,-0.0283,-0.0538,32.2988,0.0179,-0.0142,-0.0058,0.1035,0.2155,1.1271,buy
2021-10-05,343.4544,2508100,336.5908,345.5998,334.2763,0.0312,-0.0095,0.0265,-0.0006,-0.0249,41.3561,0.0204,-0.0128,-0.0037,0.3708,-0.1338,0.9585,hold
2021-10-06,345.4485,2111800,340.4010,346.7838,337.0894,0.0058,0.0082,0.0067,0.0045,-0.0200,45.2231,0.0188,-0.0114,-0.0019,0.4381,-0.1580,0.7999,buy
2021-10-07,347.7364,2348000,349.7750,354.1726,346.9708,0.0066,0.0333,-0.0032,0.0115,-0.0144,49.5210,0.0182,-0.0097,-0.0002,0.5159,0.1118,0.8907,buy
2021-10-08,349.6859,1446700,347.9233,351.0213,345.5642,0.0056,0.0337,0.0050,0.0167,-0.0098,59.5898,0.0182,-0.0077,0.0014,0.5876,-0.3839,0.5541,sell
2021-10-11,342.9470,1787400,349.7660,353.3714,342.7511,-0.0193,0.0296,-0.0364,0.0009,-0.0294,55.7443,0.0174,-0.0079,0.0011,0.4110,0.2355,0.6848,hold
2021-10-12,344.0953,2088200,343.8194,345.9292,339.1902,0.0033,0.0019,-0.0076,0.0050,-0.0267,50.7213,0.0156,-0.0075,0.0012,0.4719,0.1683,0.8185,hold
2021-10-13,343.8995,2391600,345.4040,345.7423,337.0627,-0.0006,-0.0045,0.0037,0.0040,-0.0276,45.8773,0.0151,-0.0072,0.0012,0.4893,0.1453,0.9525,buy
2021-10-14,348.2527,3380900,348.9648,350.4426,340.2407,0.0127,0.0015,0.0348,0.0133,-0.0161,50.2458,0.0140,-0.0057,0.0020,0.6883,0.4137,1.3333,buy
2021-10-15,361.4902,6451400,358.1430,362.5584,352.8284,0.0380,0.0338,0.0686,0.0447,0.0201,54.0596,0.0178,-0.0015,0.0048,1.1115,0.9082,2.4198,buy
2021-10-18,368.2737,3832300,363.2173,370.2767,362.8523,0.0188,0.0739,0.1057,0.0536,0.0383,66.2546,0.0163,0.0031,0.0074,1.1542,-0.4060,1.4375,hold
2021-10-19,366.9116,2568300,369.6000,370.1965,364.7128,-0.0037,0.0663,0.0683,0.0427,0.0338,69.1153,0.0149,0.0063,0.0085,1.0211,-0.3298,0.9599,sell
2021-10-20,363.1105,2453400,365.8790,368.8434,361.6060,-0.0104,0.0559,0.0511,0.0268,0.0230,71.7196,0.0159,0.0080,0.0082,0.8688,-0.0447,0.9263,hold
