date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,294.5954,3178600,296.4147,297.5063,294.1516,0.0005,0.0128,0.0378,0.0128,0.0211,58.3478,0.0062,0.0044,0.0025,0.8273,0.0553,0.9517,buy
2021-09-13,297.7016,3908700,297.2578,299.2103,295.3054,0.0105,0.0155,0.0426,0.0192,0.0309,66.6008,0.0066,0.0057,0.0031,0.9620,0.2297,1.1414,sell
2021-09-14,295.6338,2857200,298.2163,299.5120,295.0126,-0.0069,0.0127,0.0236,0.0097,0.0230,67.7916,0.0069,0.0062,0.0029,0.8463,-0.2690,0.8422,hold
2021-09-15,295.8557,2875500,295.8468,297.0094,292.9536,0.0008,0.0054,0.0272,0.0078,0.0228,70.6428,0.0067,0.0066,0.0026,0.8268,0.0064,0.9366,buy
2021-09-16,298.5357,3043800,297.0536,299.8225,296.5655,0.0091,0.0139,0.0394,0.0130,0.0311,79.9711,0.0066,0.0074,0.0028,0.9277,0.0585,1.0220,sell
2021-09-17,297.8969,7098400,297.2579,301.4290,297.2579,-0.0021,0.0112,0.0242,0.0084,0.0277,76.3586,0.0061,0.0079,0.0026,0.8528,1.3321,2.2291,sell
2021-09-20,293.9387,4036600,294.4889,297.6483,291.4715,-0.0133,-0.0126,0.0026,-0.0052,0.0134,60.6064,0.0075,0.0072,0.0015,0.6226,-0.4313,1.2460,buy
2021-09-21,296.6100,3171100,295.5539,299.0505,294.6398,0.0091,0.0033,0.0160,0.0022,0.0218,66.5529,0.0078,0.0071,0.0012,0.7456,-0.2144,0.9731,buy
2021-09-22,298.1275,2872800,298.0565,300.8520,295.9355,0.0051,0.0077,0.0131,0.0061,0.0257,70.4221,0.0076,0.0074,0.0012,0.7963,-0.0941,0.8747,hold
2021-09-23,298.1099,2426600,299.8227,301.3136,297.8347,-0.0001,-0.0014,0.0125,0.0048,0.0245,65.7058,0.0076,0.0076,0.0011,0.7700,-0.1553,0.7406,buy
2021-09-24,299.5120,2004900,298.8819,299.8226,297.7903,0.0047,0.0054,0.0167,0.0078,0.0283,64.3059,0.0076,0.0080,0.0012,0.8322,-0.1738,0.6209,buy
2021-09-27,302.9908,2966100,298.9617,305.0586,298.9617,0.0116,0.0308,0.0178,0.0177,0.0389,72.6383,0.0078,0.0091,0.0019,0.9961,0.4794,0.9189,sell
2021-09-28,296.2372,3304100,302.9554,302.9554,295.0480,-0.0223,-0.0013,0.0020,-0.0052,0.0147,53.4154,0.0107,0.0083,0.0007,0.5626,0.1140,1.0176,buy
2021-09-29,299.0150,2424000,295.8467,300.7456,295.8467,0.0094,0.0030,0.0107,0.0031,0.0234,57.2800,0.0111,0.0081,0.0005,0.7277,-0.2664,0.7674,sell
2021-09-30,291.3207,4255000,300.1776,300.5947,290.7616,-0.0257,-0.0228,-0.0242,-0.0204,-0.0032,45.8002,0.0135,0.0060,-0.0014,0.1140,0.7554,1.3277,buy
2021-10-01,292.7406,2814200,291.2230,295.2877,288.0548,0.0049,-0.0226,-0.0173,-0.0139,0.0014,43.3499,0.0137,0.0045,-0.0023,0.2090,-0.3386,0.8822,sell
2021-10-04,289.7321,2919900,291.5337,293.4062,287.6821,-0.0103,-0.0438,-0.0143,-0.0226,-0.0086,42.2835,0.0134,0.0025,-0.0035,0.0112,0.0376,0.9133,buy
2021-10-05,292.4034,2514300,290.1137,294.8084,289.6079,0.0092,-0.0129,-0.0142,-0.0122,0.0005,45.7579,0.0134,0.0015,-0.0035,0.2164,-0.1389,0.7869,hold
2021-10-06,293.1844,2226800,291.2320,293.4418,288.7825,0.0027,-0.0195,-0.0166,-0.0079,0.0029,43.1024,0.0133,0.0010,-0.0032,0.2853,-0.1143,0.6968,buy
2021-10-07,299.5032,2789500,295.9710,301.0474,295.4030,0.0216,0.0281,0.0047,0.0130,0.0237,51.8060,0.0152,0.0023,-0.0015,0.7538,0.2527,0.8760,sell
2021-10-08,296.7165,2912200,295.5273,297.6661,293.6459,-0.0093,0.0136,-0.0093,0.0045,0.0136,53.2077,0.0154,0.0026,-0.0010,0.5329,0.0440,0.9184,buy
2021-10-11,299.0505,2589100,297.8347,302.5028,296.9472,0.0079,0.0322,-0.0130,0.0138,0.0210,52.8404,0.0152,0.0033,-0.0002,0.7044,-0.1109,0.8338,hold
2021-10-12,299.7871,2960300,300.9763,302.6714,299.4321,0.0025,0.0253,0.0120,0.0150,0.0227,51.9672,0.0132,0.0041,0.0005,0.7386,0.1434,0.9518,hold
2021-10-13,300.2131,2477400,299.3611,301.9525,298.6778,0.0014,0.0240,0.0040,0.0161,0.0237,52.4692,0.0129,0.0048,0.0009,0.7473,-0.1631,0.8017,buy
2021-10-14,305.3338,2824300,302.2099,305.6178,301.8283,0.0171,0.0195,0.0481,0.0285,0.0402,56.2860,0.0100,0.0065,0.0022,1.0198,0.1400,0.9172,buy
2021-10-15,310.9781,3473500,307.5436,311.4573,306.8425,0.0185,0.0481,0.0623,0.0411,0.0582,58.2388,0.0109,0.0091,0.0039,1.1572,0.2299,1.1985,buy
2021-10-18,315.0605,3487500,309.7268,315.8947,309.7268,0.0131,0.0535,0.0874,0.0459,0.0703,70.5484,0.0094,0.0121,0.0055,1.1497,0.0040,1.2149,buy
2021-10-19,317.7051,2375600,316.7733,317.7939,314.5369,0.0084,0.0598,0.0865,0.0459,0.0773,70.4625,0.0094,0.0149,0.0067,1.0936,-0.3188,0.8392,hold
2021-10-20,317.9181,2574800,317.4832,319.1073,316.1254,0.0007,0.0590,0.0844,0.0382,0.0762,84.8245,0.0096,0.0170,0.0071,1.0013,0.0839,0.9143,buy
