date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,382.3694,1276100,398.7493,398.7493,380.0864,-0.0363,-0.0341,-0.0019,-0.0196,-0.0678,37.9082,0.0155,-0.0118,0.0038,0.0523,1.0957,2.0049,buy
2021-09-13,389.0945,908000,384.6428,393.4130,383.2255,0.0176,-0.0157,0.0081,-0.0032,-0.0497,45.0092,0.0163,-0.0111,0.0034,0.4324,-0.2885,1.3808,sell
2021-09-14,382.3788,742300,391.3582,391.3582,381.9983,-0.0173,-0.0283,-0.0087,-0.0196,-0.0639,41.2629,0.0173,-0.0122,0.0020,0.1122,-0.1825,1.1157,hold
2021-09-15,381.4371,1206600,384.4525,387.0873,380.5715,-0.0025,-0.0302,-0.0109,-0.0209,-0.0639,44.8606,0.0173,-0.0130,0.0010,0.1159,0.6255,1.7499,hold
2021-09-16,379.6964,1090400,382.1695,384.4619,378.1649,-0.0046,-0.0430,-0.0159,-0.0239,-0.0656,46.5880,0.0173,-0.0138,0.0002,0.0863,-0.0963,1.5279,buy
2021-09-17,387.8958,1363600,377.8700,388.8756,377.8700,0.0216,0.0145,-0.0201,-0.0007,-0.0434,51.7478,0.0166,-0.0123,0.0011,0.4707,0.2506,1.8228,sell
2021-09-20,384.3954,656500,385.0993,387.1634,381.0281,-0.0090,-0.0121,-0.0276,-0.0070,-0.0497,48.8618,0.0168,-0.0121,0.0012,0.3277,-0.5186,0.8659,sell
2021-09-21,381.1993,455200,385.3276,388.4571,381.1613,-0.0083,-0.0031,-0.0313,-0.0121,-0.0550,46.3950,0.0168,-0.0124,0.0008,0.2089,-0.3066,0.5978,hold
2021-09-22,380.8188,592800,379.4205,383.2444,376.7571,-0.0010,-0.0016,-0.0318,-0.0098,-0.0533,45.9610,0.0168,-0.0125,0.0005,0.2213,0.3023,0.7648,hold
2021-09-23,381.8651,612400,381.8271,388.0671,380.9329,0.0027,0.0057,-0.0376,-0.0033,-0.0481,36.7549,0.0165,-0.0122,0.0007,0.2855,0.0331,0.7868,sell
2021-09-24,379.4491,550800,381.2754,384.1481,378.9925,-0.0063,-0.0218,-0.0076,-0.0088,-0.0510,35.5142,0.0120,-0.0124,0.0004,0.1944,-0.1006,0.7168,buy
2021-09-27,381.4371,432600,381.1612,385.2229,379.7725,0.0052,-0.0077,-0.0197,-0.0016,-0.0429,38.9880,0.0104,-0.0119,0.0007,0.2953,-0.2146,0.5719,sell
2021-09-28,375.7298,569100,379.0305,380.4954,373.7703,-0.0150,-0.0143,-0.0174,-0.0148,-0.0542,35.4330,0.0101,-0.0128,-0.0000,0.1025,0.3155,0.7602,hold
2021-09-29,376.7304,513500,376.3969,379.9131,373.8717,0.0027,-0.0107,-0.0123,-0.0110,-0.0488,32.7117,0.0102,-0.0130,-0.0002,0.1763,-0.0977,0.6908,sell
2021-09-30,370.8224,836000,378.7887,380.1990,370.6795,-0.0157,-0.0289,-0.0234,-0.0242,-0.0604,38.3284,0.0111,-0.0145,-0.0012,0.0332,0.6280,1.0999,buy
2021-10-01,373.1093,614600,372.7186,374.4720,365.0478,0.0062,-0.0167,-0.0381,-0.0144,-0.0513,32.2497,0.0081,-0.0148,-0.0012,0.1457,-0.2648,0.8114,sell
2021-10-04,366.8297,622700,373.4905,374.8817,365.0859,-0.0168,-0.0383,-0.0457,-0.0265,-0.0634,32.5651,0.0090,-0.0165,-0.0022,0.0002,0.0132,0.8191,buy
2021-10-05,370.0219,624300,366.4580,374.7292,366.4104,0.0087,-0.0152,-0.0293,-0.0151,-0.0516,37.8153,0.0098,-0.0166,-0.0019,0.1414,0.0026,0.8171,buy
2021-10-06,374.0145,760500,367.0964,374.5195,363.8756,0.0108,-0.0072,-0.0179,-0.0026,-0.0379,44.2133,0.0107,-0.0156,-0.0009,0.2938,0.2182,1.0115,buy
2021-10-07,384.8395,753200,376.5302,385.8401,376.0824,0.0289,0.0378,0.0078,0.0254,-0.0083,47.0453,0.0145,-0.0121,0.0018,0.7378,-0.0096,0.9923,buy
2021-10-08,393.3204,943000,386.3166,393.3490,383.7723,0.0220,0.0542,0.0366,0.0442,0.0144,57.8704,0.0156,-0.0077,0.0047,1.0073,0.2520,1.2702,buy
2021-10-11,395.3310,893800,393.0631,397.2654,389.8042,0.0051,0.0777,0.0364,0.0456,0.0201,62.7279,0.0156,-0.0039,0.0068,1.0253,-0.0522,1.2051,buy
2021-10-12,400.6196,1112200,396.4078,402.1538,394.5591,0.0134,0.0827,0.0662,0.0527,0.0342,66.3852,0.0144,0.0002,0.0086,1.0714,0.2443,1.4631,hold
2021-10-13,400.8769,1039300,401.0389,402.0013,395.3405,0.0006,0.0718,0.0641,0.0467,0.0350,65.9404,0.0145,0.0034,0.0094,0.9889,-0.0655,1.3824,buy
2021-10-14,414.4939,1696200,412.6072,423.0891,410.0629,0.0340,0.0771,0.1178,0.0701,0.0697,74.7370,0.0146,0.0082,0.0113,1.1374,0.6321,2.1687,buy
2021-10-15,420.2304,1833000,416.1615,423.6323,414.5130,0.0138,0.0684,0.1263,0.0719,0.0831,76.0067,0.0145,0.0130,0.0128,1.0988,0.0807,2.2754,sell
2021-10-18,417.8958,796100,420.7259,421.0880,414.3415,-0.0056,0.0571,0.1392,0.0522,0.0761,79.6066,0.0123,0.0163,0.0129,0.9743,-0.5657,0.9797,buy
2021-10-19,420.7068,657400,420.0112,421.9361,416.3044,0.0067,0.0501,0.1370,0.0459,0.0819,80.1122,0.0124,0.0191,0.0125,0.9441,-0.1742,0.7991,buy
2021-10-20,433.0756,1063300,423.4036,435.5722,423.4036,0.0294,0.0803,0.1579,0.0611,0.1115,89.1619,0.0134,0.0228,0.0131,1.0117,0.6174,1.2566,buy
2021-10-21,439.1074,507700,431.9892,439.7173,431.0077,0.0139,0.0594,0.1410,0.0618,0.1241,89.6496,0.0124,0.0266,0.0136,0.9914,-0.5225,0.6037,hold
2021-10-22,440.0984,423900,437.8400,443.1191,437.5446,0.0023,0.0473,0.1189,0.0523,0.1235,97.0045,0.0125,0.0296,0.0134,0.9334,-0.1651,0.5079,hold
2021-10-25,441.5945,583800,441.2515,443.4336,437.7543,0.0034,0.0567,0.1170,0.0443,0.1244,96.9379,0.0126,0.0319,0.0125,0.8930,0.3772,0.6932,buy
2021-10-26,445.1012,602000,442.6522,447.6073,440.9274,0.0079,0.0580,0.1110,0.0416,0.1303,96.9182,0.0126,0.0337,0.0116,0.8772,0.0312,0.7134,sell
2021-10-27,437.0397,699900,446.3495,446.3495,436.0010,-0.0181,0.0092,0.0902,0.0142,0.1074,85.7573,0.0153,0.0341,0.0093,0.7740,0.1626,0.8204,buy
2021-10-28,445.5776,805500,439.4695,447.0260,439.2884,0.0195,0.0147,0.0750,0.0266,0.1257,85.7684,0.0132,0.0345,0.0081,0.8188,0.1509,0.9458,sell
2021-10-29,441.3467,1079600,443.4145,445.7110,439.1550,-0.0095,0.0028,0.0502,0.0119,0.1124,80.5672,0.0140,0.0345,0.0063,0.7553,0.3403,1.2340,sell
2021-11-01,437.8687,924400,443.4050,445.0059,435.0385,-0.0079,-0.0084,0.0478,-0.0006,0.1011,75.3536,0.0142,0.0334,0.0040,0.7046,-0.1438,1.0387,sell
2021-11-02,435.5817,740300,439.5839,440.7369,433.1994,-0.0052,-0.0214,0.0354,-0.0092,0.0931,72.9867,0.0145,0.0317,0.0017,0.6644,-0.1992,0.8265,buy
2021-11-03,437.8115,1516900,415.9424,446.9022,415.9424,0.0051,0.0018,0.0109,-0.0052,0.0962,68.1880,0.0114,0.0302,0.0003,0.6744,1.0490,1.6248,sell
2021-11-04,432.1893,993200,435.5245,437.2683,428.7207,-0.0128,-0.0300,-0.0158,-0.0165,0.0797,59.3447,0.0112,0.0281,-0.0018,0.5821,-0.3452,1.0504,hold
2021-11-05,432.0750,725100,433.2185,442.8238,431.3413,-0.0003,-0.0210,-0.0182,-0.0149,0.0767,61.4780,0.0112,0.0258,-0.0032,0.5587,-0.2699,0.7758,hold
2021-11-08,433.0946,713800,433.4948,435.8866,427.0532,0.0024,-0.0109,-0.0192,-0.0107,0.0768,60.3273,0.0111,0.0238,-0.0041,0.5516,-0.0156,0.7711,sell
2021-11-09,429.1877,611800,433.2756,433.9999,426.5291,-0.0090,-0.0147,-0.0358,-0.0160,0.0647,46.2264,0.0107,0.0216,-0.0053,0.4443,-0.1429,0.6793,sell
2021-11-10,427.3867,457400,429.7690,433.5139,424.9854,-0.0042,-0.0238,-0.0221,-0.0180,0.0581,37.6058,0.0095,0.0191,-0.0063,0.3420,-0.2524,0.5248,sell
2021-11-11,425.4714,463100,426.9484,427.5678,418.9154,-0.0045,-0.0155,-0.0451,-0.0178,0.0513,34.8290,0.0056,0.0166,-0.0071,0.2482,0.0125,0.5718,sell
2021-11-12,424.4422,497300,426.7863,427.4819,422.4316,-0.0024,-0.0177,-0.0383,-0.0164,0.0473,32.0358,0.0054,0.0142,-0.0077,0.1981,0.0739,0.6692,sell
2021-11-15,417.5527,610400,424.5089,424.5089,416.9143,-0.0162,-0.0359,-0.0464,-0.0278,0.0291,23.0568,0.0066,0.0111,-0.0089,-0.0204,0.2274,0.8318,buy
