date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,108.9602,4157955,110.3916,110.8290,108.9443,-0.0052,-0.0214,-0.0127,-0.0136,-0.0204,39.7848,0.0068,-0.0056,-0.0017,0.1129,0.1331,1.3810,buy
2021-09-13,109.8588,4334729,110.0576,110.5268,109.3499,0.0082,-0.0102,-0.0090,-0.0046,-0.0113,43.2258,0.0072,-0.0056,-0.0013,0.2933,0.0425,1.3859,sell
2021-09-14,108.3240,4659198,110.0576,110.1928,107.6242,-0.0140,-0.0133,-0.0198,-0.0165,-0.0248,35.5891,0.0083,-0.0067,-0.0019,-0.0320,0.0749,1.4492,buy
2021-09-15,109.1034,3403579,108.3240,109.5805,107.8867,0.0072,-0.0106,-0.0224,-0.0072,-0.0178,40.1627,0.0079,-0.0068,-0.0017,0.1482,-0.2695,1.0556,sell
2021-09-16,108.4910,2765624,109.1670,109.6997,107.9185,-0.0056,-0.0095,-0.0206,-0.0107,-0.0231,41.1051,0.0078,-0.0074,-0.0017,0.0506,-0.1874,0.8699,sell
2021-09-17,107.5368,5890340,107.9503,108.0855,107.3937,-0.0088,-0.0131,-0.0341,-0.0160,-0.0311,34.8333,0.0076,-0.0084,-0.0022,-0.0678,1.1298,1.8090,sell
2021-09-20,106.8052,4990152,106.4791,107.4970,105.5885,-0.0068,-0.0278,-0.0378,-0.0189,-0.0369,33.6606,0.0077,-0.0098,-0.0028,-0.0789,-0.1528,1.4823,sell
2021-09-21,105.7396,4261927,107.4413,107.8708,105.7157,-0.0100,-0.0239,-0.0369,-0.0251,-0.0457,24.1041,0.0076,-0.0115,-0.0036,-0.1078,-0.1459,1.2459,buy
2021-09-22,107.0596,3767901,106.3360,107.6481,106.1372,0.0125,-0.0187,-0.0291,-0.0100,-0.0332,34.2762,0.0089,-0.0116,-0.0030,0.1414,-0.1159,1.0811,buy
2021-09-23,108.7296,3151807,107.5527,109.2783,107.3777,0.0156,0.0022,-0.0073,0.0062,-0.0179,39.9016,0.0105,-0.0102,-0.0014,0.4073,-0.1635,0.8909,buy
2021-09-24,109.3340,3100762,108.9682,110.1212,108.7455,0.0056,0.0167,0.0034,0.0114,-0.0123,43.6935,0.0105,-0.0087,0.0001,0.5083,-0.0162,0.8705,buy
2021-09-27,110.1848,3459017,109.7077,110.5904,109.3260,0.0078,0.0316,0.0030,0.0190,-0.0048,51.5509,0.0105,-0.0067,0.0016,0.6485,0.1155,0.9591,sell
2021-09-28,109.3180,4513072,110.6699,111.0834,109.1113,-0.0079,0.0338,0.0092,0.0101,-0.0127,46.3855,0.0097,-0.0058,0.0020,0.5211,0.3047,1.2107,buy
2021-09-29,110.6779,3947499,109.5248,111.2743,108.4990,0.0124,0.0338,0.0144,0.0211,-0.0006,54.1426,0.0102,-0.0040,0.0030,0.7583,-0.1253,1.0659,hold
2021-09-30,110.4791,6090230,111.3299,111.7832,110.1371,-0.0018,0.0161,0.0183,0.0174,-0.0023,55.6475,0.0100,-0.0027,0.0034,0.7297,0.5428,1.5702,buy
2021-10-01,113.9701,6907889,112.1252,114.4869,111.6242,0.0316,0.0424,0.0598,0.0434,0.0286,62.8159,0.0129,0.0008,0.0054,1.1663,0.1343,1.6923,buy
2021-10-04,114.5983,7689251,113.5088,116.1012,113.1987,0.0055,0.0401,0.0730,0.0417,0.0337,70.7302,0.0122,0.0039,0.0068,1.1127,0.1131,1.7612,sell
2021-10-05,113.8349,7297524,115.1072,115.3060,113.4293,-0.0067,0.0413,0.0766,0.0272,0.0265,65.6495,0.0117,0.0058,0.0070,0.9512,-0.0509,1.6007,sell
2021-10-06,113.2067,5573506,113.3021,114.0098,112.0377,-0.0055,0.0228,0.0574,0.0159,0.0206,65.5807,0.0122,0.0068,0.0064,0.8482,-0.2362,1.1905,sell
2021-10-07,112.7693,3999695,113.5009,114.0337,112.5466,-0.0039,0.0207,0.0372,0.0083,0.0165,67.8997,0.0120,0.0072,0.0054,0.7773,-0.2824,0.8513,buy
2021-10-08,113.8905,3902940,112.7693,114.2325,112.1649,0.0099,-0.0007,0.0417,0.0142,0.0261,73.6088,0.0121,0.0082,0.0051,0.8451,-0.0242,0.8330,sell
2021-10-11,113.2623,2921792,114.1132,114.5744,113.2384,-0.0055,-0.0117,0.0279,0.0059,0.0200,75.8186,0.0124,0.0085,0.0043,0.7622,-0.2514,0.6332,sell
2021-10-12,111.7037,3293436,113.0874,113.1589,111.5685,-0.0138,-0.0187,0.0218,-0.0101,0.0059,65.6820,0.0131,0.0076,0.0027,0.6069,0.1272,0.7244,hold
2021-10-13,111.9343,3013003,111.7435,112.4512,111.0596,0.0021,-0.0112,0.0114,-0.0091,0.0082,61.9869,0.0126,0.0068,0.0016,0.6153,-0.0851,0.6656,buy
2021-10-14,114.0257,4410668,112.1570,114.4472,112.1331,0.0187,0.0111,0.0321,0.0062,0.0267,65.7922,0.0137,0.0075,0.0019,0.7768,0.4639,0.9569,buy
2021-10-15,114.9959,3371049,114.0257,115.1867,113.5486,0.0085,0.0097,0.0090,0.0139,0.0349,66.0647,0.0098,0.0087,0.0025,0.8285,-0.2357,0.7519,sell
2021-10-18,113.1748,6437189,114.5108,115.2583,112.7295,-0.0158,-0.0008,-0.0124,-0.0009,0.0186,62.1069,0.0109,0.0085,0.0017,0.6467,0.9096,1.4131,hold
2021-10-19,112.9045,4539117,112.1888,113.6679,111.7435,-0.0024,0.0107,-0.0082,-0.0025,0.0160,57.5027,0.0108,0.0079,0.0009,0.6017,-0.2949,0.9934,hold
2021-10-20,112.8409,6474008,112.6659,113.0794,111.8866,-0.0006,0.0081,-0.0032,-0.0027,0.0154,58.0315,0.0106,0.0073,0.0002,0.5726,0.4263,1.3761,sell
