date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,111.3292,1893800,112.4159,112.4159,111.2168,-0.0051,-0.0157,0.0110,-0.0068,-0.0008,58.6137,0.0088,0.0021,0.0010,0.5696,-0.0981,1.0661,hold
2021-09-13,111.0576,2654700,112.1068,112.9780,109.9053,-0.0024,-0.0213,0.0012,-0.0094,-0.0032,52.6145,0.0086,0.0015,0.0003,0.5085,0.4018,1.4418,buy
2021-09-14,111.7227,1926400,111.4323,111.7883,111.0201,0.0060,0.0044,-0.0008,-0.0033,0.0027,60.0869,0.0084,0.0015,0.0002,0.6179,-0.2743,1.0344,hold
2021-09-15,111.5630,3189400,111.9106,112.4648,111.2060,-0.0014,-0.0054,-0.0037,-0.0044,0.0011,59.6310,0.0084,0.0013,0.0000,0.5774,0.6556,1.6457,hold
2021-09-16,111.7227,2049900,111.5348,112.0421,111.1215,0.0014,-0.0016,-0.0113,-0.0018,0.0023,59.2826,0.0077,0.0013,0.0000,0.5857,-0.3573,1.0686,sell
2021-09-17,110.5672,4100800,111.2906,111.5442,110.1821,-0.0103,-0.0068,-0.0224,-0.0099,-0.0080,47.9998,0.0082,0.0004,-0.0007,0.3063,1.0005,2.0298,sell
2021-09-20,109.7500,2783800,109.4024,110.4169,108.6133,-0.0074,-0.0118,-0.0328,-0.0139,-0.0151,38.3988,0.0081,-0.0008,-0.0016,0.1150,-0.3212,1.3511,hold
2021-09-21,109.6654,2644100,109.9191,110.8303,109.4400,-0.0008,-0.0184,-0.0141,-0.0133,-0.0155,36.9203,0.0057,-0.0019,-0.0021,0.1258,-0.0502,1.2488,hold
2021-09-22,109.8251,2726100,110.1821,110.4075,109.4118,0.0015,-0.0156,-0.0209,-0.0098,-0.0138,30.1021,0.0047,-0.0026,-0.0022,0.1661,0.0310,1.2368,buy
2021-09-23,111.7039,2087500,110.3230,112.0233,110.1915,0.0171,-0.0002,-0.0018,0.0073,0.0029,42.8384,0.0077,-0.0017,-0.0011,0.5629,-0.2343,0.9250,buy
2021-09-24,112.4836,1796300,111.4596,112.6433,111.1966,0.0070,0.0173,0.0104,0.0133,0.0095,45.1189,0.0077,-0.0004,0.0001,0.7199,-0.1395,0.7910,sell
2021-09-27,111.4502,2733800,112.6527,112.6527,110.7269,-0.0092,0.0155,0.0035,0.0036,0.0001,51.2001,0.0084,-0.0002,0.0003,0.4702,0.5219,1.1744,sell
2021-09-28,109.4869,2758900,110.8491,111.1215,108.6603,-0.0176,-0.0016,-0.0200,-0.0120,-0.0175,36.5344,0.0098,-0.0015,-0.0008,0.0708,0.0092,1.1510,buy
2021-09-29,109.8157,2446800,109.9097,111.1309,109.6936,0.0030,-0.0001,-0.0157,-0.0075,-0.0142,39.6049,0.0099,-0.0022,-0.0012,0.1796,-0.1131,1.0198,sell
2021-09-30,107.8618,2452500,110.1163,110.5578,107.7866,-0.0178,-0.0344,-0.0346,-0.0218,-0.0309,34.8065,0.0111,-0.0042,-0.0025,-0.0919,0.0023,1.0002,buy
2021-10-01,108.4066,2465500,108.4160,109.1487,106.9975,0.0051,-0.0362,-0.0195,-0.0149,-0.0252,38.6559,0.0111,-0.0053,-0.0029,0.0636,0.0053,0.9836,sell
2021-10-04,107.7491,2472500,108.2469,109.1770,107.0257,-0.0061,-0.0332,-0.0182,-0.0191,-0.0301,32.9848,0.0110,-0.0066,-0.0034,0.0054,0.0028,0.9748,buy
2021-10-05,110.9242,2569500,108.5851,111.3188,108.2469,0.0295,0.0131,0.0115,0.0087,-0.0012,47.8261,0.0148,-0.0050,-0.0015,0.5644,0.0392,1.0203,buy
2021-10-06,115.1891,4649300,110.6987,115.2454,110.4921,0.0384,0.0489,0.0488,0.0424,0.0369,59.2204,0.0189,-0.0008,0.0021,1.1479,0.8094,1.7711,buy
2021-10-07,118.7400,3649200,116.2036,119.3600,116.1097,0.0308,0.1009,0.0630,0.0677,0.0679,69.2820,0.0204,0.0047,0.0060,1.2729,-0.2151,1.3503,buy
2021-10-08,120.3370,2124000,119.0594,120.4591,118.3736,0.0134,0.1101,0.0698,0.0745,0.0808,74.0915,0.0205,0.0098,0.0089,1.1815,-0.4180,0.7826,hold
2021-10-11,119.8391,2260900,120.3934,121.5394,119.5855,-0.0041,0.1122,0.0753,0.0621,0.0749,72.7235,0.0201,0.0136,0.0101,1.0287,0.0645,0.8391,hold
2021-10-12,119.8109,2012000,120.1773,120.9664,119.5291,-0.0002,0.0801,0.0943,0.0522,0.0731,72.4357,0.0184,0.0163,0.0102,0.9522,-0.1101,0.7456,buy
2021-10-13,120.5718,1931000,120.2806,120.8161,118.9561,0.0064,0.0467,0.0979,0.0490,0.0782,70.9779,0.0183,0.0186,0.0101,0.9309,-0.0403,0.7326,hold
2021-10-14,120.9476,2210900,121.6427,121.8118,120.7315,0.0031,0.0186,0.1213,0.0404,0.0798,70.4124,0.0158,0.0205,0.0096,0.8961,0.1450,0.8363,buy
2021-10-15,121.5488,2376100,121.9433,121.9433,120.6470,0.0050,0.0101,0.1212,0.0339,0.0833,74.8729,0.0158,0.0220,0.0090,0.8761,0.0747,0.9291,buy
2021-10-18,122.4037,2112100,123.0612,123.3994,121.5112,0.0070,0.0214,0.1360,0.0283,0.0890,83.6516,0.0147,0.0235,0.0084,0.8692,-0.1111,0.8368,buy
2021-10-19,122.9767,1419100,122.6479,123.2115,122.3661,0.0047,0.0264,0.1087,0.0228,0.0920,83.8570,0.0137,0.0247,0.0078,0.8520,-0.3281,0.5762,sell
2021-10-20,122.3285,1400600,123.3900,123.7564,121.9528,-0.0053,0.0146,0.0620,0.0114,0.0843,89.8966,0.0103,0.0252,0.0065,0.7911,-0.0130,0.5845,sell
2021-10-21,121.7555,1758900,122.3567,122.6479,121.4079,-0.0047,0.0067,0.0254,0.0042,0.0772,86.7565,0.0061,0.0250,0.0050,0.7407,0.2558,0.7390,buy
2021-10-22,123.6249,1575800,121.8870,123.8691,121.8776,0.0154,0.0171,0.0273,0.0168,0.0912,90.9796,0.0065,0.0252,0.0044,0.7900,-0.1041,0.6652,buy
2021-10-25,124.9776,1532200,123.8597,125.1561,123.3524,0.0109,0.0210,0.0429,0.0236,0.1002,90.0428,0.0064,0.0260,0.0043,0.8118,-0.0277,0.6636,buy
2021-10-26,125.6164,2401300,125.9546,127.5891,125.5788,0.0051,0.0215,0.0485,0.0240,0.1029,87.4494,0.0062,0.0268,0.0042,0.8071,0.5672,1.0481,sell
2021-10-27,124.9025,2203400,125.2500,126.5464,124.7709,-0.0057,0.0210,0.0359,0.0146,0.0938,77.7967,0.0070,0.0270,0.0034,0.7531,-0.0824,0.9669,buy
2021-10-28,127.2792,3167000,125.0622,129.6370,125.0622,0.0190,0.0454,0.0523,0.0286,0.1109,79.2558,0.0085,0.0276,0.0036,0.8339,0.4373,1.3683,buy
2021-10-29,130.0691,2588800,126.9033,130.4073,126.8658,0.0219,0.0521,0.0701,0.0439,0.1310,86.1314,0.0101,0.0293,0.0047,0.9343,-0.1826,1.1155,sell
2021-11-01,128.8197,1859100,130.4543,130.8864,128.6506,-0.0096,0.0307,0.0524,0.0286,0.1165,79.2915,0.0113,0.0303,0.0043,0.8795,-0.2819,0.8118,buy
2021-11-02,130.3979,2522100,129.0734,131.3185,129.0264,0.0123,0.0381,0.0603,0.0351,0.1263,80.3366,0.0115,0.0311,0.0044,0.9646,0.3566,1.1025,sell
2021-11-03,128.8761,2166900,129.9188,130.5482,127.8522,-0.0117,0.0318,0.0535,0.0177,0.1095,72.8604,0.0124,0.0311,0.0032,0.8479,-0.1408,1.0015,sell
2021-11-04,128.2467,3529100,129.1580,129.9377,127.7864,-0.0049,0.0076,0.0533,0.0076,0.1006,69.2809,0.0124,0.0303,0.0018,0.7780,0.6286,1.6357,hold
2021-11-05,127.8334,2482700,128.8761,129.6277,127.4201,-0.0032,-0.0172,0.0340,0.0010,0.0938,66.0378,0.0121,0.0289,0.0003,0.7255,-0.2965,1.1412,hold
2021-11-08,127.5234,2434300,128.1622,128.4816,126.9503,-0.0024,-0.0101,0.0204,-0.0034,0.0880,63.6415,0.0119,0.0274,-0.0011,0.6834,-0.0195,1.1145,hold
2021-11-09,127.2698,2365800,127.3261,127.7301,126.7437,-0.0020,-0.0240,0.0132,-0.0067,0.0830,65.1849,0.0119,0.0257,-0.0023,0.6459,-0.0281,1.0745,sell
2021-11-10,126.0767,2056200,126.8940,127.3355,125.6728,-0.0094,-0.0217,0.0094,-0.0169,0.0703,62.7921,0.0122,0.0235,-0.0038,0.5336,-0.1309,0.9312,hold
2021-11-11,125.8794,1498700,125.8794,126.4994,125.4473,-0.0016,-0.0185,-0.0110,-0.0173,0.0663,57.4074,0.0104,0.0212,-0.0049,0.4963,-0.2711,0.6898,buy
2021-11-12,127.0913,3116100,126.4431,127.1946,125.9452,0.0096,-0.0058,-0.0229,-0.0056,0.0740,57.0095,0.0078,0.0197,-0.0049,0.5860,1.0792,1.4103,hold
2021-11-15,127.0913,1367200,127.4482,127.8992,126.6592,0.0000,-0.0034,-0.0134,-0.0042,0.0715,55.1074,0.0074,0.0185,-0.0049,0.5675,-0.5612,0.6294,buy
2021-11-16,127.8240,1744000,127.2697,128.5098,127.1570,0.0058,0.0044,-0.0197,0.0036,0.0747,60.1041,0.0063,0.0177,-0.0044,0.6239,0.2756,0.7969,hold
2021-11-17,128.0119,1979400,127.5046,128.2373,126.6122,0.0015,0.0153,-0.0067,0.0057,0.0734,52.9862,0.0054,0.0170,-0.0041,0.6256,0.1350,0.8926,sell
2021-11-18,127.1664,1686300,128.4910,128.5661,127.1382,-0.0066,0.0102,-0.0084,-0.0001,0.0636,35.9420,0.0055,0.0159,-0.0043,0.4908,-0.1481,0.7617,sell
2021-11-19,125.2218,2477200,127.0725,127.1194,125.1655,-0.0153,-0.0147,-0.0204,-0.0133,0.0449,33.6743,0.0072,0.0138,-0.0054,0.1646,0.4690,1.0966,sell
2021-11-22,124.9212,1888400,125.5600,126.6122,124.7334,-0.0024,-0.0171,-0.0204,-0.0137,0.0400,21.8902,0.0072,0.0116,-0.0061,0.1179,-0.2377,0.8294,sell
2021-11-23,124.0476,2324900,124.4234,124.8367,122.9767,-0.0070,-0.0295,-0.0253,-0.0181,0.0306,23.4505,0.0073,0.0092,-0.0069,0.0280,0.2311,1.0229,hold
2021-11-24,124.2543,2007700,124.1040,124.5549,123.3618,0.0017,-0.0294,-0.0145,-0.0150,0.0301,26.9772,0.0070,0.0073,-0.0070,0.0767,-0.1364,0.8871,sell
2021-11-26,121.8212,1539100,123.2115,124.1979,121.4079,-0.0196,-0.0420,-0.0322,-0.0312,0.0083,21.8805,0.0091,0.0042,-0.0083,-0.1040,-0.2334,0.7055,buy
2021-11-29,123.9067,2275100,122.7982,124.5737,122.6009,0.0171,-0.0105,-0.0251,-0.0121,0.0233,35.4938,0.0105,0.0030,-0.0074,0.1742,0.4782,1.0504,sell
2021-11-30,122.7982,4043600,122.8922,124.5361,122.3849,-0.0089,-0.0170,-0.0338,-0.0176,0.0120,33.2159,0.0106,0.0014,-0.0073,0.0960,0.7773,1.7772,sell
