date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,49.5899,20324700,49.5991,50.6399,49.5623,0.0082,0.0020,0.0134,0.0021,-0.0045,68.6354,0.0062,-0.0011,0.0014,0.6950,0.5060,1.1134,buy
2021-09-13,50.6492,22639200,50.2992,51.1097,50.1149,0.0214,0.0277,0.0204,0.0214,0.0170,68.1818,0.0080,0.0010,0.0028,1.0532,0.1139,1.2157,sell
2021-09-14,50.2163,22072700,50.9992,51.0636,49.9860,-0.0085,0.0162,0.0108,0.0116,0.0090,57.5053,0.0087,0.0020,0.0030,0.8454,-0.0250,1.1715,buy
2021-09-15,50.7689,18796200,50.3544,50.7965,50.1241,0.0110,0.0289,0.0196,0.0207,0.0203,62.2889,0.0092,0.0036,0.0036,0.9716,-0.1484,1.0062,sell
2021-09-16,50.5018,19863100,50.5294,50.6123,49.9584,-0.0053,0.0268,0.0216,0.0132,0.0152,67.2064,0.0090,0.0044,0.0036,0.8529,0.0568,1.0498,sell
2021-09-17,49.9768,35359200,50.2807,50.2807,49.4334,-0.0104,0.0078,0.0099,0.0017,0.0050,53.8948,0.0099,0.0042,0.0027,0.6469,0.7801,1.8097,sell
2021-09-20,48.7978,35051900,49.0097,49.2768,48.1899,-0.0236,-0.0366,-0.0099,-0.0210,-0.0178,41.9733,0.0126,0.0021,0.0004,0.1124,-0.0087,1.7522,hold
2021-09-21,48.6965,17968900,49.0005,49.2307,48.6597,-0.0021,-0.0303,-0.0145,-0.0216,-0.0185,40.0335,0.0125,0.0002,-0.0012,0.0916,-0.4874,0.9119,buy
2021-09-22,49.2768,18594100,49.1847,49.6176,48.8162,0.0119,-0.0294,-0.0013,-0.0098,-0.0057,48.6313,0.0132,-0.0004,-0.0014,0.3542,0.0348,0.9479,buy
2021-09-23,49.7649,16474300,49.5070,50.0136,49.3689,0.0099,-0.0146,0.0118,-0.0012,0.0049,52.2455,0.0135,-0.0000,-0.0008,0.5623,-0.1140,0.8368,hold
2021-09-24,49.9399,12976200,49.5347,50.1241,49.4886,0.0035,-0.0007,0.0071,0.0016,0.0089,55.3384,0.0133,0.0006,-0.0002,0.6206,-0.2123,0.6703,buy
2021-09-27,50.3452,13899900,49.6820,50.5386,49.5715,0.0081,0.0317,-0.0060,0.0104,0.0171,57.2662,0.0116,0.0016,0.0007,0.7771,0.0712,0.7229,sell
2021-09-28,49.7373,24691300,49.9031,50.2807,49.7005,-0.0121,0.0214,-0.0095,-0.0009,0.0049,52.8553,0.0119,0.0015,0.0005,0.5118,0.7764,1.2513,sell
2021-09-29,49.2676,20514300,49.7373,49.7834,48.9820,-0.0094,-0.0002,-0.0296,-0.0073,-0.0041,50.5718,0.0114,0.0006,-0.0003,0.3216,-0.1692,1.0445,sell
2021-09-30,49.0741,20534100,49.5162,49.7189,49.0557,-0.0039,-0.0139,-0.0283,-0.0084,-0.0070,46.3351,0.0113,-0.0004,-0.0011,0.2521,0.0010,1.0404,buy
2021-10-01,49.6084,19895100,49.4149,49.8386,48.8623,0.0109,-0.0066,-0.0074,0.0032,0.0044,42.0085,0.0118,-0.0003,-0.0008,0.4733,-0.0311,0.9979,sell
2021-10-04,49.2491,27353300,49.6728,50.0413,48.8899,-0.0072,-0.0218,0.0092,-0.0050,-0.0031,42.4892,0.0090,-0.0008,-0.0011,0.3237,0.3749,1.3257,buy
2021-10-05,49.6912,18129400,49.3228,50.0505,49.2583,0.0090,-0.0009,0.0204,0.0019,0.0058,41.4847,0.0093,-0.0005,-0.0006,0.5031,-0.3372,0.8698,hold
2021-10-06,49.7189,20059600,49.2584,49.8018,48.8807,0.0006,0.0092,0.0090,0.0016,0.0059,43.5704,0.0086,-0.0002,-0.0002,0.5068,0.1065,0.9582,buy
2021-10-07,49.9031,20704400,50.0320,50.6492,49.8478,0.0037,0.0169,0.0028,0.0050,0.0091,49.3589,0.0081,0.0003,0.0002,0.5712,0.0321,0.9723,sell
2021-10-08,49.5623,16068000,50.2439,50.2715,49.4610,-0.0068,-0.0009,-0.0076,-0.0011,0.0021,57.7860,0.0083,0.0002,0.0001,0.4242,-0.2239,0.7622,sell
2021-10-11,49.2215,14398800,49.5623,50.1149,49.2031,-0.0069,-0.0006,-0.0223,-0.0057,-0.0049,55.0984,0.0079,-0.0005,-0.0005,0.2965,-0.1039,0.6966,sell
