date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,547.0380,1088400,550.9235,552.4565,546.7102,-0.0007,0.0136,0.0267,0.0047,0.0653,73.1449,0.0094,0.0179,-0.0005,0.7689,0.4038,0.9463,sell
2021-09-13,537.4349,1192700,549.7471,550.9812,531.4958,-0.0176,-0.0104,-0.0151,-0.0114,0.0439,54.8839,0.0080,0.0163,-0.0019,0.5331,0.0958,1.0084,buy
2021-09-14,547.8961,1182800,545.6592,550.7210,542.8343,0.0195,0.0139,0.0048,0.0074,0.0614,61.9167,0.0104,0.0158,-0.0016,0.7567,-0.0083,0.9835,buy
2021-09-15,551.5984,1025700,549.5641,551.8491,544.3577,0.0068,0.0080,0.0106,0.0131,0.0658,63.2979,0.0106,0.0160,-0.0011,0.8273,-0.1328,0.8548,hold
2021-09-16,552.3408,999900,550.4414,554.1148,547.5779,0.0013,0.0090,0.0173,0.0127,0.0645,66.9116,0.0103,0.0161,-0.0007,0.8549,-0.0252,0.8238,sell
2021-09-17,541.7063,1860900,552.3023,552.3023,540.5686,-0.0193,-0.0097,0.0037,-0.0072,0.0418,46.4479,0.0121,0.0147,-0.0019,0.4956,0.8611,1.5104,sell
2021-09-20,534.5234,1300000,533.1832,540.1251,527.8804,-0.0133,-0.0054,-0.0157,-0.0188,0.0261,41.3612,0.0127,0.0124,-0.0036,0.1837,-0.3014,1.0527,hold
2021-09-21,535.3427,758100,539.6717,539.7970,533.6650,0.0015,-0.0229,-0.0093,-0.0164,0.0258,41.6409,0.0126,0.0104,-0.0045,0.2023,-0.4168,0.6295,buy
2021-09-22,542.6222,911100,540.5011,544.7433,533.7906,0.0136,-0.0163,-0.0084,-0.0021,0.0376,49.7627,0.0127,0.0096,-0.0040,0.4909,0.2018,0.7808,buy
2021-09-23,556.6699,1235100,545.8811,557.5762,544.8206,0.0259,0.0078,0.0169,0.0219,0.0616,60.8842,0.0153,0.0108,-0.0020,1.0215,0.3556,1.1060,hold
2021-09-24,557.2001,1168700,552.8326,558.4053,549.8919,0.0010,0.0286,0.0186,0.0210,0.0597,59.4219,0.0153,0.0119,-0.0007,0.9847,-0.0538,1.0651,sell
2021-09-27,546.6813,1279100,552.3119,553.2568,541.1760,-0.0189,0.0227,0.0172,0.0000,0.0372,53.8033,0.0155,0.0113,-0.0012,0.5614,0.0945,1.1729,sell
2021-09-28,525.4700,1647600,540.3468,542.6030,524.9590,-0.0388,-0.0184,-0.0409,-0.0348,-0.0047,38.8063,0.0187,0.0078,-0.0042,-0.1110,0.2881,1.4603,hold
2021-09-29,527.3209,994800,529.2010,533.3179,525.4987,0.0035,-0.0282,-0.0440,-0.0271,-0.0026,39.8556,0.0185,0.0048,-0.0057,0.0323,-0.3962,0.8911,sell
2021-09-30,520.1672,1540800,529.6930,534.6101,519.8779,-0.0136,-0.0656,-0.0582,-0.0345,-0.0170,37.2936,0.0186,0.0014,-0.0074,-0.0510,0.5489,1.3630,buy
2021-10-01,524.4672,1439900,521.8351,526.4727,514.1605,0.0083,-0.0587,-0.0318,-0.0234,-0.0097,43.5442,0.0185,-0.0007,-0.0076,0.1059,-0.0655,1.2541,sell
2021-10-04,506.5149,1456000,520.3408,522.1149,500.3926,-0.0342,-0.0735,-0.0524,-0.0519,-0.0435,30.8289,0.0208,-0.0052,-0.0099,-0.1243,0.0112,1.2309,buy
2021-10-05,514.2279,958300,510.0917,517.6796,507.5271,0.0152,-0.0214,-0.0394,-0.0336,-0.0291,33.3073,0.0217,-0.0074,-0.0095,0.0828,-0.3418,0.8076,hold
2021-10-06,515.4429,977600,507.5466,518.6439,507.1513,0.0024,-0.0225,-0.0501,-0.0264,-0.0272,33.5877,0.0210,-0.0088,-0.0088,0.1485,0.0201,0.8218,buy
2021-10-07,519.1113,955600,519.5360,525.8882,518.4838,0.0071,-0.0020,-0.0675,-0.0125,-0.0208,39.2857,0.0186,-0.0092,-0.0074,0.2375,-0.0225,0.7972,sell
2021-10-08,512.7302,937000,520.3953,522.6446,511.1084,-0.0123,-0.0224,-0.0798,-0.0163,-0.0331,39.5867,0.0185,-0.0106,-0.0070,0.1723,-0.0195,0.7867,sell
2021-10-11,507.2177,1025300,510.4421,514.9891,506.8606,-0.0108,0.0014,-0.0722,-0.0194,-0.0433,37.1381,0.0181,-0.0125,-0.0070,0.1326,0.0942,0.8669,hold
2021-10-12,508.8010,873000,508.7721,514.9312,505.9918,0.0031,-0.0106,-0.0317,-0.0132,-0.0404,33.6830,0.0145,-0.0134,-0.0064,0.1910,-0.1485,0.7479,buy
2021-10-13,516.4177,866500,515.7516,520.9550,513.8209,0.0150,0.0019,-0.0207,0.0037,-0.0262,29.2957,0.0155,-0.0126,-0.0046,0.3221,-0.0074,0.7475,buy
2021-10-14,524.9518,1068300,524.5367,530.8792,523.2334,0.0165,0.0113,0.0092,0.0193,-0.0104,34.6745,0.0160,-0.0105,-0.0021,0.4692,0.2329,0.9188,buy
2021-10-15,533.0417,1602700,526.1296,534.1230,524.4595,0.0154,0.0396,0.0163,0.0333,0.0043,43.3648,0.0165,-0.0076,0.0006,0.6077,0.5002,1.3939,buy
2021-10-18,545.0123,1321800,533.6209,545.2537,529.2864,0.0225,0.0745,0.0760,0.0487,0.0257,60.4458,0.0118,-0.0035,0.0036,0.7858,-0.1753,1.1485,buy
2021-10-19,552.9670,978000,548.4780,553.2856,544.4331,0.0146,0.0868,0.0753,0.0561,0.0392,62.8687,0.0118,0.0008,0.0063,0.8752,-0.2601,0.8418,sell
2021-10-20,550.7756,836200,554.4537,555.7473,549.2117,-0.0040,0.0665,0.0685,0.0449,0.0336,66.1637,0.0122,0.0039,0.0074,0.8272,-0.1450,0.7220,buy
2021-10-21,558.3248,729600,550.2639,558.8847,545.7266,0.0137,0.0636,0.0755,0.0514,0.0460,67.2863,0.0124,0.0072,0.0086,0.9319,-0.1275,0.6440,buy
2021-10-22,570.3438,991800,560.7866,571.1451,559.9178,0.0215,0.0700,0.1124,0.0625,0.0664,84.6901,0.0110,0.0112,0.0101,1.0527,0.3594,0.8824,buy
