date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,341.1567,3431100,359.5500,360.6833,337.6667,-0.0435,-0.0449,-0.0180,-0.0353,0.0203,42.1045,0.0174,0.0164,-0.0033,0.1882,1.9477,2.4608,hold
2021-09-13,342.6067,1906500,343.8100,344.1933,337.0000,0.0043,-0.0410,-0.0084,-0.0304,0.0226,43.0545,0.0174,0.0130,-0.0053,0.1914,-0.4443,1.3461,buy
2021-09-14,346.3367,1650300,344.5233,348.9567,342.6600,0.0109,-0.0363,-0.0188,-0.0180,0.0317,47.2870,0.0162,0.0110,-0.0057,0.3162,-0.1344,1.1449,buy
2021-09-15,348.5067,1608000,346.6667,348.9867,343.7067,0.0063,-0.0342,-0.0076,-0.0111,0.0362,50.5367,0.0163,0.0098,-0.0054,0.4025,-0.0256,1.1118,sell
2021-09-16,344.6700,1540200,348.5267,349.1433,342.9200,-0.0110,-0.0336,-0.0270,-0.0193,0.0231,47.3440,0.0162,0.0080,-0.0059,0.2366,-0.0422,1.0545,hold
2021-09-17,345.7567,1905900,345.0967,346.8200,342.6767,0.0032,0.0135,-0.0320,-0.0130,0.0246,50.2457,0.0159,0.0067,-0.0057,0.3020,0.2374,1.2852,sell
2021-09-20,337.9967,1987500,341.4667,343.9567,333.3500,-0.0224,-0.0135,-0.0539,-0.0298,0.0004,35.3719,0.0170,0.0039,-0.0071,0.0332,0.0428,1.3337,hold
2021-09-21,338.0133,1913700,340.2867,343.2067,337.6667,0.0000,-0.0240,-0.0595,-0.0238,-0.0006,36.6702,0.0167,0.0016,-0.0075,0.0893,-0.0371,1.2670,buy
2021-09-22,342.8233,1578300,340.0000,345.7733,338.3333,0.0142,-0.0163,-0.0500,-0.0047,0.0121,38.8483,0.0176,0.0008,-0.0065,0.2813,-0.1753,1.0396,buy
2021-09-23,348.2800,1916100,343.7500,350.6333,343.5100,0.0159,0.0105,-0.0235,0.0136,0.0264,41.7148,0.0186,0.0015,-0.0046,0.4763,0.2140,1.2379,hold
2021-09-24,347.7767,1484700,346.8600,348.6567,343.4900,-0.0014,0.0058,0.0194,0.0102,0.0231,41.2406,0.0117,0.0019,-0.0033,0.4576,-0.2251,0.9568,sell
2021-09-27,337.9167,1908600,346.6300,346.6633,334.3333,-0.0284,-0.0002,-0.0137,-0.0171,-0.0071,32.6416,0.0150,-0.0001,-0.0044,0.1380,0.2855,1.2091,sell
2021-09-28,330.8300,2054400,335.1767,335.5767,326.1767,-0.0210,-0.0213,-0.0448,-0.0334,-0.0291,27.7484,0.0156,-0.0034,-0.0062,-0.0027,0.0764,1.2552,hold
2021-09-29,330.7833,1371300,331.9667,334.6800,329.6700,-0.0001,-0.0351,-0.0509,-0.0285,-0.0299,29.5610,0.0152,-0.0060,-0.0070,0.0657,-0.3325,0.8380,hold
2021-09-30,331.3833,1380000,332.4900,336.7667,331.1100,0.0018,-0.0485,-0.0385,-0.0229,-0.0291,39.9063,0.0152,-0.0078,-0.0071,0.1304,0.0063,0.8348,buy
2021-10-01,336.5000,2250300,331.3333,340.5200,325.3333,0.0154,-0.0324,-0.0268,-0.0051,-0.0148,44.1372,0.0163,-0.0077,-0.0056,0.2883,0.6307,1.3198,sell
2021-10-04,323.5000,2107800,333.3533,333.7167,321.0533,-0.0386,-0.0427,-0.0429,-0.0394,-0.0527,31.3882,0.0190,-0.0112,-0.0072,0.0107,-0.0633,1.1978,buy
2021-10-05,330.0700,1478200,325.9300,335.0800,323.6000,0.0203,-0.0023,-0.0235,-0.0176,-0.0339,35.9797,0.0205,-0.0118,-0.0063,0.2025,-0.2987,0.8285,buy
2021-10-06,334.9400,1850900,329.5400,335.3800,327.5000,0.0148,0.0126,-0.0230,-0.0008,-0.0203,42.7152,0.0206,-0.0109,-0.0044,0.3497,0.2521,1.0145,buy
2021-10-07,338.3400,1906500,341.3600,346.8400,337.8500,0.0102,0.0210,-0.0285,0.0124,-0.0111,44.6331,0.0201,-0.0093,-0.0023,0.4799,0.0300,1.0242,sell
2021-10-08,328.5400,1367800,339.6900,342.1000,328.0100,-0.0290,-0.0237,-0.0553,-0.0113,-0.0399,43.3532,0.0217,-0.0106,-0.0027,0.1726,-0.2826,0.7779,sell
2021-10-11,324.1800,979400,326.5000,329.2100,323.8400,-0.0133,0.0021,-0.0407,-0.0203,-0.0523,40.8364,0.0205,-0.0126,-0.0037,0.0878,-0.2840,0.5721,hold
2021-10-12,324.4500,1276900,328.0000,329.1000,321.8800,0.0008,-0.0170,-0.0193,-0.0176,-0.0511,37.0501,0.0196,-0.0137,-0.0039,0.1396,0.3038,0.7541,hold
2021-10-13,326.0000,1866900,325.6700,328.7200,325.1400,0.0048,-0.0267,-0.0145,-0.0115,-0.0462,33.3814,0.0197,-0.0141,-0.0034,0.2132,0.4621,1.0941,buy
2021-10-14,330.9500,1432300,328.3900,332.7800,328.3200,0.0152,-0.0218,-0.0013,0.0036,-0.0317,38.2298,0.0204,-0.0128,-0.0019,0.3861,-0.2328,0.8421,hold
2021-10-15,331.5000,1387100,332.2000,333.4500,330.0000,0.0017,0.0090,-0.0149,0.0068,-0.0297,44.8394,0.0197,-0.0117,-0.0006,0.4226,-0.0316,0.8282,hold
2021-10-18,332.3000,1530600,330.3300,332.3800,323.0400,0.0024,0.0250,0.0272,0.0066,-0.0267,51.3152,0.0147,-0.0105,0.0005,0.4597,0.1035,0.9265,buy
2021-10-19,336.3000,3642500,338.1100,345.1600,332.1700,0.0120,0.0365,0.0189,0.0168,-0.0145,54.6098,0.0138,-0.0084,0.0019,0.6030,1.3798,2.0952,buy
2021-10-20,339.8000,2458200,338.0000,341.9000,327.3900,0.0104,0.0423,0.0145,0.0259,-0.0047,56.7079,0.0134,-0.0059,0.0035,0.7372,-0.3251,1.3791,hold
2021-10-21,339.6300,1338100,342.2200,343.2600,337.4400,-0.0005,0.0262,0.0038,0.0249,-0.0057,52.7081,0.0130,-0.0039,0.0044,0.7770,-0.4557,0.7630,buy
2021-10-22,341.5200,1319000,339.7500,342.8200,337.6400,0.0056,0.0302,0.0395,0.0266,-0.0006,69.3016,0.0080,-0.0019,0.0051,0.9113,-0.0143,0.7557,buy
2021-10-25,343.5900,1938400,340.1900,347.0900,336.7600,0.0061,0.0340,0.0599,0.0269,0.0049,66.0266,0.0052,0.0002,0.0057,0.9572,0.4696,1.1097,buy
2021-10-26,348.7000,1736800,346.7100,351.1900,343.5900,0.0149,0.0369,0.0747,0.0346,0.0193,66.2188,0.0056,0.0029,0.0067,1.0463,-0.1040,1.0034,hold
2021-10-27,348.9800,1684200,348.6900,350.6300,340.8500,0.0008,0.0270,0.0705,0.0284,0.0199,63.5369,0.0059,0.0051,0.0071,0.9713,-0.0303,0.9643,buy
2021-10-28,355.6100,1371700,349.2400,356.6300,349.2400,0.0190,0.0471,0.0745,0.0404,0.0387,87.4619,0.0066,0.0081,0.0081,1.0554,-0.1855,0.7855,buy
2021-10-29,361.1300,1558600,353.8500,362.6700,352.9200,0.0155,0.0574,0.0894,0.0475,0.0542,99.5442,0.0067,0.0116,0.0092,1.0700,0.1363,0.9106,sell
2021-11-01,355.0300,1812400,361.6900,365.5200,354.5300,-0.0169,0.0333,0.0684,0.0231,0.0360,85.4592,0.0105,0.0131,0.0085,0.8804,0.1628,1.0681,buy
2021-11-02,360.3700,1046600,356.5800,361.5000,354.5500,0.0150,0.0335,0.0716,0.0313,0.0509,86.6340,0.0107,0.0149,0.0083,0.9352,-0.4225,0.6247,hold
2021-11-03,361.4900,1410000,360.2900,362.9200,353.9600,0.0031,0.0358,0.0638,0.0281,0.0534,85.4457,0.0107,0.0165,0.0080,0.9011,0.3472,0.8529,buy
2021-11-04,363.3200,1067800,361.4900,364.4000,359.0100,0.0051,0.0217,0.0698,0.0264,0.0577,85.8657,0.0104,0.0180,0.0076,0.8852,-0.2427,0.6627,buy
2021-11-05,364.9500,1575400,363.4200,369.6900,359.4900,0.0045,0.0106,0.0686,0.0242,0.0614,86.1253,0.0104,0.0192,0.0071,0.8694,0.4754,0.9715,hold
2021-11-08,365.4200,908100,366.0200,368.1400,361.9700,0.0013,0.0293,0.0635,0.0193,0.0615,84.9496,0.0106,0.0201,0.0064,0.8435,-0.4236,0.5612,sell
2021-11-09,364.1500,1123500,365.0000,366.7900,362.5700,-0.0035,0.0105,0.0443,0.0114,0.0572,80.8775,0.0105,0.0204,0.0053,0.7950,0.2372,0.6976,sell
2021-11-10,359.4900,1082100,363.0000,367.4800,357.8900,-0.0128,-0.0055,0.0301,-0.0044,0.0431,72.6093,0.0118,0.0196,0.0035,0.6884,-0.0368,0.6887,sell
2021-11-11,350.7900,1376700,360.0000,360.2600,348.6500,-0.0242,-0.0345,-0.0136,-0.0272,0.0181,59.1366,0.0131,0.0170,0.0004,0.4910,0.2722,0.8778,buy
2021-11-12,354.9300,928100,353.6800,356.6700,350.4700,0.0118,-0.0275,-0.0172,-0.0141,0.0302,60.7386,0.0127,0.0152,-0.0010,0.5609,-0.3259,0.6005,sell
2021-11-15,353.5600,878300,355.5100,357.1900,351.7300,-0.0039,-0.0325,-0.0041,-0.0175,0.0265,54.9531,0.0115,0.0134,-0.0023,0.5033,-0.0537,0.5806,buy
2021-11-16,361.1200,1182200,351.8600,362.8200,351.8600,0.0214,-0.0083,0.0021,0.0033,0.0483,60.7739,0.0126,0.0133,-0.0016,0.6876,0.3460,0.8506,hold
2021-11-17,361.4200,1449200,361.1200,364.2200,358.0000,0.0008,0.0054,-0.0002,0.0042,0.0492,55.8089,0.0126,0.0133,-0.0013,0.6780,0.2259,1.0820,sell
2021-11-18,359.2000,896600,361.4600,362.6600,356.4200,-0.0061,0.0240,-0.0113,-0.0008,0.0426,47.9341,0.0126,0.0128,-0.0015,0.5878,-0.3813,0.6806,sell
2021-11-19,348.6500,1677600,359.2000,359.9600,346.0000,-0.0294,-0.0177,-0.0447,-0.0258,0.0115,43.7647,0.0152,0.0101,-0.0037,0.1671,0.8711,1.2564,sell
