date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,145.9262,6699300,147.3071,147.7790,145.8388,-0.0065,-0.0455,-0.0365,-0.0308,-0.0273,15.8177,0.0091,-0.0038,-0.0063,-0.1032,-0.0584,1.1700,sell
2021-09-13,144.9036,6273500,146.7564,146.9312,144.3181,-0.0070,-0.0528,-0.0412,-0.0336,-0.0342,15.4475,0.0091,-0.0065,-0.0072,-0.0622,-0.0636,1.0919,sell
2021-09-14,144.0296,5259600,145.4280,145.5503,143.7762,-0.0060,-0.0436,-0.0510,-0.0344,-0.0397,16.6350,0.0086,-0.0091,-0.0078,-0.0237,-0.1616,0.9116,buy
2021-09-15,144.5715,7935300,144.2044,145.0435,143.6014,0.0038,-0.0377,-0.0445,-0.0264,-0.0359,21.2653,0.0091,-0.0106,-0.0075,0.0726,0.5087,1.3532,hold
2021-09-16,144.3967,5665400,144.7725,145.4805,143.4966,-0.0012,-0.0170,-0.0490,-0.0226,-0.0367,22.3286,0.0087,-0.0119,-0.0070,0.1133,-0.2861,0.9783,sell
2021-09-17,143.9860,13419800,143.5927,144.1258,142.9459,-0.0028,-0.0133,-0.0582,-0.0195,-0.0391,22.1767,0.0078,-0.0129,-0.0064,0.1301,1.3687,2.1711,sell
2021-09-20,143.1645,7270800,142.8760,144.3531,141.7312,-0.0057,-0.0120,-0.0642,-0.0185,-0.0440,16.9683,0.0074,-0.0142,-0.0061,0.1171,-0.4582,1.1590,buy
2021-09-21,143.7937,6663600,143.8637,145.0610,143.5403,0.0044,-0.0016,-0.0452,-0.0096,-0.0394,21.5231,0.0074,-0.0145,-0.0052,0.1858,-0.0835,1.0605,sell
2021-09-22,143.2693,5657100,144.5103,145.0347,143.0071,-0.0036,-0.0090,-0.0464,-0.0085,-0.0424,17.4948,0.0074,-0.0149,-0.0045,0.1847,-0.1510,0.9009,buy
2021-09-23,144.0821,4697900,143.6801,144.8774,143.4616,0.0057,-0.0022,-0.0191,-0.0009,-0.0365,16.0488,0.0049,-0.0146,-0.0033,0.2628,-0.1696,0.7542,sell
2021-09-24,143.6451,4399300,143.9860,144.7725,143.2344,-0.0030,-0.0024,-0.0156,-0.0024,-0.0390,14.9149,0.0046,-0.0145,-0.0025,0.2591,-0.0636,0.7098,sell
2021-09-27,142.6051,5775500,143.3305,143.6451,142.3255,-0.0072,-0.0039,-0.0159,-0.0080,-0.0456,16.5818,0.0046,-0.0149,-0.0023,0.2200,0.3128,0.9415,sell
2021-09-28,142.2905,7610400,142.5439,143.2518,141.3815,-0.0022,-0.0105,-0.0121,-0.0090,-0.0473,16.6547,0.0044,-0.0151,-0.0020,0.2265,0.3177,1.1981,buy
2021-09-29,143.3480,5124100,142.4566,143.9073,142.2643,0.0074,0.0005,-0.0085,-0.0008,-0.0399,31.6081,0.0050,-0.0145,-0.0012,0.3176,-0.3267,0.8195,sell
