date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,138.8555,8311600,141.6792,141.8204,138.7319,-0.0115,-0.0193,-0.0271,-0.0149,0.0096,57.8199,0.0074,0.0052,-0.0023,0.3487,0.0515,0.9364,buy
2021-09-13,141.0615,10052800,139.8879,141.2291,139.4820,0.0159,0.0023,-0.0196,0.0028,0.0252,59.0804,0.0089,0.0052,-0.0018,0.6226,0.2095,1.1258,sell
2021-09-14,138.5996,11685600,141.5821,142.3674,137.8848,-0.0175,-0.0134,-0.0210,-0.0126,0.0071,48.4392,0.0092,0.0038,-0.0026,0.3297,0.1624,1.2875,buy
2021-09-15,139.5614,11691500,138.2907,140.0291,138.0701,0.0069,-0.0021,-0.0112,-0.0047,0.0135,41.9109,0.0096,0.0032,-0.0025,0.4405,0.0005,1.2717,hold
2021-09-16,139.4996,10880900,140.6644,141.9351,138.7320,-0.0004,-0.0069,-0.0102,-0.0041,0.0125,38.7729,0.0096,0.0027,-0.0024,0.4149,-0.0693,1.1657,hold
2021-09-17,139.1378,25581600,138.8731,140.3114,138.5378,-0.0026,0.0020,-0.0173,-0.0049,0.0090,32.5760,0.0094,0.0020,-0.0025,0.3277,1.3511,2.5235,sell
2021-09-20,134.9728,15819900,135.7935,136.3847,132.7933,-0.0299,-0.0432,-0.0409,-0.0307,-0.0209,28.6528,0.0130,-0.0009,-0.0045,-0.1927,-0.3816,1.4953,hold
2021-09-21,134.9905,8999900,135.4759,136.3759,134.6376,0.0001,-0.0260,-0.0391,-0.0268,-0.0201,29.5601,0.0130,-0.0033,-0.0055,-0.0782,-0.4311,0.8464,buy
2021-09-22,137.5760,11236200,136.9495,138.7585,136.8613,0.0192,-0.0142,-0.0163,-0.0065,-0.0014,40.3547,0.0149,-0.0035,-0.0045,0.2330,0.2485,1.0393,buy
2021-09-23,142.2262,12336100,139.4202,142.6939,139.1290,0.0338,0.0195,0.0125,0.0258,0.0316,51.4826,0.0186,-0.0009,-0.0015,0.7464,0.0979,1.1358,buy
2021-09-24,143.8675,10102400,142.4557,144.3529,141.9086,0.0115,0.0340,0.0361,0.0339,0.0425,57.0520,0.0183,0.0019,0.0010,0.9060,-0.1811,0.9341,buy
2021-09-27,147.3442,13220900,145.5971,147.7148,145.2529,0.0242,0.0917,0.0445,0.0541,0.0656,63.4755,0.0191,0.0059,0.0040,1.1491,0.3087,1.1979,hold
2021-09-28,146.5501,13387900,147.9796,149.3914,146.1795,-0.0054,0.0856,0.0574,0.0425,0.0573,63.0600,0.0179,0.0086,0.0054,0.9938,0.0126,1.1838,hold
2021-09-29,146.4353,7777100,146.6648,147.2736,145.6323,-0.0008,0.0644,0.0493,0.0366,0.0543,61.8763,0.0180,0.0105,0.0058,0.9249,-0.4191,0.7018,sell
2021-09-30,144.4411,13161200,147.2913,147.3531,143.6470,-0.0136,0.0156,0.0354,0.0190,0.0385,60.9554,0.0189,0.0109,0.0050,0.7554,0.6923,1.1644,buy
2021-10-01,147.4766,11285000,144.7147,148.5090,144.3617,0.0210,0.0251,0.0599,0.0343,0.0581,62.1858,0.0195,0.0125,0.0053,0.9177,-0.1426,0.9876,hold
2021-10-04,147.3177,14120000,147.3354,150.3973,146.2412,-0.0011,-0.0002,0.0915,0.0243,0.0548,68.1483,0.0153,0.0136,0.0052,0.8623,0.2512,1.2033,buy
2021-10-05,149.7235,12292900,148.4363,151.0373,147.9569,0.0163,0.0217,0.1091,0.0305,0.0696,69.9545,0.0151,0.0154,0.0057,0.9412,-0.1294,1.0343,hold
2021-10-06,150.0431,8692600,149.1287,150.1141,147.3622,0.0021,0.0246,0.0906,0.0239,0.0694,70.4958,0.0150,0.0170,0.0058,0.9011,-0.2929,0.7288,buy
2021-10-07,150.9929,10195400,151.9783,152.2535,150.5046,0.0063,0.0454,0.0616,0.0242,0.0735,72.5305,0.0121,0.0184,0.0058,0.8953,0.1729,0.8467,hold
2021-10-08,151.1083,8190100,150.9308,152.1026,150.2916,0.0008,0.0246,0.0503,0.0200,0.0719,86.2442,0.0120,0.0194,0.0055,0.8560,-0.1967,0.6805,sell
2021-10-11,147.9303,12154700,151.6232,152.0582,147.7705,-0.0210,0.0042,0.0040,-0.0018,0.0473,75.4521,0.0125,0.0188,0.0036,0.6864,0.4841,1.0012,sell
2021-10-12,146.7940,13032600,147.1402,147.9747,146.2702,-0.0077,-0.0196,0.0017,-0.0097,0.0373,69.2276,0.0127,0.0172,0.0016,0.6160,0.0722,1.0676,sell
2021-10-13,142.9235,22753500,145.6488,146.8384,142.5684,-0.0264,-0.0475,-0.0240,-0.0335,0.0088,51.5034,0.0152,0.0139,-0.0017,0.4186,0.7459,1.7830,buy
2021-10-14,145.1162,15176800,143.5893,145.5955,142.0890,0.0153,-0.0389,0.0047,-0.0191,0.0226,52.6296,0.0156,0.0119,-0.0028,0.5136,-0.3330,1.1696,buy
2021-10-15,147.9036,14267400,146.7851,148.4007,145.7109,0.0192,-0.0212,0.0029,-0.0006,0.0403,51.2133,0.0153,0.0116,-0.0022,0.6374,-0.0599,1.1497,hold
2021-10-18,147.8504,12672900,147.7882,149.6791,147.2822,-0.0004,-0.0005,0.0036,-0.0013,0.0387,52.9139,0.0153,0.0114,-0.0019,0.6165,-0.1118,1.0343,buy
2021-10-19,149.6436,8053900,148.6050,149.7146,147.8770,0.0121,0.0194,-0.0005,0.0109,0.0497,56.6865,0.0149,0.0120,-0.0010,0.7264,-0.3645,0.6599,buy
2021-10-20,151.6587,8185600,149.4039,151.6854,148.6582,0.0135,0.0611,0.0108,0.0234,0.0621,65.0294,0.0155,0.0133,0.0004,0.8978,0.0164,0.6791,sell
2021-10-21,150.4691,8415200,151.5877,152.0937,149.7412,-0.0078,0.0369,-0.0035,0.0157,0.0526,56.7504,0.0156,0.0138,0.0006,0.7698,0.0280,0.7097,buy
2021-10-22,152.4931,8817900,150.9396,152.7683,150.6467,0.0135,0.0310,0.0092,0.0284,0.0653,60.7683,0.0162,0.0148,0.0014,0.9239,0.0479,0.7477,sell
2021-10-25,151.7475,10159200,153.3187,153.5407,151.3391,-0.0049,0.0264,0.0258,0.0208,0.0585,54.5238,0.0145,0.0152,0.0014,0.8146,0.1521,0.8728,hold
2021-10-26,152.1558,8015100,151.8008,153.1235,151.3924,0.0027,0.0168,0.0365,0.0198,0.0596,54.7035,0.0140,0.0155,0.0014,0.8164,-0.2111,0.7049,sell
2021-10-27,148.9867,9847000,151.1971,151.5344,148.5517,-0.0208,-0.0176,0.0424,-0.0054,0.0360,45.9353,0.0127,0.0142,-0.0001,0.5139,0.2286,0.8582,buy
2021-10-28,151.2326,7212900,149.4039,151.3658,149.1021,0.0151,0.0051,0.0421,0.0054,0.0496,50.2318,0.0127,0.0138,-0.0003,0.7048,-0.2675,0.6453,hold
2021-10-29,150.8154,8140100,151.9605,152.9015,150.3715,-0.0028,-0.0110,0.0197,0.0007,0.0446,55.9985,0.0117,0.0133,-0.0007,0.6471,0.1285,0.7387,hold
2021-11-01,150.7355,7435500,152.7240,152.9814,150.0342,-0.0005,-0.0067,0.0195,-0.0017,0.0420,58.5714,0.0117,0.0126,-0.0010,0.6234,-0.0866,0.6958,buy
2021-11-02,151.3302,7173800,150.7355,152.4133,149.9543,0.0039,-0.0054,0.0113,0.0011,0.0442,71.3192,0.0112,0.0123,-0.0011,0.6732,-0.0352,0.6878,hold
2021-11-03,151.3835,8402700,151.0284,151.9162,150.1585,0.0004,0.0161,-0.0018,0.0016,0.0428,67.8283,0.0103,0.0119,-0.0011,0.6698,0.1713,0.8068,sell
2021-11-04,149.3950,9574200,150.9130,151.0906,147.7971,-0.0131,-0.0122,-0.0071,-0.0108,0.0281,54.4445,0.0109,0.0106,-0.0021,0.4812,0.1394,0.9220,hold
2021-11-05,149.1819,7975600,149.9365,150.9929,148.6138,-0.0014,-0.0108,-0.0217,-0.0100,0.0257,53.9308,0.0097,0.0092,-0.0028,0.4693,-0.1670,0.7689,buy
2021-11-08,150.0786,6413700,150.0697,151.7297,149.7945,0.0060,-0.0044,-0.0110,-0.0030,0.0310,51.3558,0.0100,0.0084,-0.0028,0.5491,-0.1958,0.6359,sell
2021-11-09,148.9423,7990300,148.5606,149.5548,147.8948,-0.0076,-0.0158,-0.0211,-0.0084,0.0221,41.0422,0.0101,0.0072,-0.0033,0.4202,0.2458,0.8125,hold
2021-11-10,148.8003,6999200,148.6494,149.9809,148.3298,-0.0010,-0.0171,-0.0013,-0.0093,0.0201,44.0882,0.0076,0.0061,-0.0036,0.3331,-0.1240,0.7737,hold
2021-11-11,148.7914,5815300,148.7115,149.7412,148.1611,-0.0001,-0.0040,-0.0161,-0.0077,0.0189,34.7030,0.0054,0.0051,-0.0036,0.2542,-0.1691,0.6779,sell
2021-11-12,148.1256,8113400,148.8269,148.9068,147.1136,-0.0045,-0.0071,-0.0178,-0.0104,0.0135,34.9337,0.0055,0.0039,-0.0039,0.1296,0.3952,0.9810,sell
2021-11-15,147.8592,6492500,148.4363,148.9511,147.3621,-0.0018,-0.0148,-0.0191,-0.0102,0.0107,31.9134,0.0055,0.0028,-0.0040,0.0815,-0.1998,0.8155,sell
2021-11-16,146.7940,9706100,148.3031,148.3120,146.5809,-0.0072,-0.0144,-0.0300,-0.0144,0.0025,38.7830,0.0053,0.0013,-0.0044,-0.0135,0.4950,1.2066,sell
2021-11-17,146.0039,9909600,146.6608,146.9715,145.0452,-0.0054,-0.0188,-0.0355,-0.0161,-0.0037,18.5702,0.0052,-0.0003,-0.0049,-0.0298,0.0210,1.2188,sell
2021-11-18,144.7434,8122500,145.9329,146.3413,144.3084,-0.0086,-0.0272,-0.0311,-0.0216,-0.0129,16.8608,0.0044,-0.0023,-0.0055,-0.0666,-0.1803,1.0008,sell
2021-11-19,142.8525,12193600,143.1898,143.9089,141.5475,-0.0131,-0.0356,-0.0424,-0.0302,-0.0263,14.0779,0.0054,-0.0049,-0.0065,-0.1295,0.5012,1.4718,buy
2021-11-22,145.8974,14549900,145.7287,147.3444,144.6901,0.0213,-0.0133,-0.0279,-0.0067,-0.0062,29.7622,0.0093,-0.0051,-0.0053,0.2128,0.1932,1.7109,buy
2021-11-23,149.3861,12354400,146.9183,149.6347,146.8028,0.0239,0.0177,0.0030,0.0167,0.0161,44.0758,0.0124,-0.0032,-0.0028,0.5885,-0.1509,1.4166,sell
2021-11-24,148.2143,9629800,149.5459,150.4159,147.7527,-0.0078,0.0151,-0.0039,0.0092,0.0069,46.3198,0.0126,-0.0025,-0.0017,0.4661,-0.2205,1.1056,sell
2021-11-26,143.7491,13619300,143.9355,144.3882,140.9883,-0.0301,-0.0069,-0.0339,-0.0179,-0.0240,36.6142,0.0158,-0.0044,-0.0028,0.0511,0.4143,1.5081,hold
2021-11-29,143.1277,12104400,144.9742,146.2791,141.8760,-0.0043,0.0019,-0.0337,-0.0188,-0.0287,32.6385,0.0158,-0.0062,-0.0037,0.0556,-0.1112,1.3116,sell
2021-11-30,140.9972,18922600,141.2901,142.5951,140.5178,-0.0149,-0.0336,-0.0464,-0.0288,-0.0440,31.0942,0.0162,-0.0088,-0.0050,-0.0383,0.5633,1.9303,sell
2021-12-01,140.1627,12253400,142.9235,144.9387,140.0828,-0.0059,-0.0617,-0.0452,-0.0301,-0.0503,30.1022,0.0161,-0.0112,-0.0059,-0.0188,-0.3524,1.2184,buy
2021-12-02,143.1100,12969900,141.8849,144.9209,140.9705,0.0210,-0.0344,-0.0198,-0.0077,-0.0311,38.4727,0.0180,-0.0110,-0.0047,0.2385,0.0585,1.2610,sell
2021-12-03,140.5178,12681800,143.3674,143.6603,139.5413,-0.0181,-0.0225,-0.0292,-0.0228,-0.0484,35.6833,0.0187,-0.0126,-0.0049,0.0857,-0.0222,1.2146,buy
2021-12-06,142.1778,11186500,142.9324,144.3528,141.5564,0.0118,-0.0066,-0.0047,-0.0108,-0.0369,39.8413,0.0188,-0.0124,-0.0039,0.2415,-0.1179,1.0552,buy
2021-12-07,144.3172,9851600,143.7047,145.0452,143.0656,0.0150,0.0235,-0.0108,0.0052,-0.0220,45.7353,0.0181,-0.0109,-0.0020,0.4254,-0.1193,0.9144,sell
2021-12-08,142.6661,11705700,144.3971,144.9386,142.1867,-0.0114,0.0179,-0.0450,-0.0017,-0.0327,44.4180,0.0160,-0.0108,-0.0014,0.3109,0.1882,1.0681,hold
2021-12-09,142.4442,11189600,141.7251,142.8614,140.8374,-0.0016,-0.0047,-0.0389,0.0008,-0.0337,46.0166,0.0160,-0.0106,-0.0010,0.3127,-0.0441,1.0019,hold
2021-12-10,141.8760,10405400,143.2076,143.5449,141.2635,-0.0040,0.0097,-0.0130,-0.0019,-0.0372,48.2269,0.0131,-0.0107,-0.0008,0.2846,-0.0701,0.9129,sell
2021-12-13,140.1893,12069000,141.5919,141.8494,139.6212,-0.0119,-0.0140,-0.0205,-0.0117,-0.0477,39.0979,0.0135,-0.0117,-0.0014,0.1656,0.1599,1.0408,buy
2021-12-14,141.2635,12563600,139.7721,142.8259,139.6390,0.0077,-0.0212,0.0019,-0.0043,-0.0396,32.9102,0.0130,-0.0115,-0.0010,0.2849,0.0410,1.0558,sell
2021-12-15,140.2071,14014200,141.9026,141.9026,139.6833,-0.0075,-0.0172,0.0003,-0.0118,-0.0456,33.0707,0.0131,-0.0121,-0.0012,0.2137,0.1155,1.1568,buy
2021-12-16,142.3997,19542800,142.3820,143.6514,140.8817,0.0156,-0.0003,-0.0050,0.0042,-0.0296,46.8438,0.0122,-0.0108,-0.0001,0.4392,0.3945,1.5514,sell
2021-12-17,139.1596,28082000,141.4322,141.4855,137.7570,-0.0228,-0.0191,-0.0097,-0.0177,-0.0502,41.7315,0.0130,-0.0120,-0.0008,0.1605,0.4369,2.0657,sell
2021-12-20,136.6562,15148000,137.1622,137.3308,134.7919,-0.0180,-0.0252,-0.0388,-0.0316,-0.0654,41.0929,0.0132,-0.0142,-0.0023,0.0131,-0.4606,1.1023,buy
2021-12-21,138.5648,11291300,137.9612,139.5324,137.6771,0.0140,-0.0191,-0.0399,-0.0141,-0.0512,46.8598,0.0130,-0.0144,-0.0020,0.2053,-0.2546,0.8315,hold
2021-12-22,139.1063,7273000,138.2630,139.4259,137.8102,0.0039,-0.0079,-0.0250,-0.0077,-0.0465,41.3102,0.0130,-0.0141,-0.0014,0.2539,-0.3559,0.5458,hold
2021-12-23,139.6034,8055200,139.9141,141.2546,139.5590,0.0036,-0.0196,-0.0199,-0.0021,-0.0426,47.8168,0.0131,-0.0134,-0.0007,0.3063,0.1075,0.6081,buy
2021-12-27,140.4024,6188100,139.9053,140.4379,138.7867,0.0057,0.0089,-0.0104,0.0046,-0.0365,45.5791,0.0133,-0.0122,0.0003,0.4265,-0.2318,0.4806,hold
2021-12-28,140.8285,6342300,140.4379,142.1690,140.3314,0.0030,0.0305,0.0046,0.0072,-0.0327,40.5028,0.0127,-0.0110,0.0013,0.4994,0.0249,0.5039,hold
2021-12-29,140.7575,6398900,141.0149,141.7074,140.3935,-0.0005,0.0158,-0.0036,0.0071,-0.0322,44.3153,0.0125,-0.0099,0.0019,0.4912,0.0089,0.5350,hold
2021-12-30,140.6864,6948200,141.2457,142.2488,140.5888,-0.0005,0.0114,0.0034,0.0062,-0.0315,44.7172,0.0122,-0.0090,0.0022,0.4774,0.0858,0.5941,hold
2021-12-31,140.5711,5805900,140.6598,141.4055,140.2248,-0.0008,0.0069,-0.0128,0.0067,-0.0308,45.9683,0.0110,-0.0083,0.0024,0.4780,-0.1644,0.5121,buy
2022-01-03,143.5449,13120900,141.9115,144.3794,141.6008,0.0212,0.0224,0.0315,0.0248,-0.0094,59.6036,0.0102,-0.0058,0.0037,0.8703,1.2599,1.1551,buy
2022-01-04,148.9867,20195800,145.8619,149.6525,145.7909,0.0379,0.0579,0.0902,0.0544,0.0287,67.6828,0.0124,-0.0009,0.0066,1.2616,0.5392,1.7101,sell
2022-01-05,146.2628,17539400,149.8708,150.3530,146.2182,-0.0183,0.0391,0.0556,0.0295,0.0107,62.8816,0.0149,0.0014,0.0072,0.9572,-0.1315,1.4384,buy
2022-01-06,147.8168,14047500,149.0581,149.4689,146.3432,0.0106,0.0507,0.0626,0.0341,0.0220,61.8448,0.0149,0.0040,0.0078,1.0096,-0.1991,1.1410,buy
2022-01-07,149.2814,13913300,147.9507,149.6118,147.4060,0.0099,0.0620,0.0693,0.0373,0.0321,73.9953,0.0149,0.0067,0.0084,1.0241,-0.0096,1.1178,hold
2022-01-10,149.4242,12922500,150.9871,151.2014,147.8257,0.0010,0.0410,0.0643,0.0318,0.0333,84.0835,0.0150,0.0089,0.0084,0.9578,-0.0712,1.0278,hold
