date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,33.4310,12413000,33.4720,34.2444,33.4062,0.0079,0.0381,0.0504,0.0260,0.0745,76.7014,0.0159,0.0140,0.0028,0.9432,0.0343,1.5122,buy
2021-09-13,33.9106,9742000,33.8162,34.1700,33.3098,0.0143,0.0405,0.0369,0.0369,0.0869,75.1673,0.0143,0.0162,0.0041,0.9866,-0.2152,1.1601,hold
2021-09-14,33.9860,13493000,34.3798,34.7870,33.7113,0.0022,0.0427,0.0417,0.0349,0.0863,76.2820,0.0142,0.0180,0.0048,0.9356,0.3850,1.5808,buy
2021-09-15,35.0302,15663000,34.0775,35.0493,33.7628,0.0307,0.0908,0.0805,0.0583,0.1158,78.2658,0.0158,0.0211,0.0066,1.0601,0.1608,1.8023,buy
2021-09-16,35.4765,19707000,34.8070,35.6395,34.6354,0.0127,0.0695,0.1090,0.0606,0.1255,80.2051,0.0140,0.0243,0.0080,1.0564,0.2582,2.1615,sell
2021-09-17,35.2657,21625000,35.7034,35.7225,34.9606,-0.0059,0.0549,0.0951,0.0447,0.1143,73.8380,0.0149,0.0265,0.0081,0.9533,0.0973,2.1991,sell
2021-09-20,33.8706,13123000,34.3684,34.4790,33.3547,-0.0396,-0.0012,0.0393,-0.0004,0.0671,59.3104,0.0214,0.0257,0.0052,0.6767,-0.3932,1.3003,hold
2021-09-21,34.0041,11604000,34.2301,34.2768,33.3423,0.0039,0.0005,0.0432,-0.0006,0.0685,61.9671,0.0213,0.0241,0.0029,0.6830,-0.1158,1.1563,buy
2021-09-22,34.8557,7624000,34.2472,34.9319,33.9488,0.0250,-0.0050,0.0854,0.0162,0.0917,70.3492,0.0211,0.0240,0.0027,0.8278,-0.3430,0.7544,buy
2021-09-23,35.3773,9483000,34.9653,35.5137,34.8805,0.0150,-0.0028,0.0666,0.0248,0.1039,71.5842,0.0195,0.0250,0.0032,0.8887,0.2438,0.9333,hold
2021-09-24,35.2390,4338000,35.0616,35.3458,34.9777,-0.0039,-0.0008,0.0541,0.0155,0.0952,68.6492,0.0197,0.0255,0.0029,0.8267,-0.5425,0.4283,sell
2021-09-27,34.8814,8440000,34.7603,35.2276,34.5972,-0.0101,0.0298,0.0286,0.0024,0.0794,65.3319,0.0200,0.0250,0.0018,0.7295,0.9456,0.8270,sell
2021-09-28,33.0934,16206000,33.5997,34.0384,33.0266,-0.0513,-0.0268,-0.0263,-0.0466,0.0209,55.5954,0.0264,0.0212,-0.0027,0.3594,0.9201,1.5065,sell
2021-09-29,31.9748,12023000,33.2507,33.3518,31.9281,-0.0338,-0.0827,-0.0872,-0.0706,-0.0156,43.2278,0.0253,0.0146,-0.0081,0.1421,-0.2581,1.1074,hold
2021-09-30,31.8994,9622000,32.2590,32.6356,31.8413,-0.0024,-0.0983,-0.1008,-0.0631,-0.0190,41.1330,0.0243,0.0086,-0.0113,0.1299,-0.1997,0.8744,hold
2021-10-01,31.9481,9046000,32.1102,32.2752,31.3530,0.0015,-0.0934,-0.0941,-0.0524,-0.0187,38.0405,0.0245,0.0038,-0.0128,0.1472,-0.0599,0.8062,sell
2021-10-04,31.3807,11476000,31.6715,31.7192,31.0488,-0.0178,-0.1004,-0.0735,-0.0623,-0.0367,35.0219,0.0224,-0.0014,-0.0147,0.0752,0.2686,0.9932,hold
2021-10-05,31.5867,7743000,31.7516,31.8928,31.3015,0.0066,-0.0455,-0.0711,-0.0493,-0.0311,28.0913,0.0226,-0.0049,-0.0145,0.1388,-0.3253,0.6643,hold
2021-10-06,31.3835,8209000,31.1633,31.4903,30.9315,-0.0064,-0.0185,-0.0996,-0.0454,-0.0386,23.1281,0.0196,-0.0082,-0.0143,0.1225,0.0602,0.7029,hold
2021-10-07,31.4789,8119000,31.8022,32.0578,31.4045,0.0030,-0.0132,-0.1102,-0.0310,-0.0365,24.7554,0.0182,-0.0104,-0.0132,0.1698,-0.0110,0.7069,sell
2021-10-08,31.0927,6431000,31.6877,31.6954,30.9754,-0.0123,-0.0268,-0.1177,-0.0305,-0.0488,28.6030,0.0180,-0.0132,-0.0128,0.1471,-0.2079,0.5749,hold
2021-10-11,31.0116,5287000,30.9516,31.5848,30.9487,-0.0026,-0.0118,-0.1109,-0.0213,-0.0500,26.7625,0.0183,-0.0153,-0.0119,0.1727,-0.1779,0.4823,sell
2021-10-12,30.4728,8555000,31.2319,31.3063,30.3241,-0.0174,-0.0353,-0.0792,-0.0302,-0.0652,14.2282,0.0123,-0.0185,-0.0121,0.1400,0.6181,0.7983,hold
2021-10-13,30.5549,6906000,30.8839,31.0879,30.4290,0.0027,-0.0264,-0.0444,-0.0232,-0.0612,7.5971,0.0087,-0.0203,-0.0111,0.1861,-0.1928,0.6719,buy
2021-10-14,31.4484,9590000,31.5943,31.5943,31.1461,0.0292,-0.0010,-0.0141,0.0068,-0.0325,20.5775,0.0138,-0.0187,-0.0078,0.3283,0.3886,0.9813,hold
2021-10-15,31.3835,7725000,31.4856,31.6973,31.2682,-0.0021,0.0094,-0.0177,0.0065,-0.0332,21.5572,0.0138,-0.0178,-0.0055,0.3381,-0.1945,0.8510,sell
2021-10-18,31.1614,13778000,31.1528,31.3006,30.7379,-0.0071,0.0048,-0.0070,0.0001,-0.0386,28.9223,0.0128,-0.0176,-0.0042,0.3236,0.7836,1.5124,buy
2021-10-19,31.6734,8206000,31.0593,31.7287,31.0460,0.0164,0.0394,0.0027,0.0163,-0.0217,46.2110,0.0137,-0.0156,-0.0019,0.4177,-0.4044,0.9179,hold
2021-10-20,31.5676,7020000,31.6324,31.8460,31.2996,-0.0033,0.0331,0.0059,0.0123,-0.0244,45.8592,0.0136,-0.0143,-0.0005,0.4207,-0.1445,0.7879,buy
2021-10-21,31.9948,8706000,31.1718,32.0539,30.8390,0.0135,0.0174,0.0164,0.0243,-0.0109,50.5326,0.0142,-0.0119,0.0014,0.5271,0.2402,0.9814,buy
2021-10-22,32.7119,18562000,32.6251,34.1319,32.4745,0.0224,0.0423,0.0521,0.0418,0.0104,64.6762,0.0146,-0.0081,0.0040,0.7529,1.1321,1.9371,hold
