date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,47.9641,10573700,48.3091,48.4126,47.8865,-0.0045,-0.0204,0.0013,-0.0103,-0.0099,39.9217,0.0094,-0.0015,-0.0017,0.1586,-0.1572,0.9403,buy
2021-09-13,48.3608,20274300,48.0762,48.6455,48.0762,0.0083,-0.0116,0.0075,-0.0029,-0.0024,46.5548,0.0097,-0.0015,-0.0014,0.3767,0.9174,1.7075,hold
2021-09-14,48.3956,13918900,48.5955,48.6476,48.2739,0.0007,0.0079,-0.0012,-0.0020,-0.0024,51.0069,0.0093,-0.0015,-0.0011,0.4159,-0.3135,1.1436,buy
2021-09-15,48.5607,15746000,48.3869,48.6650,48.1610,0.0034,-0.0021,-0.0001,0.0014,0.0001,52.2667,0.0093,-0.0011,-0.0006,0.5485,0.1313,1.2657,sell
2021-09-16,48.1001,17430400,48.4217,48.6563,47.6395,-0.0095,-0.0017,-0.0163,-0.0065,-0.0099,52.2259,0.0094,-0.0016,-0.0009,0.2515,0.1070,1.3813,sell
2021-09-17,47.3093,33370200,47.8133,47.9611,47.2485,-0.0164,-0.0137,-0.0338,-0.0195,-0.0264,43.2535,0.0104,-0.0034,-0.0021,-0.1359,0.9145,2.4136,sell
2021-09-20,46.9791,27542500,47.0225,47.2746,46.6923,-0.0070,-0.0286,-0.0399,-0.0223,-0.0332,35.1787,0.0104,-0.0053,-0.0032,-0.1426,-0.1746,1.8767,hold
2021-09-21,46.9704,16418200,47.2659,47.6395,46.8748,-0.0002,-0.0294,-0.0218,-0.0204,-0.0334,33.6260,0.0091,-0.0067,-0.0037,-0.0325,-0.4039,1.0908,hold
2021-09-22,47.0399,12719700,47.3701,47.4136,46.9791,0.0015,-0.0313,-0.0333,-0.0156,-0.0318,29.9158,0.0074,-0.0076,-0.0037,0.0662,-0.2253,0.8433,hold
2021-09-23,46.9617,13836200,47.1529,47.4657,46.9270,-0.0017,-0.0237,-0.0253,-0.0147,-0.0328,28.3657,0.0071,-0.0084,-0.0036,0.0946,0.0878,0.9096,sell
2021-09-24,46.8314,9682200,46.9270,47.1355,46.8053,-0.0028,-0.0101,-0.0236,-0.0151,-0.0347,27.7902,0.0070,-0.0091,-0.0034,0.0979,-0.3002,0.6378,sell
2021-09-27,46.5880,12429500,46.7966,47.1442,46.5533,-0.0052,-0.0083,-0.0367,-0.0166,-0.0389,32.3897,0.0060,-0.0101,-0.0035,0.0770,0.2837,0.8093,sell
2021-09-28,45.7451,19926100,46.4577,46.4577,45.5626,-0.0181,-0.0261,-0.0548,-0.0289,-0.0554,15.6742,0.0073,-0.0123,-0.0045,-0.0560,0.6031,1.2569,buy
2021-09-29,46.0232,13941500,45.7451,46.1970,45.6756,0.0061,-0.0216,-0.0523,-0.0177,-0.0488,23.3431,0.0077,-0.0132,-0.0043,0.0816,-0.3003,0.8801,sell
2021-09-30,45.5974,17672000,46.2057,46.3447,45.5626,-0.0093,-0.0291,-0.0520,-0.0216,-0.0564,22.1900,0.0077,-0.0147,-0.0046,0.0428,0.2676,1.0876,buy
2021-10-01,46.0753,16277400,45.8668,46.2317,45.6843,0.0105,-0.0161,-0.0261,-0.0087,-0.0454,23.6473,0.0080,-0.0146,-0.0037,0.1880,-0.0789,0.9877,hold
2021-10-04,46.0492,18973400,46.1101,46.5185,45.5365,-0.0006,-0.0116,-0.0198,-0.0073,-0.0447,22.8915,0.0079,-0.0146,-0.0029,0.2083,0.1656,1.1315,hold
2021-10-05,46.1275,17173100,46.0753,46.4664,45.9971,0.0017,0.0084,-0.0179,-0.0038,-0.0419,21.3117,0.0080,-0.0142,-0.0020,0.2538,-0.0949,1.0330,buy
2021-10-06,46.6749,21284500,45.8581,46.7271,45.6321,0.0119,0.0142,-0.0078,0.0088,-0.0294,33.5340,0.0090,-0.0126,-0.0005,0.4075,0.2394,1.2457,buy
2021-10-07,46.8227,13774400,46.9183,47.1703,46.7618,0.0032,0.0269,-0.0030,0.0123,-0.0255,43.3964,0.0091,-0.0111,0.0008,0.4627,-0.3528,0.8033,buy
2021-10-08,47.0312,13786800,46.9269,47.2659,46.8400,0.0045,0.0207,0.0043,0.0164,-0.0203,50.7316,0.0092,-0.0095,0.0019,0.5338,0.0009,0.7965,hold
2021-10-11,47.1268,12378500,47.1094,47.2659,46.9356,0.0020,0.0234,0.0116,0.0173,-0.0174,52.1429,0.0090,-0.0079,0.0028,0.5848,-0.1021,0.7318,hold
2021-10-12,47.1268,19474400,47.2919,47.6482,47.1181,0.0000,0.0217,0.0302,0.0142,-0.0166,51.2137,0.0060,-0.0066,0.0032,0.6158,0.5732,1.1328,hold
2021-10-13,47.1355,12143300,47.0747,47.3006,46.7445,0.0002,0.0099,0.0242,0.0120,-0.0157,52.4752,0.0059,-0.0055,0.0035,0.6717,-0.3764,0.7138,buy
2021-10-14,47.4571,13704000,47.2659,47.6309,47.1963,0.0068,0.0135,0.0408,0.0148,-0.0086,58.4507,0.0044,-0.0040,0.0039,0.8527,0.1285,0.8145,sell
2021-10-15,47.3441,17867000,47.4831,47.6917,47.1790,-0.0024,0.0067,0.0275,0.0097,-0.0103,60.5838,0.0042,-0.0030,0.0040,0.7992,0.3038,1.1132,sell
2021-10-18,46.8748,15861800,47.2311,47.2659,46.8053,-0.0099,-0.0053,0.0179,-0.0021,-0.0193,67.6630,0.0057,-0.0030,0.0032,0.5888,-0.1122,1.0256,buy
2021-10-19,47.0573,11068500,46.9617,47.1007,46.7271,0.0039,-0.0015,0.0202,-0.0002,-0.0148,66.6665,0.0058,-0.0026,0.0029,0.6692,-0.3022,0.7283,buy
2021-10-20,47.4744,12474800,47.0834,47.5874,47.0225,0.0089,0.0072,0.0171,0.0070,-0.0054,80.3369,0.0053,-0.0016,0.0031,0.8348,0.1271,0.8214,sell
2021-10-21,47.2311,14388300,47.4484,47.5092,47.1095,-0.0051,-0.0048,0.0087,0.0010,-0.0098,70.2129,0.0056,-0.0012,0.0028,0.7193,0.1534,0.9457,buy
2021-10-22,47.3180,12828600,47.2659,47.3875,46.9878,0.0018,-0.0006,0.0061,0.0022,-0.0073,71.7264,0.0055,-0.0007,0.0026,0.7400,-0.1084,0.8346,sell
2021-10-25,47.1268,11855000,47.2572,47.3354,46.9443,-0.0040,0.0054,0.0000,-0.0019,-0.0104,66.4756,0.0057,-0.0007,0.0022,0.6476,-0.0759,0.7727,buy
2021-10-26,47.3354,12086700,47.2050,47.4310,47.1268,0.0044,0.0059,0.0044,0.0021,-0.0050,62.2582,0.0058,-0.0002,0.0020,0.7151,0.0195,0.8084,buy
2021-10-27,48.2479,24019800,48.6389,48.7345,48.0306,0.0193,0.0163,0.0236,0.0190,0.0146,70.6031,0.0083,0.0016,0.0031,1.0275,0.9873,1.5542,buy
2021-10-28,48.6998,15928000,48.4477,48.7606,48.3348,0.0094,0.0311,0.0262,0.0259,0.0241,72.5354,0.0085,0.0037,0.0041,1.1202,-0.3369,1.0365,buy
2021-10-29,48.9865,24463700,48.5520,49.0734,48.4738,0.0059,0.0353,0.0347,0.0284,0.0302,73.8841,0.0084,0.0058,0.0050,1.1025,0.5359,1.5506,sell
2021-11-01,48.8127,11651100,49.0039,49.0126,48.5781,-0.0035,0.0358,0.0413,0.0206,0.0266,70.7267,0.0074,0.0071,0.0050,0.9801,-0.5237,0.7560,hold
2021-11-02,48.7519,11498900,49.0734,49.0995,48.6389,-0.0012,0.0299,0.0360,0.0157,0.0253,69.6204,0.0076,0.0079,0.0047,0.9176,-0.0131,0.7602,buy
2021-11-03,48.9170,10788300,48.6650,48.9518,48.4738,0.0034,0.0139,0.0304,0.0161,0.0285,68.4212,0.0074,0.0087,0.0044,0.9170,-0.0618,0.7388,buy
2021-11-04,49.1864,10820200,48.7606,49.2125,48.6911,0.0055,0.0100,0.0414,0.0175,0.0338,72.3631,0.0068,0.0097,0.0043,0.9391,0.0030,0.7486,buy
2021-11-05,49.3950,12886700,49.3950,49.6730,49.1777,0.0042,0.0083,0.0439,0.0175,0.0375,82.6578,0.0068,0.0106,0.0042,0.9358,0.1910,0.8943,sell
2021-11-08,48.9518,12828000,49.3168,49.4384,48.7780,-0.0090,0.0028,0.0387,0.0046,0.0278,72.9961,0.0076,0.0107,0.0034,0.7780,-0.0046,0.8889,buy
2021-11-09,49.0908,10155800,49.0213,49.1169,48.7432,0.0028,0.0070,0.0371,0.0038,0.0304,71.0411,0.0076,0.0107,0.0027,0.7863,-0.2083,0.7272,buy
2021-11-10,49.2907,8813600,49.1343,49.4645,48.9170,0.0041,0.0076,0.0216,0.0058,0.0343,77.1168,0.0053,0.0109,0.0024,0.8082,-0.1322,0.6387,hold
2021-11-11,49.3081,7257700,49.3863,49.4297,49.1603,0.0004,0.0025,0.0125,0.0049,0.0345,76.6901,0.0047,0.0110,0.0020,0.7821,-0.1765,0.5385,sell
2021-11-12,49.1951,10162500,49.3168,49.5253,49.1429,-0.0023,-0.0040,0.0043,0.0021,0.0320,78.3334,0.0045,0.0108,0.0014,0.7275,0.4002,0.7762,hold
2021-11-15,49.2038,10289200,49.1256,49.2559,48.8996,0.0002,0.0051,0.0080,0.0015,0.0321,77.0781,0.0043,0.0105,0.0009,0.7101,0.0125,0.8030,sell
