date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,229.2005,4633500,231.7844,233.4018,228.3105,-0.0021,-0.0773,-0.0835,-0.0593,-0.0453,13.6035,0.0196,-0.0080,-0.0144,-0.0957,-0.0689,1.9533,sell
2021-09-13,227.7268,2832800,229.7173,230.7796,225.0376,-0.0064,-0.0831,-0.0839,-0.0573,-0.0521,14.1103,0.0196,-0.0128,-0.0154,-0.0252,-0.3886,1.1611,sell
2021-09-14,223.0662,3826000,228.4541,229.4781,222.0040,-0.0205,-0.0852,-0.1114,-0.0658,-0.0714,14.1716,0.0188,-0.0183,-0.0168,-0.0329,0.3506,1.5305,hold
2021-09-15,223.6787,2802500,223.5352,229.0857,223.0375,0.0027,-0.0828,-0.0951,-0.0539,-0.0688,13.2079,0.0192,-0.0220,-0.0164,0.0471,-0.2675,1.1054,sell
2021-09-16,221.1044,2958700,224.0137,224.5974,219.8507,-0.0115,-0.0373,-0.1024,-0.0547,-0.0792,13.1629,0.0191,-0.0259,-0.0161,0.0593,0.0557,1.1572,hold
2021-09-17,220.2048,4480000,219.8316,220.9034,218.4152,-0.0041,-0.0392,-0.1135,-0.0470,-0.0825,13.3678,0.0181,-0.0288,-0.0153,0.0935,0.5142,1.6681,buy
2021-09-20,221.6786,2803400,218.2812,222.7217,217.5156,0.0067,-0.0266,-0.1075,-0.0295,-0.0762,11.1280,0.0187,-0.0300,-0.0132,0.1574,-0.3742,1.0198,sell
2021-09-21,220.2717,2172800,222.0805,223.6691,219.8602,-0.0063,-0.0125,-0.0967,-0.0256,-0.0817,11.8970,0.0186,-0.0315,-0.0117,0.1653,-0.2249,0.7942,sell
2021-09-22,218.4822,2529600,220.1091,221.0948,217.7932,-0.0081,-0.0232,-0.1041,-0.0225,-0.0887,11.5892,0.0183,-0.0330,-0.0104,0.1681,0.1642,0.9455,buy
2021-09-23,222.1953,1912300,219.4392,224.1285,219.1617,0.0170,0.0049,-0.0326,-0.0025,-0.0730,15.4077,0.0103,-0.0318,-0.0076,0.2633,-0.2440,0.7212,hold
2021-09-24,221.7168,1642500,222.7600,225.2673,221.3915,-0.0022,0.0069,-0.0327,-0.0013,-0.0750,15.2308,0.0103,-0.0311,-0.0055,0.2768,-0.1411,0.6205,sell
2021-09-27,216.6639,2785900,220.0804,221.1235,215.9079,-0.0228,-0.0226,-0.0486,-0.0192,-0.0957,15.0244,0.0120,-0.0327,-0.0052,0.2055,0.6961,1.0340,sell
2021-09-28,212.0703,3583300,216.6543,216.6639,210.7305,-0.0212,-0.0372,-0.0493,-0.0352,-0.1141,13.3597,0.0121,-0.0355,-0.0059,0.1459,0.2862,1.2759,buy
2021-09-29,220.4536,3971000,215.7165,221.4872,214.9031,0.0395,0.0090,-0.0144,0.0044,-0.0788,37.7291,0.0186,-0.0322,-0.0031,0.3375,0.1082,1.3834,hold
2021-09-30,221.1139,3786100,222.7695,226.9612,220.8747,0.0030,-0.0049,0.0000,0.0074,-0.0756,39.2956,0.0183,-0.0301,-0.0008,0.3706,-0.0466,1.3002,sell
2021-10-01,219.7167,2215700,221.0661,221.7168,215.7548,-0.0063,-0.0090,-0.0022,0.0013,-0.0808,39.3754,0.0183,-0.0288,0.0005,0.3554,-0.4148,0.7513,sell
2021-10-04,215.1806,4784700,218.0037,220.2909,214.5777,-0.0206,-0.0068,-0.0293,-0.0165,-0.0985,39.5058,0.0192,-0.0296,0.0003,0.2410,1.1595,1.5276,buy
2021-10-05,220.9991,2802000,216.7022,222.5590,216.4438,0.0270,0.0421,0.0033,0.0098,-0.0732,46.8680,0.0213,-0.0265,0.0021,0.4448,-0.4144,0.8889,sell
2021-10-06,218.0516,2462700,220.6450,220.9226,216.3290,-0.0133,-0.0109,-0.0020,-0.0035,-0.0845,46.4626,0.0216,-0.0258,0.0025,0.3192,-0.1211,0.7700,buy
2021-10-07,223.1523,2001800,219.2669,224.0424,219.1521,0.0234,0.0092,0.0043,0.0194,-0.0621,53.1123,0.0223,-0.0223,0.0043,0.6505,-0.1872,0.6565,hold
2021-10-08,223.8796,2563000,223.3820,225.6692,221.5924,0.0033,0.0189,0.0098,0.0217,-0.0583,52.3614,0.0223,-0.0195,0.0057,0.7437,0.2803,0.8700,hold
2021-10-11,223.6212,1892300,226.5209,227.7555,223.5543,-0.0012,0.0392,0.0321,0.0173,-0.0587,53.6843,0.0207,-0.0172,0.0064,0.7673,-0.2617,0.6528,hold
2021-10-12,222.7696,1719200,224.6070,224.9611,222.0040,-0.0038,0.0080,0.0505,0.0085,-0.0613,54.8152,0.0190,-0.0155,0.0065,0.6995,-0.0915,0.6154,buy
2021-10-13,226.2722,2105700,224.0041,227.6885,222.7887,0.0157,0.0377,0.0264,0.0217,-0.0451,54.6005,0.0154,-0.0125,0.0073,0.9482,0.2248,0.7633,hold
2021-10-14,226.5114,1824700,226.8176,228.1861,224.0423,0.0011,0.0151,0.0244,0.0203,-0.0421,55.4398,0.0154,-0.0102,0.0077,0.9115,-0.1334,0.6753,buy
2021-10-15,227.6502,2598300,227.2100,229.0092,225.6788,0.0050,0.0168,0.0361,0.0217,-0.0353,63.6798,0.0151,-0.0078,0.0080,0.9271,0.4240,0.9963,buy
2021-10-18,228.7029,2546000,227.7172,232.2247,226.5210,0.0046,0.0227,0.0628,0.0203,-0.0290,72.7131,0.0125,-0.0054,0.0082,0.9323,-0.0201,0.9811,buy
2021-10-19,231.8897,1573200,228.7795,232.1194,228.7795,0.0139,0.0409,0.0493,0.0295,-0.0136,68.1999,0.0106,-0.0024,0.0088,1.0154,-0.3821,0.6133,buy
2021-10-20,233.2391,1537500,233.2486,235.3253,232.5883,0.0058,0.0308,0.0697,0.0285,-0.0058,68.8824,0.0084,0.0004,0.0093,0.9927,-0.0227,0.6112,sell
2021-10-21,230.7988,1717700,234.4162,234.4162,229.5164,-0.0105,0.0189,0.0343,0.0144,-0.0144,66.7149,0.0078,0.0017,0.0086,0.8388,0.1172,0.6855,buy
