date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,185.4700,2505600,185.8785,187.5124,185.3157,0.0065,-0.0088,-0.0064,-0.0018,0.0372,39.2461,0.0062,0.0123,-0.0013,0.5817,-0.0236,0.5802,buy
2021-09-13,187.0313,3159000,186.7317,188.1114,185.8513,0.0084,0.0003,0.0007,0.0066,0.0448,49.9716,0.0068,0.0122,-0.0010,0.6308,0.2608,0.7252,sell
2021-09-14,185.3248,2488600,187.4851,188.2658,185.0979,-0.0091,-0.0048,-0.0040,-0.0022,0.0343,52.3187,0.0073,0.0114,-0.0015,0.5286,-0.2122,0.5779,buy
2021-09-15,186.6319,2956600,185.3248,187.1765,182.8831,0.0071,0.0074,0.0084,0.0040,0.0404,48.1578,0.0074,0.0111,-0.0014,0.6219,0.1881,0.7316,buy
2021-09-16,189.2370,3365500,186.6773,190.0085,186.6773,0.0140,0.0269,0.0248,0.0155,0.0535,57.9452,0.0084,0.0117,-0.0005,1.0245,0.1383,1.0016,buy
2021-09-17,189.7362,5835200,188.2204,192.4139,188.2204,0.0026,0.0230,0.0140,0.0167,0.0544,58.6418,0.0075,0.0124,0.0001,1.0271,0.7338,1.7249,sell
2021-09-20,186.3233,3640400,187.4579,189.2188,184.2900,-0.0180,-0.0038,-0.0034,-0.0012,0.0343,50.6680,0.0097,0.0115,-0.0007,0.4887,-0.3761,1.0968,buy
2021-09-21,187.2310,2681200,187.5850,189.0101,186.4050,0.0049,0.0103,0.0055,0.0031,0.0382,55.7048,0.0097,0.0109,-0.0010,0.6473,-0.2635,0.8267,buy
2021-09-22,189.6092,3169000,188.8467,190.8709,187.6485,0.0127,0.0160,0.0235,0.0135,0.0497,61.8594,0.0102,0.0112,-0.0005,0.9869,0.1819,0.9914,sell
2021-09-23,188.7831,3128800,190.6167,192.1144,188.6106,-0.0044,-0.0024,0.0245,0.0066,0.0435,54.3141,0.0101,0.0111,-0.0005,0.8227,-0.0127,0.9713,hold
2021-09-24,188.6833,2275800,188.8648,189.5274,187.7937,-0.0005,-0.0055,0.0173,0.0044,0.0416,54.4679,0.0100,0.0108,-0.0006,0.7809,-0.2726,0.7173,buy
2021-09-27,191.1885,2886100,188.4654,192.6590,188.3474,0.0133,0.0261,0.0222,0.0155,0.0538,61.8717,0.0105,0.0114,0.0001,1.0405,0.2682,0.9132,sell
2021-09-28,186.4685,4030200,189.7998,190.1265,185.7968,-0.0247,-0.0041,0.0062,-0.0102,0.0264,52.4614,0.0132,0.0101,-0.0012,0.4221,0.3964,1.2743,buy
2021-09-29,187.9843,2678300,187.1311,189.1190,186.9133,0.0081,-0.0086,0.0072,-0.0029,0.0334,57.3534,0.0132,0.0093,-0.0015,0.6042,-0.3354,0.8773,sell
2021-09-30,184.1357,3828600,187.8301,188.3112,183.6002,-0.0205,-0.0246,-0.0270,-0.0206,0.0115,47.6082,0.0139,0.0072,-0.0031,0.0989,0.4295,1.2341,hold
2021-10-01,184.8982,3016400,184.9254,186.4503,183.2008,0.0041,-0.0201,-0.0255,-0.0140,0.0149,46.0637,0.0140,0.0056,-0.0037,0.2237,-0.2121,0.9667,hold
2021-10-04,185.6334,5195600,184.1176,185.7060,182.9739,0.0040,-0.0291,-0.0037,-0.0098,0.0186,50.5907,0.0129,0.0046,-0.0038,0.3279,0.7225,1.5902,hold
