date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,56.7775,15575000,57.1591,58.1074,56.6256,0.0076,-0.0066,0.0218,-0.0037,-0.0208,64.2288,0.0195,-0.0070,0.0023,0.6487,0.0120,1.2283,buy
2021-09-13,57.7894,13132000,57.2331,58.3751,56.9151,0.0178,-0.0032,-0.0013,0.0142,-0.0026,61.6225,0.0152,-0.0047,0.0035,0.8177,-0.1569,1.0544,sell
2021-09-14,57.2891,11812000,57.0148,58.0391,56.8268,-0.0087,0.0174,-0.0074,0.0061,-0.0103,58.2006,0.0154,-0.0037,0.0037,0.7017,-0.1005,0.9518,buy
2021-09-15,58.0486,11420000,57.0442,58.0837,56.6807,0.0133,0.0479,0.0110,0.0184,0.0031,59.9632,0.0159,-0.0018,0.0044,0.8138,-0.0332,0.9250,buy
2021-09-16,58.4615,13524000,57.3233,58.5859,56.9379,0.0071,0.0375,0.0268,0.0229,0.0102,63.2608,0.0157,0.0003,0.0052,0.8634,0.1842,1.0750,sell
2021-09-17,57.8094,20142000,58.3761,58.4976,57.3024,-0.0112,0.0182,0.0114,0.0103,-0.0012,49.6876,0.0162,0.0010,0.0048,0.7131,0.4894,1.5452,sell
2021-09-20,55.9991,13241000,56.4728,56.4870,55.1608,-0.0313,-0.0310,-0.0341,-0.0180,-0.0317,42.1459,0.0184,-0.0009,0.0023,0.2768,-0.3426,1.0305,sell
2021-09-21,55.6488,16045000,56.2326,56.4139,54.8970,-0.0063,-0.0286,-0.0117,-0.0230,-0.0365,41.9564,0.0162,-0.0030,0.0002,0.1826,0.2118,1.2374,buy
2021-09-22,57.0613,10350000,56.3873,57.3110,55.9022,0.0254,-0.0170,0.0301,-0.0011,-0.0113,50.5261,0.0172,-0.0025,0.0005,0.5236,-0.3549,0.7956,buy
2021-09-23,58.1492,11004000,57.0129,58.6599,56.6465,0.0191,-0.0053,0.0319,0.0148,0.0077,53.8856,0.0174,-0.0006,0.0019,0.7844,0.0632,0.8395,hold
2021-09-24,58.1416,7273000,57.3974,58.2669,57.0812,-0.0001,0.0057,0.0240,0.0122,0.0075,50.7020,0.0173,0.0008,0.0027,0.7602,-0.3391,0.5577,buy
2021-09-27,58.6831,10892000,57.3803,59.1893,57.3137,0.0093,0.0479,0.0155,0.0201,0.0159,60.9379,0.0167,0.0027,0.0036,0.8799,0.4976,0.8485,sell
2021-09-28,55.7616,20885000,56.7218,57.7020,55.6674,-0.0498,0.0020,-0.0267,-0.0281,-0.0345,51.4288,0.0233,0.0001,0.0009,0.1472,0.9175,1.5595,sell
2021-09-29,54.0049,16577000,55.7749,56.0499,53.9421,-0.0315,-0.0536,-0.0697,-0.0521,-0.0638,41.4102,0.0242,-0.0046,-0.0031,-0.1154,-0.2063,1.2113,hold
