date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,337.2656,3437700,344.5858,344.6538,336.9064,-0.0114,0.0179,-0.0155,-0.0019,-0.0561,43.2094,0.0141,-0.0177,0.0006,0.2788,-0.0749,0.8690,hold
2021-09-13,337.6830,3234200,339.7994,341.7314,336.2655,0.0012,0.0223,-0.0222,0.0016,-0.0538,36.9069,0.0137,-0.0170,0.0011,0.3139,-0.0592,0.8081,sell
2021-09-14,335.7219,3281900,339.4888,339.6830,335.1880,-0.0058,0.0032,-0.0205,-0.0022,-0.0578,34.5214,0.0136,-0.0167,0.0011,0.2660,0.0147,0.8165,hold
2021-09-15,334.7025,3833500,336.8869,337.4015,332.7705,-0.0030,-0.0179,-0.0043,-0.0048,-0.0590,35.6471,0.0123,-0.0166,0.0011,0.2501,0.1681,0.9418,buy
2021-09-16,336.2171,3771100,335.3433,337.5471,334.6443,0.0045,-0.0145,-0.0093,0.0007,-0.0534,42.7720,0.0119,-0.0158,0.0014,0.3287,-0.0163,0.9152,sell
2021-09-17,333.0424,5527500,333.9744,335.9161,330.8385,-0.0094,-0.0125,0.0052,-0.0093,-0.0609,36.1190,0.0094,-0.0160,0.0011,0.2275,0.4658,1.2974,sell
2021-09-20,329.7901,3956600,328.4600,331.1687,325.8387,-0.0098,-0.0234,-0.0016,-0.0188,-0.0684,35.5973,0.0100,-0.0168,0.0004,0.1405,-0.2842,0.9307,sell
2021-09-21,327.5473,2967300,332.2269,333.1783,327.4502,-0.0068,-0.0243,-0.0213,-0.0234,-0.0728,39.4315,0.0089,-0.0177,-0.0003,0.0898,-0.2500,0.7027,buy
2021-09-22,333.4016,3238800,329.4113,333.8482,328.6735,0.0179,-0.0039,-0.0217,-0.0037,-0.0541,43.0880,0.0088,-0.0165,0.0005,0.3389,0.0915,0.7651,buy
2021-09-23,343.7509,4783200,335.6637,344.4500,335.1395,0.0310,0.0224,0.0076,0.0264,-0.0228,63.6268,0.0138,-0.0127,0.0030,0.8530,0.4768,1.0982,buy
