date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,214.3950,2035200,215.4168,216.3132,214.2695,0.0024,-0.0029,0.0149,0.0056,0.0116,55.7435,0.0066,0.0027,0.0005,0.7808,-0.3198,0.9965,buy
2021-09-13,216.2146,2294800,215.8740,216.7434,214.9865,0.0085,0.0100,0.0213,0.0120,0.0193,57.8511,0.0070,0.0036,0.0011,1.0359,0.1276,1.1074,hold
2021-09-14,216.1429,2013800,216.6807,217.1468,214.6818,-0.0003,0.0209,0.0248,0.0092,0.0182,61.7303,0.0067,0.0042,0.0014,0.9753,-0.1225,0.9756,hold
2021-09-15,216.0084,2507200,215.5513,216.2684,213.4986,-0.0006,0.0099,0.0148,0.0071,0.0168,60.2731,0.0064,0.0046,0.0014,0.9090,0.2450,1.1900,buy
2021-09-16,218.0073,3410700,215.3899,218.3480,215.0851,0.0093,0.0193,0.0212,0.0143,0.0253,72.0012,0.0068,0.0055,0.0019,1.0732,0.3604,1.5742,sell
2021-09-17,217.3620,4756600,218.5721,219.2802,216.8152,-0.0030,0.0138,0.0109,0.0102,0.0214,68.1639,0.0067,0.0060,0.0019,0.9273,0.3946,2.0400,sell
2021-09-20,214.3143,4549900,215.0224,216.8869,212.1181,-0.0140,-0.0088,0.0011,-0.0041,0.0067,59.5368,0.0081,0.0053,0.0009,0.5375,-0.0435,1.8498,buy
2021-09-21,215.5782,2008300,215.1300,217.2365,214.5922,0.0059,-0.0026,0.0182,-0.0000,0.0121,57.9496,0.0073,0.0050,0.0005,0.6821,-0.5586,0.8178,buy
2021-09-22,217.9356,3361900,216.7435,220.3827,216.4477,0.0109,0.0089,0.0189,0.0090,0.0224,61.8232,0.0074,0.0056,0.0009,0.9137,0.6740,1.3239,buy
2021-09-23,219.4146,2941700,218.4824,220.4634,218.2942,0.0068,0.0065,0.0259,0.0133,0.0286,61.6958,0.0075,0.0065,0.0015,0.9921,-0.1250,1.1301,buy
2021-09-24,220.8847,2508800,221.0819,221.7452,219.8270,0.0067,0.0162,0.0303,0.0170,0.0345,67.6087,0.0076,0.0076,0.0021,1.0440,-0.1472,0.9546,buy
2021-09-27,222.3996,2463300,220.5082,223.1077,219.8629,0.0069,0.0377,0.0286,0.0211,0.0404,78.8758,0.0075,0.0090,0.0028,1.0675,-0.0181,0.9253,sell
2021-09-28,218.5093,3007500,221.6645,222.0410,217.7384,-0.0175,0.0136,0.0109,0.0021,0.0208,61.4188,0.0099,0.0087,0.0020,0.7169,0.2209,1.1138,hold
2021-09-29,218.9664,1719000,219.0561,220.2482,217.9535,0.0021,0.0047,0.0137,0.0029,0.0220,62.2992,0.0099,0.0085,0.0014,0.7340,-0.4284,0.6513,sell
2021-09-30,216.1250,3136800,219.4057,219.9883,215.8650,-0.0130,-0.0150,-0.0086,-0.0093,0.0082,53.7622,0.0104,0.0072,0.0000,0.4606,0.8248,1.1677,buy
2021-10-01,217.7563,2076000,217.8818,219.3339,215.3540,0.0075,-0.0142,0.0018,-0.0020,0.0153,53.3804,0.0107,0.0066,-0.0004,0.6023,-0.3382,0.7737,hold
2021-10-04,217.8908,2236500,216.9765,219.4415,216.7972,0.0006,-0.0203,0.0167,-0.0030,0.0158,53.8220,0.0094,0.0062,-0.0007,0.5992,0.0773,0.8199,buy
2021-10-05,219.8090,2463100,218.6886,221.2970,217.8280,0.0088,0.0059,0.0196,0.0038,0.0245,57.7091,0.0096,0.0064,-0.0003,0.7702,0.1013,0.8924,buy
2021-10-06,221.4942,2107900,219.2174,221.5480,217.8370,0.0077,0.0115,0.0163,0.0099,0.0322,57.1639,0.0093,0.0071,0.0004,0.9027,-0.1442,0.7722,buy
2021-10-07,222.5878,2423900,222.3010,224.0489,222.0141,0.0049,0.0299,0.0145,0.0134,0.0366,60.5425,0.0092,0.0080,0.0010,0.9585,0.1499,0.8974,hold
2021-10-08,222.0321,1687500,223.4215,223.7621,221.5032,-0.0025,0.0196,0.0052,0.0104,0.0336,67.3101,0.0091,0.0084,0.0011,0.8646,-0.3038,0.6288,sell
2021-10-11,221.0282,1504000,222.3906,223.3229,220.9116,-0.0045,0.0144,-0.0062,0.0064,0.0285,62.3679,0.0089,0.0083,0.0008,0.7368,-0.1087,0.5688,sell
2021-10-12,219.1816,2346700,222.0590,222.8388,218.8768,-0.0084,-0.0029,0.0031,-0.0023,0.0194,52.8946,0.0073,0.0075,-0.0000,0.5335,0.5603,0.8819,sell
2021-10-13,217.5054,3214300,218.0611,218.5990,215.0404,-0.0076,-0.0180,-0.0067,-0.0093,0.0110,45.6047,0.0077,0.0062,-0.0011,0.3440,0.3697,1.1922,buy
2021-10-14,219.2085,2512000,217.7116,219.9883,216.9586,0.0078,-0.0152,0.0143,-0.0029,0.0180,46.1821,0.0068,0.0056,-0.0013,0.5229,-0.2185,0.9475,sell
2021-10-15,217.1468,2564700,219.8270,220.8489,216.9138,-0.0094,-0.0220,-0.0028,-0.0120,0.0078,38.3266,0.0072,0.0044,-0.0021,0.2995,0.0210,1.0091,hold
2021-10-18,217.1558,2484900,217.2992,218.2225,216.1429,0.0000,-0.0175,-0.0034,-0.0116,0.0073,46.3650,0.0072,0.0034,-0.0025,0.2613,-0.0311,1.0191,hold
2021-10-19,217.6130,2071600,218.0163,218.6527,216.5015,0.0021,-0.0072,-0.0100,-0.0086,0.0086,46.3651,0.0065,0.0027,-0.0025,0.2902,-0.1663,0.8485,sell
2021-10-20,214.8790,3040200,215.4885,217.5054,214.4935,-0.0126,-0.0121,-0.0299,-0.0181,-0.0047,46.6344,0.0067,0.0012,-0.0033,0.0108,0.4676,1.2534,buy
2021-10-21,216.3849,2702400,215.2824,216.8421,214.5115,0.0070,-0.0129,-0.0279,-0.0084,0.0017,46.2703,0.0070,0.0005,-0.0032,0.2145,-0.1111,1.1197,sell
2021-10-22,213.7316,3283700,215.7664,217.1378,213.3372,-0.0123,-0.0157,-0.0374,-0.0168,-0.0109,40.0514,0.0076,-0.0010,-0.0038,0.0080,0.2151,1.3390,sell
2021-10-25,212.7456,3178400,214.4398,214.4577,211.9927,-0.0046,-0.0203,-0.0375,-0.0176,-0.0154,32.3161,0.0076,-0.0026,-0.0043,-0.0116,-0.0321,1.2775,sell
2021-10-26,211.9209,3066400,212.8621,213.6957,211.6699,-0.0039,-0.0262,-0.0331,-0.0181,-0.0190,24.9532,0.0074,-0.0041,-0.0047,0.0050,-0.0352,1.2310,buy
2021-10-27,217.5771,5249400,216.0712,219.2712,214.0991,0.0267,0.0126,0.0003,0.0081,0.0069,39.4169,0.0118,-0.0031,-0.0029,0.4905,0.7119,1.9679,buy
2021-10-28,220.0600,3448500,218.1777,220.5799,217.3978,0.0114,0.0170,0.0039,0.0192,0.0177,46.1485,0.0121,-0.0014,-0.0009,0.6839,-0.3431,1.2853,hold
2021-10-29,220.1049,4329400,217.8191,220.5889,217.3440,0.0002,0.0298,0.0136,0.0180,0.0171,48.1265,0.0116,-0.0000,0.0003,0.6753,0.2554,1.5486,buy
2021-11-01,224.6136,4456200,220.3290,225.6086,219.9166,0.0205,0.0558,0.0343,0.0353,0.0368,59.9474,0.0131,0.0026,0.0024,0.9695,0.0293,1.5330,sell
2021-11-02,223.4125,2624300,225.6713,226.0837,222.4444,-0.0053,0.0542,0.0267,0.0270,0.0303,61.0090,0.0134,0.0043,0.0032,0.8478,-0.4111,0.9003,buy
2021-11-03,224.4523,2399000,222.2920,225.1067,222.2203,0.0047,0.0316,0.0446,0.0272,0.0339,60.0205,0.0123,0.0058,0.0038,0.8903,-0.0859,0.8189,buy
2021-11-04,227.1952,2711000,225.0977,227.8406,224.2730,0.0122,0.0324,0.0500,0.0347,0.0452,68.7144,0.0125,0.0079,0.0047,1.0077,0.1301,0.9209,buy
2021-11-05,228.3157,3224300,228.2977,230.8434,228.2350,0.0049,0.0373,0.0682,0.0329,0.0487,69.9582,0.0109,0.0098,0.0053,0.9997,0.1893,1.0674,sell
2021-11-08,226.8725,2471300,228.3784,229.1582,225.8237,-0.0063,0.0101,0.0664,0.0199,0.0406,65.9956,0.0111,0.0108,0.0050,0.8795,-0.2335,0.8053,hold
2021-11-09,226.4692,2258900,226.7022,227.4014,224.4971,-0.0018,0.0137,0.0686,0.0114,0.0373,71.7750,0.0109,0.0113,0.0044,0.8238,-0.0859,0.7371,hold
2021-11-10,226.8994,1794300,224.8198,227.4283,224.8198,0.0019,0.0109,0.0428,0.0092,0.0379,70.5862,0.0084,0.0116,0.0038,0.8097,-0.2057,0.5994,sell
2021-11-11,224.2372,1640500,227.0787,227.0787,223.4304,-0.0117,-0.0130,0.0190,-0.0045,0.0247,70.5615,0.0094,0.0110,0.0025,0.6702,-0.0857,0.5561,hold
2021-11-12,224.6943,1625200,224.2282,224.9990,223.0987,0.0020,-0.0159,0.0209,-0.0045,0.0259,73.8802,0.0094,0.0104,0.0015,0.6735,-0.0093,0.5598,buy
2021-11-15,226.7290,1709200,224.6943,227.4641,224.6943,0.0091,-0.0006,0.0094,0.0035,0.0340,78.2297,0.0073,0.0105,0.0013,0.7429,0.0517,0.5967,hold
2021-11-16,226.2988,2195500,227.2310,227.8495,226.2271,-0.0019,-0.0008,0.0129,0.0004,0.0307,70.7640,0.0071,0.0103,0.0009,0.7022,0.2845,0.7649,hold
2021-11-17,226.5050,1412000,226.2540,227.0876,224.5598,0.0009,-0.0017,0.0091,0.0004,0.0304,67.2092,0.0070,0.0102,0.0006,0.6909,-0.3569,0.5063,buy
2021-11-18,227.2131,1751200,226.9263,227.2221,225.0618,0.0031,0.0133,0.0001,0.0035,0.0324,68.3311,0.0059,0.0101,0.0005,0.7027,0.2402,0.6388,sell
2021-11-19,225.8416,2743100,227.0428,227.0697,224.2999,-0.0060,0.0051,-0.0108,-0.0015,0.0251,53.7782,0.0059,0.0096,-0.0001,0.6178,0.5664,1.0106,buy
2021-11-22,227.2131,2438700,226.4871,228.9790,226.0747,0.0061,0.0021,0.0015,0.0044,0.0303,61.5720,0.0059,0.0094,-0.0001,0.6779,-0.1110,0.9108,buy
2021-11-23,229.1582,2770000,228.4053,229.2837,226.8277,0.0086,0.0126,0.0119,0.0118,0.0379,63.5798,0.0064,0.0099,0.0003,0.8352,0.1359,1.0403,buy
2021-11-24,230.4670,2642800,228.1274,231.0765,227.7241,0.0057,0.0175,0.0157,0.0160,0.0425,60.2933,0.0066,0.0105,0.0008,0.9464,-0.0459,1.0436,sell
2021-11-26,224.1027,2573300,226.3436,226.9262,222.5430,-0.0276,-0.0137,-0.0006,-0.0120,0.0131,40.0339,0.0108,0.0090,-0.0008,0.2851,-0.0263,1.0341,hold
2021-11-29,224.3626,2084600,225.7520,226.1733,223.9413,0.0012,-0.0065,-0.0015,-0.0107,0.0137,43.7106,0.0107,0.0076,-0.0017,0.2409,-0.1899,0.8773,sell
