date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,71.0252,3836400,70.9350,72.5000,70.9350,0.0097,0.0077,0.0099,0.0042,0.0731,75.0198,0.0111,0.0184,0.0003,0.7339,0.2533,1.0611,buy
2021-09-13,72.4775,3697400,72.0490,72.5046,71.1064,0.0204,0.0247,0.0083,0.0239,0.0930,75.1965,0.0108,0.0195,0.0014,0.8440,-0.0362,1.0036,hold
2021-09-14,72.4549,3584000,72.8654,73.2127,71.7288,-0.0003,0.0296,0.0103,0.0225,0.0908,74.8815,0.0107,0.0205,0.0018,0.8069,-0.0307,0.9651,buy
2021-09-15,73.1495,3434600,72.5001,73.1721,71.8596,0.0096,0.0512,0.0307,0.0291,0.0988,72.8901,0.0102,0.0215,0.0024,0.8387,-0.0417,0.9327,buy
2021-09-16,73.5644,3386400,72.3783,74.0515,72.2655,0.0057,0.0458,0.0482,0.0300,0.1020,68.0241,0.0089,0.0225,0.0029,0.8550,-0.0140,0.9147,sell
2021-09-17,72.6579,10976200,73.3389,73.5148,71.8641,-0.0123,0.0230,0.0309,0.0143,0.0854,54.6587,0.0104,0.0225,0.0021,0.7485,2.2413,2.7023,sell
2021-09-20,70.5878,5917800,71.3545,71.4311,69.5955,-0.0285,-0.0261,-0.0020,-0.0144,0.0527,44.4885,0.0144,0.0203,-0.0006,0.4830,-0.4609,1.4462,buy
2021-09-21,70.9395,5091200,71.0252,71.4807,69.9428,0.0050,-0.0209,0.0081,-0.0103,0.0563,49.8394,0.0144,0.0181,-0.0021,0.5020,-0.1397,1.2411,buy
2021-09-22,72.8338,3016600,71.6747,73.0142,71.2237,0.0267,-0.0043,0.0467,0.0115,0.0819,62.1187,0.0158,0.0179,-0.0014,0.8018,-0.4075,0.7289,buy
2021-09-23,74.4935,3162800,72.6985,74.7641,72.6985,0.0228,0.0126,0.0590,0.0287,0.1033,66.3123,0.0167,0.0193,0.0003,1.0542,0.0485,0.7891,hold
2021-09-24,74.5521,1901800,74.0245,74.7280,73.7629,0.0008,0.0261,0.0497,0.0245,0.1000,65.7728,0.0167,0.0206,0.0013,0.9799,-0.3987,0.4946,hold
2021-09-27,74.9039,2488800,73.9072,74.9265,73.2667,0.0047,0.0611,0.0335,0.0259,0.1004,68.7291,0.0158,0.0216,0.0019,0.9630,0.3087,0.6608,sell
